business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dhanalakshmi Jewellery Works(jewels works)(old name and new name),Goldsmith and Jewellery Repair,Goldsmith,"Goldsmith, Jewelry store",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 89705 12323,https://www.dhanalakshmijewellers.com/,4.8,,"23, 5th Cross, Venkatapura, Jakkasandra, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034","Venkatapura, Jakkasandra, 1st Block Koramangala, Koramangala",12.9222076,77.6346428,ChIJQX_aZooUrjsRrTcro7LP2RE,https://www.google.com/maps/place/?q=place_id:ChIJQX_aZooUrjsRrTcro7LP2RE,part_265,2026-09-20 19:01:46
SRI LAKSHMI JEWELLARY WORKS,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 98445 54280,N/A,5.0,,"S M Complex, Bus Stand, Towards Kengeri, Kumbalgodu, Bengaluru, Karnataka 560074",628205,12.8791181,77.4456226,ChIJtzOLZYM5rjsRbmQA1qQ_Ipk,https://www.google.com/maps/place/?q=place_id:ChIJtzOLZYM5rjsRbmQA1qQ_Ipk,part_265,2026-09-20 19:01:46
Sri Venkateshwara Gold Company,Goldsmith and Jewellery Repair,Gold dealer,Gold dealer,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 97390 57738,http://srivenkateshwaragoldcompany.com/,5.0,22.0,"Ramapuram main road, near RR Dham biryani, K Channasandra, Bengaluru, Karnataka 560043",K Channasandra,13.040613599999999,77.67946069999999,ChIJn7a4XzIRrjsRe_K0noT6YRc,https://www.google.com/maps/place/?q=place_id:ChIJn7a4XzIRrjsRe_K0noT6YRc,part_265,2026-09-20 19:01:47
Marvel Quality Gold and Diamonds,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,5.0,25.0,"Doddaballapura Main Rd, Yelahanka, Rajanukunte, Karnataka 560119",Yelahanka,13.1737864,77.5641605,ChIJj8Xu02IfrjsRESLG215lkNU,https://www.google.com/maps/place/?q=place_id:ChIJj8Xu02IfrjsRESLG215lkNU,part_265,2026-09-20 19:01:47
Ratan jewellery work's,Goldsmith and Jewellery Repair,Goldsmith,"Goldsmith, Silversmith",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 89713 24508,https://instagram.com/ratanjewellery2023?igshid=ZDc4ODBmNjlmNQ==,5.0,101.0,"12/1, A.T street, near anjaneya temple, Jayanagar 6th Block, Jayanagar, yediyur, Bengaluru, Karnataka 560070","Jayanagar 6th Block, Jayanagar",12.9312355,77.575447,ChIJoZ-J1jEVrjsREBS7QQbQ3vQ,https://www.google.com/maps/place/?q=place_id:ChIJoZ-J1jEVrjsREBS7QQbQ3vQ,part_265,2026-09-20 19:01:47
Sree Balaji Jewellery Works,Goldsmith and Jewellery Repair,Jewelry store,"Jewelry store, Goldsmith",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 98490 31421,N/A,4.9,193.0,"Plot No 436, opp. Prathibha School, Secretariat Colony, Sri Ram Nagar Colony, Puppalguda, Manikonda, Hyderabad, Telangana 500089","Secretariat Colony, Sri Ram Nagar Colony, Puppalguda",17.400133,78.378148,ChIJV6IN0hiUyzsRu-QRzwvz2-w,https://www.google.com/maps/place/?q=place_id:ChIJV6IN0hiUyzsRu-QRzwvz2-w,part_265,2026-09-20 19:01:47
Sri Jayalakshmi Jewellery Works,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 99009 75927,N/A,4.9,25.0,"Shop No.157, Kothnur, Kothnoor Dinne, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560076","Kothnur, Kothnoor Dinne, JP Nagar 7th Phase, J. P. Nagar",12.8770668,77.5844504,ChIJJzIClkoVrjsReQjWHGIKfRc,https://www.google.com/maps/place/?q=place_id:ChIJJzIClkoVrjsReQjWHGIKfRc,part_265,2026-09-20 19:01:47
Sangeeta Jewellery Wark,Goldsmith and Jewellery Repair,Jewelry repair service,"Jewelry repair service, Ear piercing service",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 73382 52052,N/A,5.0,34.0,"Thima Reddy building, Sri Sharadha vidya mandira roda Balagere Road, first Cross Varthur Balagere Road 1st Cross, Chowdeshwari Temple St, Varturu, Bengaluru, Karnataka 560087","Varthur, Chinnappa Layout, Varturu",12.9389038,77.7449604,ChIJiat7qg8NrjsRQ6DS8K14FOw,https://www.google.com/maps/place/?q=place_id:ChIJiat7qg8NrjsRQ6DS8K14FOw,part_265,2026-09-20 19:01:47
Sri Mahalakshmi Jewellery Work,Goldsmith and Jewellery Repair,Goldsmith,"Goldsmith, Jewelry designer",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 97392 67005,N/A,4.7,15.0,"503/34 1st floor, 47th Cross Rd, 5th Block, TMC Layout, 5th Block, Jayanagar, Bengaluru, Karnataka 560041","5th Block, TMC Layout, 5th Block, Jayanagar",12.9168053,77.58248259999999,ChIJJTSNaU8VrjsRQWCbB_xvXEE,https://www.google.com/maps/place/?q=place_id:ChIJJTSNaU8VrjsRQWCbB_xvXEE,part_265,2026-09-20 19:01:47
Navarathna Mangalore Jewellery Works,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 99866 84702,N/A,5.0,8.0,"1000-16, 2nd cross, Kogilu Main Rd, papanna layout, Yelahanka, Bengaluru, Karnataka 560064","papanna layout, Maruthi Nagar, Yelahanka",13.1044149,77.6077346,ChIJd1MjXKcZrjsRK9slqPyQzL8,https://www.google.com/maps/place/?q=place_id:ChIJd1MjXKcZrjsRK9slqPyQzL8,part_265,2026-09-20 19:01:47
