business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Spa Influence,Spa,Spa,Spa,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 99522 33333,https://www.spainfluence.com/,4.7,,"2nd floor, 109/a4, Ettayapuram Rd, Polpettai West, Muthammal Colony, Thoothukudi, Tamil Nadu 628002","Polpettai West, Muthammal Colony",8.81517,78.13394559999999,ChIJ6zP9mTfvAzsRJFSab3Sh1Ss,https://www.google.com/maps/place/?q=place_id:ChIJ6zP9mTfvAzsRJFSab3Sh1Ss,part_265,2026-09-20 19:02:01
OCEAN SPA WELLNESS & RETREAT,Spa,Health spa,Health spa,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,5.0,,"2nd Floor, 66/2, 66/2, Melur Bungalow St, Melur, Pudugramam, Thoothukudi, Tamil Nadu 628001","Melur, Pudugramam",8.802696,78.1408981,ChIJMW70f7XvAzsRDXhq1s6Czdk,https://www.google.com/maps/place/?q=place_id:ChIJMW70f7XvAzsRDXhq1s6Czdk,part_265,2026-09-20 19:02:01
New Ayurvedicspa,Spa,Massage spa,Massage spa,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 77082 66526,N/A,3.9,,"160n/31c, Polpettai W St, Kurinji Nagar, polpet, Tamil Nadu 628008","Kurinji Nagar, Muthammal Colony",8.8102799,78.1324461,ChIJ3y5ApUjvAzsR9Y4K55tVAHw,https://www.google.com/maps/place/?q=place_id:ChIJ3y5ApUjvAzsR9Y4K55tVAHw,part_265,2026-09-20 19:02:01
Thai Massage Spa,Spa,Massage therapist,Massage therapist,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 74486 92511,N/A,5.0,,"23/3, Main road, Thiruchendur, Tamil Nadu 628202",628205,8.5109814,78.098604,ChIJ4YUw1LKPAzsR4mnHjr31jq8,https://www.google.com/maps/place/?q=place_id:ChIJ4YUw1LKPAzsR4mnHjr31jq8,part_265,2026-09-20 19:02:01
Tiruchendur wellness Spa,Spa,Home Stay,Home Stay,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 74486 92511,N/A,5.0,,"G36X+GF4, Thiruchendur, Tamil Nadu 628215",628205,8.5112641,78.09871869999999,ChIJ5UJLUACPAzsRj4ndTz7EI5g,https://www.google.com/maps/place/?q=place_id:ChIJ5UJLUACPAzsRj4ndTz7EI5g,part_265,2026-09-20 19:02:01
Kerala ayurvedic spa,Spa,Massage spa,Massage spa,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,4.2,,"Raj theatre, 16/a Toovipuram 2nd street, road, Thoothukudi, Tamil Nadu 628001","Kirubai Nagar, Toovipuram",8.803724299999999,78.1381998,ChIJpzIy3kjvAzsRgmRSIj-8zDo,https://www.google.com/maps/place/?q=place_id:ChIJpzIy3kjvAzsRgmRSIj-8zDo,part_265,2026-09-20 19:02:01
Sparadise,Spa,Spa,Spa,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 90428 73342,http://sparadise.in/,3.7,,"183/1,palai road,Anna nagar main RD,Asif Briyani,west, back side, behind Sdr cafe restaurant, TMB Colony, Thoothukudi, Tamil Nadu 628008","TMB Colony, Sinnamani Nagar",8.8006263,78.13284469999999,ChIJBYimMHDxAzsRlfg_Fh_Nvrw,https://www.google.com/maps/place/?q=place_id:ChIJBYimMHDxAzsRlfg_Fh_Nvrw,part_265,2026-09-20 19:02:01
Olive ayurvedic massage centrr,Spa,Massage spa,Massage spa,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,3.0,,"R43X+VRH, West Great Cotton Road, Shanmugapuram, Thoothukudi, Tamil Nadu 628002",Shanmugapuram,8.8046857,78.14959619999999,ChIJZb305TfvAzsRB0cGtYQ8odI,https://www.google.com/maps/place/?q=place_id:ChIJZb305TfvAzsRB0cGtYQ8odI,part_265,2026-09-20 19:02:01
Abi Style Catchers,Spa,Beauty Parlour,"Beauty Parlour, Massage therapist, Spa",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 96985 44500,N/A,3.5,,"No. 379A/23, DSF Grand Plaza, Near Mini Charles Theatre, V E Road, Tuticorin, Thoothukudi, Tamil Nadu 628002",628205,8.8036319,78.1438831,ChIJW05olpfvAzsRH9w5YQLcbX8,https://www.google.com/maps/place/?q=place_id:ChIJW05olpfvAzsRH9w5YQLcbX8,part_265,2026-09-20 19:02:01
SPA ILLAM,Spa,Housing development,Housing development,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,,,"G2QX+HW6, Senthamaraivilai, Kanam, Tamil Nadu 628218",Senthamaraivilai,8.5388989,78.0497704,ChIJHbnQXwCPAzsR4DP_MsquvdI,https://www.google.com/maps/place/?q=place_id:ChIJHbnQXwCPAzsR4DP_MsquvdI,part_265,2026-09-20 19:02:01
