business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SK Plaza,Guesthouse,Lodge,Lodge,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 90420 90804,N/A,4.7,3,"Mutharamman Street, Kulasai Rd, Thoothukkudi, Kulasekharapatnam, Tamil Nadu 628206",628206,8.399381199999999,78.0535743,ChIJmxiDLOiFAzsRfXlSMWQltb8,https://www.google.com/maps/place/?q=place_id:ChIJmxiDLOiFAzsRfXlSMWQltb8,part_265,2026-09-20 19:02:48
SHRI VATSHA LODGE a/c,Guesthouse,Lodge,Lodge,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 78714 00311,N/A,4.8,74,"Udangudi, Tamil Nadu 628203",628206,8.430563099999999,78.0314233,ChIJ1_511niFAzsRQ6QzmeZE0PY,https://www.google.com/maps/place/?q=place_id:ChIJ1_511niFAzsRQ6QzmeZE0PY,part_265,2026-09-20 19:02:48
Podhigai Residency,Guesthouse,Guest house,"Guest house, Lodge, Hotel",628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 90925 96565,https://podhigairesidency.mdtechnologies.in/,4.8,17,"6/1, Voc Street, near Sannathi Street, Thiruchendur, Tamil Nadu 628215",628206,8.495802399999999,78.1251032,ChIJIdCmOlCRAzsRUa37mjoclI8,https://www.google.com/maps/place/?q=place_id:ChIJIdCmOlCRAzsRUa37mjoclI8,part_265,2026-09-20 19:02:48
Gomathi Grand,Guesthouse,Hotel,"Hotel, Lodge",628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 89257 89189,N/A,4.7,37,"69/c, Saba Pathi Puram St, Sabapathi Vinayagar Kovil, Thiruchendur, Tamil Nadu 628215",Sabapathi Vinayagar Kovil,8.494110899999999,78.1238347,ChIJhcI2cQCRAzsRz8ACpXMJKuM,https://www.google.com/maps/place/?q=place_id:ChIJhcI2cQCRAzsRz8ACpXMJKuM,part_265,2026-09-20 19:02:48
Ideal guest house,Guesthouse,Home Stay,Home Stay,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,4.4,8,"214, Sannathi St, Thiruchendur, Tamil Nadu 628215",628206,8.4985251,78.1264183,ChIJGYU2GACRAzsR1jZDydzlims,https://www.google.com/maps/place/?q=place_id:ChIJGYU2GACRAzsR1jZDydzlims,part_265,2026-09-20 19:02:48
SHASTI BHAVAN & LODGE,Guesthouse,Lodge,Lodge,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 94438 40797,N/A,4.2,245,"151, TELC Church Compound, Sabapathi Puram, Thiruchendur, Tamil Nadu 628215",628206,8.494240099999999,78.124487,ChIJO8CNLxeQAzsRiK8SL4QLrv4,https://www.google.com/maps/place/?q=place_id:ChIJO8CNLxeQAzsRiK8SL4QLrv4,part_265,2026-09-20 19:02:48
SHREE ANNAPOORANI COTTAGE,Guesthouse,Lodge,Lodge,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,5.0,40,"72, Saba Pathi Puram St, Thiruchendur, Tamil Nadu 628215",628206,8.494017999999999,78.12357209999999,ChIJO_qRVACRAzsRh4Ox3sE6nDE,https://www.google.com/maps/place/?q=place_id:ChIJO_qRVACRAzsRh4Ox3sE6nDE,part_265,2026-09-20 19:02:48
Gomathi Residency A/C,Guesthouse,Lodge,Lodge,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 75981 83000,N/A,4.9,441,"70, Theppakulam street, Thiruchendur, Tamil Nadu 628215",628206,8.4948345,78.11805369999999,ChIJR8mCE4TvAzsR69fmXsGzPBc,https://www.google.com/maps/place/?q=place_id:ChIJR8mCE4TvAzsR69fmXsGzPBc,part_265,2026-09-20 19:02:48
Metro Home Stay,Guesthouse,Guest house,Guest house,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,4.9,13,"F4XF+49F, Kovil St, Thiruchendur, Tamil Nadu 628215",628206,8.4978031,78.1234315,ChIJ2SGjZHaPAzsRQAaGjYnZ0lg,https://www.google.com/maps/place/?q=place_id:ChIJ2SGjZHaPAzsRQAaGjYnZ0lg,part_265,2026-09-20 19:02:48
Mangai Homestay,Guesthouse,Guest house,Guest house,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,5.0,2,"161, Saba Pathi Puram St, Thiruchendur, Tamil Nadu 628215",628206,8.4941777,78.12466669999999,ChIJmXFzIreRAzsRo2YIK8MAecg,https://www.google.com/maps/place/?q=place_id:ChIJmXFzIreRAzsRo2YIK8MAecg,part_265,2026-09-20 19:02:48
