business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
THANGAIAH Sweets | Thiruchendur,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 63792 82927,https://www.thangaiahsweets.com/,4.1,,"N Car St, Thiruchendur, Tamil Nadu 628215",628206,8.4974139,78.1215029,ChIJ1yB8UqCRAzsRWUh3ruw1M1g,https://www.google.com/maps/place/?q=place_id:ChIJ1yB8UqCRAzsRWUh3ruw1M1g,part_265,2026-09-20 19:02:24
Rose Lala Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,4.7,,"146, N Car St, Thiruchendur, Tamil Nadu 628215",628206,8.4974882,78.1208631,ChIJvTzxPxiQAzsR7YGUncePwPw,https://www.google.com/maps/place/?q=place_id:ChIJvTzxPxiQAzsR7YGUncePwPw,part_265,2026-09-20 19:02:24
Sri Vinayagar Sweets And Bakery,Sweet Stall / Mithai Shop,Bakery and Cake Shop,Bakery and Cake Shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 98424 49441,https://srivinayagarsweets.com/,4.1,,"91 N, main bazaar, Udangudi, Tamil Nadu 628203",628206,8.428386399999999,78.0268493,ChIJPQAAACyEAzsRdh1CU3CP62k,https://www.google.com/maps/place/?q=place_id:ChIJPQAAACyEAzsRdh1CU3CP62k,part_265,2026-09-20 19:02:24
AAJ muscoth Halwa,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,4.8,,"CXGC+P8C, Thoothukudi, Tamil Nadu shanmugapuram, kadachapuram post, Mudalur, Tamil Nadu 628702",kadachapuram post,8.4268076,77.9707523,ChIJsbd-SbmHAzsR7oLKhPSKEoE,https://www.google.com/maps/place/?q=place_id:ChIJsbd-SbmHAzsR7oLKhPSKEoE,part_265,2026-09-20 19:02:24
SENTHIL Sweets,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 80567 60770,https://senthilsweets.com/,4.3,,"5 , Bus Stand , Sathankulam, Sathankulam, Tamil Nadu 628704",628206,8.4468508,77.9140601,ChIJNSZ8W2J5BDsR1pGwcNn4GSs,https://www.google.com/maps/place/?q=place_id:ChIJNSZ8W2J5BDsR1pGwcNn4GSs,part_265,2026-09-20 19:02:24
Kutty Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,4.5,,"36, Sannathi St, Thiruchendur, Tamil Nadu 628215",628206,8.496774499999999,78.1220316,ChIJzx3iSxORAzsRZ6ma9t3EPDY,https://www.google.com/maps/place/?q=place_id:ChIJzx3iSxORAzsRZ6ma9t3EPDY,part_265,2026-09-20 19:02:24
Angel Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,5.0,,"50B, Sathiyamoorthi Bazaar, Udangudi, Tamil Nadu 628203",628206,8.4317619,78.0273902,ChIJSxEmLtOFAzsRMKMl3XfzxrI,https://www.google.com/maps/place/?q=place_id:ChIJSxEmLtOFAzsRMKMl3XfzxrI,part_265,2026-09-20 19:02:24
Jeyanthi Sweets,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,4.8,,"H47F+G9Q, Kayalpattinam, Tamil Nadu 628204",628206,8.5638472,78.12348279999999,ChIJdcYvIwCTAzsRxdy2lIkVkNU,https://www.google.com/maps/place/?q=place_id:ChIJdcYvIwCTAzsRxdy2lIkVkNU,part_265,2026-09-20 19:02:24
Jeyam Sweets & Bakery,Sweet Stall / Mithai Shop,Bakery and Cake Shop,Bakery and Cake Shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,4.5,,"Udangudi, Tamil Nadu 628203",628206,8.4315424,78.0276962,ChIJ1ZgN0leFAzsRf3NMuJZ3aNM,https://www.google.com/maps/place/?q=place_id:ChIJ1ZgN0leFAzsRf3NMuJZ3aNM,part_265,2026-09-20 19:02:24
Muthu Sweets & Bakery,Sweet Stall / Mithai Shop,Bakery and Cake Shop,Bakery and Cake Shop,628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",+91 90921 90555,N/A,4.4,,"Udangudi, Tamil Nadu 628203",628206,8.430035,78.0317554,ChIJd0CYWTiFAzsRPAQWPvUXuy4,https://www.google.com/maps/place/?q=place_id:ChIJd0CYWTiFAzsRPAQWPvUXuy4,part_265,2026-09-20 19:02:24
