business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Seetha Lakshmi coolbar,Bar and Pub,Bar,Bar,628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",N/A,N/A,4.1,,"22, Big Manara Pallivasal, Eral, Siruthondanallur, Tamil Nadu 628801",628207,8.6256931,78.022468,ChIJl_wGejeNAzsReb7WPa8Ubuk,https://www.google.com/maps/place/?q=place_id:ChIJl_wGejeNAzsReb7WPa8Ubuk,part_265,2026-09-20 19:03:10
Raja,Bar and Pub,Bar,Bar,628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",N/A,N/A,,,"JXJG+CGP, Kilpidagai Kasba, Tamil Nadu 628753",628207,8.6310875,77.9763281,ChIJzWnkPACLAzsRzivLRypc-E8,https://www.google.com/maps/place/?q=place_id:ChIJzWnkPACLAzsRzivLRypc-E8,part_265,2026-09-20 19:03:10
Sankalp Restro Pub,Bar and Pub,Bar,Bar,628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",N/A,N/A,4.8,,"RMX2+63C, Doddathoguru, Electronic City Phase I, Electronic City, Doddathoguru, Karnataka 560100","Doddathoguru, Electronic City Phase I, Electronic City",12.8480555,77.6501558,ChIJfVaNQwBrrjsROK2xEylRkQA,https://www.google.com/maps/place/?q=place_id:ChIJfVaNQwBrrjsROK2xEylRkQA,part_265,2026-09-20 19:03:10
Vignesh 007,Bar and Pub,Bar,Bar,628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",N/A,N/A,,,"J2GF+MG5, Eral, Tamil Nadu 628801",628207,8.6266374,78.0238476,ChIJX7Eqh5aNAzsRagu4rP1lWUQ,https://www.google.com/maps/place/?q=place_id:ChIJX7Eqh5aNAzsRagu4rP1lWUQ,part_265,2026-09-20 19:03:10
3M Bar,Bar and Pub,Bar,Bar,628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",N/A,N/A,3.7,,"3QCC+WP3, Sekkalai, Karaikudi, Tamil Nadu 630001",Sekkalai,10.072254899999999,78.771805,ChIJNQYVx2BnADsRierr7lO4BSA,https://www.google.com/maps/place/?q=place_id:ChIJNQYVx2BnADsRierr7lO4BSA,part_265,2026-09-20 19:03:10
TeddyBeer RestoBar,Bar and Pub,Bar,Bar,628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",+91 99529 82224,N/A,4.4,,"TeddyBeer RestoBar, 239, Jawaharlal Nehru Salai, below KFC, Jai Nagar, Koyambedu, Chennai, Tamil Nadu 600107","Jai Nagar, Koyambedu",13.072206099999999,80.2025124,ChIJ2axjV9BlUjoRYS7h0FKZfxg,https://www.google.com/maps/place/?q=place_id:ChIJ2axjV9BlUjoRYS7h0FKZfxg,part_265,2026-09-20 19:03:10
Urban Kitchen & Bar,Bar and Pub,Bar,Bar,628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",+91 70444 74510,N/A,4.0,,"JCFV+C7Q, Biswa Bangla Sarani, near City Centre 2, Dash Drone, Rajarhat, Kolkata, West Bengal 700136","Dash Drone, Rajarhat",22.623592499999997,88.4432222,ChIJZ2tlZdKf-DkRmYqXAdUdlNU,https://www.google.com/maps/place/?q=place_id:ChIJZ2tlZdKf-DkRmYqXAdUdlNU,part_265,2026-09-20 19:03:10
Double Down Brewpub And Cafe,Bar and Pub,Bar,"Bar, Cafe, Disco club, Lounge bar, Pub",628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",+91 62994 24170,N/A,4.7,,"11/1 SARAT BOSE ROAD, Ideal Plaza GR Floor, near Kotak bank and, opp. Axis Bank, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.538999399999998,88.3542387,ChIJ-_MYHF93AjoRWweVcI97-_w,https://www.google.com/maps/place/?q=place_id:ChIJ-_MYHF93AjoRWweVcI97-_w,part_265,2026-09-20 19:03:10
Traffic Gastropub,Bar and Pub,Pub,"Pub, Bar, Club, Dance club, Disco club, Gastropub, Restaurant",628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",+91 84206 05109,N/A,4.2,,"City Centre, 2, Rajarhat, West Bengal 700157","Action Area II, Action Area IID, Rajarhat",22.6229925,88.4501231,ChIJA1ezoNqf-DkRmkuYFCmrzt4,https://www.google.com/maps/place/?q=place_id:ChIJA1ezoNqf-DkRmkuYFCmrzt4,part_265,2026-09-20 19:03:10
Aswini bar,Bar and Pub,Bar,Bar,628207,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kurumbur S.O, Nallur B.O, Puraiyur B.O",N/A,N/A,3.5,,"M8VV+9VW, Kodathikavala, Cherthala, Keralam 688524",Kodathikavala,9.693498499999999,76.3447154,ChIJI1j0PuF9CDsRrIspqp7vaog,https://www.google.com/maps/place/?q=place_id:ChIJI1j0PuF9CDsRrIspqp7vaog,part_265,2026-09-20 19:03:10
