business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RSV FITNESS STUDIO,Fitness Chains,Gym,Gym,628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 63695 89981,N/A,4.6,103.0,"NORTH BYE PASS, BRIDGE, near TAMIRABARANI, Udayarpatti, Tamil Nadu 627001",Tirunelveli Junction,8.7403297,77.7175412,ChIJg0NFN4sRBDsRSQllIhhwJxY,https://www.google.com/maps/place/?q=place_id:ChIJg0NFN4sRBDsRSQllIhhwJxY,part_265,2026-09-20 19:09:29
Fit Monkeys,Fitness Chains,Fitness center,Fitness center,628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 99529 29994,N/A,4.7,69.0,"Tks complex Wimco Nagar, opp. to metro station, Tiruvottiyur, Chennai, Tamil Nadu 600019","Sakthi Puram, Tiruvottiyur",13.178811,80.30749829999999,ChIJRSIHAzRxUjoRQFpONvYgkNs,https://www.google.com/maps/place/?q=place_id:ChIJRSIHAzRxUjoRQFpONvYgkNs,part_265,2026-09-20 19:09:29
Dream Fitness Center (Unisex),Fitness Chains,Fitness center,Fitness center,628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 95666 23441,https://dreamfitnesscenter.in/,5.0,29.0,"28, 3rd Main Rd, Ramakrishna Nagar, Ernavur, Chennai, Tamil Nadu 600057","Ramakrishna Nagar, Ernavur",13.184980099999999,80.3137236,ChIJg-fVeARxUjoRkZsFNmb1roQ,https://www.google.com/maps/place/?q=place_id:ChIJg-fVeARxUjoRkZsFNmb1roQ,part_265,2026-09-20 19:09:29
BIG SHOT GYM,Fitness Chains,Gym,Gym,628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 97894 68515,N/A,4.8,41.0,"47, Emerald Nagar, Sipcot, Navlock, Tamil Nadu 632403",628217,12.950296499999999,79.31106179999999,ChIJu7QVxHo1rTsRsPyoisgojYA,https://www.google.com/maps/place/?q=place_id:ChIJu7QVxHo1rTsRsPyoisgojYA,part_265,2026-09-20 19:09:29
SFC FITNESS CARE,Fitness Chains,Fitness center,Fitness center,628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 90809 07835,https://sfcfitnesscare.co.in/,4.7,246.0,"Anbunagar, Tirunelveli, Tamil Nadu 627011",Anbunagar,8.7052331,77.7448884,ChIJn2fTsVkTBDsRi97gdqOFkOo,https://www.google.com/maps/place/?q=place_id:ChIJn2fTsVkTBDsRi97gdqOFkOo,part_265,2026-09-20 19:09:29
ONEX WELLNESS - Mogappair,Fitness Chains,Fitness center,Fitness center,628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 76176 15885,https://onexwellness.com/,4.9,272.0,"Plot no 6/12, First floor, Mogappair West, Mogappair, Chennai, Tamil Nadu 600037","Mogappair West, Mogappair",13.0835916,80.1748283,ChIJOxy-xkljUjoRinWXlY_jqA8,https://www.google.com/maps/place/?q=place_id:ChIJOxy-xkljUjoRinWXlY_jqA8,part_265,2026-09-20 19:09:29
K Square Unisex Gym,Fitness Chains,Gym,"Gym, Fitness center",628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 81223 30169,N/A,5.0,,"191/382, Triplicane High Rd, Triplicane, Chennai, Tamil Nadu 600005",Triplicane,13.0542695,80.27365929999999,ChIJ8zWkL65nUjoRQudHTPw8xMg,https://www.google.com/maps/place/?q=place_id:ChIJ8zWkL65nUjoRQudHTPw8xMg,part_265,2026-09-20 19:09:30
CHOICE THE FITNESS CENTRE,Fitness Chains,Gym,Gym,628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 98416 17873,N/A,4.6,,"New No. 81, Old No. 39, 1st Floor, Big St, Police Quarters, Triplicane, Chennai, Tamil Nadu 600005","Police Quarters, Triplicane",13.0605066,80.27569679999999,ChIJPdad7h9mUjoRRHBx_J9ppHc,https://www.google.com/maps/place/?q=place_id:ChIJPdad7h9mUjoRRHBx_J9ppHc,part_265,2026-09-20 19:09:30
Omega Fitness (The Gym),Fitness Chains,Fitness center,Fitness center,628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 91881 71580,https://www.instagram.com/omegafitnessthegym?igsh=MjJ2YzhxZWswZjh1,5.0,,"Ethai,upstairs, Indian overseas Bank, above Paranthan Shopping Complex, Ethai, Engandiyoor, Chettuva, Keralam 680616",Ethai,10.512812499999999,76.0564375,ChIJFVRjNnCTpzsRrdYpYWMUWAw,https://www.google.com/maps/place/?q=place_id:ChIJFVRjNnCTpzsRrdYpYWMUWAw,part_265,2026-09-20 19:09:30
Monster bodybuilding & fitness studio,Fitness Chains,Fitness center,"Fitness center, Gym",628217,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Adaikalapuram S.O,+91 98883 95557,http://monsterfitness.in/,4.9,,"No:110, Madambakkam Main Rd, VGP Srinivasa Nagar, Madambakkam, Rajakilpakkam, Chennai, Tamil Nadu 600073","VGP Srinivasa Nagar, Madambakkam",12.9119371,80.1559497,ChIJQU_wlVxfUjoReoW7ZCCZ0hM,https://www.google.com/maps/place/?q=place_id:ChIJQU_wlVxfUjoReoW7ZCCZ0hM,part_265,2026-09-20 19:09:30
