business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Galaxy Crane Service/Towing and Recovery Services in Muvattupuzha, Ernakulam",Crane and Towing Service,Towing service,"Towing service, Car leasing service, Crane service, Taxi service, Transportation service, Vehicle Shipping Agent",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 95491 01101,https://cranes.galaxymuvattupuzha.com/,4.8,50.0,"SH8, Kizhakkekara, Muvattupuzha, Keralam 686661",Kizhakkekara,9.975427999999999,76.5937205,ChIJITXD-hHdBzsRZfO8CQo178w,https://www.google.com/maps/place/?q=place_id:ChIJITXD-hHdBzsRZfO8CQo178w,part_265,2026-09-20 19:15:09
MASTERS CRANE & RECOVERY SERVICE,Crane and Towing Service,Crane service,"Crane service, Service establishment, Towing equipment provider",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 98959 28822,N/A,4.8,46.0,"MASTERS CRANE & RECOVERY SERVICE, 628303, India",628303,9.786276599999999,76.403306,ChIJgXiU5tihCDsR6-fvYZKxpf0,https://www.google.com/maps/place/?q=place_id:ChIJgXiU5tihCDsR6-fvYZKxpf0,part_265,2026-09-20 19:15:09
Unique Crane Recovery Towing Service,Crane and Towing Service,Crane service,Crane service,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 81570 09382,N/A,5.0,57.0,"Nellankara, Thrissur, Keralam 680651",Nellankara,10.532234299999999,76.2377307,ChIJF7xP-lPvpzsR4KGZGmOclik,https://www.google.com/maps/place/?q=place_id:ChIJF7xP-lPvpzsR4KGZGmOclik,part_265,2026-09-20 19:15:09
Divine Crane and Recovery Van Services pala,Crane and Towing Service,Towing service,"Towing service, Crane service",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 90613 39081,https://keralabusinesslist.com/divine-crane-and-recovery-van-services-pala,4.8,89.0,"Mathai & Co, Main Road, near Head Post Office, Vellappadu, Pala, Keralam 686575",Vellappadu,9.709468,76.67768319999999,ChIJD0SMUWbNBzsRAN6_NdPgMs0,https://www.google.com/maps/place/?q=place_id:ChIJD0SMUWbNBzsRAN6_NdPgMs0,part_265,2026-09-20 19:15:09
My Crane Roadside Assistance,Crane and Towing Service,Towing service,"Towing service, Crane Dealer and Manufacturer, Towing equipment provider, Crane service",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 99616 61118,N/A,5.0,213.0,"Melekuttu house,karikulam post,ranny,pathanamthitta Pathanamthita, Keralam 689653","Kumbazha, Mylapra",9.2589556,76.8044936,ChIJfRrHP9UVBjsRQRUJcUjF4SE,https://www.google.com/maps/place/?q=place_id:ChIJfRrHP9UVBjsRQRUJcUjF4SE,part_265,2026-09-20 19:15:09
Crane Towing service,Crane and Towing Service,Towing service,Towing service,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 79041 95167,N/A,5.0,1.0,"Crane service. Tharamangalam, Salem, Karumandisellipalayam, Tamil Nadu 636502",628303,11.281479299999999,77.5976493,ChIJ27jC1xRtqTsRsiGN1REuZaM,https://www.google.com/maps/place/?q=place_id:ChIJ27jC1xRtqTsRsiGN1REuZaM,part_265,2026-09-20 19:15:09
Golden Crane & Recovery Service,Crane and Towing Service,Crane service,Crane service,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 98659 99482,N/A,4.8,61.0,"122, Kottur Road, Alagappa Colony, Pollachi, Tamil Nadu 642006",Alagappa Colony,10.6483828,77.007425,ChIJ1SeptSg5qDsRuVqvry4u0RE,https://www.google.com/maps/place/?q=place_id:ChIJ1SeptSg5qDsRuVqvry4u0RE,part_265,2026-09-20 19:15:09
ALKA Crane Towing & Breakdown Service,Crane and Towing Service,Towing service,Towing service,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 82815 45356,N/A,4.6,9.0,"Aroor gram panchayat, Kochi, Keralam 688534",628303,9.878191,76.3038672,ChIJ5Q7g3sVxCDsRg-NddrzUaMs,https://www.google.com/maps/place/?q=place_id:ChIJ5Q7g3sVxCDsRg-NddrzUaMs,part_265,2026-09-20 19:15:09
Sri Guruvayurappan Cranes Recovery & Towing Service,Crane and Towing Service,Towing service,"Towing service, Crane service",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 94436 04167,N/A,4.2,24.0,"Nandhanam House, Mysore Rd, Indunagar, Ooty, Tamil Nadu 643005",Indunagar,11.430324899999999,76.66876669999999,ChIJN-YRIBe9qDsR_HIgv7y0y98,https://www.google.com/maps/place/?q=place_id:ChIJN-YRIBe9qDsR_HIgv7y0y98,part_265,2026-09-20 19:15:09
"SONRON BREAKDOWN ASSISTANCE - Recovery / Towing / Crane, (റിക്കവറി വാൻ, ടോവിങ്)",Crane and Towing Service,Towing service,"Towing service, Crane service, Towing equipment provider",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 83018 81835,https://g.page/r/CeajvEsgsHusEBE,4.5,8.0,"Indian Gas Agency, Eden convention center, Mallappally, Anicadu, Keralam 689585",628303,9.4519099,76.6644468,ChIJD5MbsUg7BjsR5qO8SyCwe6w,https://www.google.com/maps/place/?q=place_id:ChIJD5MbsUg7BjsR5qO8SyCwe6w,part_265,2026-09-20 19:15:09
