business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MIS DRY FRUITS & SPICES,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Wholesaler",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 95666 83681,https://www.instagram.com/reel/DEfOVScyXRw/?igsh=MTF3cTN1Z3dpdDZ0cw==,4.9,,"1, Jalal Rd, Gangapuram, Naganadi, Ambur, Tamil Nadu 635802","Gangapuram, Naganadi",12.789612799999999,78.71541309999999,ChIJn6eOYAUJrTsRDl4Jcs-7EWE,https://www.google.com/maps/place/?q=place_id:ChIJn6eOYAUJrTsRDl4Jcs-7EWE,part_265,2026-09-20 19:14:53
Dua dry fruit & Spices,Dry Fruits and Spices Wholesaler,Spices Wholesaler,Spices Wholesaler,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 95267 91668,N/A,4.8,,"Panthakkapara Pinarayi Rd, Kozhur, Pinarayi, Penangimetta, Keralam 670642",Kozhur,11.808224,75.51462459999999,ChIJBXMiRwAlpDsRYP3f9o9vSEQ,https://www.google.com/maps/place/?q=place_id:ChIJBXMiRwAlpDsRYP3f9o9vSEQ,part_265,2026-09-20 19:14:53
Olive dried fruits,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 93443 09051,N/A,4.9,,"CGF3+7V9, Krishnapuram, Tamil Nadu 626142",628303,9.4231303,77.5047551,ChIJe4YFc1PpBjsRC97S8jfVOCU,https://www.google.com/maps/place/?q=place_id:ChIJe4YFc1PpBjsRC97S8jfVOCU,part_265,2026-09-20 19:14:53
Laxmi Dry Fruits and Spices,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 90034 43079,N/A,4.9,,"15, Revathipuram Main Rd, Revathipuram, Ayyancheri, Urapakkam, Ayyancheri, Tamil Nadu 603210","Revathipuram, Ayyancheri, Urapakkam",12.8657045,80.0797229,ChIJL08bW8_3UjoRaXsK0ahauGQ,https://www.google.com/maps/place/?q=place_id:ChIJL08bW8_3UjoRaXsK0ahauGQ,part_265,2026-09-20 19:14:53
N Gold Spices And Nuts,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 99528 13441,N/A,5.0,,"Anna Nagar, 3rd St, Padappai, Tamil Nadu 601301",628303,12.8849366,80.02052049999999,ChIJtfdTrCX3UjoRYf2bHpMEGkU,https://www.google.com/maps/place/?q=place_id:ChIJtfdTrCX3UjoRYf2bHpMEGkU,part_265,2026-09-20 19:14:53
Mazhar Dry Fruits & Spices,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Herb shop, Spices Wholesaler",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 79045 15133,N/A,5.0,,"140, C Buliding, Bazaar Baazar, Mootukollai, Ambur, Tamil Nadu 635802",Mootukollai,12.7884601,78.7154551,ChIJQw7fvlUJrTsR4_XJnG_BzRY,https://www.google.com/maps/place/?q=place_id:ChIJQw7fvlUJrTsR4_XJnG_BzRY,part_265,2026-09-20 19:14:53
"Flavour Malabari Chip's, Spices & Dryfruit",Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Spices Wholesaler, Nut store",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 73569 88010,http://flavourmalabari.com/,4.8,,"No.211, Fine Arcade, behind KSEB, Areekode, Keralam 673639",Puthalam,11.2332874,76.054164,ChIJn1gXabtHpjsRJ_6v5OXvUos,https://www.google.com/maps/place/?q=place_id:ChIJn1gXabtHpjsRJ_6v5OXvUos,part_265,2026-09-20 19:14:53
Royal Nuts Dry Fruits And Spice,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 96777 98905,N/A,4.9,,"No. 155A TBJ Complex, Arani, Tamil Nadu 632301",Arani Palayam,12.6682926,79.28463339999999,ChIJx4s1URkprTsRR7l806IB9ng,https://www.google.com/maps/place/?q=place_id:ChIJx4s1URkprTsRR7l806IB9ng,part_265,2026-09-20 19:14:53
Naturix Dryfruits Store,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Nut store, Spice store, Spices Wholesaler, Wholesaler",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 95671 83824,N/A,5.0,,"Naturix Store Pananvila, Nalanchira P.O, Thiruvananthapuram, Keralam 695015","Nalanchira P.O, Tilak Nagar, Parottukonam",8.5384834,76.9400631,ChIJn3zBtgu5BTsRAak3VdB_Eqg,https://www.google.com/maps/place/?q=place_id:ChIJn3zBtgu5BTsRAak3VdB_Eqg,part_265,2026-09-20 19:14:53
Msr spices & Dry fruits,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Spices Wholesaler, Farmers' market, Herb shop, Indian grocery store, Organic food store, Organic shop, Spice store, Spices Exporter",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 94471 55812,http://www.msrpices.com/,5.0,,"Msr spices, Market, Junction, Chandamukku, Kottarakkara, Keralam 691506",Chandamukku,9.0054971,76.7723571,ChIJwzAhHaYLBjsRhuqw1z7ih0g,https://www.google.com/maps/place/?q=place_id:ChIJwzAhHaYLBjsRhuqw1z7ih0g,part_265,2026-09-20 19:14:53
Kanas dry fruits nuts & spices shop,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 88385 85957,N/A,4.7,,"13, Bharathi Street, near mahalingapuram, Pollachi, Tamil Nadu 642002",628303,10.6655406,77.0101964,ChIJRYi1nPQ5qDsRYOZ_NDJYoPU,https://www.google.com/maps/place/?q=place_id:ChIJRYi1nPQ5qDsRYOZ_NDJYoPU,part_265,2026-09-20 19:14:53
HARVEST NUTS & SPICES,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 95399 56793,N/A,4.2,,"VP43+F6H, PALAMOOD, PO, Chathannoor, Keralam 691572",628303,8.8561836,76.7031028,ChIJY6BaDaPlBTsRmfKr4gq3N6I,https://www.google.com/maps/place/?q=place_id:ChIJY6BaDaPlBTsRmfKr4gq3N6I,part_265,2026-09-20 19:14:53
Jb's dry fruits and spices ctr,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 90323 53400,http://www.jbsdryfruits.com/,4.9,,"10-823, Seshapiran Street, Thotapalyam, Chittoor, Andhra Pradesh 517001",Thotapalyam,13.2191461,79.10070929999999,ChIJM7JGOjhfrTsRKWQoUUBL_l0,https://www.google.com/maps/place/?q=place_id:ChIJM7JGOjhfrTsRKWQoUUBL_l0,part_265,2026-09-20 19:14:53
ARASI DRY FRUITS AND SPICES,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 90803 57052,https://www.arasi.in/,4.8,120.0,"Palaniappa Marriage Hall , 5 corner, Rathinasabapathy Puram, Pollachi, Tamil Nadu 642002",Rathinasabapathy Puram,10.6672394,77.01825079999999,ChIJYX3ANJo3qDsRGWICfFL5vKk,https://www.google.com/maps/place/?q=place_id:ChIJYX3ANJo3qDsRGWICfFL5vKk,part_265,2026-09-20 19:14:54
Sri padmavathi dry fruits & Nuts,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Corporate gift supplier, Gift shop, Nut store",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 74489 90631,https://padmavathidryfruits.com/,4.6,69.0,"122, n 1, Ennaikara St, Ennaikaran, Kanchipuram, Tamil Nadu 631501",Ennaikaran,12.8303555,79.7081676,ChIJlS69WHnDUjoReuuyu-F9zes,https://www.google.com/maps/place/?q=place_id:ChIJlS69WHnDUjoReuuyu-F9zes,part_265,2026-09-20 19:14:54
Shree Ambuja Agro Foods,Dry Fruits and Spices Wholesaler,Spices Wholesaler,Spices Wholesaler,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 97911 01772,http://www.regalspices.in/,5.0,,"108, Regal Buildings, Mani Nagar, Chinna Nolambur, Chennai, Tamil Nadu 600095","Mani Nagar, Chinna Nolambur",13.071429,80.1716928,ChIJNxLh7FthUjoRWH7XOydzTpA,https://www.google.com/maps/place/?q=place_id:ChIJNxLh7FthUjoRWH7XOydzTpA,part_265,2026-09-20 19:14:56
JRK TRADERS Cashews and dry Fruits,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Nut store",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 97905 62834,https://www.jrknuts.com/,4.8,,"Barathidasan Street, opp. Pillayarkovil, Allpettai, Manjakuppam, Cuddalore, Tamil Nadu 607001","Allpettai, Manjakuppam",11.7598626,79.7638952,ChIJhT7n6vKYVDoRBQSrrrdqhaM,https://www.google.com/maps/place/?q=place_id:ChIJhT7n6vKYVDoRBQSrrrdqhaM,part_265,2026-09-20 19:14:56
Kumbhat Bazaar Dry Fruits,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 72000 64000,https://kumbhatbazaar.com/,3.7,,"5th Floor, Kumbhat Complex, Police Station, 29, opp. Flower Bazar, Rattan Bazaar, Park Town, Chennai, Tamil Nadu 600003","Rattan Bazaar, Park Town",13.087774699999999,80.2813102,ChIJQ9sTHFRvUjoR4junGQyY7oI,https://www.google.com/maps/place/?q=place_id:ChIJQ9sTHFRvUjoR4junGQyY7oI,part_265,2026-09-20 19:14:56
Mass Dry Fruits And Nuts,Dry Fruits and Spices Wholesaler,Convenience store,Convenience store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",N/A,N/A,4.5,,"No109, Ponnambalam Salai, K. K. Nagar, Chennai, Tamil Nadu 600078","Santhiniketan Colony, Sector 10, K. K. Nagar",13.0431926,80.1970621,ChIJN4orLCpnUjoRXkbiqmualJI,https://www.google.com/maps/place/?q=place_id:ChIJN4orLCpnUjoRXkbiqmualJI,part_265,2026-09-20 19:14:56
Dry Fruitz Basket,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 80966 55555,https://www.dryfruitzbasket.com/,4.4,,"Mathur Rd, MLA Colony, Jubilee Hills, Hyderabad, Telangana 500096","MLA Colony, Jubilee Hills",17.4178087,78.4136339,ChIJybZD_LSWyzsRkULnZcS7HJ0,https://www.google.com/maps/place/?q=place_id:ChIJybZD_LSWyzsRkULnZcS7HJ0,part_265,2026-09-20 19:14:56
