business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DR. BHARATHI'S KIDZ CLINIC,Pediatrician and Child Clinic,Children's hospital,Children's hospital,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 88836 73056,N/A,4.9,66,"12, W Car St, Nehrumaithanam Road, Chokkalingapuram, Aruppukkottai, Tamil Nadu 626101","Nehrumaithanam Road, Chokkalingapuram",9.5074158,78.09954069999999,ChIJL9WkAYwxATsREk2Z2Pg7m4g,https://www.google.com/maps/place/?q=place_id:ChIJL9WkAYwxATsREk2Z2Pg7m4g,part_265,2026-09-20 19:15:04
Jeevan Children clinic-Dr BOOPATHI RAJES KUMAR,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, General practitioner",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 95004 71982,N/A,4.8,5,"Amirthalingeswarar street, Nadar West Car St, near amarnath travels, P.Puliampatti, Aruppukkottai, Tamil Nadu 626101",P.Puliampatti,9.511757,78.0927119,ChIJLwVM4zUxATsRY_JHQVt341Y,https://www.google.com/maps/place/?q=place_id:ChIJLwVM4zUxATsRY_JHQVt341Y,part_265,2026-09-20 19:15:04
CHILD SPECIALIST DR NR PRAVEEN KUMAR,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Lactation service",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 99623 79937,N/A,5.0,22,"Vellore Main Rd, Arcot, Tamil Nadu 632503",628303,12.904181699999999,79.3171768,ChIJJbp1DwA1rTsRDJnZqk0pdws,https://www.google.com/maps/place/?q=place_id:ChIJJbp1DwA1rTsRDJnZqk0pdws,part_265,2026-09-20 19:15:04
"Dr.Abinaya Subha MBBS.,DCH.,MIYCN(Pediatrician)/(Child Specialist)- ABC CLINIC",Pediatrician and Child Clinic,Hospital,Hospital,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 79048 23451,N/A,5.0,36,"125, SRN Rd, opposite North Rangasamuthram, EDCC Bank, North Rangasamuthram, Sathyamangalam, Tamil Nadu 638402","EDCC Bank, North Rangasamuthram",11.501026399999999,77.2469062,ChIJlf1W-XghqTsRYw6R2GrfIXc,https://www.google.com/maps/place/?q=place_id:ChIJlf1W-XghqTsRYw6R2GrfIXc,part_265,2026-09-20 19:15:04
AG KIDS CLINIC & VACCINATION CENTRE,Pediatrician and Child Clinic,Doctor,Doctor,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 91505 31189,N/A,4.7,63,"Gobichettipalayam - Uthukuli - Kangeyam Rd, Gobichettipalayam, Tamil Nadu 638476",628303,11.4502042,77.4350431,ChIJjxqyBJo9qTsRuq4-TdE2mxw,https://www.google.com/maps/place/?q=place_id:ChIJjxqyBJo9qTsRuq4-TdE2mxw,part_265,2026-09-20 19:15:04
Mohanraj Child Care Clinic And Vaccination Centre,Pediatrician and Child Clinic,Children's hospital,Children's hospital,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 81226 61108,https://www.instagram.com/mohanraj_child_care_clinic?igsh=dW93NDB0NHdkamd4,5.0,14,"near Anand cycle stand, near Appollo medical Sugam medical backside, Vazhapadi, Tamil Nadu 636115",628303,11.656849699999999,78.3987069,ChIJ0fx3_0-PqzsRsLGF5bEWSa8,https://www.google.com/maps/place/?q=place_id:ChIJ0fx3_0-PqzsRsLGF5bEWSa8,part_265,2026-09-20 19:15:04
Dr Gokul Das's Pediatric Clinic and Vaccination center,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Child health care center, Children's hospital",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 94976 62155,N/A,5.0,151,"Flat No 1, Alsalama 1 Apartments, Thrithala, Keralam 679534",628303,10.798237,76.1316346,ChIJsybSJADHpzsRuFOwFkZPke8,https://www.google.com/maps/place/?q=place_id:ChIJsybSJADHpzsRuFOwFkZPke8,part_265,2026-09-20 19:15:04
Gheeth Kids Clinic : Dr. Pradeep Kumar | Vaccines | Asthma Clinic | Ear Piercing,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Child psychologist, Children's hospital, Doctor, Health consultant, Hospital, Neonatal physician, Nutritionist, Pediatric clinic, Skin care clinic",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 95006 90545,http://www.gheethkidsclinic.com/,5.0,120,"Gheeth Hospital, Kozhivilai Jn, Kulappuram, Tamil Nadu 629153",628303,8.3315787,77.16910089999999,ChIJGQX98iSrBTsRU29XXyO1I8U,https://www.google.com/maps/place/?q=place_id:ChIJGQX98iSrBTsRU29XXyO1I8U,part_265,2026-09-20 19:15:04
Dr Arjun Clinic Meppady (Paediatrician / Child Specialist),Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Children's hospital, General practitioner, Hospital",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 99473 18996,N/A,4.7,3,"Govt Family Health Centre, opposite Meppady, Meppadi, Keralam 673577",628303,11.558162999999999,76.13130009999999,ChIJwR0XxBcNpjsR8oCyxrQ5NiY,https://www.google.com/maps/place/?q=place_id:ChIJwR0XxBcNpjsR8oCyxrQ5NiY,part_265,2026-09-20 19:15:04
Dr ARUN GANESH - Child specialist | Dr Arun's Baby & Child Clinic | Paediatrician | Sithalapakkam | Medavakkam,Pediatrician and Child Clinic,Pediatrician,Pediatrician,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 74181 94768,N/A,4.9,48,"No 191 , 1st floor, Ottiambakkam Main Rd, Sithalapakkam, Sittalapakkam, Tamil Nadu 600131",Sithalapakkam,12.8901618,80.1844527,ChIJ47yZsRFZUjoR9fkgCxw3po8,https://www.google.com/maps/place/?q=place_id:ChIJ47yZsRFZUjoR9fkgCxw3po8,part_265,2026-09-20 19:15:04
GK Child Care Clinic- Dr Arun MD ( pediatrics),Pediatrician and Child Clinic,Hospital,Hospital,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 97893 14424,https://www.gunasekarclinic.com/HealthInfo,4.8,97,"1, South Agraharam Street, Tirupathur, Tamil Nadu 635601",628303,12.4917158,78.5649956,ChIJiwiRyopTrDsRFmg-I3fm9Xs,https://www.google.com/maps/place/?q=place_id:ChIJiwiRyopTrDsRFmg-I3fm9Xs,part_265,2026-09-20 19:15:04
NIKHIL BABY CLINIC நிகில் பேபி கிளினிக் ( Dr.SHUNMUGA MOORTHI),Pediatrician and Child Clinic,Medical clinic,Medical clinic,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 63796 32100,N/A,4.6,38,"5, Malayarasan Kovil Rd, Thirunagaram, Vellai Kottai, Aruppukkottai, Tamil Nadu 626101","Thirunagaram, Vellai Kottai",9.506982599999999,78.09090619999999,ChIJU6o93McxATsRpQOKtij3K98,https://www.google.com/maps/place/?q=place_id:ChIJU6o93McxATsRpQOKtij3K98,part_265,2026-09-20 19:15:04
Dr. Sangeeth Private Pediatric Clinic,Pediatrician and Child Clinic,Pediatrician,Pediatrician,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",N/A,N/A,5.0,3,"VP32+JC2, Meenadu, Keralam 691572",628303,8.8538768,76.7011967,ChIJ23tli4blBTsR5mS7LNHWWsU,https://www.google.com/maps/place/?q=place_id:ChIJ23tli4blBTsR5mS7LNHWWsU,part_265,2026-09-20 19:15:04
"Dr. Kavya Ramkumar MD.,DNB.,(Paediatrics)., PGPN(Boston).,MIYCN",Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Health consultant, Lactation service, Nutritionist, Doctor",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 94437 50372,https://sites.google.com/view/askdrkavyaramkumar/home,5.0,33,"Maha Baby Clinic, 19/11, Valaikulam Single St, Mangapuram, Srivilliputhur, Tamil Nadu 626125",Mangapuram,9.5128118,77.62926949999999,ChIJydf9hg3dBjsR3QcLgFJEmvs,https://www.google.com/maps/place/?q=place_id:ChIJydf9hg3dBjsR3QcLgFJEmvs,part_265,2026-09-20 19:15:04
Dr. Kumar’s clinic Child Specialist and vaccination center,Pediatrician and Child Clinic,Doctor,Doctor,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",N/A,N/A,5.0,7,"PPWP+MRX, Koothapakkam, Kuthupakkam, Tamil Nadu 607401",Koothapakkam,11.7467299,79.73709579999999,ChIJ4f_KRfGjVDoRGzPlnY98x24,https://www.google.com/maps/place/?q=place_id:ChIJ4f_KRfGjVDoRGzPlnY98x24,part_265,2026-09-20 19:15:04
Dr Sony's Child Care Centre,Pediatrician and Child Clinic,Pediatrician,Pediatrician,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 70342 92459,N/A,5.0,57,"SH44, Vengalloor, Thodupuzha, Keralam 685608",Vengalloor,9.906237599999999,76.70077739999999,ChIJPWHX7JnDBzsRt-5glk7xp60,https://www.google.com/maps/place/?q=place_id:ChIJPWHX7JnDBzsRt-5glk7xp60,part_265,2026-09-20 19:15:04
Karpagam Hospital,Pediatrician and Child Clinic,Pediatrician,Pediatrician,628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",N/A,N/A,4.4,8,"G35W+GVQ, Telephone Rd, Chokkalingapuram, Aruppukkottai, Tamil Nadu 626101",Chokkalingapuram,9.5088443,78.0972365,ChIJG3wIQbAxATsRGc96XE9aurU,https://www.google.com/maps/place/?q=place_id:ChIJG3wIQbAxATsRGc96XE9aurU,part_265,2026-09-20 19:15:04
Kinder Care Clinic (R),Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Homeopath, Medical clinic",628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O",+91 22 4923 5119,N/A,4.5,53,"Spring Leaf 5, A Wing, 101, next to HDFC Bank, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101","Spring Leaf, Alika Nagar, Lokhandwala Township, Kandivali East",19.1970492,72.8707149,ChIJ8VsryRW35zsRzDxgjyI-AYo,https://www.google.com/maps/place/?q=place_id:ChIJ8VsryRW35zsRzDxgjyI-AYo,part_265,2026-09-20 19:15:05
