business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NEC Boy's Hostel -I,Hostels,Building,Building,628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",N/A,N/A,,,"Nallatinputhur, Tamil Nadu 628503",628503,9.1471692,77.8277047,ChIJf4Hrrg-uBjsRScG2Rll4Gnk,https://www.google.com/maps/place/?q=place_id:ChIJf4Hrrg-uBjsRScG2Rll4Gnk,part_265,2026-09-20 19:19:26
Nec Boys Hostel - II,Hostels,Building,Building,628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",N/A,N/A,,,"Nallatinputhur, Tamil Nadu 628503",628503,9.148836,77.8268112,ChIJZT5njQ-uBjsRITPmvwIPu84,https://www.google.com/maps/place/?q=place_id:ChIJZT5njQ-uBjsRITPmvwIPu84,part_265,2026-09-20 19:19:26
Zostel Kochi (Ernakulam),Hostels,Backpacker Hostel,Backpacker Hostel,628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",+91 495 426 2246,https://www.zostel.com/zostel/ernakulam/zostel-kochi-ernakulam-rnkh238,4.7,,"54-251-A, Kumaranasan Rd, Kadavanthara, North Block, Kumaranasan Nagar, Elamkulam, Ernakulam, Keralam 682020","Kadavanthara, North Block, Kumaranasan Nagar, Elamkulam",9.977986699999999,76.3003973,ChIJmeXZNecNCDsRq_o2xrddYag,https://www.google.com/maps/place/?q=place_id:ChIJmeXZNecNCDsRq_o2xrddYag,part_265,2026-09-20 19:19:27
Rajas Royal Mens Hostel,Hostels,Boys' hostel,"Boys' hostel, Guest house, Home Stay, Student dormitory, Youth Hostel",628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",+91 98702 42544,https://www.arroyalhostels.com/,3.5,,"49, Sri Kamal Jewellers, Villivakkam Station Rd, Villivakkam, Chennai, Tamil Nadu 600049",Villivakkam,13.1089486,80.207987,ChIJWYfRjaJlUjoRU_Nsalv61lw,https://www.google.com/maps/place/?q=place_id:ChIJWYfRjaJlUjoRU_Nsalv61lw,part_265,2026-09-20 19:19:27
Satwik Stays Hostel,Hostels,Student dormitory,Student dormitory,628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",+91 96541 83738,https://www.satwikstays.com/,5.0,,"Ansal sushant city, B 1607, Sector 62, Sonipat, Badh Khalsa, Haryana 131029",Sector 62,28.9102142,77.1170885,ChIJUeffez-tDTkRhUGS8qK44EQ,https://www.google.com/maps/place/?q=place_id:ChIJUeffez-tDTkRhUGS8qK44EQ,part_265,2026-09-20 19:19:27
Zostel Plus Poombarai (Kodaikanal),Hostels,Backpacker Hostel,Backpacker Hostel,628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",+91 44 4011 4175,https://www.zostel.com/zostel/poombarai/zostel-kodaikanal-poombarai-kdkh833,4.8,,"146/1A, Poombarai, Kodaikanal, Tamil Nadu 624103",628503,10.269370799999999,77.3964278,ChIJ8eCwm1tlBzsRlpNIlIYWDsk,https://www.google.com/maps/place/?q=place_id:ChIJ8eCwm1tlBzsRlpNIlIYWDsk,part_265,2026-09-20 19:19:27
Santa Maria Hostel Fort Kochi,Hostels,Backpacker Hostel,"Backpacker Hostel, Cafe, Hotel, Lodge, Home Stay, Student dormitory, Villa",628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",+91 62383 68009,https://www.instagram.com/hostel.kochi,4.2,,"1/506-A Bellard Rd Opposite Hotel Brunton Boatyard Cyrils Estuary, Fort Kochi, Kochi, Keralam 682001",Fort Kochi,9.967714599999999,76.2456278,ChIJ78N0szVtCDsRB7uGVSycyqI,https://www.google.com/maps/place/?q=place_id:ChIJ78N0szVtCDsRB7uGVSycyqI,part_265,2026-09-20 19:19:27
THIRUMAGAL LADIES HOSTEL &PG,Hostels,Working women's hostel,Working women's hostel,628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",+91 90439 09244,N/A,4.9,,"440 Velacherry main road, Camp Rd, near Punjab Handlooms, Selaiyur, Tambaram, Tamil Nadu 600073",Selaiyur,12.922264,80.1408866,ChIJtxuYhctfUjoRL0yq05bdzFg,https://www.google.com/maps/place/?q=place_id:ChIJtxuYhctfUjoRL0yq05bdzFg,part_265,2026-09-20 19:19:27
"Cliff & Coral Hostel, Varkala, Odayam Beach",Hostels,Backpacker Hostel,"Backpacker Hostel, Cafe, Home Stay",628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",+91 78997 04979,N/A,4.4,,"Odayam Beach Road, Varkala, Keralam 695311",628503,8.7518139,76.694403,ChIJj7TAR7fvBTsRlPYNqHiOKlY,https://www.google.com/maps/place/?q=place_id:ChIJj7TAR7fvBTsRlPYNqHiOKlY,part_265,2026-09-20 19:19:27
Anizham Hostel,Hostels,Student dormitory,Student dormitory,628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O",+91 81119 68783,N/A,4.8,,"Church Rd, Thykoodam, Vyttila, Ernakulam, Keralam 682019","Thykoodam, Vyttila",9.9580903,76.323207,ChIJHVBjgU5zCDsRc4Npk1vycaI,https://www.google.com/maps/place/?q=place_id:ChIJHVBjgU5zCDsRc4Npk1vycaI,part_265,2026-09-20 19:19:27
