business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",+91 94882 43908,https://bsnl.co.in/,,,"563/3, METTU STREET, Iluppaiyurani, Kovilpatti, TUTICORIN, Tamil Nadu 628502",Iluppaiyurani,9.174529999999999,77.66904,ChIJywaNEcO7BjsRlUfXcCxlaes,https://www.google.com/maps/place/?q=place_id:ChIJywaNEcO7BjsRlUfXcCxlaes,part_265,2026-09-20 19:20:12
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",+91 94867 72557,https://bsnl.co.in/,,,"8 RAMAKRISHNAPILLAI STREET, sundaramoorthi nayanar street, Kalugumalai, Tamil Nadu 628552",628552,9.150450099999999,77.7011081,ChIJEW_TsVOlBjsRqLj85ClZj40,https://www.google.com/maps/place/?q=place_id:ChIJEW_TsVOlBjsRqLj85ClZj40,part_265,2026-09-20 19:20:12
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",+91 94894 29902,https://bsnl.co.in/,,,"12/29A, Kaliamman Kovil St, Kalugumalai, Tamil Nadu 628552",628552,9.152262799999999,77.7064164,ChIJT5m9UdWlBjsRDu6JG2weAjo,https://www.google.com/maps/place/?q=place_id:ChIJT5m9UdWlBjsRDu6JG2weAjo,part_265,2026-09-20 19:20:12
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",+91 93857 49986,https://bsnl.co.in/,,,"VINAYAGAR KOVIL, 180, SOUTH STREET, SUBBIAHPURAM, Tirunelvelli, Vannicondendal, Tamil Nadu 627951",SUBBIAHPURAM,8.9951698,77.6255077,ChIJU5_lePWhBjsRpzGn6Nbavk4,https://www.google.com/maps/place/?q=place_id:ChIJU5_lePWhBjsRpzGn6Nbavk4,part_265,2026-09-20 19:20:12
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",+91 75981 77908,https://bsnl.co.in/,,,"2/30, North St, Kuruvikulam, Alaganeri, Tamil Nadu 627754",628552,9.1545118,77.6331254,ChIJX1eQRWm9BjsRjurmxid0KyU,https://www.google.com/maps/place/?q=place_id:ChIJX1eQRWm9BjsRjurmxid0KyU,part_265,2026-09-20 19:20:12
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",+91 94869 00116,https://bsnl.co.in/,,,"193, EAST STREET, VELLAPANERI, Achchampatti, North Achampatti, Tamil Nadu 627951",VELLAPANERI,9.0333036,77.6622488,ChIJV3C-ZG-nBjsRB3Vz6aTlzOw,https://www.google.com/maps/place/?q=place_id:ChIJV3C-ZG-nBjsRB3Vz6aTlzOw,part_265,2026-09-20 19:20:12
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",+91 75982 27853,https://bsnl.co.in/,,,"171, BLOCK NO.5, ACHAMPATTI TIRUNELVELI, west streeet, Karuppanuthu, Tuticorin, Tamil Nadu 627951",Karuppanuthu,9.148860899999999,77.69533919999999,ChIJjfJ7YiqlBjsRA5KWRL4TFEA,https://www.google.com/maps/place/?q=place_id:ChIJjfJ7YiqlBjsRA5KWRL4TFEA,part_265,2026-09-20 19:20:12
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",N/A,https://bsnl.co.in/,,,"17/30, S Car St, kadambur KOVILAPTTI, KADAMPUR, KOVILPATTI, Tuticorin, Tamil Nadu 628714","kadambur KOVILAPTTI, KADAMPUR",9.147311199999999,77.7021305,ChIJddl1Gn-lBjsR0E1NU8nyXA8,https://www.google.com/maps/place/?q=place_id:ChIJddl1Gn-lBjsR0E1NU8nyXA8,part_265,2026-09-20 19:20:12
Vettri Mobiles,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",+91 70102 40778,N/A,5.0,,"Rathna Medical, 163/1, S Car St, opposite Tuticorin, Kalugumalai, Tamil Nadu 628552",628552,9.1471234,77.703198,ChIJ6wqR6relBjsRkE1bN5hnGYM,https://www.google.com/maps/place/?q=place_id:ChIJ6wqR6relBjsRkE1bN5hnGYM,part_265,2026-09-20 19:20:12
Maya E-Sevai & Mobile Service,IT and Telecom Services,Mobile phone repair shop,"Mobile phone repair shop, Online Share Trading Center",628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O",+91 97912 56202,N/A,,,"10/408, South colony, North Alagunatchiyapuram, Tamil Nadu 627754",North Azhakunatchiapuram,9.1420058,77.62975899999999,ChIJ_1XvA5ujBjsRWcAowOubon8,https://www.google.com/maps/place/?q=place_id:ChIJ_1XvA5ujBjsRWcAowOubon8,part_265,2026-09-20 19:20:12
