business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Vandematram Education Institute,Computer Training Institute,Educational institution,"Educational institution, Coaching Center, Education center, Educational consultant, Training center",628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 91736 37735,N/A,4.9,194.0,"Office no.32, 2nd Floor, City Mall-2, opposite Diamond Plaza, Navjivan Mill Compound, Memon Market, Kalol, Gujarat 382721","Navjivan Mill Compound, Memon Market",23.2417148,72.50316579999999,ChIJEdQMBmElXDkROzFN4IaT0pc,https://www.google.com/maps/place/?q=place_id:ChIJEdQMBmElXDkROzFN4IaT0pc,part_265,2026-09-20 19:20:50
Entire Computer Institute,Computer Training Institute,Computer training school,Computer training school,628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 81263 04269,N/A,4.9,18.0,"Puranpur, Uttar Pradesh 262122",628601,28.5141197,80.14882589999999,ChIJhaQh_ofNoTkRVvX8WN1VyzM,https://www.google.com/maps/place/?q=place_id:ChIJhaQh_ofNoTkRVvX8WN1VyzM,part_265,2026-09-20 19:20:50
Bascom Bridge Computer Education,Computer Training Institute,Software Training Institute,"Software Training Institute, Accounting school, Adult education school, Computer consultant, Distance Learning Center, Educational consultant, Internet marketing service, Recruiter, Training center, Vocational school",628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 95588 76763,https://bascombridge.com/,4.6,529.0,"4th Floor, Himalaya Complex, Fountain Corner, Lake, Nehru Park, Vastrapur, Ahmedabad, Gujarat 380015","Nehru Park, Vastrapur",23.0370679,72.52736159999999,ChIJd8gpy7eEXjkRRvDV-m6if78,https://www.google.com/maps/place/?q=place_id:ChIJd8gpy7eEXjkRRvDV-m6if78,part_265,2026-09-20 19:20:52
Victory Academy,Computer Training Institute,Software Training Institute,"Software Training Institute, Institute of technology, Training center",628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 93807 02836,http://www.victoryacademy.live/,5.0,177.0,"White stone building, 669/1, next to SREE RAJ LASSI SHOP, HBR Layout 2nd Block, 1st Stage, HBR Layout, Bengaluru, Karnataka 560043","HBR Layout 2nd Block, 1st Stage, HBR Layout",13.025937599999999,77.6265597,ChIJbWnUdGQXrjsRLt0PHVbb47I,https://www.google.com/maps/place/?q=place_id:ChIJbWnUdGQXrjsRLt0PHVbb47I,part_265,2026-09-20 19:20:52
TMC COMPUTERS & TUTORIALS ANEKAL,Computer Training Institute,Computer training school,"Computer training school, Computer consultant, Computer service",628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 98444 22290,N/A,4.9,,"MAYURA COMPLEX, K.S.R.T.C BUSSTAND ROAD,IDBI BUILDING, NEXT CANARA BANK, opp. BDCC BANK,SANGEETHA MOBILS, above 1ST FLOOR, Anekal, Karnataka 562106",Vinayaka Nagar,12.709364299999999,77.6977613,ChIJpyQ3qoJvrjsRR9j9Ef1Mbfo,https://www.google.com/maps/place/?q=place_id:ChIJpyQ3qoJvrjsRR9j9Ef1Mbfo,part_265,2026-09-20 19:20:53
TMC COMPUTER EDUCATION CENTRE,Computer Training Institute,Education center,Education center,628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 88612 80740,N/A,4.4,,"Magadi Road, Kamaksipalya, Bengaluru, Karnataka 560079","Govindaraja Nagar Ward, Pete Channappa Industrial Estate, Kamakshipalya",12.984980499999999,77.52736139999999,ChIJnef_dMg9rjsR-qe6nVHVtqc,https://www.google.com/maps/place/?q=place_id:ChIJnef_dMg9rjsR-qe6nVHVtqc,part_265,2026-09-20 19:20:53
Sarva computer education,Computer Training Institute,Training center,"Training center, Software Training Institute",628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 82960 35512,http://www.sarvaindia.com/,5.0,,"199, 1st Floor, Kengeri IN THE, 2nd Main Rd, Raju Badavane, Jnana Jyothi Nagar, Nagadevana Halli, Bengaluru, Karnataka 560056","Raju Badavane, Jnana Jyothi Nagar, Nagadevana Halli",12.941612899999999,77.49342759999999,ChIJP5bpRuE_rjsRg7PL4O5MruU,https://www.google.com/maps/place/?q=place_id:ChIJP5bpRuE_rjsRg7PL4O5MruU,part_265,2026-09-20 19:20:53
ISCE Computer Institute - Khardah,Computer Training Institute,Training center,"Training center, Educational institution",628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 82828 27593,https://www.isce.in/,5.0,,"474/54/28, MS Mukherjee Rd, near SRI BALARAM SEVA MANDIR STATE GENERAL HOSPITAL, Jole Doba Para, Khardah, Khardaha, West Bengal 700116","Jole Doba Para, Khardah",22.7176145,88.3681352,ChIJT30UVAab-DkRbpi3Vm_ZoFE,https://www.google.com/maps/place/?q=place_id:ChIJT30UVAab-DkRbpi3Vm_ZoFE,part_265,2026-09-20 19:20:53
ARDENT COMPUTECH PVT. LTD,Computer Training Institute,Software Training Institute,"Software Training Institute, Computer training school, Distance Learning Center, Education center, Educational institution, Learning center, Software company, Training center, Website designer",628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 1800 890 4233,https://www.ardentcollaborations.com/,4.6,,"Module #132, Ground Floor, SDF Building, GP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","GP Block, Sector V, Bidhannagar",22.568685499999997,88.43160429999999,ChIJWVVVJdJ1AjoR0fgFMM-4v1A,https://www.google.com/maps/place/?q=place_id:ChIJWVVVJdJ1AjoR0fgFMM-4v1A,part_265,2026-09-20 19:20:53
United Computer,Computer Training Institute,Training center,Training center,628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O,+91 342 264 5308,http://www.nielit.gov.in/,4.0,,"UNITED COMPUTER, Chhotonilpur Rd, Mirchoba, Pirtala, Chhotonilpur, Pirtala, Bardhaman, West Bengal 713103","Mirchoba, Pirtala, Chhotonilpur",23.2227867,87.8637475,ChIJ3859bS1I-DkRUH5xKFPMcD4,https://www.google.com/maps/place/?q=place_id:ChIJ3859bS1I-DkRUH5xKFPMcD4,part_265,2026-09-20 19:20:53
