business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Prasath Designs CUSTOMIZED interior designer,Interior Designers,Interior designer,Interior designer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,,"Kammavar Complex, 52 F, Madhankovil Road, V.O.C. Nagar, Kadershan Koil, Tuticorin, Kovilpatti, Tamil Nadu 628501","V.O.C. Nagar, Kadershan Koil",9.1738266,77.86788589999999,ChIJmX9cy9KzBjsRyxgGUxtfwfs,https://www.google.com/maps/place/?q=place_id:ChIJmX9cy9KzBjsRyxgGUxtfwfs,part_266,2026-09-20 19:02:03,3555
Omega Interior,Interior Designers,Interior designer,"Interior designer, Interior Decorator, Kitchen furniture store",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 95665 53011,https://omegainteriors.in/,4.8,,"112/1, Muthu Krishna Puram, 2nd Street, Tuticorin Kelur, Near SS Pillai Market, Thoothukudi, Tamil Nadu 628002",Kandhasamy Puram,8.8126552,78.1529583,ChIJM2h10ZzvAzsREMk969d2ujQ,https://www.google.com/maps/place/?q=place_id:ChIJM2h10ZzvAzsREMk969d2ujQ,part_266,2026-09-20 19:02:03,3556
Saran Modular Kitchen and Interior Works,Interior Designers,Interior designer,"Interior designer, Modular home builder",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 98945 56956,https://saraninterior.com/,4.9,,"Sundaram Arulraj Hospital, 948/4, opposite Thoothukudi, KVK Nagar, Muthukrishna Nagar, Thoothukudi, Tamil Nadu 628002","KVK Nagar, Muthukrishna Nagar",8.808307899999999,78.13948649999999,ChIJPYHppWnvAzsRvzVSWaymcYo,https://www.google.com/maps/place/?q=place_id:ChIJPYHppWnvAzsRvzVSWaymcYo,part_266,2026-09-20 19:02:03,3557
Sathiya interiors,Interior Designers,Manufacturer,Manufacturer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 97917 49230,N/A,4.9,,"13,kathiresan kovil road,near aarthi kalyanamandabam,Ayerathen, Vinayagar Kovil Rd, Kadershan Koil, Kovilpatti, Tamil Nadu 628502","Venkatesh Nagar, Kadershan Koil",9.1695896,77.8619793,ChIJIdZnIkazBjsR711p9jLM-Y8,https://www.google.com/maps/place/?q=place_id:ChIJIdZnIkazBjsR711p9jLM-Y8,part_266,2026-09-20 19:02:03,3558
Thirumala Interior | Curtains in Thoothukudi | Mosquito Net Thoothukudi,Interior Designers,Interior designer,"Interior designer, Aluminum window, Architectural designer, Blinds shop, Interior Decorator, Lighting store, PVC windows supplier, Remodeler, Wallpaper installer, Wallpaper store, Window installation service, Window supplier, Window treatment store",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99446 61999,https://www.thirumalainterior.com/,4.9,,"51/2, Toovipuram 3rd Street Kirubai Nagar, Opp. to Pathirakali Amman Koil near 500m from Tuticorin Central Bus Stand, Thoothukudi, Tamil Nadu 628001",Toovipuram,8.8043309,78.1371159,ChIJEyfispXvAzsRd1dOk9vjgOU,https://www.google.com/maps/place/?q=place_id:ChIJEyfispXvAzsRd1dOk9vjgOU,part_266,2026-09-20 19:02:03,3559
MODSHINE INTERIOR,Interior Designers,Interior designer,Interior designer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 82208 05159,N/A,4.9,,"24-A 26, Pasuvanthanai Rd, Dist, Kovilpatti, Tamil Nadu 628501",Dist,9.1715295,77.8716953,ChIJrbbVwnqyBjsRDffI-4excNI,https://www.google.com/maps/place/?q=place_id:ChIJrbbVwnqyBjsRDffI-4excNI,part_266,2026-09-20 19:02:03,3560
Kavibharathi Interiors Kovilpatti,Interior Designers,Interior Decorator,Interior Decorator,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,,"43/3, pattarai street, Nallatinputhur, Kovilpatti, Tamil Nadu 628716",628716,9.1384121,77.8223186,ChIJ46hMbPSvBjsRnyRahUbfD1w,https://www.google.com/maps/place/?q=place_id:ChIJ46hMbPSvBjsRnyRahUbfD1w,part_266,2026-09-20 19:02:03,3561
Sri Om Interior Decors | Interior Designer in Thoothukudi,Interior Designers,Interior designer,Interior designer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99446 76127,http://sriom4home.com/,5.0,,"kutambuli, 8/162-8, santhosh nagar, Pudukottai, Tamil Nadu 628103",santhosh nagar,8.7295702,78.0642313,ChIJT92Cy1fzAzsRUciuPufO_tI,https://www.google.com/maps/place/?q=place_id:ChIJT92Cy1fzAzsRUciuPufO_tI,part_266,2026-09-20 19:02:03,3562
Thoothukudi interiors,Interior Designers,Interior designer,Interior designer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,,"Sivanthulam 3rd street, Sivanthakulam, Levingipuram, Thoothukudi, Tamil Nadu 628003","Sivanthakulam, Levingipuram",8.7874309,78.1390017,ChIJmY5MfCrvAzsROCiySzdNaqg,https://www.google.com/maps/place/?q=place_id:ChIJmY5MfCrvAzsROCiySzdNaqg,part_266,2026-09-20 19:02:03,3563
Ragul interiors,Interior Designers,Interior designer,"Interior designer, Interior Decorator",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94426 11460,N/A,5.0,,"Kovilpatti, Palaya Appaneri, Tamil Nadu 628502",628716,9.1892312,77.8479437,ChIJX6EgLWCzBjsRRNAJoIu04yo,https://www.google.com/maps/place/?q=place_id:ChIJX6EgLWCzBjsRRNAJoIu04yo,part_266,2026-09-20 19:02:03,3564
Selvarathinam interior works,Interior Designers,Corporate office,Corporate office,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,,"5V78+66R, Uthupatti - Kovilpatti Rd, Annai Theresa Nagar, Pandavarmangalam, Tamil Nadu 628501",Annai Theresa Nagar,9.163117399999999,77.8655265,ChIJQ-X9LgCzBjsRcWVpT2DPZPo,https://www.google.com/maps/place/?q=place_id:ChIJQ-X9LgCzBjsRcWVpT2DPZPo,part_266,2026-09-20 19:02:03,3565
VSA Designs & Builders,Interior Designers,Interior designer,"Interior designer, Architectural designer, Architecture firm, Building designer, Civil engineering company, Real Estate Builders & Construction Company, Modular home builder, Structural engineer",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 88838 36868,http://vsadesignbuild.com/,5.0,,"10E, Street Number 5, Chidambara Nagar, Subbiah Puram, Thoothukudi, Tamil Nadu 628008","Chidambara Nagar, Subbiah Puram",8.7944969,78.13340869999999,ChIJc423o0LvAzsRfzB2OHET-cA,https://www.google.com/maps/place/?q=place_id:ChIJc423o0LvAzsRfzB2OHET-cA,part_266,2026-09-20 19:02:03,3566
Moon Event& Decoration,Interior Designers,Interior designer,Interior designer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,,,"7/121, North street, Karisalkulam, Kayathar, Tamil Nadu 628714",628716,9.002744999999999,77.795858,ChIJo37J3S2pBjsR7Msnoer11yA,https://www.google.com/maps/place/?q=place_id:ChIJo37J3S2pBjsR7Msnoer11yA,part_266,2026-09-20 19:02:03,3567
