business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
J3 Logistics,Logistics and Transport Services,Freight Forwarding Agency,"Freight Forwarding Agency, Customs broker, Transportation service",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 461 233 0040,http://www.j3logistics.in/,4.9,,"No.3A/431D Indhra Nagar, to, near Opposite Lane, FCI Godown, Thoothukudi, Tamil Nadu 628008",FCI Godown,8.7836229,78.1092244,ChIJad6XhL3vAzsRKrCYXgwDmrs,https://www.google.com/maps/place/?q=place_id:ChIJad6XhL3vAzsRKrCYXgwDmrs,part_266,2026-09-20 19:01:59,2975
KNT LOGISTICS & TRAVELS,Logistics and Transport Services,Bus company,"Bus company, Logistics service",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 70109 17352,http://knttravels.com/,5.0,,"132/D, Bye Pass, Inam Maniyachi, Tamil Nadu 628502",Inam Maniyachi,9.1691411,77.8494376,ChIJQ_pzdQ-yBjsRGFJ-NQhfPLU,https://www.google.com/maps/place/?q=place_id:ChIJQ_pzdQ-yBjsRGFJ-NQhfPLU,part_266,2026-09-20 19:01:59,2976
SSS Transport Service,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 95003 31598,N/A,4.2,,"Proper Street, 10/1, Keela, Shanmugapuram, Thoothukudi, Tamil Nadu 628001","Keela, Shanmugapuram",8.8001458,78.1486044,ChIJsSoiuODvAzsRo6q4DwswHC0,https://www.google.com/maps/place/?q=place_id:ChIJsSoiuODvAzsRo6q4DwswHC0,part_266,2026-09-20 19:01:59,2977
DANIEL TRANSPORT,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 93459 95941,http://danieltransport.in/,4.9,,"537/2, MRJ COMPLEX, DIAMOND COLONY, Thoothukudi, Tamil Nadu 628008",Madathur,8.786982,78.10554189999999,ChIJx-md9aXxAzsReIfcsmlzl5w,https://www.google.com/maps/place/?q=place_id:ChIJx-md9aXxAzsReIfcsmlzl5w,part_266,2026-09-20 19:01:59,2978
MARIATHANGAM TRANSPORT,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 82204 93589,N/A,4.8,,"628008, Udumalapetai, Madathur, Thoothukudi, Tamil Nadu 628008","Udumalapetai, Madathur",8.8032258,78.0965691,ChIJ_____xbwAzsRcKdm8Pv0f84,https://www.google.com/maps/place/?q=place_id:ChIJ_____xbwAzsRcKdm8Pv0f84,part_266,2026-09-20 19:01:59,2979
GMB & CO,Logistics and Transport Services,Logistics service,Logistics service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94891 10001,http://gmbandco.com/#home,4.7,,"107J/79-50B-1, Palayamkottai Rd, opp. Roopavathi Kalyana Mahal, Millerpuram, Millerpuram West, Sinnamani Nagar, Thoothukudi, Tamil Nadu 628008","Millerpuram, Millerpuram West, Sinnamani Nagar",8.7998094,78.1258199,ChIJMblNs97vAzsR_G6062yzEjg,https://www.google.com/maps/place/?q=place_id:ChIJMblNs97vAzsR_G6062yzEjg,part_266,2026-09-20 19:01:59,2980
DRL LOGISTICS PVT LTD.,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94890 60932,http://www.drllogistics.com/,3.0,,"#Kadalaikar street, Indira Nagar, Kovilpatti, Tamil Nadu 628502",Indira Nagar,9.170311,77.861802,ChIJtZUJ8HKyBjsR_Mqthq8Xo0o,https://www.google.com/maps/place/?q=place_id:ChIJtZUJ8HKyBjsR_Mqthq8Xo0o,part_266,2026-09-20 19:01:59,2981
Cargo Care Logistics,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 461 400 1046,https://cargocare.in/contactus.htm,3.0,,"11th St, Toovipuram, Thoothukudi, Tamil Nadu 628001",Toovipuram,8.8065147,78.1351821,ChIJN_u2opTvAzsRFsAT4GkEEf8,https://www.google.com/maps/place/?q=place_id:ChIJN_u2opTvAzsRFsAT4GkEEf8,part_266,2026-09-20 19:01:59,2982
Krishya Logistics LLP,Logistics and Transport Services,Logistics service,Logistics service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 97510 61999,https://krishya.co/,4.0,,"3rd floor,VVD mahal, 181 C, Palayamkottai Rd, Thoothukudi, Tamil Nadu 628001",Toovipuram,8.7997258,78.1338257,ChIJGX8pgErvAzsRW0Y20E5jEu4,https://www.google.com/maps/place/?q=place_id:ChIJGX8pgErvAzsRW0Y20E5jEu4,part_266,2026-09-20 19:01:59,2983
Thangakani Transport -Thoothukudi,Logistics and Transport Services,Transportation service,"Transportation service, Courier service",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 81240 83119,http://www.tktrans.com/,3.6,,"38a, Jeyaraj Rd, Meenakshipuram West, Meenakshipuram, Thoothukudi, Tamil Nadu 628001","Meenakshipuram West, Meenakshipuram",8.8062986,78.1390021,ChIJyfjAG5TvAzsRTIu1mglZPVs,https://www.google.com/maps/place/?q=place_id:ChIJyfjAG5TvAzsRTIu1mglZPVs,part_266,2026-09-20 19:01:59,2984
Kamatchi transport,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,,"V479+Q3, Thoothukudi, Pudur Pandiyapuram, Tamil Nadu 628002",628716,8.8644584,78.1177323,ChIJZyXevOPlAzsRcGZoGx01_No,https://www.google.com/maps/place/?q=place_id:ChIJZyXevOPlAzsRcGZoGx01_No,part_266,2026-09-20 19:01:59,2985
Sri Shiva Lorry Booking Service,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 98652 52093,N/A,4.4,,"2/122A/1, Madural Bye -Pass Road, Opposite Sipcot, St John office, Thoothukudi, Tamil Nadu 628008",Eazhumalayan Nagar,8.7989265,78.0907314,ChIJIShutT_wAzsRxKFRXNJp_hM,https://www.google.com/maps/place/?q=place_id:ChIJIShutT_wAzsRxKFRXNJp_hM,part_266,2026-09-20 19:01:59,2986
VRL Logistics Ltd - Kovilpatti,Logistics and Transport Services,Logistics service,"Logistics service, Courier service, Freight Forwarding Agency, Transportation service, Trucking company",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 1800 599 7800,https://vrlgroup.in/vrl_logistics_service.aspx,3.5,,"26/A-15, Ettayapuram Rd, near Voc School, Jothi Nagar, Kovilpatti, Tamil Nadu 628501",Jothi Nagar,9.1741575,77.8772865,ChIJJ1VVVQmyBjsRQnsHECDPh4o,https://www.google.com/maps/place/?q=place_id:ChIJJ1VVVQmyBjsRQnsHECDPh4o,part_266,2026-09-20 19:01:59,2987
Velavan Transport,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,4.7,,"Q4P4+MCV, Unnamed Road, Madathur, Thoothukudi, Tamil Nadu 628008",Madathur,8.786745,78.10604289999999,ChIJaQRmwUrxAzsRITaxHE9UqEo,https://www.google.com/maps/place/?q=place_id:ChIJaQRmwUrxAzsRITaxHE9UqEo,part_266,2026-09-20 19:01:59,2988
MSA Shipping (PVT) LTD,Logistics and Transport Services,Shipping service,Shipping service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 461 404 9326,https://www.msashipping.com/,4.5,,"MSA Shippng (PVT) LTD, 118 H & I First Floor, S Raja St, Thoothukudi, Tamil Nadu 628001",Matha Koil,8.8024544,78.1570614,ChIJTcwtrQrvAzsRHSEnwvMbiHk,https://www.google.com/maps/place/?q=place_id:ChIJTcwtrQrvAzsRHSEnwvMbiHk,part_266,2026-09-20 19:01:59,2989
Amutha South India Lorry Booking Office,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 461 234 6354,N/A,3.7,,"3/127-A1, Ettayapuram Road, Mappilaiurani, Tamil Nadu 628002",Jothi Nagar,8.8380155,78.12536639999999,ChIJ64jtNUTlAzsR6LzEZepBRWA,https://www.google.com/maps/place/?q=place_id:ChIJ64jtNUTlAzsR6LzEZepBRWA,part_266,2026-09-20 19:01:59,2990
FREEDOM SHIPPING AGENCY,Logistics and Transport Services,Logistics service,Logistics service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 98943 33117,https://freedomshipping.in/,4.6,,"2G/117A, Kokkur Rd, Rajiv Nager, West, Thoothukudi, Tamil Nadu 628008","Rajiv Nager, West",8.797870999999999,78.1178379,ChIJJ050T9zvAzsRj42s73jrOgA,https://www.google.com/maps/place/?q=place_id:ChIJJ050T9zvAzsRj42s73jrOgA,part_266,2026-09-20 19:01:59,2991
Vilsons Shipping PVT. LTD.,Logistics and Transport Services,Shipping service,Shipping service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 461 232 5187,https://www.vilsonsshipping.com/,4.5,,"39,Vilsons House, S Emperor St, Thoothukudi, Tamil Nadu 628001",Matha Koil,8.802834899999999,78.1560676,ChIJIQHz-J_vAzsRwoKpllI3Wd8,https://www.google.com/maps/place/?q=place_id:ChIJIQHz-J_vAzsRwoKpllI3Wd8,part_266,2026-09-20 19:01:59,2992
R R Parcel Service H.O,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99945 86792,N/A,3.9,,"Ilayarasanendal Road, Mahalakshmi Nagar, Kovilpatti, Alampatti, Tamil Nadu 628502",Mahalakshmi Nagar,9.182266799999999,77.8589417,ChIJaVpmUhWyBjsRqo-QIq0NdMU,https://www.google.com/maps/place/?q=place_id:ChIJaVpmUhWyBjsRqo-QIq0NdMU,part_266,2026-09-20 19:01:59,2993
PRIYANGA TRANSPORT,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 93615 54849,N/A,4.8,15.0,"R4V4+7MG, Jothi Nagar, Thoothukudi, Tamil Nadu 628002",Jothi Nagar,8.8431917,78.1067064,ChIJY0Zq02X7AzsRebUaLTf7NrY,https://www.google.com/maps/place/?q=place_id:ChIJY0Zq02X7AzsRebUaLTf7NrY,part_266,2026-09-20 19:02:00,2994
Happy Logistics Private Limited,Logistics and Transport Services,Logistics service,"Logistics service, Shipping service",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 461 234 5468,http://www.happylogistics.in/,4.7,7.0,"4/164 F8/9, KTC Nagar North, State Bank Colony Main Road, Thoothukudi, Tamil Nadu 628002","State Bank Colony, KTC Nagar",8.818945,78.13658,ChIJX1W9nYvvAzsR9yLsnMTjdK8,https://www.google.com/maps/place/?q=place_id:ChIJX1W9nYvvAzsR9yLsnMTjdK8,part_266,2026-09-20 19:02:00,2995
Macsons Shipping Agencies,Logistics and Transport Services,Shipping service,"Shipping service, Freight Forwarding Agency",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 461 230 1444,http://www.macsonshipping.com/,4.7,7.0,"First Floor, 1 A, 1, Manal St, Matha Koil, Thoothukudi, Tamil Nadu 628001",Matha Koil,8.8013674,78.1560981,ChIJrZxVUnXvAzsRMyNZWnLKxkU,https://www.google.com/maps/place/?q=place_id:ChIJrZxVUnXvAzsRMyNZWnLKxkU,part_266,2026-09-20 19:02:01,2996
SRI SOMU Lorry Booking Office,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 93605 68885,N/A,3.7,19.0,"4/9, Ettayapuram Rd, Muthammal Colony, Thoothukudi, Tamil Nadu 628002",Muthammal Colony,8.8255803,78.12993519999999,ChIJiTdjG1_lAzsRueM1pfrnIik,https://www.google.com/maps/place/?q=place_id:ChIJiTdjG1_lAzsRueM1pfrnIik,part_266,2026-09-20 19:02:01,2997
Machado Sons Pvt Ltd,Logistics and Transport Services,Shipping service,Shipping service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,http://www.machadosons.com/,4.8,13.0,"Q53M+PQ9, Harbour Estate, Tuticorin Beach Road Salt Pans, Muttayyapuram, Tamil Nadu 628004","Harbour Estate, Tuticorin Beach Road Salt Pans",8.7542946,78.18447599999999,ChIJ48P5A7zuAzsR5rEXiObZLN0,https://www.google.com/maps/place/?q=place_id:ChIJ48P5A7zuAzsR5rEXiObZLN0,part_266,2026-09-20 19:02:01,2998
Sri Santhanam Transport,Logistics and Transport Services,Transportation service,Transportation service,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,,,"NO 2P, 2, Muthukrishna Nagar, Thoothukudi, Tamil Nadu 628008",Muthukrishna Nagar,8.8029982,78.1335823,ChIJ3zbOMpPvAzsRTRGO-Ib49S0,https://www.google.com/maps/place/?q=place_id:ChIJ3zbOMpPvAzsRTRGO-Ib49S0,part_266,2026-09-20 19:02:01,2999
EasyWay Logistics,Logistics and Transport Services,Logistics service,"Logistics service, Customs broker, Customs consultant, Freight Forwarding Agency, Shipping service, Transportation service, Warehouse",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99400 92997,https://easywaylogistics.net/,4.0,38.0,"Boys Hr. Sec. School, New No: 192, Old No: 237, Second Floor, Thambu Chetty Street Mannady, opp. Muthialpet, Landmark:, Chennai, Tamil Nadu 600001","Mannadi, Landmark:",13.0959369,80.2893794,ChIJjQAAEFJvUjoRqAYnM-BWS-s,https://www.google.com/maps/place/?q=place_id:ChIJjQAAEFJvUjoRqAYnM-BWS-s,part_266,2026-09-20 19:02:01,3000
South Ocean Logistics Pvt Ltd,Logistics and Transport Services,Logistics service,Logistics service,628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",+91 461 232 7835,http://www.southoceanlogisticspvtltd.com/,5.0,5.0,"106K/7, Palayamkottai Rd, Chinnamani nagar, 1st Street, West, Thoothukudi, Tamil Nadu 628002","Chinnamani nagar, 1st Street, West",8.8112955,78.131795,ChIJC72MIhjvAzsRSpCAIc2tmzE,https://www.google.com/maps/place/?q=place_id:ChIJC72MIhjvAzsRSpCAIc2tmzE,part_266,2026-09-20 19:02:41,7928
Best N Care Relocation And Logistics,Logistics and Transport Services,Moving and storage service,Moving and storage service,628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",+91 62607 23395,https://www.bestncare.com/,4.9,,"Lift and Shift, Shop No 14, 1st Floor, Ring Rd Number 2, Gondwara Basti, Raipur, Chhattisgarh 492099",Gondwara Basti,21.2776826,81.6015058,ChIJYz8RJM7hKDoRQBQJosvMSoY,https://www.google.com/maps/place/?q=place_id:ChIJYz8RJM7hKDoRQBQJosvMSoY,part_266,2026-09-20 19:02:42,7929
Best Logistics Solutions,Logistics and Transport Services,Logistics service,"Logistics service, Transportation service",628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",N/A,http://www.bestlogistics.co.in/,5.0,,"2nd Floor, 47A/81, Arcot Rd, United India Colony, Kodambakkam, Chennai, Tamil Nadu 600024","United India Colony, Kodambakkam",13.0532214,80.22428839999999,ChIJK5wsyPNmUjoRzdFrZnyL4Ag,https://www.google.com/maps/place/?q=place_id:ChIJK5wsyPNmUjoRzdFrZnyL4Ag,part_266,2026-09-20 19:02:42,7930
