business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mangal MALL,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 95007 04447,N/A,3.9,,"169, Palayamkottai Rd, Mani Nagar, Toovipuram, Thoothukudi, Tamil Nadu 628001","Mani Nagar, Toovipuram",8.8008171,78.13579519999999,ChIJsakzwL_vAzsRet8RK6FraPg,https://www.google.com/maps/place/?q=place_id:ChIJsakzwL_vAzsRet8RK6FraPg,part_266,2026-09-20 19:02:23,6774
Harbour Shopping Centre,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,4.0,,"Q52C+X3C, Harbour Estate, Tuticorin Beach Road Salt Pans, Thoothukudi, Muttayyapuram, Tamil Nadu 628004","Harbour Estate, Tuticorin Beach Road Salt Pans",8.7524432,78.1701405,ChIJCeNmQpHuAzsR6VVNEe0iMkc,https://www.google.com/maps/place/?q=place_id:ChIJCeNmQpHuAzsR6VVNEe0iMkc,part_266,2026-09-20 19:02:23,6775
Perison Plaza,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,4.8,,"R47Q+35W, Sixty Feet Road, Polpettai East, Thoothukudi, Tamil Nadu 628002",Polpettai East,8.812735499999999,78.13795929999999,ChIJHcMiMQDvAzsR5GVXtDvi0Ok,https://www.google.com/maps/place/?q=place_id:ChIJHcMiMQDvAzsR5GVXtDvi0Ok,part_266,2026-09-20 19:02:23,6776
Tuticorin Corporation Shopping Mall Complex - தூத்துக்குடி மாநகராட்சி பேரங்காடி,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 461 232 6901,http://www.thoothukudicorporation.org/,5.0,,"Q4XM+39Q, Subbiah Puram, Thoothukudi, Tamil Nadu 628008",Subbiah Puram,8.797753499999999,78.1334748,ChIJFaAsewDvAzsRxQEUk7WyQ4E,https://www.google.com/maps/place/?q=place_id:ChIJFaAsewDvAzsRxQEUk7WyQ4E,part_266,2026-09-20 19:02:23,6777
JK Complex,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,,"4RQC+J7C, Puliyangudi - Sankarankoil - Kalugumalai - Nalatinputhur Rd, Nallatinputhur, Tamil Nadu 628716",628716,9.1390582,77.8206422,ChIJuyH6JmGvBjsR7aCm0R-exE4,https://www.google.com/maps/place/?q=place_id:ChIJuyH6JmGvBjsR7aCm0R-exE4,part_266,2026-09-20 19:02:23,6778
THE MARINA MALL CHENNAI,Malls,Shopping mall,"Shopping mall, Hypermarket, Outlet mall",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 44 4017 3017,http://marinamallchennai.com/,4.4,,"13/1A, Old Mahabalipuram Road, Egattur, Tamil Nadu 600130",628716,12.8357358,80.2289203,ChIJnVDT015aUjoRu54JL1yNulE,https://www.google.com/maps/place/?q=place_id:ChIJnVDT015aUjoRu54JL1yNulE,part_266,2026-09-20 19:02:23,6779
SM STORES,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 4632 248 919,N/A,4.8,,"4QVP+GVH, Vanaramutti, Tamil Nadu 628716",628716,9.1438116,77.7872417,ChIJXaUuacyvBjsRk4xlOeObN90,https://www.google.com/maps/place/?q=place_id:ChIJXaUuacyvBjsRk4xlOeObN90,part_266,2026-09-20 19:02:24,6780
"Max - Tuticorin, WGC Road",Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 97917 11929,https://stores.maxfashion.in/max-tuticorin-wgc-road-wgc-road-tuticorin-shopping-centre-wgc-road-thoothukudi-462403/Home?utm_source=locator&utm_medium=googleplaces,4.1,,"360 Palayamkottai Road, West Great Cotton Road, next to GRT Jewellers, Thoothukudi, Tamil Nadu 628002",628716,8.804898,78.14439899999999,ChIJm4rP1qHvAzsRMIbA-Tttagw,https://www.google.com/maps/place/?q=place_id:ChIJm4rP1qHvAzsRMIbA-Tttagw,part_266,2026-09-20 19:02:24,6781
PROZONE MALL,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 87782 10040,https://coimbatore.prozonemalls.com/,4.3,,"SF 201, Sivanandapuram, Sathy Rd, Coimbatore, Tamil Nadu 641035",Saravanampatti,11.0550789,76.9943212,ChIJV2BtTjlZqDsRDHv4x8aqAB0,https://www.google.com/maps/place/?q=place_id:ChIJV2BtTjlZqDsRDHv4x8aqAB0,part_266,2026-09-20 19:02:24,6782
Nexus Vijaya Mall,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 44 4904 9000,https://www.nexusselecttrust.com/nexus-vijaya,4.4,,"3rd Floor, 183, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026",Vadapalani,13.0498937,80.2095018,ChIJO5xPCMJmUjoR8HZdxJxiuVQ,https://www.google.com/maps/place/?q=place_id:ChIJO5xPCMJmUjoR8HZdxJxiuVQ,part_266,2026-09-20 19:02:24,6783
Krishnasamy,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,3.0,,"2RH9+WG3, Vagaithavoor, Tamil Nadu 628716",628716,9.029767999999999,77.818789,ChIJxezIAp6pBjsRHDTpzSKkqUc,https://www.google.com/maps/place/?q=place_id:ChIJxezIAp6pBjsRHDTpzSKkqUc,part_266,2026-09-20 19:02:24,6784
Gopi Stores,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,,,"4RQC+943, west street, nalatinputtur, Kovilpatti, Nallatinputhur, Tamil Nadu 628716",nalatinputtur,9.1383867,77.82030139999999,ChIJb2raKyyvBjsR2vzVMhbFzRQ,https://www.google.com/maps/place/?q=place_id:ChIJb2raKyyvBjsR2vzVMhbFzRQ,part_266,2026-09-20 19:02:24,6785
Brookefields Mall,Malls,Shopping mall,"Shopping mall, E-bike charging station, Electric vehicle charging station, Electronics store, Fast food restaurant, Food court, Movie theater, Nail salon",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,https://brookefields.com/,4.4,,"67-71, Dr Krishnasamy Mudaliyar Rd, Brookefields, Sukrawar Pettai, Ram Nagar, Coimbatore, Tamil Nadu 641001","Brookefields, Sukrawar Pettai, Ram Nagar",11.0092555,76.95905549999999,ChIJk77LXQFZqDsRjqV8WArUzkg,https://www.google.com/maps/place/?q=place_id:ChIJk77LXQFZqDsRjqV8WArUzkg,part_266,2026-09-20 19:02:24,6786
LuLu International Shopping Mall,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 484 272 7776,https://www.kochi.lulumall.in/,4.6,,"34/1000, Old NH 47, Edappally Junction, Nethaji Nagar, Edappally, Kochi, Ernakulam, Keralam 682024","Edappally Junction, Nethaji Nagar, Edappally",10.0271556,76.3082302,ChIJv4PRvq8NCDsRfqMTuhbzUVk,https://www.google.com/maps/place/?q=place_id:ChIJv4PRvq8NCDsRfqMTuhbzUVk,part_266,2026-09-20 19:02:24,6787
VR Chennai,Malls,Shopping mall,"Shopping mall, Movie theater",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 44 6670 5555,http://vrchennai.com/,4.5,,"Jawaharlal Nehru Salai, Thirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040","Thirumangalam, Anna Nagar",13.080675699999999,80.1969268,ChIJ7yuIvgJkUjoREGdtAUU_L60,https://www.google.com/maps/place/?q=place_id:ChIJ7yuIvgJkUjoREGdtAUU_L60,part_266,2026-09-20 19:02:24,6788
Express Avenue,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,https://expressavenue.in/,4.4,,"17, Pattullos Rd, Express Estate, Thousand Lights, Chennai, Tamil Nadu 600014","Express Estate, Thousand Lights",13.0584546,80.26418439999999,ChIJcUUknJpdUjoRS1Okt6ChlYc,https://www.google.com/maps/place/?q=place_id:ChIJcUUknJpdUjoRS1Okt6ChlYc,part_266,2026-09-20 19:02:24,6789
Mantri Square Mall,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 80 3016 0000,http://www.mantrisquare.com/,4.4,,"1, Sampige Rd, near Central bus stop, Malleshwaram, Bengaluru, Karnataka 560003",Malleshwaram,12.9916302,77.5711719,ChIJoRKfACMWrjsRrWqiP9PBT5Y,https://www.google.com/maps/place/?q=place_id:ChIJoRKfACMWrjsRrWqiP9PBT5Y,part_266,2026-09-20 19:02:24,6790
Fun Republic Mall,Malls,Shopping mall,Shopping mall,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 95132 44317,https://www.funrepublic.in/coimbatore.php,4.0,,"Avinashi Rd, next to PSG Tech, Peelamedu, Coimbatore, Tamil Nadu 641004",Peelamedu,11.0247072,77.0106034,ChIJ7f-XZqlXqDsR1S75cQh7b-8,https://www.google.com/maps/place/?q=place_id:ChIJ7f-XZqlXqDsR1S75cQh7b-8,part_266,2026-09-20 19:02:24,6791
