business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GEETHA STORE,Provision Store,General store,"General store, Indian grocery store",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94423 57210,N/A,4.8,12.0,"main road, Nallatinputhur, Tamil Nadu 628503",628716,9.1424963,77.8313367,ChIJbSjcoA2vBjsR79cnAnr7J-w,https://www.google.com/maps/place/?q=place_id:ChIJbSjcoA2vBjsR79cnAnr7J-w,part_266,2026-09-20 19:01:41,321
VENKATESHWARA STOR,Provision Store,General store,General store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,1.0,"5/621-T59, Krishna Nagar Rd, Krishna Nagar, Alampatti II, Tamil Nadu 628503",Krishna Nagar,9.158737,77.85187839999999,ChIJO7sIOACtBjsRusCzAAE7qG0,https://www.google.com/maps/place/?q=place_id:ChIJO7sIOACtBjsRusCzAAE7qG0,part_266,2026-09-20 19:01:41,322
Sri Vignesh Store,Provision Store,Grocery store,"Grocery store, General store, Store",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 63746 63260,N/A,4.3,16.0,"Dhayal Complex, 83 M, Manthithoppu Rd, Thirumangai Nagar, Pandavarmangalam, Tamil Nadu 628502",Thirumangai Nagar,9.1640902,77.8653837,ChIJ5Y6f-ZezBjsRpNq_Zl5ygUo,https://www.google.com/maps/place/?q=place_id:ChIJ5Y6f-ZezBjsRpNq_Zl5ygUo,part_266,2026-09-20 19:01:41,323
Annai Stores,Provision Store,Grocery store,"Grocery store, General store, Greengrocer",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 93603 12145,N/A,4.1,14.0,"Thonugal Vilakku, Sabalaipathur, NH7 Salaipudur, Tirunelveli, Tamil Nadu 628502",628716,9.163051,77.8480197,ChIJJS842AeyBjsRe1DMY1B8Qkg,https://www.google.com/maps/place/?q=place_id:ChIJJS842AeyBjsRe1DMY1B8Qkg,part_266,2026-09-20 19:01:41,324
PRS DEPARTMENT STORE,Provision Store,Grocery store,Grocery store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 63748 74492,N/A,4.7,18.0,"No 25, Pattarai Stop, Nallatinputhur, Tamil Nadu 628716",628716,9.1387906,77.8223347,ChIJuxeXoDOvBjsR_LAp0kBZ06c,https://www.google.com/maps/place/?q=place_id:ChIJuxeXoDOvBjsR_LAp0kBZ06c,part_266,2026-09-20 19:01:41,325
murugan Store,Provision Store,Grocery store,"Grocery store, General store",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 98423 56545,N/A,5.0,2.0,"Murugan Store, 664, Bye Pass East, Inam Maniyachi, Tuticorin, Inam Maniyachi, Tamil Nadu 628502",Inam Maniyachi,9.1737512,77.8515572,ChIJZ8DDBO2zBjsRZLeZECUKL6s,https://www.google.com/maps/place/?q=place_id:ChIJZ8DDBO2zBjsRZLeZECUKL6s,part_266,2026-09-20 19:01:41,326
Amali Store,Provision Store,General store,General store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,4.3,7.0,"625, Market Rd, Kovilpatti, Thoothukudi, Tamil Nadu 628501",628716,9.1758917,77.8688571,ChIJrYpdBW-yBjsRZreMTnuVDrs,https://www.google.com/maps/place/?q=place_id:ChIJrYpdBW-yBjsRZreMTnuVDrs,part_266,2026-09-20 19:01:41,327
MITHRA STORE,Provision Store,Grocery store,"Grocery store, General store",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99443 18035,N/A,4.6,5.0,"184/13h6, Nadarajapuram, Tuticorin, Kovilpatti, Tamil Nadu 628501",Nadarajapuram,9.174866,77.8679264,ChIJZQ-DAq6zBjsR4BBH4_wiUes,https://www.google.com/maps/place/?q=place_id:ChIJZQ-DAq6zBjsR4BBH4_wiUes,part_266,2026-09-20 19:01:41,328
Ganesh Store,Provision Store,General store,"General store, Rice wholesaler",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 97879 01667,N/A,5.0,1.0,"Ganesh Nagar, Manthithoppu, Tamil Nadu 628503",Ganesh Nagar,9.1506701,77.8545807,ChIJB78OFG-yBjsRrzRvmVwvCYw,https://www.google.com/maps/place/?q=place_id:ChIJB78OFG-yBjsRrzRvmVwvCYw,part_266,2026-09-20 19:01:41,329
Kalaivani store,Provision Store,Indian grocery store,Indian grocery store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,5.0,"37/2, Mandapam Street, Mudukkumeendanpatti, Nalattinputhur Post, Tamil Nadu 628503",628716,9.141442999999999,77.8186857,ChIJNxXFbgWvBjsR1wY_AZ2jvog,https://www.google.com/maps/place/?q=place_id:ChIJNxXFbgWvBjsR1wY_AZ2jvog,part_266,2026-09-20 19:01:41,330
Edaiseval,Provision Store,General store,General store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99943 78950,N/A,3.7,31.0,"3RQ3+6JX, Idaiseval Part I, Tamil Nadu 628716",628716,9.087264099999999,77.8039728,ChIJF9WmCQ2vBjsRXjI8zNaq04I,https://www.google.com/maps/place/?q=place_id:ChIJF9WmCQ2vBjsRXjI8zNaq04I,part_266,2026-09-20 19:01:41,331
UDHAYAM STORE,Provision Store,General store,General store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 93844 32639,N/A,4.5,2.0,"BGLS COMPLEX, Manthithoppu Rd, Thirumangai Nagar, Kovilpatti, Tamil Nadu 628502",Thirumangai Nagar,9.1657501,77.8656946,ChIJ5RaQp9OzBjsRUQNo18-4xDI,https://www.google.com/maps/place/?q=place_id:ChIJ5RaQp9OzBjsRUQNo18-4xDI,part_266,2026-09-20 19:01:41,332
Suriya store,Provision Store,General store,"General store, Stationery store",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 79041 65621,N/A,,,"Nallatinputhur, Kovilpatti, Tamil Nadu 628503",628716,9.1477466,77.83090849999999,ChIJH9jlrNavBjsRNQmN125L16w,https://www.google.com/maps/place/?q=place_id:ChIJH9jlrNavBjsRNQmN125L16w,part_266,2026-09-20 19:01:41,333
ராமமூர்த்தி ஸ்டோர்,Provision Store,Grocery store,Grocery store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,4.5,2.0,"West Street, Cithamparampatti, Tamil Nadu 628716",628716,9.0725645,77.7548044,ChIJxTfxr3mvBjsRs7nP7hEabKQ,https://www.google.com/maps/place/?q=place_id:ChIJxTfxr3mvBjsRs7nP7hEabKQ,part_266,2026-09-20 19:01:41,334
