business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GB Architects,Architects,Architect,"Architect, Architectural designer, Architecture firm",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 78456 60813,http://gbarchitech.com/,4.9,30.0,"JRK Fancy Store, 27/2 Bala Vinayagar Kovil Street, Gin Factory Rd, opposite to Poorvika, Thoothukudi, Tamil Nadu 628002",Dhamodhara Nagar,8.8036228,78.1425857,ChIJ5Y_gzm7vAzsR8S1ELQzLO9I,https://www.google.com/maps/place/?q=place_id:ChIJ5Y_gzm7vAzsR8S1ELQzLO9I,part_266,2026-09-20 19:02:03
Shri Mani Architects,Architects,Architecture firm,Architecture firm,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 82200 84077,https://www.instagram.com/shrimani_architects/,5.0,17.0,"371, VE Rd, Rathna Colony, Thoothukudi, Tamil Nadu 628001",Rathna Colony,8.8023312,78.1455381,ChIJ45MccwfvAzsRhlfcZ6Z86Eg,https://www.google.com/maps/place/?q=place_id:ChIJ45MccwfvAzsRhlfcZ6Z86Eg,part_266,2026-09-20 19:02:03
Ctrl+A,Architects,Architecture firm,"Architecture firm, Architectural designer, Real Estate Builders & Construction Company, Interior architect office",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 98948 30965,https://ctrlplusa.in/,4.9,37.0,"26/1F, Polepettai East, near Sree Arunachalam Manickavel Mahal, Thoothukudi, Tamil Nadu 628002",Polpettai East,8.8096363,78.14115679999999,ChIJ-7mAGcTvAzsRKy1EiwQrVk8,https://www.google.com/maps/place/?q=place_id:ChIJ-7mAGcTvAzsRKy1EiwQrVk8,part_266,2026-09-20 19:02:03
Aakash Architects & Constructions,Architects,Architect,"Architect, Architecture firm, Architectural designer, Building designer, Real Estate Builders & Construction Company, Interior architect office, Interior designer, Landscape architect",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94891 20633,https://www.instagram.com/aakash_constructions,5.0,10.0,"2nd St, near Kamaraj College, Muniyasamy Puram, Thoothukudi, Tamil Nadu 628003",Muniyasamy Puram,8.7926314,78.13933899999999,ChIJc6Nqh3fvAzsR_VBcLCy7mK4,https://www.google.com/maps/place/?q=place_id:ChIJc6Nqh3fvAzsR_VBcLCy7mK4,part_266,2026-09-20 19:02:03
PJM ARCHITECTS,Architects,Architect,"Architect, Architecture firm, Architectural designer, Bathroom remodeler, Building designer, Real Estate Builders & Construction Company, Home builder, Interior architect office, Interior designer, Kitchen remodeler",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 96005 46548,N/A,4.5,11.0,"WONDER PLAZA, 149/7, Ayyappan Nagar 1st St, POLPETTAI, 4TH GATE, Thoothukudi, Tamil Nadu 628001","POLPETTAI, 4TH GATE",8.8101308,78.1337609,ChIJmySrKxPvAzsRdOioE11M1IU,https://www.google.com/maps/place/?q=place_id:ChIJmySrKxPvAzsRdOioE11M1IU,part_266,2026-09-20 19:02:03
MYN Architects,Architects,Architecture firm,Architecture firm,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 95977 67574,http://mynarchitect.com/,5.0,21.0,"Ettayapuram Rd, opposite of VOC school, Puthukiramam, Kovilpatti, Tamil Nadu 628501",Puthukiramam,9.1747633,77.87735049999999,ChIJKeFcoweyBjsRF-wrOfhoVhA,https://www.google.com/maps/place/?q=place_id:ChIJKeFcoweyBjsRF-wrOfhoVhA,part_266,2026-09-20 19:02:03
Velayutham architects and builders,Architects,Architecture firm,Architecture firm,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 98949 03584,http://velayuthambuilders.com/,5.0,6.0,"Kovilpatti-Ottapidaram-Pudukottai-Eral-Mukkani Rd, Pudukottai, Tamil Nadu 628103",628716,8.7427543,78.05648049999999,ChIJo33IHo3xAzsRWcXOwqCEw_0,https://www.google.com/maps/place/?q=place_id:ChIJo33IHo3xAzsRWcXOwqCEw_0,part_266,2026-09-20 19:02:03
VEE HOME PLANS AND DESIGNS,Architects,Architect,Architect,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 97152 65676,N/A,5.0,37.0,"G2, ANUSIYA COMPLEX, ELAIYARAMPANNAI ROAD, Kovilpatti, Palaya Appaneri, Tamil Nadu 628501",628716,9.1898273,77.8522199,ChIJNT--cNmzBjsRTUyzGCFgxcc,https://www.google.com/maps/place/?q=place_id:ChIJNT--cNmzBjsRTUyzGCFgxcc,part_266,2026-09-20 19:02:03
Shree Sai Architects,Architects,Architecture firm,Architecture firm,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 90804 45203,https://lingeshsaiarchitec.wixsite.com/website,4.8,5.0,"Kaliappar compound, New Rd, Kovilpatti, Tamil Nadu 628501",628716,9.175655299999999,77.8744222,ChIJgxqP59qzBjsR3VoMUiGJ3i0,https://www.google.com/maps/place/?q=place_id:ChIJgxqP59qzBjsR3VoMUiGJ3i0,part_266,2026-09-20 19:02:03
Aimax Interiors,Architects,Architect,"Architect, Interior designer, Architectural designer, Bathroom remodeler, Home builder, Interior architect office, Interior Decorator, Kitchen remodeler, Modular home builder, Wallpaper store",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 81220 10303,https://instagram.com/aimax.interiors?igshid=YmMyMTA2M2Y=,5.0,11.0,"No 16, Meenakshi Complex, Ilayanarasanenthal road, Nadarajapuram, Kovilpatti, Tamil Nadu 628502",Nadarajapuram,9.1800081,77.8632312,ChIJaZ0VrwqzBjsRuYyac0r6Sec,https://www.google.com/maps/place/?q=place_id:ChIJaZ0VrwqzBjsRuYyac0r6Sec,part_266,2026-09-20 19:02:03
