business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Akssha Beauty Parlour,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist, Beauty school, Bridal shop",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 91768 77257,http://aksshaparlour.com/,4.9,,"42-C, Toovipuram Main Rd, near Raj Theater, Toovipuram, Thoothukudi, Tamil Nadu 628001",Toovipuram,8.8032305,78.1361144,ChIJjTlZC5XvAzsRY2SgU5NuCiU,https://www.google.com/maps/place/?q=place_id:ChIJjTlZC5XvAzsRY2SgU5NuCiU,part_266,2026-09-20 19:02:05
UNIQUEEN BEAUTY SALON,Beauty Parlour,Beauty Parlour,Beauty Parlour,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 86673 97764,N/A,5.0,,"1st floor, 28/3, Sivanthakulam Main Road, Keelashanmugapuram, Thoothukudi, Tamil Nadu 628002","Keelashanmugapuram, Shanmugapuram",8.7991758,78.14763049999999,ChIJqZFkamXvAzsR2PpoFckRFI4,https://www.google.com/maps/place/?q=place_id:ChIJqZFkamXvAzsR2PpoFckRFI4,part_266,2026-09-20 19:02:05
SRI Kovilpatti makeup artist,Beauty Parlour,Make-up artist,Make-up artist,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 88382 59908,https://instagram.com/sri_kovilpattimua,5.0,,"1-st street,Anna Nagar West, Kathiresan Kovil Rd, near Aarthi Mahal, Kovilpatti, Tamil Nadu 628502","Venkatesh Nagar, Indira Nagar",9.168484,77.86103829999999,ChIJN51pNICzBjsRA8Tmdjer7xo,https://www.google.com/maps/place/?q=place_id:ChIJN51pNICzBjsRA8Tmdjer7xo,part_266,2026-09-20 19:02:05
Queen's beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 93602 99823,https://www.instagram.com/beauty_queen_bridal_designs?stkn=NjJmbHk4ZjAxcGFw,4.9,,"46, Bala Vinayagar street, Dhamodhara Nagar, Thoothukudi, Tamil Nadu 628001",Dhamodhara Nagar,8.8029212,78.1417481,ChIJd1WSIwDvAzsRjHdQX8_AveY,https://www.google.com/maps/place/?q=place_id:ChIJd1WSIwDvAzsRjHdQX8_AveY,part_266,2026-09-20 19:02:05
AnALAGU Beauty Parlour ‍ ️.,Beauty Parlour,Beauty Parlour,Beauty Parlour,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 73396 86961,https://www.instagram.com/alagu_beauty_academy_and_parlo?igsh=MTJpd2U2djVkMWtxMA==,5.0,,"Kanthasamy puram, opposite to St. Ann's Nursing College, near Chennai's biryani restaurant, State Bank Colony, KTC Nagar, Thoothukudi, Tamil Nadu 628002","State Bank Colony, KTC Nagar",8.8187528,78.1360302,ChIJ_64308XlAzsRDEb9DIoO1V0,https://www.google.com/maps/place/?q=place_id:ChIJ_64308XlAzsRDEb9DIoO1V0,part_266,2026-09-20 19:02:05
Gorgeous womens beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 86828 85059,N/A,5.0,,"45 d, Pasuvanthanai Rd, Jothi Nagar, Kovilpatti, Tamil Nadu 628501",Jothi Nagar,9.1715657,77.8716647,ChIJ1YaDt9mzBjsR4r98gxre4fY,https://www.google.com/maps/place/?q=place_id:ChIJ1YaDt9mzBjsR4r98gxre4fY,part_266,2026-09-20 19:02:05
Kanya Beauty Care,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Beautician, Beauty product supplier, Hairdresser",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 98423 69502,N/A,4.6,,"1, Bagam Priyal St, Thoothukudi, Tamil Nadu 628002",628716,8.8028133,78.14485979999999,ChIJbZ_jsZfvAzsRJJgmxBHEqgc,https://www.google.com/maps/place/?q=place_id:ChIJbZ_jsZfvAzsRJJgmxBHEqgc,part_266,2026-09-20 19:02:05
Naturals Salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Facial spa, Make-up artist, Nail salon, Hairdresser",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 95855 25030,https://salons.naturals.in/naturals-salon-beauty-salons-chidambara-nagar-tuticorin-307081/Home?utm_source=locator&utm_medium=googleplaces,4.6,,"1st Street, SSP Building, Street Number 1, opposite Sakthi Vinayakar School, Chidambara Nagar, Subbiah Puram, Thoothukudi, Tamil Nadu 628008","Chidambara Nagar, Subbiah Puram",8.797518199999999,78.1311643,ChIJPZ0J38DvAzsRZXpJ5TVNrGc,https://www.google.com/maps/place/?q=place_id:ChIJPZ0J38DvAzsRZXpJ5TVNrGc,part_266,2026-09-20 19:02:05
NANDHIKA BEAUTY PARLOUR & AESTHETICS,Beauty Parlour,Beauty Parlour,Beauty Parlour,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 87605 06100,N/A,4.9,,"5VCC+VM8, Kovilpatti, Tamil Nadu 628501",628716,9.1721693,77.8717022,ChIJjWIEOACzBjsRQTKZurV5Dqk,https://www.google.com/maps/place/?q=place_id:ChIJjWIEOACzBjsRQTKZurV5Dqk,part_266,2026-09-20 19:02:05
Vee Unique Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 89401 66565,N/A,4.8,,"No.97/1, 1th, Street, near Image Tailor, V.O.C. Nagar, Muthanandhapuram, Kovilpatti, Tamil Nadu 628502","V.O.C. Nagar, Muthanandhapuram",9.1738083,77.8655953,ChIJtaA3OVazBjsRTtCs_mR_wmQ,https://www.google.com/maps/place/?q=place_id:ChIJtaA3OVazBjsRTtCs_mR_wmQ,part_266,2026-09-20 19:02:06
Jefina Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99946 23400,N/A,4.6,84.0,"ADH Building, near Jothi Maaligai, Nazareth, Tamil Nadu 628617",628716,8.5626598,77.9726852,ChIJ87AgPCuKAzsRIvupLCaM3uA,https://www.google.com/maps/place/?q=place_id:ChIJ87AgPCuKAzsRIvupLCaM3uA,part_266,2026-09-20 19:02:07
Yadhavi Beauty Care& Training Centre,Beauty Parlour,Beauty Parlour,Beauty Parlour,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,1.0,"Nazareth Main Rd, Sathankulam, Tamil Nadu 628704",628716,8.445990799999999,77.9131194,ChIJ25Hvk254BDsRfOm9l3sJRHw,https://www.google.com/maps/place/?q=place_id:ChIJ25Hvk254BDsRfOm9l3sJRHw,part_266,2026-09-20 19:02:07
