business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gandhi Tea stall,Tea Stall / Chai Cafe,Cafe,Cafe,628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",+91 80564 59933,N/A,3.8,281.0,"P4WG+66G, Tuticorin Beach Road Salt Pans, Thoothukudi, Muttayyapuram, Tamil Nadu 628005",Tuticorin Beach Road Salt Pans,8.7455574,78.1255745,ChIJsXkepDDvAzsRw9M0HYqhuwE,https://www.google.com/maps/place/?q=place_id:ChIJsXkepDDvAzsRw9M0HYqhuwE,part_266,2026-09-20 19:02:28
Tea Stall,Tea Stall / Chai Cafe,Cafe,"Cafe, Tea store",628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",N/A,N/A,4.7,158.0,"Goabagan St, Manicktala, Hedua, Ward Number 16, Kolkata, West Bengal 700006","Manicktala, Hedua, Ward Number 16",22.5891198,88.37172819999999,ChIJ0WvarUJ3AjoRGpTvuuP0tQY,https://www.google.com/maps/place/?q=place_id:ChIJ0WvarUJ3AjoRGpTvuuP0tQY,part_266,2026-09-20 19:02:28
Cha t,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",N/A,N/A,3.8,16.0,"RJRV+RHQ, Neeladri Nagar, Electronic City Phase I, Electronic City, Doddathoguru, Karnataka 560100","Neeladri Nagar, Electronic City Phase I, Electronic City",12.8420743,77.6440003,ChIJ5_3qPRBrrjsRd3n8wfoHuGk,https://www.google.com/maps/place/?q=place_id:ChIJ5_3qPRBrrjsRd3n8wfoHuGk,part_266,2026-09-20 19:02:28
Tea Stalls,Tea Stall / Chai Cafe,Tea house,Tea house,628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",N/A,N/A,3.5,6.0,"5, 8, 1st Main Rd, TNHB Colony, Velachery, Chennai, Tamil Nadu 600042","TNHB Colony, Velachery",12.9738356,80.2196981,ChIJaUV4-IhdUjoRXdLTG7tiznE,https://www.google.com/maps/place/?q=place_id:ChIJaUV4-IhdUjoRXdLTG7tiznE,part_266,2026-09-20 19:02:28
Chai-cofi,Tea Stall / Chai Cafe,Restaurant,"Restaurant, Breakfast restaurant",628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",N/A,N/A,4.8,,"NH228, Magnad, Gujarat 392150",628718,22.0186861,72.8614391,ChIJ9aOwgYOZXzkRigIi9fD68ck,https://www.google.com/maps/place/?q=place_id:ChIJ9aOwgYOZXzkRigIi9fD68ck,part_266,2026-09-20 19:02:29
Tea Time,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",+91 78424 24646,N/A,4.2,,"32, Ettayapuram Rd, Tuticorin Melur, Shanmugapuram, Thoothukudi, Tamil Nadu 628002","Tuticorin Melur, Shanmugapuram",8.8059003,78.1441449,ChIJKXje-l7vAzsRoJDutIKmFlg,https://www.google.com/maps/place/?q=place_id:ChIJKXje-l7vAzsRoJDutIKmFlg,part_266,2026-09-20 19:02:29
Cha,Tea Stall / Chai Cafe,Tea house,"Tea house, Coffee shop",628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",N/A,N/A,4.1,,"HPV4+6RH, Nakki Lake, Aburaj, Rajasthan 307501",Nakki Lake,24.5930747,72.707122,ChIJlxp24oDVXDkRwHSKTp4rJYc,https://www.google.com/maps/place/?q=place_id:ChIJlxp24oDVXDkRwHSKTp4rJYc,part_266,2026-09-20 19:02:29
Suthan Tea Stall,Tea Stall / Chai Cafe,Tea store,Tea store,628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",+91 74016 29376,N/A,5.0,,"3/456, Theri Rd, Pudukottai, Tamil Nadu 628103",628718,8.7373281,78.04479529999999,ChIJqwNpQA7xAzsR8A0ACjo7wtk,https://www.google.com/maps/place/?q=place_id:ChIJqwNpQA7xAzsR8A0ACjo7wtk,part_266,2026-09-20 19:02:29
Cha ! It's A Cup Of Tea,Tea Stall / Chai Cafe,Cafe,"Cafe, Tea house",628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",+91 86557 86406,N/A,4.3,,"New Link Rd, Gaothan, Pushp Heritage, Mohan Nagar, Kandivali West, Mumbai, Maharashtra 400067","Gaothan, Pushp Heritage, Mohan Nagar, Kandivali West",19.2053051,72.8400824,ChIJjZdrOf635zsRZ_EGT19X020,https://www.google.com/maps/place/?q=place_id:ChIJjZdrOf635zsRZ_EGT19X020,part_266,2026-09-20 19:02:29
Tea Stall,Tea Stall / Chai Cafe,Tea store,Tea store,628718,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Pasuvandanai S.O, Achankulam B.O, Meenakshipuram B.O",+91 63974 27223,N/A,4.4,,"Shiv Ram Building, Gompa Rd, Siyal, Manali, Himachal Pradesh 175131",Siyal,32.2417942,77.1883253,ChIJeXSN3lSJBDkROc4l6dcNf8k,https://www.google.com/maps/place/?q=place_id:ChIJeXSN3lSJBDkROc4l6dcNf8k,part_266,2026-09-20 19:02:29
