business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
VEL STATIONERY,Bookstore and Stationery Shop,Stationery store,Stationery store,628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 63815 86617,N/A,5.0,1.0,"THAPASU MANDAPAM, 72B KIPSONPURAM, near by CHAKKRA ESSENCE MART, Thoothukudi, Tamil Nadu 628002",628722,8.805070599999999,78.14572749999999,ChIJ77KGQ2rvAzsROLy0tQhf6jM,https://www.google.com/maps/place/?q=place_id:ChIJ77KGQ2rvAzsROLy0tQhf6jM,part_266,2026-09-20 19:05:00
Kvk samy nagar,Bookstore and Stationery Shop,Book store,Book store,628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",N/A,N/A,4.5,14.0,"R4HM+HV9, Thalamuthu Nagar, Thoothukudi, Tamil Nadu 628002",Thalamuthu Nagar,8.8294714,78.13531499999999,ChIJ9aTe8yvlAzsRA-LxFof_5v4,https://www.google.com/maps/place/?q=place_id:ChIJ9aTe8yvlAzsRA-LxFof_5v4,part_266,2026-09-20 19:05:00
Book Mark,Bookstore and Stationery Shop,Book store,"Book store, Books Wholesaler",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 98850 98466,N/A,4.1,,"Plot # 107, opp. : Al Saba Restaurant, Sri Shyam Nagar, Telecom Nagar, Gachibowli, Hyderabad, Telangana 500032","Sri Shyam Nagar, Telecom Nagar, Gachibowli",17.4329554,78.3697163,ChIJVXOxOu6TyzsRybRHGTzysus,https://www.google.com/maps/place/?q=place_id:ChIJVXOxOu6TyzsRybRHGTzysus,part_266,2026-09-20 19:05:01
FRIENDS BOOK DEPOT & STATIONERS,Bookstore and Stationery Shop,Book store,"Book store, Office supply store, Stationery store",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",0300 8703001,N/A,4.1,,"7F8F+65C NEAR ELEMENTARY COLLEGE, Jail Road, Shahpur Saddar, 40600, Pakistan",628722,32.265136,72.4728751,ChIJz56rrTQSITkRdjsylv9hbfY,https://www.google.com/maps/place/?q=place_id:ChIJz56rrTQSITkRdjsylv9hbfY,part_266,2026-09-20 19:05:01
Books World,Bookstore and Stationery Shop,Book store,Book store,628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 70567 07159,https://booksworldmohali.in/,4.3,,"shop No. 8, Bay, Mohali Bypass, Phase 10, Sector 64, Sahibzada Ajit Singh Nagar, Punjab 160062","Phase 10, Sector 64",30.6885545,76.7370208,ChIJI1Bckx7sDzkRG8oKUaEqpOM,https://www.google.com/maps/place/?q=place_id:ChIJI1Bckx7sDzkRG8oKUaEqpOM,part_266,2026-09-20 19:05:01
Raghavendra Book Store,Bookstore and Stationery Shop,Book store,Book store,628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 99086 38154,N/A,4.5,,"FHH4+8VP, Anupuram Colony, AS Rao Nagar, Secunderabad, Telangana 500062","Anupuram Colony, AS Rao Nagar",17.4783276,78.55719979999999,ChIJhbqVhoKbyzsRvmKwmnm5iH4,https://www.google.com/maps/place/?q=place_id:ChIJhbqVhoKbyzsRvmKwmnm5iH4,part_266,2026-09-20 19:05:01
Sree Santoshi Book Depot,Bookstore and Stationery Shop,Book store,Book store,628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 80196 45166,N/A,4.0,,"Opp. Society Office, Maruthi Nagar, AS Rao Nagar, Secunderabad, Telangana 500062","Maruthi Nagar, AS Rao Nagar",17.4785884,78.557022,ChIJL_5ggoKbyzsRstDEketLX4A,https://www.google.com/maps/place/?q=place_id:ChIJL_5ggoKbyzsRstDEketLX4A,part_266,2026-09-20 19:05:01
Arhant stationers,Bookstore and Stationery Shop,Pen store,Pen store,628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 96904 66168,N/A,4.4,,"78 dharam puri sadar bazar, Uttar Pradesh 250001",Sadar Bazaar,28.9906148,77.69710189999999,ChIJ4WpdZgtlDDkRXlnjpiEXs2g,https://www.google.com/maps/place/?q=place_id:ChIJ4WpdZgtlDDkRXlnjpiEXs2g,part_266,2026-09-20 19:05:01
Aravind Book House Vijayanagar Head Office,Bookstore and Stationery Shop,Book store,"Book store, Book publisher, Books Wholesaler, Manufacturer",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 99024 45501,N/A,4.4,,"5th Cross, 645/A, 6th Main Rd, Bengaluru, Karnataka 560040","SBI Staff Colony, Hoshalli Extension, Stage 1, Vijayanagar",12.972087499999999,77.5409674,ChIJ4VonEec9rjsRAGVIi6NUjhY,https://www.google.com/maps/place/?q=place_id:ChIJ4VonEec9rjsRAGVIi6NUjhY,part_266,2026-09-20 19:05:01
Jyoti Book Depot,Bookstore and Stationery Shop,Book store,"Book store, Books Wholesaler, Children's Book Store, College, General store, Office supply store, Pen store, Publisher, School, School supply store",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 92466 32693,N/A,4.4,,"TSR Shopping Complex, Waltair Station Approach Rd, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016",Dwaraka Nagar,17.7249984,83.3051933,ChIJd5_E6jxDOToR3ZjHcmddC8w,https://www.google.com/maps/place/?q=place_id:ChIJd5_E6jxDOToR3ZjHcmddC8w,part_266,2026-09-20 19:05:02
