business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bharat Industrial supplier,Industrial Hardware and Fasteners,Fastener supplier,"Fastener supplier, Construction equipment supplier, Manufacturer, Laminating equipment supplier, Metal fabricator",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 72000 58312,https://bharatindustrialsupplier.com/#1,4.3,,"5/6, Vedagiri St, Chinnasekkadu, Manali, Chennai, Tamil Nadu 600068","Chinnasekkadu, Manali",13.1584027,80.2589193,ChIJvYMH23VnUjoRYzS9o6jO23A,https://www.google.com/maps/place/?q=place_id:ChIJvYMH23VnUjoRYzS9o6jO23A,part_266,2026-09-20 19:05:08
Southern Industrial Products Supplier,Industrial Hardware and Fasteners,Industrial Spares & Products Wholesaler,"Industrial Spares & Products Wholesaler, Service establishment",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 97901 74594,N/A,4.9,,"Southern Industrial Products Supplier, 628722, India",628722,12.8195952,79.7127192,ChIJS0zrDBvDUjoRZ6D93--Q4uM,https://www.google.com/maps/place/?q=place_id:ChIJS0zrDBvDUjoRZ6D93--Q4uM,part_266,2026-09-20 19:05:08
Industrial Components India,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",N/A,N/A,5.0,,"1st floor, 151, Narayan Dhuru St, above Swastik Industrial Works, Khokha Bazar, Chippi Chawl, Kalbadevi, Mumbai, Maharashtra 400003","Khokha Bazar, Chippi Chawl, Kalbadevi",18.9510966,72.8339139,ChIJ6esb1OnP5zsRzzTQNc6nedw,https://www.google.com/maps/place/?q=place_id:ChIJ6esb1OnP5zsRzzTQNc6nedw,part_266,2026-09-20 19:05:08
BURHANI INDUSTRIAL AGENCIES,Industrial Hardware and Fasteners,Hardware store,"Hardware store, Abrasives supplier",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 44 2524 1234,N/A,3.0,,"185 New 274, Linghi Chetty Street, Parry's Corner, George Town, Chennai, Tamil Nadu 600001","Parry's Corner, George Town",13.0913161,80.2892268,ChIJf70TikRvUjoR2Nd0M7HxLsM,https://www.google.com/maps/place/?q=place_id:ChIJf70TikRvUjoR2Nd0M7HxLsM,part_266,2026-09-20 19:05:08
Parag Industrial And Hardware Store,Industrial Hardware and Fasteners,Fastener supplier,"Fastener supplier, Hardware store, Nut store, Wholesaler",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 90019 04905,https://www.paragindustrialandhardwarestore.com/,4.8,,"Shop No.1/21, Almass Building, Dabu Bagh, Sansar Chandra Rd, opp. City Center Complex, Shri Ram Colony, Sindhi Camp, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302001","Shri Ram Colony, Sindhi Camp",26.922048399999998,75.803709,ChIJvbzkBv-zbTkRenIKWPrFB0o,https://www.google.com/maps/place/?q=place_id:ChIJvbzkBv-zbTkRenIKWPrFB0o,part_266,2026-09-20 19:05:09
Lakshmi Industrial Hardware,Industrial Hardware and Fasteners,Hardware store,Hardware store,628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 74837 93630,N/A,4.2,,"Lakshmi Complex, No:560, Kiadb Rd, Chokkasandra, T. Dasarahalli, Bengaluru, Karnataka 560057","Chokkasandra, T. Dasarahalli",13.0416101,77.5146175,ChIJLYI0XtQ8rjsRan2y5JH3Mc8,https://www.google.com/maps/place/?q=place_id:ChIJLYI0XtQ8rjsRan2y5JH3Mc8,part_266,2026-09-20 19:05:09
Bharat Industrial Supplier,Industrial Hardware and Fasteners,Industrial equipment supplier,"Industrial equipment supplier, Fastener supplier",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 72000 58312,http://bharatindustrialsupplier.com/,4.3,,"4, Perriyanna Maistry Street, Broadway, Chennai, Tamil Nadu 600001","Mannadi, George Town",13.0915726,80.2860761,ChIJqaqqw1NvUjoR8jFiHoz-t1s,https://www.google.com/maps/place/?q=place_id:ChIJqaqqw1NvUjoR8jFiHoz-t1s,part_266,2026-09-20 19:05:10
INDUSTRIAL TOOLS & FASTENERS,Industrial Hardware and Fasteners,Fastener supplier,"Fastener supplier, Tools Wholesaler",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 99621 61574,N/A,5.0,,"31, Jones St, Mannadi, George Town, Chennai, Tamil Nadu 600001","Mannadi, George Town",13.093988,80.286328,ChIJrQGbvlpvUjoR67cJKk2dfcM,https://www.google.com/maps/place/?q=place_id:ChIJrQGbvlpvUjoR67cJKk2dfcM,part_266,2026-09-20 19:05:10
M.A.Trade Syndicate,Industrial Hardware and Fasteners,Manufacturer,"Manufacturer, Supplier, Fastener supplier, Foundation, Hardware store, Metal construction company, Nut store, Screw supplier, Wholesaler",628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 81227 97552,https://www.matrade.co.in/,5.0,,"No: 45/22, Ayyappa Chetty St, Near Al Reef Hotel Mannady, Parry's Corner, Chennai, Tamil Nadu 600001","Parry's Corner, George Town",13.0954199,80.28783109999999,ChIJ6QY2GE5vUjoR9cCj2OLXEgU,https://www.google.com/maps/place/?q=place_id:ChIJ6QY2GE5vUjoR9cCj2OLXEgU,part_266,2026-09-20 19:05:10
JJ Fasteners Chennai,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,628722,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kurukkuchalai S.O, Melaseithalai B.O, Vedanatham B.O",+91 98402 85853,http://www.jjboltnut.in/,5.0,,"No 36, Post Office St, Mannadi, George Town, Chennai, Tamil Nadu 600001","Mannadi, George Town",13.094092199999999,80.2873852,ChIJE8Ib809vUjoRc6OFn1P-iXI,https://www.google.com/maps/place/?q=place_id:ChIJE8Ib809vUjoRc6OFn1P-iXI,part_266,2026-09-20 19:05:10
