business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
EBI MEDICAL,Medical Store / Pharmacy,Pharmacy,Pharmacy,628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",+91 76394 46060,N/A,5.0,,"Sawyerpuram, Tamil Nadu 628251",628751,8.6837512,78.0293511,ChIJrVYt84zzAzsR3iCsd_1YSEw,https://www.google.com/maps/place/?q=place_id:ChIJrVYt84zzAzsR3iCsd_1YSEw,part_266,2026-09-20 19:05:23
RAMM MEDICALS,Medical Store / Pharmacy,Pharmacy,Pharmacy,628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",+91 96299 60352,N/A,1.0,,"M2MP+H96, JVR Enterprises Rd, Sivathaiyapuram, Sawyerpuram, Tamil Nadu 628251",628751,8.683917,78.0359048,ChIJx-DXQnHzAzsRfA5Nv4iuod4,https://www.google.com/maps/place/?q=place_id:ChIJx-DXQnHzAzsRfA5Nv4iuod4,part_266,2026-09-20 19:05:23
Royal Medical Agency,Medical Store / Pharmacy,Pharmacy,Pharmacy,628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",N/A,N/A,4.6,,"LK Lebbai Thamby salai road, Big street, Store no: 30, beside Mercantile Bank ATM, Kayalpattinam, Tamil Nadu 628204",628751,8.5634319,78.1240723,ChIJZS-elxySAzsRRmW1QtF5ano,https://www.google.com/maps/place/?q=place_id:ChIJZS-elxySAzsRRmW1QtF5ano,part_266,2026-09-20 19:05:23
Janahi Medicals,Medical Store / Pharmacy,Pharmacy,Pharmacy,628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",+91 90432 72491,N/A,5.0,,"No 15, Pandithar Street, Eral, Tamil Nadu 628801",628751,8.6257102,78.0202946,ChIJRWgwOrKNAzsROOADvhGqo1Q,https://www.google.com/maps/place/?q=place_id:ChIJRWgwOrKNAzsROOADvhGqo1Q,part_266,2026-09-20 19:05:23
Radha Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",N/A,N/A,5.0,,"109 A, Salayam St, near panchayath union school, Vilathikulam, Tamil Nadu 628907",628751,9.131277899999999,78.166933,ChIJ04BnlP9bATsRjfoOzIIrMio,https://www.google.com/maps/place/?q=place_id:ChIJ04BnlP9bATsRjfoOzIIrMio,part_266,2026-09-20 19:05:23
INDIAN MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",N/A,N/A,5.0,,"Jatpura, Uttar Pradesh 246762",628751,29.552458299999998,78.3814259,ChIJA_BHUwDcCzkRY1vqOUoSAGg,https://www.google.com/maps/place/?q=place_id:ChIJA_BHUwDcCzkRY1vqOUoSAGg,part_266,2026-09-20 19:05:24
New Suresh Medicals,Medical Store / Pharmacy,Pharmacy,Pharmacy,628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",+91 73737 56174,N/A,4.5,,"10A, Chidambara Nagar, Subbiah Puram, Thoothukudi, Tamil Nadu 628008","Chidambara Nagar, Subbiah Puram",8.794596,78.1333964,ChIJQ-uqjBzvAzsReoDRkQRASpY,https://www.google.com/maps/place/?q=place_id:ChIJQ-uqjBzvAzsReoDRkQRASpY,part_266,2026-09-20 19:05:24
JAS GENERIC MEDICALS,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Medical Center",628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",+91 63796 00858,N/A,5.0,,"69A, Palai Road west, Pudukudi, 3rd Mile, Thoothukudi, Tamil Nadu 628008","Pudukudi, 3rd Mile",8.790415,78.1160649,ChIJ-ROxyDbvAzsRgzY7EVoases,https://www.google.com/maps/place/?q=place_id:ChIJ-ROxyDbvAzsRgzY7EVoases,part_266,2026-09-20 19:05:24
A N Medicals,Medical Store / Pharmacy,Pharmacy,Pharmacy,628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",+91 95662 81325,N/A,5.0,,"2, Senthamarai Salai, Venkateswara Nagar, New Colony, Kottivakkam, Chennai, Tamil Nadu 600041","Venkateswara Nagar, New Colony, Kottivakkam",12.968055099999999,80.25786819999999,ChIJ0U1Gg0BdUjoR1p8GTqzRL2E,https://www.google.com/maps/place/?q=place_id:ChIJ0U1Gg0BdUjoR1p8GTqzRL2E,part_266,2026-09-20 19:05:24
Bawaa Medicals,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",628751,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pannaivilai S.O, Nattathi B.O, Pandaravilai B.O",+91 98941 34137,N/A,5.0,,"128, Palayamkottai Road Near Corporation New Building, Thoothukudi, Tamil Nadu 628001",Meenakshipuram,8.8028201,78.1399497,ChIJV4g_DpbvAzsRgSpC8Tsqb4E,https://www.google.com/maps/place/?q=place_id:ChIJV4g_DpbvAzsRgSpC8Tsqb4E,part_266,2026-09-20 19:05:24
