business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Green Royale Hotel and Resorts,Resort,Resort hotel,Resort hotel,628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,+91 89255 25628,https://www.greenroyaleresorts.in/,4.5,,"Plot No: 95, Old Falls Road, Ariyapperi, Courtallam, Ayiraperi, Tamil Nadu 627802",Ariyapperi,8.918683,77.2884321,ChIJb3aa2n0pBDsRXPiwzlSR20g,https://www.google.com/maps/place/?q=place_id:ChIJb3aa2n0pBDsRXPiwzlSR20g,part_266,2026-09-20 19:07:03
Esakki High View Resorts,Resort,Resort hotel,Resort hotel,628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,+91 4633 299 141,https://www.esakkiresorts.com/index.html,4.1,,"W844+WP5, Old Courtallam Main Road, Tirunelveli Valley Vistrict, Old Courtallam, Tamil Nadu 627814",628753,8.9072719,77.30685299999999,ChIJr-A892opBDsR8KszYp4CfTM,https://www.google.com/maps/place/?q=place_id:ChIJr-A892opBDsR8KszYp4CfTM,part_266,2026-09-20 19:07:03
Green Royale Hotels & resorts,Resort,Resort hotel,Resort hotel,628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,N/A,http://www.greenroyaleresorts.com/,4.6,,"8292+QP5, Uchipuli, Nagachi, Tamil Nadu 623534",628753,9.3193969,79.00184569999999,ChIJ81ohWdyVATsR3-_z7y2BIzA,https://www.google.com/maps/place/?q=place_id:ChIJ81ohWdyVATsR3-_z7y2BIzA,part_266,2026-09-20 19:07:03
Chettinad Heritage &Wellness Resorts,Resort,Resort hotel,"Resort hotel, Ayurvedic clinic, Banquet hall, Holiday home, Restaurant, Swimming pool, Travel lounge, Wedding venue, Wellness hotel, Yoga Retreat Center",628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,+91 90424 64085,https://www.chettinadresorts.in/,4.8,220.0,"Mettupatti Shri Pillaiyar Kovil, Mallangudi, Tamil Nadu 622404",628753,10.3296365,78.7265067,ChIJHdqldkN9ADsRJtSTnoqb1Bo,https://www.google.com/maps/place/?q=place_id:ChIJHdqldkN9ADsRJtSTnoqb1Bo,part_266,2026-09-20 19:07:04
Darza Luxury Resorts,Resort,Resort hotel,Resort hotel,628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,+91 90808 08008,https://darzaresorts.com/,4.6,3469.0,"Door No.1, 356, SF No.470/4, 22 - Nanjundapuram, Coimbatore, Tamil Nadu 641108",628753,11.0921726,76.9017933,ChIJpSUT1Nf1qDsR2JSYNwTTVoc,https://www.google.com/maps/place/?q=place_id:ChIJpSUT1Nf1qDsR2JSYNwTTVoc,part_266,2026-09-20 19:07:04
Anantya By The Lake,Resort,Resort hotel,Resort hotel,628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,+91 93634 96964,https://anantyaresorts.com/lake/,4.4,3873.0,"State Highway 45, Chittar Lake, Kaliel Village, Alancholai, Kadayal, Tamil Nadu 629101",Kaliel Village,8.4323228,77.2430079,ChIJ18A3jmFSBDsRfY7SJQmysWU,https://www.google.com/maps/place/?q=place_id:ChIJ18A3jmFSBDsRfY7SJQmysWU,part_266,2026-09-20 19:07:04
Royal Castle Farm Stay Resort,Resort,Farmstay,Farmstay,628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,+91 75980 63666,https://royalcastlefarmstayresort.com/,4.8,6374.0,"Odathurai Rd, Odathurai, Tamil Nadu 638455",628753,11.4603243,77.5192476,ChIJl3AcfLM_qTsR7OfLPvpEz3o,https://www.google.com/maps/place/?q=place_id:ChIJl3AcfLM_qTsR7OfLPvpEz3o,part_266,2026-09-20 19:07:04
Marutham Village Resort,Resort,Resort hotel,Resort hotel,628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,+91 73580 33045,https://maruthamresort.com/,4.6,1584.0,"1B, Marutham Street, Vadakadambadi, Mahabalipuram, Perumaleri, Tamil Nadu 603104",Vadakadambadi,12.616883999999999,80.14925319999999,ChIJyW9G4fmrUzoRUAVKy0fyLb4,https://www.google.com/maps/place/?q=place_id:ChIJyW9G4fmrUzoRUAVKy0fyLb4,part_266,2026-09-20 19:07:04
D WAYFARER Resort Erode ( Luxury Villa Resorts ),Resort,Resort hotel,Resort hotel,628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,+91 94890 26222,https://www.dwayfarerinn.com/,4.6,3033.0,"Near Shree Lakshmi Duraisamy Mahaal, Naal Road, Villarasampatti, Tamil Nadu 638012",Maruthi Nagar,11.3333468,77.67460179999999,ChIJt-_-LuFvqTsRL-VDKsRtUFw,https://www.google.com/maps/place/?q=place_id:ChIJt-_-LuFvqTsRL-VDKsRtUFw,part_266,2026-09-20 19:07:04
Jungle Hut,Resort,Resort hotel,"Resort hotel, Hotel",628753,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Sivagalai S.O,+91 97876 33433,http://www.junglehut.in/,4.7,1302.0,"Bokkapuram, Masinagudi, Sholur, Tamil Nadu 643223",Bokkapuram,11.5305857,76.6469759,ChIJy6QeICq7qDsRc0GeA0WX3H4,https://www.google.com/maps/place/?q=place_id:ChIJy6QeICq7qDsRc0GeA0WX3H4,part_266,2026-09-20 19:07:04
