business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Veranda RACE - Tirunelveli,Competitive Exam Coaching (UPSC/Banking),Banking entrance coaching centre,"Banking entrance coaching centre, Career guidance service, Coaching Center, Education center, Educational consultant, Educational institution, Training center",628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 95001 23230,https://verandalearning.com/branches/tirunelveli,4.8,2091.0,"Ts no.4, Golden Plaza, Grand Plaza, opp. Passport Office, Tirunelveli, Tamil Nadu 627005",Vasanth Nagar,8.7017773,77.7235096,ChIJjdz_wmoSBDsRaUc75JTgKes,https://www.google.com/maps/place/?q=place_id:ChIJjdz_wmoSBDsRaUc75JTgKes,part_266,2026-09-20 19:07:55
Great Minds IAS Academy,Competitive Exam Coaching (UPSC/Banking),Banking entrance coaching centre,"Banking entrance coaching centre, Coaching Center, Private College, Public Sector Bank",628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 75981 53233,http://www.targettnpsc.academy/,4.6,154.0,"Simon Nagar, Nesamony Nagar, Rajalakshmi Nagar, Nagercoil, Tamil Nadu 629003","Nesamony Nagar, Rajalakshmi Nagar",8.1852641,77.4016096,ChIJjQ9AyPrwBDsRUycKanIgXWE,https://www.google.com/maps/place/?q=place_id:ChIJjQ9AyPrwBDsRUycKanIgXWE,part_266,2026-09-20 19:07:55
Arun Coaching Centre,Competitive Exam Coaching (UPSC/Banking),Education center,Education center,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 98415 70633,N/A,5.0,8.0,"35c, Krishnarajapuram Main Rd, Aalagashesha Puram, Krishnarajapuram, Thoothukudi, Tamil Nadu 628002","Aalagashesha Puram, Krishnarajapuram",8.8182931,78.1520309,ChIJSeVWv_nvAzsRI1HiuLrjldc,https://www.google.com/maps/place/?q=place_id:ChIJSeVWv_nvAzsRI1HiuLrjldc,part_266,2026-09-20 19:07:55
Shanmugam IAS Academy (Best IAS academy)- IAS IPS IFS TNPSC BANKING SI SSC RRB coaching center Tirunelveli,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 95007 85666,https://www.shanmugamiasacademy.in/,5.0,17.0,"Door no 10 A Grourd Floor, Sarah Tucker College opposite, Reddiarpatti Road, Perumalpuram, Tirunelveli, Tamil Nadu 627005","Perumalpuram, Vasanth Nagar",8.699249,77.72719,ChIJgzBq41wTBDsRD3qlMF_qpeY,https://www.google.com/maps/place/?q=place_id:ChIJgzBq41wTBDsRD3qlMF_qpeY,part_266,2026-09-20 19:07:55
Kings IAS Academy,Competitive Exam Coaching (UPSC/Banking),Civil examinations academy,Civil examinations academy,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",N/A,N/A,4.6,13.0,"111/9,M M ILLAM, old, Polepettai, State Bank Colony, Ezhil Nagar, Thoothukudi, Tamil Nadu 628002","Polepettai, State Bank Colony, Ezhil Nagar",8.814113899999999,78.1412366,ChIJ5d4jhgHvAzsR2xW2SwD24jE,https://www.google.com/maps/place/?q=place_id:ChIJ5d4jhgHvAzsR2xW2SwD24jE,part_266,2026-09-20 19:07:55
Sevakar IAS,Competitive Exam Coaching (UPSC/Banking),Civil examinations academy,Civil examinations academy,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 93841 18902,http://www.sevakarias.com/,4.9,23.0,"111/5H, Pol pettai, near Perison Plaza & Manthira Moorthi Vinayagae Temple, road, State Bank Colony, Tamil Nadu 628002","State Bank Colony, Ezhil Nagar",8.8142719,78.1405985,ChIJedhVa3jvAzsRzfjKplTktx4,https://www.google.com/maps/place/?q=place_id:ChIJedhVa3jvAzsRzfjKplTktx4,part_266,2026-09-20 19:07:55
AP SUCCESS IAS ACADEMY,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 99448 99545,https://sites.google.com/view/apsuccessiasacademy/home,4.3,12.0,"Karur Bank Floor, Eraniel - Monday Market Rd, opp. Govt Higher secondary school, Eraniel, Tamil Nadu 629802",628801,8.202840499999999,77.3073885,ChIJDRlY5D_5BDsRwGVu_QRh56A,https://www.google.com/maps/place/?q=place_id:ChIJDRlY5D_5BDsRwGVu_QRh56A,part_266,2026-09-20 19:07:55
Thulir IAS Academy,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Civil examinations academy, Educational institution",628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 94442 06905,http://thuliriasacademy.in/,4.9,84.0,"17/10, Rishi Bala Complex, AKS Theatre Road, near AKS Theatre, Kovilpatti, Tamil Nadu 628502","V.O.C. Nagar, Kadershan Koil",9.1730009,77.8650852,ChIJO7gfcbezBjsR2RCF68lavdM,https://www.google.com/maps/place/?q=place_id:ChIJO7gfcbezBjsR2RCF68lavdM,part_266,2026-09-20 19:07:55
Suman Integrated Education Centre,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Book publisher, Education center",628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 96559 98826,N/A,4.8,41.0,"No 1-7, Sanarenthal, Kannamangalam Post Kannamangalam Post, Taluk, Ilayangudi, Tamil Nadu 630709",628801,9.6924536,78.6356217,ChIJm0Ae5BkBATsR0LVaL6E42ek,https://www.google.com/maps/place/?q=place_id:ChIJm0Ae5BkBATsR0LVaL6E42ek,part_266,2026-09-20 19:07:55
Vetrii IAS Study Circle - Kovilpatti,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 90037 90335,https://vetriias.com/,4.9,,"2nd Floor, Sowbakya Towers, 4, Santhai Pettai Street, near Old Bus Stand Road, V.O.C. Nagar, Kadershan Koil, Kovilpatti, Tamil Nadu 628501","V.O.C. Nagar, Kadershan Koil",9.1746345,77.8663116,ChIJOfbrBCGzBjsR0QVK5Vyn8HE,https://www.google.com/maps/place/?q=place_id:ChIJOfbrBCGzBjsR0QVK5Vyn8HE,part_266,2026-09-20 19:07:56
