business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sri Kanchipuram Pattu Center - Old Silk Saree Buyers | Old Pattu Saree Buyers Thoothukudi,Silk Saree Wholesaler,Clothing store,Clothing store,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 98942 35961,https://www.srikanchipurampattucentre.com/,5.0,,"44A, Ettayapuram Rd, KVK Nagar, Extension, Thoothukudi, Tamil Nadu 628001","KVK Nagar, Extension",8.808577,78.1386902,ChIJCRfXod3vAzsRR0qFl4muR4Q,https://www.google.com/maps/place/?q=place_id:ChIJCRfXod3vAzsRR0qFl4muR4Q,part_266,2026-09-20 19:07:36
Sri Sakthi Pugazh Tex,Silk Saree Wholesaler,Clothing store,Clothing store,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 89257 36421,http://ssptex.com/,4.7,,"10/60-A-1, road, Dharani Nagar, Elampillai, Tamil Nadu 637502",Dharani Nagar,11.604099099999999,78.0042065,ChIJl8BVybnjqzsRE4VhJsUScD4,https://www.google.com/maps/place/?q=place_id:ChIJl8BVybnjqzsRE4VhJsUScD4,part_266,2026-09-20 19:07:36
Sri Kanchipuram Pattu Center - Old Pattu Saree Buyers in Ramnad,Silk Saree Wholesaler,Clothing wholesaler,Clothing wholesaler,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 91599 77304,https://www.srikanchipurampattucentre.com/,5.0,,"78, Magarnonpupottal Road, Kenikkarai, Chalai Bazar, Ramanathapuram, Tamil Nadu 623504","Kenikkarai, Chalai Bazar",9.3662832,78.8361946,ChIJD0JDMumZATsR6mfwDs6D_3E,https://www.google.com/maps/place/?q=place_id:ChIJD0JDMumZATsR6mfwDs6D_3E,part_266,2026-09-20 19:07:36
VCS SILKS,Silk Saree Wholesaler,Clothing store,"Clothing store, Bridal shop, Clothes and fabric wholesaler, Clothing manufacturer, Clothing wholesale market place, Clothing wholesaler, Women's clothing store",628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 94877 79672,N/A,4.9,,"2/249, Pillyara Kovil St, Mel, Chinthamaniyur, Olaipatti, Tamil Nadu 636455",Mel,11.7794682,78.0101143,ChIJt5BgKEn_qzsRm2PPhPdbVIs,https://www.google.com/maps/place/?q=place_id:ChIJt5BgKEn_qzsRm2PPhPdbVIs,part_266,2026-09-20 19:07:36
D.A.Textiles,Silk Saree Wholesaler,Clothing store,Clothing store,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 461 232 0285,N/A,3.8,,"R44W+3X9, West Great Cotton Road, Tuticorin Melur, Shanmugapuram, Thoothukudi, Tamil Nadu 628002","Tuticorin Melur, Shanmugapuram",8.805156799999999,78.14749239999999,ChIJFU7-VPzzAzsRjaTo38q3738,https://www.google.com/maps/place/?q=place_id:ChIJFU7-VPzzAzsRjaTo38q3738,part_266,2026-09-20 19:07:36
Sembaruthi Silks,Silk Saree Wholesaler,Dress store,Dress store,628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",N/A,N/A,4.9,,"380/2, Sundar Ramapuram Rd, Selvanayagapuram, Kandhasamy Puram, Thoothukudi, Tamil Nadu 628002","Selvanayagapuram, Kandhasamy Puram",8.8110898,78.1458841,ChIJGygdaB7vAzsROrV9PGfoaao,https://www.google.com/maps/place/?q=place_id:ChIJGygdaB7vAzsROrV9PGfoaao,part_266,2026-09-20 19:07:36
"Subalakshmi Silks, Siruvanthadu - Silk Sarees Manufacturer & Wholesale Shop",Silk Saree Wholesaler,Saree Shop,"Saree Shop, Silk store",628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 73395 72597,N/A,4.9,,"Vaniyar street, Panchamadevi Rd, siruvanthadu, Tamil Nadu 605105",siruvanthadu,11.870297299999999,79.5790801,ChIJY-VjHtKnVDoRMXdjYic-LrQ,https://www.google.com/maps/place/?q=place_id:ChIJY-VjHtKnVDoRMXdjYic-LrQ,part_266,2026-09-20 19:07:36
Shri Sudharshan Silks ஶ்ரீ சுதர்சன் சில்க்ஸ்,Silk Saree Wholesaler,Wedding store,"Wedding store, Clothing store, Clothing wholesaler, Textile Exporter",628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 93601 80467,https://www.instagram.com/invites/contact/?i=16rtqv5nei1bo&utm_content=h4ezu4u,4.5,,"2/210, Mell chinthamaniyur, Chinthamaniyur, Tamil Nadu 636455",628801,11.7785744,78.01141899999999,ChIJR1gD5C7_qzsRtXf8SFkBKM4,https://www.google.com/maps/place/?q=place_id:ChIJR1gD5C7_qzsRtXf8SFkBKM4,part_266,2026-09-20 19:07:36
KM SILK HOUSE,Silk Saree Wholesaler,Wholesaler,"Wholesaler, Clothing store",628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",N/A,http://www.kmsilkhouse.com/,4.5,,"3/151A2, Kakapalayam Main Road, Perumagoundampatti, Elampillai, Tamil Nadu 637502",628801,11.5929744,78.0059414,ChIJMWMabsfjqzsRvPcbj5wj_Pg,https://www.google.com/maps/place/?q=place_id:ChIJMWMabsfjqzsRvPcbj5wj_Pg,part_266,2026-09-20 19:07:36
Mali Silk Mills - Wholesale Printed Sarees Manufacturer Shop Surat,Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothing manufacturer, Clothing wholesaler",628801,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Eral S.O, Korkai B.O, Vallavallan B.O",+91 99090 45720,http://www.malisilkmills.com/,5.0,25.0,"Shop No : 1057, 1st Floor, Abhishek Market Ring Rd, Abhishek Market, New Textile Market, Surat, Gujarat 395002","Abhishek Market, New Textile Market",21.1889762,72.84445769999999,ChIJe3i28bVP4DsRgOu38Dh_gVc,https://www.google.com/maps/place/?q=place_id:ChIJe3i28bVP4DsRgOu38Dh_gVc,part_266,2026-09-20 19:07:37
