business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
kothali school,School,Educational institution,Educational institution,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,5.0,2.0,"WR5Q+HWH, Thoothukudi, Kottali, Tamil Nadu 628714",628952,8.90893,77.8398672,ChIJzfcWB78BBDsRimyXj-Q6-io,https://www.google.com/maps/place/?q=place_id:ChIJzfcWB78BBDsRimyXj-Q6-io,part_266,2026-09-20 19:15:33
Baba Matriculation Higher Secondary School,School,Higher secondary school,Higher secondary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",+91 4632 261 005,N/A,,,"XQ3F+MJ9, Kayathar, Tamil Nadu 628952",628952,8.954173599999999,77.7740939,ChIJAQAAAOQCBDsRbBHLn_7ojdU,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAOQCBDsRbBHLn_7ojdU,part_266,2026-09-20 19:15:33
Verapandian School,School,Primary school,Primary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"WQXM+VMR, Kayathar, Tamil Nadu 628952",628952,8.949725299999999,77.7841282,ChIJ4w-6hXADBDsRsThYXBYry-Y,https://www.google.com/maps/place/?q=place_id:ChIJ4w-6hXADBDsRsThYXBYry-Y,part_266,2026-09-20 19:15:33
T.D.T.A Middle School,School,Middle school,Middle school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"2MM6+FWC, Muthammalpuram, Achchampatti, Tamil Nadu 628952",628952,9.0336765,77.6622656,ChIJG0mkTNCmBjsRrBzE2OZJfoA,https://www.google.com/maps/place/?q=place_id:ChIJG0mkTNCmBjsRrBzE2OZJfoA,part_266,2026-09-20 19:15:33
Mahalaxmi Middle School,School,Educational institution,Educational institution,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,5.0,3.0,"Ahilandapuram, Tamil Nadu 628952",628952,8.9842611,77.804261,ChIJKY_Bu3cCBDsR137jbqE3ShQ,https://www.google.com/maps/place/?q=place_id:ChIJKY_Bu3cCBDsR137jbqE3ShQ,part_266,2026-09-20 19:15:33
RC Primary School,School,Elementary school,Elementary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"WMVP+VJM, Melailandaikulam, Tamil Nadu 628952",628952,8.944707,77.68656059999999,ChIJ8aXT8rEdBDsR1F5KtE83nw0,https://www.google.com/maps/place/?q=place_id:ChIJ8aXT8rEdBDsR1F5KtE83nw0,part_266,2026-09-20 19:15:33
TDTA Primary School,School,Primary school,Primary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"XR28+9JQ, Paneerkulam, Tamil Nadu 628952",628952,8.9509593,77.8166241,ChIJ9Ts-59IDBDsRwRysLt6pd1c,https://www.google.com/maps/place/?q=place_id:ChIJ9Ts-59IDBDsRwRysLt6pd1c,part_266,2026-09-20 19:15:33
R.C MIDDLE SCHOOL,School,Middle school,Middle school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"XR29+FJ2, Paneerkulam, Tamil Nadu 628952",628952,8.9511269,77.8190008,ChIJG9t8mosDBDsRnmwf6wnJxFk,https://www.google.com/maps/place/?q=place_id:ChIJG9t8mosDBDsRnmwf6wnJxFk,part_266,2026-09-20 19:15:33
"Mother Theresa Matric Hr Sec School, Kayathar",School,Secondary school,Secondary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",+91 90426 42640,N/A,,,"WQMC+G28, Annai nagar, Annai Nagar, Kayathar, Tamil Nadu 628952",Annai nagar,8.9337827,77.77008409999999,ChIJ6YLy7xgDBDsR1ZPiZ9nOzkY,https://www.google.com/maps/place/?q=place_id:ChIJ6YLy7xgDBDsR1ZPiZ9nOzkY,part_266,2026-09-20 19:15:33
TDTA Aappasamy Middle School,School,Middle school,Middle school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"VQXG+M3F, Pudukudi-Thalayalnadanthankulam Rd, Rajapudhukudi, Tamil Nadu 627352",628952,8.8991849,77.775162,ChIJ3frFeWYDBDsRTilioyuzd3E,https://www.google.com/maps/place/?q=place_id:ChIJ3frFeWYDBDsRTilioyuzd3E,part_266,2026-09-20 19:15:33
முக்குலத்தோர் வாழும் பகுதி பிரியங்கா நகர்,School,High school,High school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"WQXM+P35, Kayathar, Tamil Nadu 628952",628952,8.9492661,77.7827452,ChIJr6O8SAADBDsRFJKrXhkSMII,https://www.google.com/maps/place/?q=place_id:ChIJr6O8SAADBDsRFJKrXhkSMII,part_266,2026-09-20 19:15:33
pannikarkulam school,School,Primary school,Primary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"XP8G+6X7, Panikkarkulam, Tamil Nadu 628952",628952,8.965544999999999,77.7274266,ChIJ3yCvmkYdBDsR5e518myrbZE,https://www.google.com/maps/place/?q=place_id:ChIJ3yCvmkYdBDsR5e518myrbZE,part_266,2026-09-20 19:15:33
Morning star school veppankulam,School,Elementary school,Elementary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",+91 96597 22707,N/A,,,"WQ4X+4R, Thalayalnadanthankulam, Therku Mylodai, Tamil Nadu 627352",628952,8.905323,77.799587,ChIJtcCOqb0DBDsR6BwHvf5q75Q,https://www.google.com/maps/place/?q=place_id:ChIJtcCOqb0DBDsR6BwHvf5q75Q,part_266,2026-09-20 19:15:33
"ஊராட்சி ஒன்றிய துவக்கப்பள்ளி, பெரியசாமிபுரம்",School,Primary school,Primary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"Periyasamypuram, Thirumangalakuruchi, Tamil Nadu 628952",Periyasamypuram,9.0080312,77.7094209,ChIJuThqJmSnBjsRSSE28rVMOAA,https://www.google.com/maps/place/?q=place_id:ChIJuThqJmSnBjsRSSE28rVMOAA,part_266,2026-09-20 19:15:33
TDTA துவக்க பள்ளி,School,Elementary school,Elementary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"WMF5+9GQ, Erandum Sollan Rd, Kandasamyapuram, Alagiapandiapuram, Tamil Nadu 627201",628952,8.923470499999999,77.658847,ChIJ7XQymyYcBDsRu_YeCYasIuw,https://www.google.com/maps/place/?q=place_id:ChIJ7XQymyYcBDsRu_YeCYasIuw,part_266,2026-09-20 19:15:33
Panchayathu union primary school sooriyaminikkan,School,Primary school,Primary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"2Q32+H7J, Unnamed Road, Vellalankottai, Tamil Nadu 628952",628952,9.0039517,77.7506416,ChIJ5ye-lyqpBjsRw3Fg83oKXJU,https://www.google.com/maps/place/?q=place_id:ChIJ5ye-lyqpBjsRw3Fg83oKXJU,part_266,2026-09-20 19:15:33
"Primary School,manankathan. பிரைமரி ஸ்கூல்",School,Elementary school,Elementary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"WPVV+2C7, Manankathan, Terku Ilandaikulam, Tamil Nadu 628952",Manankathan,8.942539499999999,77.74354629999999,ChIJ2cLNZA4dBDsRB3idTnFsqao,https://www.google.com/maps/place/?q=place_id:ChIJ2cLNZA4dBDsRB3idTnFsqao,part_266,2026-09-20 19:15:33
R C Punitha Soosai PrimarySchool,School,Primary school,Primary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"XQ3G+2QR, Kayathar, Tamil Nadu 628952",628952,8.9526051,77.7768826,ChIJJUlbgO8CBDsR0Hr1IK9S0ew,https://www.google.com/maps/place/?q=place_id:ChIJJUlbgO8CBDsR0Hr1IK9S0ew,part_266,2026-09-20 19:15:34
National nursary and primary school,School,Primary school,Primary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"Ayub Industries, Old NH, Vadakku Subramaniyapuram, Kayathar, Tamil Nadu 628952",Vadakku Subramaniyapuram,8.9446811,77.77234,ChIJgxIeZwADBDsR_Gu0MWCT-Fc,https://www.google.com/maps/place/?q=place_id:ChIJgxIeZwADBDsR_Gu0MWCT-Fc,part_266,2026-09-20 19:15:34
Fathima Middle School,School,School,School,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"XQ2H+V27, Kayathar, Tamil Nadu 628952",628952,8.9521053,77.7774812,ChIJA-d4Y-UCBDsRPN-dMZff8dw,https://www.google.com/maps/place/?q=place_id:ChIJA-d4Y-UCBDsRPN-dMZff8dw,part_266,2026-09-20 19:15:34
"Panchayat Union Primary School, Arasankulam",School,Elementary school,Elementary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"WQG7+2MR, Kayathar, Tamil Nadu 628952",628952,8.925115,77.76415539999999,ChIJb6ZbawADBDsRl25Bd_1oHSs,https://www.google.com/maps/place/?q=place_id:ChIJb6ZbawADBDsRl25Bd_1oHSs,part_266,2026-09-20 19:15:34
VPKB GOVERNMENT HIGHER SECONDARY SCHOOL,School,Secondary school,Secondary school,628952,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kayathar S.O, Athikulam B.O, Ayyanaruthu B.O",N/A,N/A,,,"WQXM+XMW, Kayathar, Tamil Nadu 628952",628952,8.9499987,77.78419699999999,ChIJJQmFkWYDBDsRpuw655d3TwQ,https://www.google.com/maps/place/?q=place_id:ChIJJQmFkWYDBDsRpuw655d3TwQ,part_266,2026-09-20 19:15:34
