business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Torii Cafe,Dhaba and Highway Restaurant,Restaurant,"Restaurant, Cafe, Pan-Asian restaurant",629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 99443 99622,https://toriicafe.com/,4.4,362.0,"418a, Kottar-Parvathipuram Rd, Chetti Kulam, Simon Nagar, Nagercoil, Tamil Nadu 629001","Chetti Kulam, Simon Nagar",8.1758156,77.4295745,ChIJfWOSewDxBDsRJjiqsEmR2WY,https://www.google.com/maps/place/?q=place_id:ChIJfWOSewDxBDsRJjiqsEmR2WY,part_266,2026-09-20 19:15:49
Drizzle Bistro,Dhaba and Highway Restaurant,Family restaurant,Family restaurant,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 4652 223 344,http://www.drizzlebistro.com/,3.7,1768.0,"15, Duthie School Juntion, Nagercoil, Tamil Nadu 629001",629001,8.1812301,77.4256951,ChIJK78TuCDxBDsRKwp7FJ2UKcA,https://www.google.com/maps/place/?q=place_id:ChIJK78TuCDxBDsRKwp7FJ2UKcA,part_266,2026-09-20 19:15:49
Amad Hotel,Dhaba and Highway Restaurant,Restaurant,Restaurant,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",N/A,N/A,3.1,37.0,"Tower Junction, Balamore Rd, Vadiveeswaram Village, Nagercoil, Tamil Nadu 629001",Vadiveeswaram Village,8.184342299999999,77.43139339999999,ChIJUcTed7PxBDsROR-0ggAyg-8,https://www.google.com/maps/place/?q=place_id:ChIJUcTed7PxBDsROR-0ggAyg-8,part_266,2026-09-20 19:15:49
Deen Hotel,Dhaba and Highway Restaurant,Fast food restaurant,Fast food restaurant,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 94436 81978,N/A,3.4,61.0,"5CVH+5WP, Vadasery, Nagercoil, Tamil Nadu 629001",629001,8.1929526,77.4298433,ChIJd2tA_yvxBDsRNNFMfvmflkY,https://www.google.com/maps/place/?q=place_id:ChIJd2tA_yvxBDsRNNFMfvmflkY,part_266,2026-09-20 19:15:49
Hotel Rahmath,Dhaba and Highway Restaurant,Chinese restaurant,Chinese restaurant,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 4652 438 800,N/A,3.8,64.0,"Vadasery, opp. to CBH Hospital, Nagercoil, Tamil Nadu 629001",629001,8.2000253,77.4310655,ChIJVzFE7jn3BDsRRx0yPTUdutg,https://www.google.com/maps/place/?q=place_id:ChIJVzFE7jn3BDsRRx0yPTUdutg,part_266,2026-09-20 19:15:49
Bismi Hotel,Dhaba and Highway Restaurant,Halal restaurant,Halal restaurant,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 97894 11737,N/A,4.1,44.0,"Therakalputhoor, Nagercoil, Therakalputhur, Tamil Nadu 629901",Therakalputhoor,8.1983287,77.4457628,ChIJz2ydNTXxBDsRPuzA_4CfyMw,https://www.google.com/maps/place/?q=place_id:ChIJz2ydNTXxBDsRPuzA_4CfyMw,part_266,2026-09-20 19:15:49
LOCATION MULTI CUISINE RESTAURANT,Dhaba and Highway Restaurant,Middle Eastern restaurant,Middle Eastern restaurant,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 93847 83679,N/A,4.0,,"tmj complex, Thiruvithankodu, Azhagiyamandapam, Tamil Nadu 629167",629001,8.2627209,77.2956355,ChIJF0t4y9_5BDsRm404LLNOWME,https://www.google.com/maps/place/?q=place_id:ChIJF0t4y9_5BDsRm404LLNOWME,part_266,2026-09-20 19:15:50
Zam Zam Restaurant,Dhaba and Highway Restaurant,Biryani restaurant,"Biryani restaurant, Arab restaurant",629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 75986 65585,http://www.zamzamrestaurantkk.com/,4.4,,"3GQX+WQC Antonys Higher secondary school, 6/4D, Cape Rd, Vinachi Arachi Colony, Kanniyakumari, Tamil Nadu 629702",Vinachi Arachi Colony,8.0856684,77.54946029999999,ChIJYen8WD_tBDsRT3SlCRjBMmw,https://www.google.com/maps/place/?q=place_id:ChIJYen8WD_tBDsRT3SlCRjBMmw,part_266,2026-09-20 19:15:50
The Curry,Dhaba and Highway Restaurant,Chinese restaurant,Chinese restaurant,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 88254 66315,https://thegopinivasgrand.com/restaurants-in-kanyakumari/,4.3,,"2/17B, E Car St, near Seashore, Kanniyakumari, Tamil Nadu 629702",629001,8.0827054,77.5510291,ChIJk9AhSLvtBDsRspokHoDb0yg,https://www.google.com/maps/place/?q=place_id:ChIJk9AhSLvtBDsRspokHoDb0yg,part_266,2026-09-20 19:15:50
Hotel Udupi International,Dhaba and Highway Restaurant,Hotel,Hotel,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 94872 61898,https://www.udupiinternational.com/,4.0,,"Distillery Rd, Puthukudierupu, Vadasery, Nagercoil, Tamil Nadu 629001",Puthukudierupu,8.191641599999999,77.4286971,ChIJ0RHAZynxBDsRsirC6i0mbD4,https://www.google.com/maps/place/?q=place_id:ChIJ0RHAZynxBDsRsirC6i0mbD4,part_266,2026-09-20 19:15:50
