business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
EASY CALL TAXI TOURS & TRAVELS,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Tour operator",629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",N/A,N/A,5.0,13.0,"40/468, Kottar-Parvathipuram Rd, Chetti Kulam, Chidambara Nagar, Nagercoil, Tamil Nadu 629001","Chetti Kulam, Chidambara Nagar",8.1751693,77.4351185,ChIJHcFVvUXxBDsRiWajDYZEL6E,https://www.google.com/maps/place/?q=place_id:ChIJHcFVvUXxBDsRiWajDYZEL6E,part_266,2026-09-20 19:16:00
Amber Cabs,Taxi Service and Car Rental,Taxi service,Taxi service,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 81224 21362,N/A,4.9,332.0,"442, Melaramanputhoor, Simon Nagar, Nagercoil, Tamil Nadu 629004","Melaramanputhoor, Simon Nagar",8.174832,77.41735899999999,ChIJSyI4RubwBDsRfy1jjTBRLaA,https://www.google.com/maps/place/?q=place_id:ChIJSyI4RubwBDsRfy1jjTBRLaA,part_266,2026-09-20 19:16:00
Nova Cabs I best cab service in nagercoil,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency",629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 96296 67909,N/A,4.8,23.0,"1-290, Arumai Nayagar Street, Bethel Nagar, Christopher Nager, Parvathipuram, Nagercoil, Tamil Nadu 629003","Bethel Nagar, Christopher Nager, Parvathipuram",8.1874156,77.3912953,ChIJvRaDrnjxBDsRJ_ppX8DfF34,https://www.google.com/maps/place/?q=place_id:ChIJvRaDrnjxBDsRJ_ppX8DfF34,part_266,2026-09-20 19:16:00
ANISH CABS & TRAVELS,Taxi Service and Car Rental,Taxi service,Taxi service,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 94884 26476,N/A,5.0,326.0,"Sakthi Garden, 41/26 E.A. Khan Cottage, 2nd North Street, Asambu Rd, opposite CBH Road, Vadasery, Nagercoil, Tamil Nadu 629001",Puthukudierupu,8.1926784,77.4300382,ChIJU5ZuAgj3BDsR4kCDgydTb_o,https://www.google.com/maps/place/?q=place_id:ChIJU5ZuAgj3BDsR4kCDgydTb_o,part_266,2026-09-20 19:16:00
Yellow Cabs nagercoil call taxi,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service",629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 89731 04003,https://yellowcabsnagercoil.in/,4.9,403.0,"WCC Rd, Vettunimadam, Nagercoil, Tamil Nadu 629001",629001,8.1844246,77.4288186,ChIJAQAAALfwBDsRg_PgZI9GaRw,https://www.google.com/maps/place/?q=place_id:ChIJAQAAALfwBDsRg_PgZI9GaRw,part_266,2026-09-20 19:16:00
Madhesh cabs and taxi service in nagercoil,Taxi Service and Car Rental,Taxi service,"Taxi service, Bus tour agency, Service establishment, Minibus taxi service, Sightseeing Tour Operator, Travel agency",629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 96005 51655,https://madheshcabs.in/,5.0,225.0,"Madhesh cabs and taxi service in nagercoil, 629001, India",629001,8.1644297,77.47424269999999,ChIJdwy3_m33BDsRzjhz4zX6hhE,https://www.google.com/maps/place/?q=place_id:ChIJdwy3_m33BDsRzjhz4zX6hhE,part_266,2026-09-20 19:16:00
Sam Travels,Taxi Service and Car Rental,Taxi service,Taxi service,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 80158 07156,N/A,4.9,61.0,"#120 Main Road, Christu Nagar Rd, Vetturnimadam, Nagercoil, Tamil Nadu 629001",Vetturnimadam,8.184756199999999,77.4169103,ChIJTfrNE1vxBDsRVX0uML98CnI,https://www.google.com/maps/place/?q=place_id:ChIJTfrNE1vxBDsRVX0uML98CnI,part_266,2026-09-20 19:16:00
Ever Green Cabs,Taxi Service and Car Rental,Taxi service,Taxi service,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 94428 57056,http://evergreencabs.co.in/,5.0,1447.0,"Main Road, 503/1, Christu Nagar Rd, Nagercoil, Tamil Nadu 629003",629001,8.1856027,77.4170901,ChIJ0RTtP7bxBDsRPEbJMnLUO8M,https://www.google.com/maps/place/?q=place_id:ChIJ0RTtP7bxBDsRPEbJMnLUO8M,part_266,2026-09-20 19:16:00
Nagercoil Cabs,Taxi Service and Car Rental,Taxi service,Taxi service,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 63818 38703,http://nagercoilcabs.in/,5.0,30.0,"Holy Cross College Rd, Kurusady, Nagercoil, Tamil Nadu 629004",Kurusady,8.164811799999999,77.4180794,ChIJQ_bbGADxBDsRDt03h7b-DH4,https://www.google.com/maps/place/?q=place_id:ChIJQ_bbGADxBDsRDt03h7b-DH4,part_266,2026-09-20 19:16:00
Jey Holidays | Taxi service in Nagercoil,Taxi Service and Car Rental,Travel agency,"Travel agency, Bus tour agency, Car rental agency, Taxi service, Tour operator",629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 86672 11201,https://jeyholidays.in/,5.0,130.0,"1st Floor, Selva Complex, near SBI ATM, Putheri, Nagercoil, Tamil Nadu 629001",629001,8.21234,77.4319496,ChIJl0Mm1Tr3BDsRD06Mq41Tw-8,https://www.google.com/maps/place/?q=place_id:ChIJl0Mm1Tr3BDsRD06Mq41Tw-8,part_266,2026-09-20 19:16:00
City Cab 24*7 Taxi Services,Taxi Service and Car Rental,Taxi service,Taxi service,629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 88700 01387,https://www.facebook.com/Rajesh1009/,4.9,68.0,"3/108 Channalkarai Street, Peruvilai, Nagercoil, Tamil Nadu 629003",629001,8.190108,77.3995688,ChIJI4jo7UvxBDsR1onJcA8tAws,https://www.google.com/maps/place/?q=place_id:ChIJI4jo7UvxBDsR1onJcA8tAws,part_266,2026-09-20 19:16:00
Heavenly Angel Cabs,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Tour operator, Travel agency",629001,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,"Nagercoil H.O, Putheri B.O, Nesamony Nagar B.O",+91 93666 61193,https://heavenlyangelcabs.in/,5.0,16.0,"Medical College Road Ananthan Nager, Asaripallam, Nagercoil, Tamil Nadu 629003",629001,8.174359599999999,77.40055799999999,ChIJC_XMhVjxBDsRPSttALcqLUo,https://www.google.com/maps/place/?q=place_id:ChIJC_XMhVjxBDsRPSttALcqLUo,part_266,2026-09-20 19:16:00
