business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
தலக்கு மலை எஸ்டேட்,Real Estate Agents,Real estate agency,Real estate agency,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",N/A,N/A,4.0,,"C7X7+MXJ, Kadayal, Tamil Nadu 629101",629101,8.4500342,77.2640656,ChIJ5bEGFIpTBDsRzzgEFJ7P7o8,https://www.google.com/maps/place/?q=place_id:ChIJ5bEGFIpTBDsRzzgEFJ7P7o8,part_266,2026-09-20 19:18:53
Bp real estate,Real Estate Agents,Real estate consultant,Real estate consultant,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",N/A,N/A,1.0,,"95XF+W3, Karakonam, Keralam 695504",629101,8.3998362,77.1727756,ChIJbfAnd5itBTsRzpp-kmU5uus,https://www.google.com/maps/place/?q=place_id:ChIJbfAnd5itBTsRzpp-kmU5uus,part_266,2026-09-20 19:18:54
TAASC Amboori,Real Estate Agents,Real estate agency,Real estate agency,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",N/A,N/A,5.0,,"G53P+GV7, Amboori, Keralam 695505",629101,8.503834,77.18683999999999,ChIJqaHgDQCzBTsRU8AO1m7pn88,https://www.google.com/maps/place/?q=place_id:ChIJqaHgDQCzBTsRU8AO1m7pn88,part_266,2026-09-20 19:18:54
shajin mony agency,Real Estate Agents,Housing complex,Housing complex,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",N/A,N/A,,,"15-105, Kulasekharam Arumanai Rd, Vellamcode, Tamil Nadu 629151",629101,8.367016399999999,77.2467808,ChIJB6mqJABTBDsRWk2ljTTknqs,https://www.google.com/maps/place/?q=place_id:ChIJB6mqJABTBDsRWk2ljTTknqs,part_266,2026-09-20 19:18:54
Retnapuram,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",N/A,N/A,4.6,,"95JW+HXX, Melpala, Edaikodu, Tamil Nadu 629152",Melpala,8.3844836,77.1989423,ChIJJVgOK0dTBDsRqglzZcKSCcc,https://www.google.com/maps/place/?q=place_id:ChIJJVgOK0dTBDsRqglzZcKSCcc,part_266,2026-09-20 19:18:54
Zuliyo,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",+91 97917 33994,https://zuliyo.com/,,,"Arumanai, Tamil Nadu 629151",629101,8.3774784,77.2433404,ChIJo92Oxq1TBDsRL44lUFI0UNw,https://www.google.com/maps/place/?q=place_id:ChIJo92Oxq1TBDsRL44lUFI0UNw,part_266,2026-09-20 19:18:54
RAJ CONSTRUCTIONS,Real Estate Agents,Real estate agency,Real estate agency,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",N/A,N/A,,,"Vellamcode, Tamil Nadu 629151",629101,8.3670486,77.24063749999999,ChIJ0QDp2IFTBDsRQ0hbgO-uACQ,https://www.google.com/maps/place/?q=place_id:ChIJ0QDp2IFTBDsRQ0hbgO-uACQ,part_266,2026-09-20 19:18:54
ARUN LIC AGENT Vs PROFESSOR,Real Estate Agents,Apartment building,Apartment building,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",N/A,N/A,,,"96GF+G63, Arumanai, Tamil Nadu 629151",629101,8.376271899999999,77.2230522,ChIJZT3SsqZTBDsRBzYRnXLSZXE,https://www.google.com/maps/place/?q=place_id:ChIJZT3SsqZTBDsRBzYRnXLSZXE,part_266,2026-09-20 19:18:54
RVS CONSTRUCTIONS,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",N/A,N/A,3.7,,"9872+C6P DHN Building, Arasumood junction, Kulasekharam, Tamil Nadu 629161",629101,8.3677691,77.29926549999999,ChIJFVGJTgpXBDsRtdMArcDqyxY,https://www.google.com/maps/place/?q=place_id:ChIJFVGJTgpXBDsRtdMArcDqyxY,part_266,2026-09-20 19:18:54
Nayana Watches,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",+91 98465 24811,N/A,5.0,,"Neyyatinkara, Paliyodu, Keralam 695124",Neyyatinkara,8.4288056,77.1496848,ChIJZ_ez3QytBTsR0Pkylm7p3Ss,https://www.google.com/maps/place/?q=place_id:ChIJZ_ez3QytBTsR0Pkylm7p3Ss,part_266,2026-09-20 19:18:54
SAKTHI REAL-ESTATE ORG,Real Estate Agents,Real estate agency,Real estate agency,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",+91 99766 84698,http://sakthirealestate.co.in/,,,"3GPX+RMG, Sarvodhayagramam, Cape Rd, Kottaram, Tamil Nadu 629702",629101,8.0870667,77.5491979,ChIJ_z_vZjrtBDsRULovZVTlk10,https://www.google.com/maps/place/?q=place_id:ChIJ_z_vZjrtBDsRULovZVTlk10,part_266,2026-09-20 19:18:54
Star Real Estate,Real Estate Agents,Real estate agency,Real estate agency,629101,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Alancholai B.O, Arukani B.O, Maruthemparai B.O",N/A,N/A,,,"4-101A/2, Elanthaiyadi Rd, Parvathipuram, Tamil Nadu 629003",Parvathipuram,8.1969423,77.4019866,ChIJQ96XPMTxBDsRAnzxBiDGr3g,https://www.google.com/maps/place/?q=place_id:ChIJQ96XPMTxBDsRAnzxBiDGr3g,part_266,2026-09-20 19:18:54
