business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Singhal Building Material,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Brick Manufacturer, Bricklayer, Building materials market, Building materials supplier, Cement Manufacturer, Cement Supplier, Construction Material Wholesaler",629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 98383 33374,N/A,4.8,46,"Shop No. 533, 77, Mahanagar Extension, Dandiya Bazar, Mahanagar, Lucknow, Uttar Pradesh 226024","Mahanagar Extension, Dandiya Bazar, Mahanagar",26.884295299999998,80.95029869999999,ChIJn8dd2x79mzkR8h1MkFbEDvQ,https://www.google.com/maps/place/?q=place_id:ChIJn8dd2x79mzkR8h1MkFbEDvQ,part_266,2026-09-20 19:19:16
Arpit Stone Crusher,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Quarry, Aggregate supplier, Sand plant",629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 98935 12538,https://www.indiamart.com/arpit-stone-crusher/,4.5,22,"Bhopal Rd, Chanbad Kadeem, Berasia, Madhya Pradesh 462101",Chanbad Kadeem,23.469089,77.383663,ChIJMzjCyXZwfDkRp-wdNU3t_vI,https://www.google.com/maps/place/?q=place_id:ChIJMzjCyXZwfDkRp-wdNU3t_vI,part_266,2026-09-20 19:19:16
Ex Serviceman Cement Store,Cement and Sand Supplier,Building materials supplier,Building materials supplier,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 79 4253 4945,http://exservicemancementstore.com/,4.4,13,"1J/3 & 1J/4, Shaheed Dal Bahadur Marg, Vasundhara Enclave, Garhi Cantt, Dehradun, Uttarakhand 248003","Vasundhara Enclave, Garhi Cantt",30.3512445,78.0192338,ChIJlxpyvbDXCDkRWGdIzupmR9M,https://www.google.com/maps/place/?q=place_id:ChIJlxpyvbDXCDkRWGdIzupmR9M,part_266,2026-09-20 19:19:16
KRISHAN CHANDRA AGARWAL,Cement and Sand Supplier,Building materials store,Building materials store,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 81716 92200,N/A,4.9,148,"Faridpur, Uttar Pradesh 243503",629102,28.2056887,79.5431979,ChIJ-UMeydD5nzkROU5bZVedAJQ,https://www.google.com/maps/place/?q=place_id:ChIJ-UMeydD5nzkROU5bZVedAJQ,part_266,2026-09-20 19:19:16
Hyderabad Rock Sand,Cement and Sand Supplier,Crushed stone supplier,Crushed stone supplier,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 92480 46409,N/A,4.7,13,"Street No:4, Av Apartment, Nandanavan Colony St, SS Nagar, Habsiguda, Hyderabad, Telangana 500007","SS Nagar, Habsiguda",17.413292,78.544007,ChIJsXWS-kGZyzsR43_kIoZ1rKo,https://www.google.com/maps/place/?q=place_id:ChIJsXWS-kGZyzsR43_kIoZ1rKo,part_266,2026-09-20 19:19:16
Aman Associate & Construction,Cement and Sand Supplier,Building materials supplier,Building materials supplier,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 98979 37788,N/A,5.0,17,"Arcadia Grant Road Gorakhpur, near MS Farm, Dehradun, Uttarakhand 248007","Shahpur, Indian Military Academy",30.3164704,77.9710705,ChIJF4qDIT4rCTkRRHjJqrm2s5M,https://www.google.com/maps/place/?q=place_id:ChIJF4qDIT4rCTkRRHjJqrm2s5M,part_266,2026-09-20 19:19:16
Shri Gajanan Stone Crusher,Cement and Sand Supplier,Building materials supplier,"Building materials supplier, Crushed stone supplier",629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,N/A,http://shivshambhoinfra.com/,4.1,8,"Office: Shop No. 4, Swastik Chamber, Pathardi Phata, Nashik Plant: Sarul, Gat No. 36/1/2, Nashik-422010, Nashik, Maharashtra 422009",Ashwin Nagar,19.9572079,73.757736,ChIJZyl_I1Lr3TsRmdaJMeP-_fA,https://www.google.com/maps/place/?q=place_id:ChIJZyl_I1Lr3TsRmdaJMeP-_fA,part_266,2026-09-20 19:19:16
CHANGEDIYA ENTERPRISES,Cement and Sand Supplier,Building materials store,Building materials store,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,N/A,N/A,3.0,2,"SR NO 98, Wagholi Rd, Yojna Nagar, Pune International Airport Area, Lohegaon, Pune, Maharashtra 411047","Yojna Nagar, Pune International Airport Area, Lohegaon",18.5906683,73.95054329999999,ChIJIR0RJw_EwjsRs_GdD-rxAK4,https://www.google.com/maps/place/?q=place_id:ChIJIR0RJw_EwjsRs_GdD-rxAK4,part_266,2026-09-20 19:19:16
Hirange Industries,Cement and Sand Supplier,Building materials market,Building materials market,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,N/A,N/A,4.5,4,"GVXC+Q3P, 31st Mile, near Inchiyani Service Co- operative bank, Mundakayam, Keralam 686513",629102,9.549472399999999,76.8701966,ChIJQRl8VQBJBjsRboP3gDkfZs0,https://www.google.com/maps/place/?q=place_id:ChIJQRl8VQBJBjsRboP3gDkfZs0,part_266,2026-09-20 19:19:18
Popsons Enterprises,Cement and Sand Supplier,Hardware store,Hardware store,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 4828 272 355,N/A,4.2,56,"220, Kollam - Theni Hwy, Mundakayam, Keralam 686513",629102,9.5396001,76.8828573,ChIJ9YH9TA1JBjsRKpF1I298AV4,https://www.google.com/maps/place/?q=place_id:ChIJ9YH9TA1JBjsRKpF1I298AV4,part_266,2026-09-20 19:19:18
River Sand Dealers,Cement and Sand Supplier,Sand & gravel supplier,Sand & gravel supplier,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 99000 36207,N/A,2.3,10,"34, 4th E Cross Rd, Marappa Industrial Estate, Sannakki Bayalu, Vinayaka Nagar, Kamakshipalya, Bengaluru, Karnataka 560079","Marappa Industrial Estate, Sannakki Bayalu, Vinayaka Nagar, Kamakshipalya",12.988132,77.5255438,ChIJ2wx_6bA9rjsRIf6WBTkhbKg,https://www.google.com/maps/place/?q=place_id:ChIJ2wx_6bA9rjsRIf6WBTkhbKg,part_266,2026-09-20 19:19:18
