business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Harini Honda Showroom Asc,Two Wheeler Showroom and Dealer,Honda dealer,Honda dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 82200 20079,N/A,3.7,66.0,"SH 179, Kanjampuram, Nithiravilai, Ezhudesam B, Tamil Nadu 629154",Kanjampuram,8.2721241,77.15009859999999,ChIJhWtetH8ABTsRv1o9ssmZXcE,https://www.google.com/maps/place/?q=place_id:ChIJhWtetH8ABTsRv1o9ssmZXcE,part_266,2026-09-20 19:19:12
Marthandam auto consulting,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 96262 35266,N/A,4.3,6.0,"8657+R85, Vettuvenni, Marthandam, Tamil Nadu 629165",Vettuvenni,8.3095222,77.2133521,ChIJTVVVu1JVBDsRcJEzzBu5MkY,https://www.google.com/maps/place/?q=place_id:ChIJTVVVu1JVBDsRcJEzzBu5MkY,part_266,2026-09-20 19:19:12
apollon motors,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 91634 53000,https://www.royalenfield.com/in/en/locate-us/dealers/apollon-motors-llp/?lat=22.580727&long=88.2066097&country=India&city=Howrah,4.6,2434.0,"New Kolorah Nh 6, Alampur Dhulagarh, Andul, West Bengal 711411",Andul,22.5807196,88.2066751,ChIJq2OlB714AjoR9yWmKukazkE,https://www.google.com/maps/place/?q=place_id:ChIJq2OlB714AjoR9yWmKukazkE,part_266,2026-09-20 19:19:14
Laxmi Automobiles - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 92899 22309,https://dealers.heromotocorp.com/hero-motocorp/dealer-in-solapur/dealer-in-Murarji-Peth/laxmi-automobiles-hero-motocorp-in-Murarji-Peth-solapur--545gYY/home,4.8,3795.0,"Next Prabhat Talkies, 98, Kalgonda Bhavan, Murarji Peth, Solapur, Maharashtra 413001",Murarji Peth,17.675077899999998,75.8994713,ChIJOQLuI4DQxTsRp5VNtcIqD78,https://www.google.com/maps/place/?q=place_id:ChIJOQLuI4DQxTsRp5VNtcIqD78,part_266,2026-09-20 19:19:14
Lokseva Honda,Two Wheeler Showroom and Dealer,Motor vehicle dealer,Motor vehicle dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 77200 66801,https://dealers.honda2wheelersindia.com/honda-in-maharashtra-mohol-near-netaji-college-31782,4.3,165.0,"NH-65, near Netaji college, Mohol, Maharashtra 413213",629102,17.8039047,75.6509294,ChIJ2-hpTHE0xDsR0yX72B9tNhE,https://www.google.com/maps/place/?q=place_id:ChIJ2-hpTHE0xDsR0yX72B9tNhE,part_266,2026-09-20 19:19:14
Chavan Automobiles - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 92899 22692,https://dealers.heromotocorp.com/hero-motocorp/dealer-in-solapur/dealer-in-Akkalkot-Road/chavan-automobiles-hero-motocorp-in-Akkalkot-Road-solapur--1Il1a9/home,4.8,3567.0,"Shop No 150, Akkalkot Rd, near Midc Post Office, Rajiv Nagar, Rangraj Nagar, Solapur, Maharashtra 413006","Rajiv Nagar, Rangraj Nagar",17.6709554,75.9388347,ChIJ-f9M_XPaxTsR-leUA3vpLxM,https://www.google.com/maps/place/?q=place_id:ChIJ-f9M_XPaxTsR-leUA3vpLxM,part_266,2026-09-20 19:19:14
Sisodia Automobiles Pvt Ltd - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 92899 22422,https://dealers.heromotocorp.com/hero-motocorp/dealer-in-chittorgarh/dealer-in-Old-Industrial-Area/sisodia-automobiles-pvt-ltd-hero-motocorp-in-Old-Industrial-Area-chittorgarh--4SPxjH/home,4.9,3365.0,"No 31, Bye Pass Road, Old Industrial Area, Sinchai Nagar, Chittorgarh, Rajasthan 312001","Old Industrial Area, Sinchai Nagar",24.897497599999998,74.6201693,ChIJKy8QorChaDkRXlnHgbC44Ls,https://www.google.com/maps/place/?q=place_id:ChIJKy8QorChaDkRXlnHgbC44Ls,part_266,2026-09-20 19:19:14
All WHEEL INDIA,Two Wheeler Showroom and Dealer,Motor vehicle dealer,Motor vehicle dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 86976 30716,N/A,4.8,89.0,"12 Swami, Vivekananda Sarani Rd, Italgacha, Motilal Colony, Rajbari, Dum Dum, Kolkata, West Bengal 700079","Italgacha, Motilal Colony, Rajbari, Dum Dum",22.6448644,88.4300129,ChIJ08ri__af-DkRokZfHK_-wXM,https://www.google.com/maps/place/?q=place_id:ChIJ08ri__af-DkRokZfHK_-wXM,part_266,2026-09-20 19:19:14
"Suzuki Motorcycle (Sona Autosales Suzuki, Chittorgarh, Pratap Nagar)",Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 96190 59338,https://www.suzukimotorcyclechittor.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.7,194.0,"Pratap Nagar, Chittorgarh, Rajasthan 312001",Pratap Nagar,24.873598299999998,74.622451,ChIJgcOWl56haDkRYsYpp3GRnxc,https://www.google.com/maps/place/?q=place_id:ChIJgcOWl56haDkRYsYpp3GRnxc,part_266,2026-09-20 19:19:14
Aryan Auto Consultant,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Two Wheeler Repair Shop, Used motorcycle dealer",629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 98250 95190,https://www.instagram.com/aryanautoconsultant/,5.0,8.0,"Shop No 1, Maruti Darshan Complex, near BOI ATM, Umiya Nagar, Mundra, Baroi, Gujarat 370421",Umiya Nagar,22.847108499999997,69.7285522,ChIJFfXzchPVUDkRGy2962cSuAo,https://www.google.com/maps/place/?q=place_id:ChIJFfXzchPVUDkRGy2962cSuAo,part_266,2026-09-20 19:19:14
NASHTE HONDA,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 2185 222 025,N/A,4.3,481.0,"866, Gandhi Chowk, Sumitra Nagar, Akluj, Maharashtra 413101",Sumitra Nagar,17.8914059,75.0169394,ChIJAcYAr8N1xDsR9-39oB-Thqk,https://www.google.com/maps/place/?q=place_id:ChIJAcYAr8N1xDsR9-39oB-Thqk,part_266,2026-09-20 19:19:14
Narmada Honda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 94901 40702,http://www.narmadahonda.com/,4.8,11369.0,"Hanumanpura, Old Palamoor, Mahbubnagar, Telangana 509001","Hanumanpura, Old Palamoor",16.7341257,77.9868824,ChIJKxpskzomyjsR44ruqM1UlQc,https://www.google.com/maps/place/?q=place_id:ChIJKxpskzomyjsR44ruqM1UlQc,part_266,2026-09-20 19:19:14
MORYA TVS,Two Wheeler Showroom and Dealer,Motor vehicle dealer,Motor vehicle dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 81491 28380,N/A,4.2,850.0,"Birla hospital road, Datta Nagar, Thergaon, Pune, Pimpri-Chinchwad, Maharashtra 411033","Datta Nagar, Thergaon",18.624125499999998,73.7755801,ChIJAdVltdq5wjsRpSOfi3TM9E4,https://www.google.com/maps/place/?q=place_id:ChIJAdVltdq5wjsRpSOfi3TM9E4,part_266,2026-09-20 19:19:14
Balaji Automotive - Two-Wheeler Supplier in Ahmedabad,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 98256 15448,https://2wheelershop.com/,4.7,14.0,"Mangleshwar Apartment, A/6, 132 feet Ring Road, near Mangleshwar Mahadev, Mangleshwar Mahadev, Ghodasar, Ahmedabad, Gujarat 380050","Mangleshwar Mahadev, Ghodasar",22.984137999999998,72.60552849999999,ChIJhdyveJyFXjkRiVQzS1aO9IA,https://www.google.com/maps/place/?q=place_id:ChIJhdyveJyFXjkRiVQzS1aO9IA,part_266,2026-09-20 19:19:14
ARNAV MOTORS MULTI BRAND SHOWROOM,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 93302 93213,N/A,4.1,,"21, Andul Rd, Haskhali Pole, Shibpur, Howrah, West Bengal 711109","Haskhali Pole, Shibpur",22.5655821,88.2819829,ChIJgyMDyRJ_AjoRuuOq0BICWhA,https://www.google.com/maps/place/?q=place_id:ChIJgyMDyRJ_AjoRuuOq0BICWhA,part_266,2026-09-20 19:19:14
Royal Enfield Showroom- Anmol Motors,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 91676 18147,https://dealers.royalenfield.com/odisha/cuttack/arunday-nagar-anmol-motors-9110074230?utm_source=GMBlisting&utm_medium=organic,4.5,,"Link Rd, opp. LIC Office, Arunday Nagar, Kataka, Odisha 753012",Arunday Nagar,20.4502945,85.8931082,ChIJi_-uk5sNGToRG0Fq1uSxlOQ,https://www.google.com/maps/place/?q=place_id:ChIJi_-uk5sNGToRG0Fq1uSxlOQ,part_266,2026-09-20 19:19:14
BeamTorque,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,629102,Tamilnadu Circle,"Southern Region, Madurai",Kanniyakumari Division,Kodayarkilthangal S.O,+91 62921 98189,N/A,4.9,,"446, Monalisa Building, Mahiary Jagachha Rd, near Ramrajatala Station Road, Jagacha, Howrah, West Bengal 711112",Jagacha,22.5889506,88.2954498,ChIJTzX-jHV5AjoRfjqLqzTY3oo,https://www.google.com/maps/place/?q=place_id:ChIJTzX-jHV5AjoRfjqLqzTY3oo,part_266,2026-09-20 19:19:14
