business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KF Air Travels,Bus Booking Agency,Airline ticket agency,"Airline ticket agency, Bus ticket agency, Graphic designer, Tour agency, Railway Ticket Agent, Travel agency",629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 74188 46871,N/A,4.7,,"vattavilai, MDR941, Pacode, Tamil Nadu 629168",629151,8.3324967,77.2104815,ChIJy6Nvkb9UBDsRLD4l7UVZQxo,https://www.google.com/maps/place/?q=place_id:ChIJy6Nvkb9UBDsRLD4l7UVZQxo,part_266,2026-09-20 19:19:53
MANGALAM TRAVEL & TOURS | Marthandam,Bus Booking Agency,Travel agency,"Travel agency, Bus tour agency, Sightseeing Tour Operator, Tour operator, Tourist attraction, Tourist information center",629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 95855 41102,https://mangalamtravel.com/,4.4,,"1st Floor, Vasantham Towers, near Nallaperumal Textiles, Marthandam, Tamil Nadu 629165",629151,8.306574699999999,77.2236848,ChIJTwTlKRFVBDsRplwUHA4mrT8,https://www.google.com/maps/place/?q=place_id:ChIJTwTlKRFVBDsRplwUHA4mrT8,part_266,2026-09-20 19:19:53
BLOSSOM TOURS AND TRAVELS,Bus Booking Agency,Travel agency,Travel agency,629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 88385 69822,N/A,4.0,,"Blossom Tours and Travels, Chandra Campus, SH 90, Marthandam, Tamil Nadu 629165",629151,8.3069755,77.2219004,ChIJ7SROMsVVBDsRSawcFs7CQEU,https://www.google.com/maps/place/?q=place_id:ChIJ7SROMsVVBDsRSawcFs7CQEU,part_266,2026-09-20 19:19:53
Yehova Tours & Travels,Bus Booking Agency,Travel agency,"Travel agency, Bus ticket agency, Tour operator, Train ticket office, Visa and passport office",629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 70105 01532,N/A,5.0,,"Infant Jesus Arcade Building, 16:234-3, Kanyakumari, Colachel, Tamil Nadu 629251",16:234-3,8.1781981,77.2531491,ChIJJ6xOYLf9BDsRGIm4ekl-Fvk,https://www.google.com/maps/place/?q=place_id:ChIJJ6xOYLf9BDsRGIm4ekl-Fvk,part_266,2026-09-20 19:19:53
NYHAN TRAVELS,Bus Booking Agency,Travel agency,Travel agency,629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 94435 00577,N/A,4.7,18.0,"FIRST FLOOR, Monday Market - Colachel Rd, near BUS STAND AUTO STAND, Nagercoil, Thingalnagar, Tamil Nadu 629802",629151,8.2004853,77.30315,ChIJ-Yr8Y3b5BDsR5Iak7YXOAQM,https://www.google.com/maps/place/?q=place_id:ChIJ-Yr8Y3b5BDsR5Iak7YXOAQM,part_266,2026-09-20 19:19:54
M.R.TRAVELS,Bus Booking Agency,Travel agency,Travel agency,629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 90257 40996,N/A,4.8,39.0,"Trivandrum - Nagercoil Hwy, near BUS STAND, Brammapuram South, Padmanabhapuram, Tamil Nadu 629175",Brammapuram South,8.2433354,77.3181802,ChIJ_ZbnWaD5BDsRlzIfBM5JqWg,https://www.google.com/maps/place/?q=place_id:ChIJ_ZbnWaD5BDsRlzIfBM5JqWg,part_266,2026-09-20 19:19:54
La Saleth Travels Pvt. Ltd.,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Bus ticket agency, Bus tour agency, Hotel, Sightseeing Tour Operator, Tour agency, Tour operator, Railway Ticket Agent, Visa Agent",629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 80737 01482,https://www.lasalethtravels.com/,5.0,,"Dharmi's Complex, Main Road, Kaliyakkavilai, Tamil Nadu 629153",629151,8.334197699999999,77.1721128,ChIJMVJpWEqrBTsRBa9tEjcSHf8,https://www.google.com/maps/place/?q=place_id:ChIJMVJpWEqrBTsRBa9tEjcSHf8,part_266,2026-09-20 19:19:54
Indus Green Holidays,Bus Booking Agency,Travel agency,Travel agency,629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 96008 03040,http://www.indusgreenholidays.com/,4.7,,"Marthandam, Tamil Nadu 629165",629151,8.307027099999999,77.22216039999999,ChIJzSsP1hZVBDsRv3yB5myyMYk,https://www.google.com/maps/place/?q=place_id:ChIJzSsP1hZVBDsRv3yB5myyMYk,part_266,2026-09-20 19:19:54
Joha Holidays,Bus Booking Agency,Bus tour agency,Bus tour agency,629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",N/A,N/A,5.0,,"C59W+C35, Malayinkavu Rd, Keralam 695504",629151,8.4185123,77.195225,ChIJ-wNGLQBTBDsRReGoPmh89-w,https://www.google.com/maps/place/?q=place_id:ChIJ-wNGLQBTBDsRReGoPmh89-w,part_266,2026-09-20 19:19:54
SUN TRAVELS,Bus Booking Agency,Travel agency,Travel agency,629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",N/A,N/A,1.6,,"863F+8CV Lekshmi Complex, Market Rd, near Bus Stand, Marthandam, Tamil Nadu 629165",629151,8.3055445,77.2236759,ChIJxch0vQZVBDsRo9R1o75ZSQ0,https://www.google.com/maps/place/?q=place_id:ChIJxch0vQZVBDsRo9R1o75ZSQ0,part_266,2026-09-20 19:19:54
BLUE WINGS TOURLINES,Bus Booking Agency,Travel agency,Travel agency,629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 93856 68196,N/A,4.9,,"Granoor kuzhi veedu, Cheruvallur, Puliyoorsalai, Tamil Nadu 629152",629151,8.4184824,77.1968363,ChIJZanaUBFTBDsR99M89Zyevzw,https://www.google.com/maps/place/?q=place_id:ChIJZanaUBFTBDsR99M89Zyevzw,part_266,2026-09-20 19:19:54
DIFFI Travels & Communication,Bus Booking Agency,Travel agency,Travel agency,629151,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Chitharal B.O, Karod B.O, Manjalumoodu B.O",+91 97507 89952,N/A,4.8,,"Marappady, Arumanai, Vellamcode, Tamil Nadu 629151",Marappady,8.3641466,77.25221239999999,ChIJ_-2VKZtTBDsR_WrY3DYYYlk,https://www.google.com/maps/place/?q=place_id:ChIJ_-2VKZtTBDsR_WrY3DYYYlk,part_266,2026-09-20 19:19:54
