business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Fitness Box Studio,Gym and Fitness Center,Gym,Gym,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 90424 09768,N/A,5.0,162.0,"Jino Complex, College Street, Thoothoor, Nithiravilai, Tamil Nadu 629154",Thoothoor,8.2724475,77.14346689999999,ChIJGw3i-4sBBTsRPeRoHmkAgyc,https://www.google.com/maps/place/?q=place_id:ChIJGw3i-4sBBTsRPeRoHmkAgyc,part_267,2026-09-20 19:01:57,1620
Avs fitness center,Gym and Fitness Center,Fitness center,Fitness center,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,5.0,1.0,"75W9+MRP, near rc church, S.T.Mankad, Arudesam, Tamil Nadu 629172",629172,8.2967099,77.1695925,ChIJpUicMgCrBTsRi4el4_H-myo,https://www.google.com/maps/place/?q=place_id:ChIJpUicMgCrBTsRi4el4_H-myo,part_267,2026-09-20 19:01:57,1621
RR Multi Gym,Gym and Fitness Center,Gym,Gym,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 94444 49111,N/A,4.3,36.0,"Puthukkadai Rd, Kalingarajapuram, Kanjampuram, Nithiravilai, Ezhudesam, Tamil Nadu 629154","Kalingarajapuram, Kanjampuram",8.2758004,77.1413259,ChIJXfVEQIAABTsRmowBI08D3_A,https://www.google.com/maps/place/?q=place_id:ChIJXfVEQIAABTsRmowBI08D3_A,part_267,2026-09-20 19:01:57,1622
Jb fitness studio (unisex gym),Gym and Fitness Center,Fitness center,Fitness center,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,5.0,29.0,"Adaikakuzhi junction, bus stop, Chengavila, Tamil Nadu 695502",629172,8.3276446,77.1383146,ChIJhUE94eKrBTsRGbfF-rQRjoU,https://www.google.com/maps/place/?q=place_id:ChIJhUE94eKrBTsRGbfF-rQRjoU,part_267,2026-09-20 19:01:57,1623
Iron World,Gym and Fitness Center,Gym,Gym,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,https://www.instagram.com/ironworld568/?hl=en,5.0,5.0,"74RX+H3R, Nadaikavu, Methukummal, Tamil Nadu 629153",629172,8.2914975,77.14764869999999,ChIJVV_tdQCrBTsRY6Ek-hAWYX4,https://www.google.com/maps/place/?q=place_id:ChIJVV_tdQCrBTsRY6Ek-hAWYX4,part_267,2026-09-20 19:01:57,1624
Extreme fitness health centre & gym,Gym and Fitness Center,Fitness center,"Fitness center, Gym",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 83002 33466,N/A,4.9,180.0,"Rathi plaza, opp. Government hospital, Padmanabhapuram, Tamil Nadu 629175",629172,8.2480633,77.3140499,ChIJaaDG2er5BDsRUt2IPhoPXy0,https://www.google.com/maps/place/?q=place_id:ChIJaaDG2er5BDsRUt2IPhoPXy0,part_267,2026-09-20 19:01:57,1625
A2 ladies fitness studio,Gym and Fitness Center,Gym,Gym,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,5.0,1.0,"74GR+8GG, Kalingarajapuram, Nithiravilai, Tamil Nadu 629154",Kalingarajapuram,8.2758004,77.1413259,ChIJHdcHcwCrBTsRJID5mJMWQbQ,https://www.google.com/maps/place/?q=place_id:ChIJHdcHcwCrBTsRJID5mJMWQbQ,part_267,2026-09-20 19:01:57,1626
RR FITNESS CENTRE,Gym and Fitness Center,Gym,Gym,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 94444 49111,N/A,4.6,43.0,"863C+FH3, Marthandam, Tamil Nadu 629165",629172,8.3025234,77.2206944,ChIJwWlEs1ZVBDsRhw393cudVWs,https://www.google.com/maps/place/?q=place_id:ChIJwWlEs1ZVBDsRhw393cudVWs,part_267,2026-09-20 19:01:57,1627
R R Fitness Center,Gym and Fitness Center,Gym,Gym,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,3.7,34.0,"74RX+W9P, Nadaikavu, Methukummal, Tamil Nadu 629153",629172,8.2923253,77.1484517,ChIJJ3UX32GqBTsRNaOgK2yVqck,https://www.google.com/maps/place/?q=place_id:ChIJJ3UX32GqBTsRNaOgK2yVqck,part_267,2026-09-20 19:01:57,1628
v2 fitness centre,Gym and Fitness Center,Fitness center,Fitness center,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,5.0,81.0,"thangaraj complex, kadamalai, kundru, Mekkamandapam, Tamil Nadu 629166",629172,8.2797684,77.2983867,ChIJGzPrtN5XBDsROvJbVi8uq6w,https://www.google.com/maps/place/?q=place_id:ChIJGzPrtN5XBDsROvJbVi8uq6w,part_267,2026-09-20 19:01:57,1629
T2 Fitness Marthandam,Gym and Fitness Center,Fitness center,Fitness center,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 97891 24040,N/A,4.8,73.0,"863J+4JG, Pammam Rd, Marthandam, Tamil Nadu 629165",629172,8.3028005,77.2315912,ChIJXUWHm_BVBDsRXMqMfhXzBEQ,https://www.google.com/maps/place/?q=place_id:ChIJXUWHm_BVBDsRXMqMfhXzBEQ,part_267,2026-09-20 19:01:57,1630
JPS GYM & Fitness,Gym and Fitness Center,Gym,Gym,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 98402 02595,N/A,5.0,50.0,"Melasankarankuzhi Rd, Perumselvavilai, Vembanoor West, Tamil Nadu 629201",629172,8.156435799999999,77.3699592,ChIJNUd2Ts77BDsRwHCm6BhcerQ,https://www.google.com/maps/place/?q=place_id:ChIJNUd2Ts77BDsRwHCm6BhcerQ,part_267,2026-09-20 19:01:57,1631
