business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
AYSHWARYA MOBILES SALES AND SERVICE,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 99945 85878,N/A,3.9,,"AYSHWARYA MOBILE And Service Building, opp. Apollo Pharmacy, Padanthalumoodu, Kaliyakkavilai, Tamil Nadu 629163",629172,8.3244391,77.1808497,ChIJne5n0CWrBTsRMLm8zVLP-3s,https://www.google.com/maps/place/?q=place_id:ChIJne5n0CWrBTsRMLm8zVLP-3s,part_267,2026-09-20 19:02:14,3827
MGA Mobiles,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,5.0,,"Market Rd, Padmanabhapuram, Tamil Nadu 629175",629172,8.2438688,77.31922449999999,ChIJy828KwD5BDsRCepj3htfxPU,https://www.google.com/maps/place/?q=place_id:ChIJy828KwD5BDsRCepj3htfxPU,part_267,2026-09-20 19:02:14,3828
Mobile Shoppy,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Computer store, Mobile phone repair shop, Prepaid SIM card store",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 82484 40304,N/A,4.5,,"P.P.K Hospital, Chandra Studio Building, Near, Main Road, opposite to Thangam Traders, Marthandam, Tamil Nadu 629165",629172,8.3068551,77.22206489999999,ChIJI4uEGBdVBDsRT7tgHRAtAl4,https://www.google.com/maps/place/?q=place_id:ChIJI4uEGBdVBDsRT7tgHRAtAl4,part_267,2026-09-20 19:02:14,3829
Saliha Mobiles,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 99445 59394,N/A,4.8,,"Nadukkadai Junction, Muthalakurichi, Tamil Nadu 629174",629172,8.2433648,77.30155719999999,ChIJRYbWydv4BDsR_r6CYJHFc9I,https://www.google.com/maps/place/?q=place_id:ChIJRYbWydv4BDsR_r6CYJHFc9I,part_267,2026-09-20 19:02:14,3830
Dhwaraha Mobiles,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 93631 39390,N/A,4.7,,"Building, G10, P.P Munisamy Complex, Marthandam-Thengapattanam Rd, Vettuvenni Junction, Kuzhithurai, Marthandam, Tamil Nadu 629165",Vettuvenni Junction,8.3098873,77.2122431,ChIJETidYvBVBDsR4LUqYFkgOdA,https://www.google.com/maps/place/?q=place_id:ChIJETidYvBVBDsR4LUqYFkgOdA,part_267,2026-09-20 19:02:14,3831
Rohan Mobiles,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 99943 24136,https://www.bajajfinserv.in/,4.2,,"Market Rd, near Gandhi Maidanam, Marthandam, Tamil Nadu 629165",629172,8.3053697,77.2238512,ChIJaeleNhFVBDsRDVe1rv_XVKY,https://www.google.com/maps/place/?q=place_id:ChIJaeleNhFVBDsRDVe1rv_XVKY,part_267,2026-09-20 19:02:14,3832
Hi-Tech Mobiles,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 70123 77268,https://whatsapp.com/channel/0029Va4aNfI0bIdwOdUyvl02,5.0,,"kaliyakkavilai, NH Road, opp. rajan metals, kaliyakkavila, Tamil Nadu 629153",629172,8.3336948,77.1720555,ChIJJWBFV3erBTsRDWhUcXSMFgA,https://www.google.com/maps/place/?q=place_id:ChIJJWBFV3erBTsRDWhUcXSMFgA,part_267,2026-09-20 19:02:14,3833
Sky Mobiles,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 90809 08044,N/A,4.5,,"Hayath plazza, Beach Road, opposite KL 01, MEANSWEAR, Colachel, Tamil Nadu 629251",MEANSWEAR,8.1771102,77.2518863,ChIJHfypmTP9BDsRhzTliIMjJcs,https://www.google.com/maps/place/?q=place_id:ChIJHfypmTP9BDsRhzTliIMjJcs,part_267,2026-09-20 19:02:14,3834
Nilas,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Electronics store",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 95855 26831,N/A,3.9,,"Market Rd, opp. Canara Bank, Marthandam, Tamil Nadu 629165",629172,8.3016399,77.2231147,ChIJqackfxRVBDsRVCJumeW1P2c,https://www.google.com/maps/place/?q=place_id:ChIJqackfxRVBDsRVCJumeW1P2c,part_267,2026-09-20 19:02:14,3835
Priya MOBILES,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,5.0,,"85MC+VQC, Kaliyakkavilai, Tamil Nadu 629153",629172,8.3346973,77.17190099999999,ChIJL-mtBj6rBTsRzI0JhEAx_MA,https://www.google.com/maps/place/?q=place_id:ChIJL-mtBj6rBTsRzI0JhEAx_MA,part_267,2026-09-20 19:02:14,3836
