business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Annapoorna Textiles,Textile Wholesaler and Fabric Merchant,Clothing wholesaler,"Clothing wholesaler, Clothing wholesale market place",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 94435 70267,N/A,3.9,24.0,"Thiruvananthapuram main road, Marthandam, Tamil Nadu 629165",629172,8.3076881,77.21925499999999,ChIJmUT_PRdVBDsRaeVI7AfkRqs,https://www.google.com/maps/place/?q=place_id:ChIJmUT_PRdVBDsRaeVI7AfkRqs,part_267,2026-09-20 19:01:49,869
Sunshine Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 44 2597 2829,N/A,4.1,17.0,"Junction, Bus Stop, Thiruvattar - Thingal Nagar Rd, Mekkamandapam, Tamil Nadu 629166",629172,8.282695499999999,77.29930139999999,ChIJEU3HFaBXBDsRxfhK13kdqSg,https://www.google.com/maps/place/?q=place_id:ChIJEU3HFaBXBDsRxfhK13kdqSg,part_267,2026-09-20 19:01:49,870
Chithra textile wholesaler,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 94951 10730,N/A,4.1,218.0,"Pazhayakadalane, Balaramapuram, Keralam 695501",Pazhayakadalane,8.4244127,77.0464801,ChIJ37mZ9MivBTsRTVJwW5-qOc0,https://www.google.com/maps/place/?q=place_id:ChIJ37mZ9MivBTsRTVJwW5-qOc0,part_267,2026-09-20 19:01:49,871
Samuel Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 86754 33378,N/A,4.1,27.0,"NH47, Marthandam, Tamil Nadu 629165",629172,8.306616199999999,77.2234356,ChIJ8QZg1RBVBDsRGY0rL5JMS0U,https://www.google.com/maps/place/?q=place_id:ChIJ8QZg1RBVBDsRGY0rL5JMS0U,part_267,2026-09-20 19:01:49,872
D R Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 4651 256 595,N/A,3.4,201.0,"68R9+XM5, NH 66, Padmanabhapuram, Tamil Nadu 629175",629172,8.2423913,77.31923599999999,ChIJFRJJYeP4BDsRnmP_GwTr8s8,https://www.google.com/maps/place/?q=place_id:ChIJFRJJYeP4BDsRnmP_GwTr8s8,part_267,2026-09-20 19:01:49,873
Sree Krishna Tex,Textile Wholesaler and Fabric Merchant,Clothing store,"Clothing store, Shopping mall",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 90478 28141,N/A,4.8,11.0,"1/165, Eathamozhi Rd, Perumal Nagar, Nagercoil, Tamil Nadu 629002",Perumal Nagar,8.1594895,77.4266987,ChIJW_9nnAHxBDsRoruQqSOei_Q,https://www.google.com/maps/place/?q=place_id:ChIJW_9nnAHxBDsRoruQqSOei_Q,part_267,2026-09-20 19:01:49,874
A.P.S. & Co. Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 79047 24652,https://sites.google.com/view/apstextiles/home,4.5,11.0,"26 B, Asarimar S St, Meenakshipuram, Vadiveeswaram Village, Ozhuginasery, Nagercoil, Tamil Nadu 629002","Meenakshipuram, Vadiveeswaram Village",8.180925799999999,77.4358349,ChIJleQqyjzxBDsR7AztWoEsIZk,https://www.google.com/maps/place/?q=place_id:ChIJleQqyjzxBDsR7AztWoEsIZk,part_267,2026-09-20 19:01:49,875
Kolkata Ready Mades,Textile Wholesaler and Fabric Merchant,Fabric store,Fabric store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 96774 45013,N/A,3.0,2.0,"4/6, Kanniyakumari, Tamil Nadu 629702",629172,8.079484899999999,77.5498965,ChIJc2gpsdztBDsR3qVMsvIpS3g,https://www.google.com/maps/place/?q=place_id:ChIJc2gpsdztBDsR3qVMsvIpS3g,part_267,2026-09-20 19:01:49,876
Ganesh Textiles,Textile Wholesaler and Fabric Merchant,Dress store,Dress store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,4.5,11.0,"6823+C86, Thiruvattar - Colachel Rd, Neyyoor, Tamil Nadu 629802",629172,8.2010572,77.3031735,ChIJayB9jlv5BDsRK5hx1Jborhg,https://www.google.com/maps/place/?q=place_id:ChIJayB9jlv5BDsRK5hx1Jborhg,part_267,2026-09-20 19:01:49,877
Priya Tex,Textile Wholesaler and Fabric Merchant,Textiles,Textiles,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 4651 289 788,N/A,4.0,216.0,"77WV+577, Manalikarai Road, Verkilambi Junction, Verkilambi - Chitramcode Rd, Verkilambi, Tamil Nadu 629166",629172,8.295418,77.2931689,ChIJXRl7pw5WBDsR3UzgzejLvWQ,https://www.google.com/maps/place/?q=place_id:ChIJXRl7pw5WBDsR3UzgzejLvWQ,part_267,2026-09-20 19:01:49,878
Father Garments,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 82201 18282,N/A,5.0,2.0,"4/71-6, Ransom Complex, Tamil Nadu 629702",629172,8.086537,77.5503397,ChIJDZmFRb7tBDsRALJk82V2Awg,https://www.google.com/maps/place/?q=place_id:ChIJDZmFRb7tBDsRALJk82V2Awg,part_267,2026-09-20 19:01:49,879
