business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Padmashri Traders,Building Material Supplier,Building materials store,Building materials store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 95979 04496,N/A,5.0,1,"8544+W7W, Methukummal, Tamil Nadu 629153",629172,8.307366499999999,77.1557033,ChIJKfwzGgCrBTsRkcWG7MH-RjY,https://www.google.com/maps/place/?q=place_id:ChIJKfwzGgCrBTsRkcWG7MH-RjY,part_267,2026-09-20 19:02:03
F.L.Building Materials,Building Material Supplier,Building materials supplier,Building materials supplier,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 4651 247 647,N/A,4.1,26,"845C+5Q5, panchavila, Urambu j.n,, Paarssala Kollengode Rd, Karode, Tamil Nadu 629160",629172,8.3078983,77.1219995,ChIJSasZ7SSqBTsR8z668Qj1Gtw,https://www.google.com/maps/place/?q=place_id:ChIJSasZ7SSqBTsR8z668Qj1Gtw,part_267,2026-09-20 19:02:03
Abi Traders,Building Material Supplier,Construction Material Wholesaler,Construction Material Wholesaler,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 63857 16443,N/A,5.0,2,"17/53 F, Melpuram - Maruthancode Rd, Vattavilai, Maruthancode, Tamil Nadu 629168",Vattavilai,8.3323757,77.2102074,ChIJl1Pk9k9VBDsRiQPo6GVLiDI,https://www.google.com/maps/place/?q=place_id:ChIJl1Pk9k9VBDsRiQPo6GVLiDI,part_267,2026-09-20 19:02:03
"Matha Traders, Valanoor",Building Material Supplier,Hardware store,Hardware store,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 95004 58958,https://mathatraders.in/,5.0,1,"Valanoor Devencherry, Nadaikavu, Poramcode, Tamil Nadu 629153",Valanoor Devencherry,8.2989069,77.1403323,ChIJITPUyJyrBTsRoO5ZrgcLlN0,https://www.google.com/maps/place/?q=place_id:ChIJITPUyJyrBTsRoO5ZrgcLlN0,part_267,2026-09-20 19:02:03
Jeny Agencies,Building Material Supplier,Plumbing supply store,"Plumbing supply store, Pipes Wholesaler, Tile store, Toiletries Store, Wholesaler",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 95854 05251,N/A,5.0,11,"Poramcode, Ezhudesam B, Tamil Nadu 629153",629172,8.2991264,77.13972129999999,ChIJg12hOvSrBTsREhIzu8Qg7Kg,https://www.google.com/maps/place/?q=place_id:ChIJg12hOvSrBTsREhIzu8Qg7Kg,part_267,2026-09-20 19:02:03
T S S BRICKS,Building Material Supplier,Brick Manufacturer,Brick Manufacturer,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,5.0,3,"Marthandam, Chitharal Rd, Arumanai, Tamil Nadu 629151",629172,8.3398747,77.2501637,ChIJAZimabBVBDsRLZImJgXNBYU,https://www.google.com/maps/place/?q=place_id:ChIJAZimabBVBDsRLZImJgXNBYU,part_267,2026-09-20 19:02:03
Sivasakthi Steels,Building Material Supplier,Pipe supplier,Pipe supplier,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 93603 96317,N/A,3.5,2,"NN complex, S.T.Mankad, Tamil Nadu 629172",629172,8.2937446,77.1695318,ChIJTZiGyRmrBTsR40mWHXdNnns,https://www.google.com/maps/place/?q=place_id:ChIJTZiGyRmrBTsR40mWHXdNnns,part_267,2026-09-20 19:02:03
Asian Paints Colour Cube - Rj Traders,Building Material Supplier,Painter,"Painter, Construction Material Wholesaler, Hardware store, Interior Decorator, Paint store, Paintings store, Stucco contractor, Wallpaper installer, Wallpaper store, Waterproofing service",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 80 4595 0101,https://colourcube-dealers-nearme.asianpaints.com/asian-paints-colour-cube-rj-traders-painter-and-decorator-nadaikavu-kanyakumari-529859/Home?utm_source=locator&utm_medium=googleplaces,4.9,23,"Chandhan Code, No 9/234 B, Nadaikavu, Tamil Nadu 629153",629172,8.292656,77.14838999999999,ChIJw8-kXECrBTsRycgXSS_wHvY,https://www.google.com/maps/place/?q=place_id:ChIJw8-kXECrBTsRycgXSS_wHvY,part_267,2026-09-20 19:02:03
Oasis Designer Tile,Building Material Supplier,Tile manufacturer,"Tile manufacturer, Paving materials supplier, Tile store",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 4651 232 955,N/A,4.0,15,"Near, Thykkali Square, Mankadu Rd, Mankadu, Tamil Nadu 629172",629172,8.2885562,77.170096,ChIJM7BPJ5erBTsR_yjilY6ppDw,https://www.google.com/maps/place/?q=place_id:ChIJM7BPJ5erBTsR_yjilY6ppDw,part_267,2026-09-20 19:02:03
Ambika Global Traders,Building Material Supplier,Building materials supplier,"Building materials supplier, Building materials market",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 88701 83231,http://ambikagt.com/,5.0,13,"8-105/3, Balamore Road, Erachakulam, Nagercoil, Tamil Nadu 629901",629172,8.2306812,77.43029179999999,ChIJgXPIxSXxBDsRBMwMsX8xE_A,https://www.google.com/maps/place/?q=place_id:ChIJgXPIxSXxBDsRBMwMsX8xE_A,part_267,2026-09-20 19:02:03
