business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
spark fusion ads,Social Media Marketing Agencies,Marketing agency,Marketing agency,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,http://www.sparkfusionads.in/,5.0,,"Sri Datta Nagar, Agraharam Rural, Andhra Pradesh 533450",Sri Datta Nagar,17.1260664,82.2616803,ChIJO1Zn9NloBgYRoFPDBzuxBlg,https://www.google.com/maps/place/?q=place_id:ChIJO1Zn9NloBgYRoFPDBzuxBlg,part_267,2026-09-20 19:02:22
Moris Media,Social Media Marketing Agencies,Public relations firm,"Public relations firm, Service establishment",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 80003 34444,https://morismedia.in/,4.9,,"Moris Media, 629172, India",629172,21.0680074,82.7525294,ChIJx96B38RCMQERfg0JnX6My5c,https://www.google.com/maps/place/?q=place_id:ChIJx96B38RCMQERfg0JnX6My5c,part_267,2026-09-20 19:02:22
The Social Artist,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Service establishment",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 85060 44943,http://thesocialartist.in/,5.0,,"The Social Artist, 629172, India",629172,28.3742748,76.5732408,ChIJ10W_OGyrHAoRes2XoGq1p-I,https://www.google.com/maps/place/?q=place_id:ChIJ10W_OGyrHAoRes2XoGq1p-I,part_267,2026-09-20 19:02:22
Logo tech kk,Social Media Marketing Agencies,Marketing agency,Marketing agency,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,5.0,,"Kanchirathan vila ,kappukadu, Marthandam, Tamil Nadu 629162",629172,8.2903527,77.19431089999999,ChIJRVmPfTSrBTsR-fuvTZClbpo,https://www.google.com/maps/place/?q=place_id:ChIJRVmPfTSrBTsR-fuvTZClbpo,part_267,2026-09-20 19:02:22
Peer mohamed digital marketer,Social Media Marketing Agencies,Marketing consultant,Marketing consultant,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 63696 51523,N/A,,,"2/91B palli nadai veedu, po, Nambali, Nithiravilai, Tamil Nadu 629154",po,8.2837192,77.1456484,ChIJzykyrQurBTsRuKO9wIqtdiM,https://www.google.com/maps/place/?q=place_id:ChIJzykyrQurBTsRuKO9wIqtdiM,part_267,2026-09-20 19:02:22
echoVME Digital,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Marketing consultant",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 91764 02555,https://echovme.in/,4.0,,"1st Floor, Sapna Trade Centre, 135, Poonamallee High Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",Purasaiwakkam,13.0786742,80.25367899999999,ChIJG1_K_GhmUjoRI6CE708WASE,https://www.google.com/maps/place/?q=place_id:ChIJG1_K_GhmUjoRI6CE708WASE,part_267,2026-09-20 19:02:23
Indiafloats Technologies,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Video editing service, Web hosting company",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 84383 41066,http://www.indiafloats.in/,4.8,,"Emrald Estate, Plot no : 9B, 4th street, Jothi Nagar, Chitlapakkam, Tambaram, Tamil Nadu 600064","Jothi Nagar, Chitlapakkam",12.9401967,80.1397794,ChIJQSzpgxhfUjoRn-fBNJFUdIQ,https://www.google.com/maps/place/?q=place_id:ChIJQSzpgxhfUjoRn-fBNJFUdIQ,part_267,2026-09-20 19:02:23
Indiafloats Technologies Coimbatore,Social Media Marketing Agencies,Internet marketing service,Internet marketing service,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 99444 41234,https://www.indiafloats.in/contact.php,5.0,,"Gopal nagar, 1st St, Ellammal Layout, Ondipudur, Coimbatore, Tamil Nadu 641016",Ellammal Layout,11.004739899999999,77.04809809999999,ChIJiervQ29XqDsRR1rPHj6HUBA,https://www.google.com/maps/place/?q=place_id:ChIJiervQ29XqDsRR1rPHj6HUBA,part_267,2026-09-20 19:02:23
Socialifad Agency,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Service establishment",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 82783 68463,https://www.socialiftad.com/,,,"Socialifad Agency, 629172, India",629172,21.0680074,82.7525294,ChIJcVBdE6HsrmERAWQCyP_nId8,https://www.google.com/maps/place/?q=place_id:ChIJcVBdE6HsrmERAWQCyP_nId8,part_267,2026-09-20 19:02:23
SpiderWorks Technologies,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Computer support and services, Marketing agency, Public relations firm, Software company, Web hosting company, Website designer",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 94955 59690,https://www.spiderworks.in/,4.7,91.0,"219, Mavelipuram, Thrikkakara, Onam Park Zone, Kakkanad, Kochi, Keralam 682030","Mavelipuram, Thrikkakara, Onam Park Zone",10.0193434,76.3414926,ChIJVbObp4oMCDsRINub7VRcnag,https://www.google.com/maps/place/?q=place_id:ChIJVbObp4oMCDsRINub7VRcnag,part_267,2026-09-20 19:02:24
Motion Digital Ads,Social Media Marketing Agencies,Advertising agency,Advertising agency,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 82817 02220,https://www.motiondigitalads.com/,4.8,50.0,"Usman Complex, 31-382/21, Punnathur Rd, near LF College, P.O, Puthenpally, Mammiyoor, Guruvayur, Keralam 680103","P.O, Puthenpally, Mammiyoor",10.607203499999999,76.0384521,ChIJSSE-enCVpzsRLy7CLpMACNM,https://www.google.com/maps/place/?q=place_id:ChIJSSE-enCVpzsRLy7CLpMACNM,part_267,2026-09-20 19:02:24
Teekeycee,Social Media Marketing Agencies,Advertising agency,Advertising agency,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 497 270 4064,http://www.teekeycee.in/,4.7,34.0,"3rd Floor, Safire Building, Bank Rd, Kannur, Keralam 670001",629172,11.8686326,75.3657703,ChIJAyX6wzQ9pDsRABCCvkSKL2o,https://www.google.com/maps/place/?q=place_id:ChIJAyX6wzQ9pDsRABCCvkSKL2o,part_267,2026-09-20 19:02:24
Brandkee,Social Media Marketing Agencies,Advertising agency,Advertising agency,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 90612 78661,http://brandkee.com/,5.0,12.0,"Dhanam building, Calvary Rd, opposite Calvary Social center, West Fort, Vonginisserly, Aranattukara, Thrissur, Keralam 680004","West Fort, Vonginisserly, Aranattukara",10.5180305,76.2022866,ChIJM08BKZ3vpzsRTZTAWfK_cUw,https://www.google.com/maps/place/?q=place_id:ChIJM08BKZ3vpzsRTZTAWfK_cUw,part_267,2026-09-20 19:02:24
Cyphershot Digital Solutions,Social Media Marketing Agencies,Marketing agency,Marketing agency,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 75104 64407,https://cyphershot.in/,5.0,19.0,"3rd Floor, Cyphershot, Digital Solutions, Koya's Tower, Snehatheeram Rd, Thalikulam, Keralam 680569",629172,10.4401846,76.0940972,ChIJTf5OtFzzpzsR428KwM4n8EQ,https://www.google.com/maps/place/?q=place_id:ChIJTf5OtFzzpzsR428KwM4n8EQ,part_267,2026-09-20 19:02:24
