business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S Drive GR Motors,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Auto repair shop",629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 94424 48844,https://ursites.in/GR-Motors,4.2,,"9C, A.R. Camp Rd, near Alphonsa School, Udhayamarthandam, Nagercoil, Tamil Nadu 629002",Udhayamarthandam,8.163286,77.4261226,ChIJTZGA9szxBDsR5QqTynCsTBo,https://www.google.com/maps/place/?q=place_id:ChIJTZGA9szxBDsR5QqTynCsTBo,part_267,2026-09-20 19:02:38
G.B Car Garage Denting painting,Car Repair Workshop and Garage,Auto bodywork mechanic,Auto bodywork mechanic,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",N/A,N/A,4.6,,"GM6G+PFM, Ghotawade Phata, Kasar Amboli, Maharashtra 412115",Ghotawade Phata,18.511849899999998,73.6761772,ChIJPagcHva9wjsRUBX6EPiIobA,https://www.google.com/maps/place/?q=place_id:ChIJPagcHva9wjsRUBX6EPiIobA,part_267,2026-09-20 19:02:38
AJ ENFIELD GARAGE,Car Repair Workshop and Garage,Two Wheeler Repair Shop,Two Wheeler Repair Shop,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",N/A,N/A,5.0,,"13, 84k, near Co-operative Bank, Painkulam, Tamil Nadu 629171",629173,8.2728028,77.17952939999999,ChIJ0zhg5RsBBTsRLtUHNgOPxoM,https://www.google.com/maps/place/?q=place_id:ChIJ0zhg5RsBBTsRLtUHNgOPxoM,part_267,2026-09-20 19:02:38
car garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",N/A,N/A,5.0,,"FHF8+5XJ, Gozaria, Gujarat 384470",629173,23.4729662,72.5673999,ChIJcyAb2gE3XDkRt9xA5r8j6ss,https://www.google.com/maps/place/?q=place_id:ChIJcyAb2gE3XDkRt9xA5r8j6ss,part_267,2026-09-20 19:02:38
Carcraft Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",N/A,N/A,5.0,,"CWMR+H92, Andawa, Tulapur, Uttar Pradesh 211019",629173,25.431831,81.9381164,ChIJxylUIwBLhTkRJv7hV3ryLzc,https://www.google.com/maps/place/?q=place_id:ChIJxylUIwBLhTkRJv7hV3ryLzc,part_267,2026-09-20 19:02:38
MS car garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",N/A,N/A,4.5,,"X29Q+RCM, Mohammadpur, Uttar Pradesh 276205",629173,25.969583399999998,83.0385565,ChIJp-4HYgCxkTkR5L2aDNYEqqs,https://www.google.com/maps/place/?q=place_id:ChIJp-4HYgCxkTkR5L2aDNYEqqs,part_267,2026-09-20 19:02:38
RV MOTO GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 90039 44369,N/A,,,"RV MOTO GARAGE, Karungal Road, Vellayambalam, Kunnathoor, Tamil Nadu 629171",Vellayambalam,8.272209499999999,77.19291919999999,ChIJH_DfRuQBBTsRHYZF7AUUU3M,https://www.google.com/maps/place/?q=place_id:ChIJH_DfRuQBBTsRHYZF7AUUU3M,part_267,2026-09-20 19:02:38
DELHI CAR WORKSHOP,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",N/A,N/A,5.0,1.0,"Parasi, Uttar Pradesh 231224",629173,24.189638,82.77161869999999,ChIJS21gYgwljzkRArdOmEcNgRE,https://www.google.com/maps/place/?q=place_id:ChIJS21gYgwljzkRArdOmEcNgRE,part_267,2026-09-20 19:02:39
Mani Car AC Service in Karaikudi,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 90421 22891,http://manicaracservice.com/,4.8,44.0,"Koviloor Rd, near MPTC Shed, Karaikudi, Tamil Nadu 630001",629173,10.0723674,78.7558853,ChIJSbCQNIRnADsRQ_ChCVPStc8,https://www.google.com/maps/place/?q=place_id:ChIJSbCQNIRnADsRQ_ChCVPStc8,part_267,2026-09-20 19:02:39
Car mechanic workshop,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 95983 86487,N/A,4.5,2.0,"Sarai Meer, Shervan, Uttar Pradesh 276305",629173,26.0255904,82.9170015,ChIJcdXhdLuzkTkRwXSCE1U-FoE,https://www.google.com/maps/place/?q=place_id:ChIJcdXhdLuzkTkRwXSCE1U-FoE,part_267,2026-09-20 19:02:39
