business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Muthoot FinCorp Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Loan agency",629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 92890 52056,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-pudukadai-loan-agency-pudukadai-kanyakumari-115277/Home,5.0,,"No, 43899, Ground Floor, Main Road, near Subbaian Stores, Painkulam, Tamil Nadu 629171",629173,8.271916899999999,77.1795838,ChIJ1Qh7FwkABTsRIHx-sQ6H3bc,https://www.google.com/maps/place/?q=place_id:ChIJ1Qh7FwkABTsRIHx-sQ6H3bc,part_267,2026-09-20 19:02:56
NANJIL FOREX PVT LTD,Money Transfer and Forex,Currency exchange service,Currency exchange service,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 99438 43271,N/A,5.0,,"First Floor, St.Joseph's shopping complex, 150/18(2B, Cape Rd, opp. Anna Bus Stand, near Canara Bank, Chidambara Nagar, Nagercoil, Tamil Nadu 629001",Chidambara Nagar,8.1803107,77.4348083,ChIJ0R-9zU7xBDsR57S0B0MgbLo,https://www.google.com/maps/place/?q=place_id:ChIJ0R-9zU7xBDsR57S0B0MgbLo,part_267,2026-09-20 19:02:57
Madhura Forex,Money Transfer and Forex,Currency exchange service,Currency exchange service,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 4652 465 200,https://www.madhuraforex.com/,5.0,,"699-J, First Floor, Ramasubramonian Shopping Complex, Veppamoodu Junction, Nagercoil, Tamil Nadu 629001",629173,8.1826235,77.4321269,ChIJlQX9VovxBDsRYoPI3sv0Qik,https://www.google.com/maps/place/?q=place_id:ChIJlQX9VovxBDsRYoPI3sv0Qik,part_267,2026-09-20 19:02:57
Doorstep Delivery Forex(best rate currency exchange) Services.,Money Transfer and Forex,Currency exchange service,Currency exchange service,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 97436 88514,http://www.vaayuinternationalforex.com/,4.9,,"Opp, MSR Hospital 52, 80ft Road, New BEL Rd, Devasandra Layout, Bengaluru, Karnataka 560054","KGE Layout, Devasandra Layout",13.0284742,77.5717447,ChIJPbt9NHsXrjsRd9nqAe0ubzo,https://www.google.com/maps/place/?q=place_id:ChIJPbt9NHsXrjsRd9nqAe0ubzo,part_267,2026-09-20 19:02:57
Scope Forex Pvt Ltd - Money Exchange & Western Union,Money Transfer and Forex,Money transfer service,"Money transfer service, Financial institution, Money order service, Currency exchange service",629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 93811 11767,https://www.scopeforex.com/,4.8,,"Door No. 91, Poonamallee High Rd, near Titan World, opposite Canara Bank, Nerkundram, Chennai, Tamil Nadu 600107",Nerkundram,13.0712958,80.1842514,ChIJya5KpVNhUjoRWvkytGXmXUg,https://www.google.com/maps/place/?q=place_id:ChIJya5KpVNhUjoRWvkytGXmXUg,part_267,2026-09-20 19:02:57
SALEM CURRENCY EXCHANGE -STR Foreign Exchange (P) Ltd (RBI Authorized - FFMC),Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service",629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 98948 40885,https://str.thecoderspace.com/,4.8,,"Oppsite to National Hotels, NO. 118, 1st Floor, Blossom Plaza, Four Roads, near Little Flower School, Peramanur, Salem (M.Corp.), Tamil Nadu 636007",Peramanur,11.6619777,78.149282,ChIJXYEOzwXxqzsRO_ZhDfR7aas,https://www.google.com/maps/place/?q=place_id:ChIJXYEOzwXxqzsRO_ZhDfR7aas,part_267,2026-09-20 19:02:57
SALEM FOREX MONEY CHANGER,Money Transfer and Forex,Currency exchange service,Currency exchange service,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 90037 34079,N/A,5.0,,"2/7 JAYSREE PLAZA, Advaitha Ashram Rd, opp. to NATHAN HOSPITAL, Fairlands, Salem, Tamil Nadu 636016","Sinthampalayam, Fairlands",11.6742741,78.1420727,ChIJgQxll1rxqzsRKXvE366Ix6E,https://www.google.com/maps/place/?q=place_id:ChIJgQxll1rxqzsRKXvE366Ix6E,part_267,2026-09-20 19:02:57
EXOTIC MONEY CHANGERS PVT . LTD .,Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service",629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 98441 40488,http://www.exoticmoneychangers.com/,4.7,,"G-1, Eastern Side, Gold Mani, Business Center, 39/1, Coles Rd, Fraser Town, Bengaluru, Karnataka 560005","Cleveland Town, Fraser Town",12.995529999999999,77.6141298,ChIJP8aUcn8XrjsRJzg8GPG7C7E,https://www.google.com/maps/place/?q=place_id:ChIJP8aUcn8XrjsRJzg8GPG7C7E,part_267,2026-09-20 19:02:57
NITHYAM FOREX PRIVATE LIMITED,Money Transfer and Forex,Money transfer service,"Money transfer service, Foreign Exchange Students Organization, Currency exchange service",629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 99412 21843,http://www.nithyamforex.co.in/,4.9,,"253, Chennai - Theni Hwy, Mahalakshmi Colony, Chromepet, Tambaram, Tamil Nadu 600044","Mahalakshmi Colony, Chromepet",12.9457644,80.1355347,ChIJe1G5CEtfUjoR8C3IO_SUP_s,https://www.google.com/maps/place/?q=place_id:ChIJe1G5CEtfUjoR8C3IO_SUP_s,part_267,2026-09-20 19:02:57
GATEWAY FOREX PVT LTD,Money Transfer and Forex,Money transfer service,Money transfer service,629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 84200 07002,N/A,5.0,,"122C, Karl Marx Sarani Rd, near fancy market, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.5389922,88.3228261,ChIJT03O78d5AjoR1lBz0flNrHI,https://www.google.com/maps/place/?q=place_id:ChIJT03O78d5AjoR1lBz0flNrHI,part_267,2026-09-20 19:02:57
GlobalPay by WSFx,Money Transfer and Forex,Currency exchange service,"Currency exchange service, Money order service, Money transfer service",629173,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Painkulam B.O, Vizhunthaiyambalam B.O, Thengapattanam S.O",+91 91368 80550,https://www.wsfxglobalpay.com/currency-exchange/chennai,4.9,1618.0,"f”, Second floor, Jamal Fazal Chamber, New Door no.53/tf/19d (old door no.26/tf/19), Office flat, Greams Rd, Chennai, Tamil Nadu 600006","Thousand Lights East, Thousand Lights",13.057155,80.2558723,ChIJpRHoq-tnUjoRcnoo84XjL1s,https://www.google.com/maps/place/?q=place_id:ChIJpRHoq-tnUjoRcnoo84XjL1s,part_267,2026-09-20 19:02:58
