business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jatayu Aerials & RC Photography,Videographer and Drone Rental,Drone service,Drone service,629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 99240 89962,https://jatayuaerials.co.in/,5.0,,"SUMEL BUSINESS PARK-6, Dudheshwar Rd, opp. Hanumanpura BRTS, Shahibag, Ahmedabad, Gujarat 380004",Shahibag,23.0464926,72.58425369999999,ChIJq7mdMR78qm4R8VKHfOWhA2U,https://www.google.com/maps/place/?q=place_id:ChIJq7mdMR78qm4R8VKHfOWhA2U,part_267,2026-09-20 19:03:29
AV Aerials Drone Services,Videographer and Drone Rental,Aerial photographer,Aerial photographer,629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 94283 61192,https://avaerials.com/,4.9,,"402, Swarnim Business Hub 1, New Chamunda Society, Godrej Garden City, Chandkheda, Ahmedabad, Gujarat 382470","New Chamunda Society, Godrej Garden City, Chandkheda",23.1185287,72.5557759,ChIJMbT4UNmDXjkR9vFT2XTvQo0,https://www.google.com/maps/place/?q=place_id:ChIJMbT4UNmDXjkR9vFT2XTvQo0,part_267,2026-09-20 19:03:29
LENS OF LIGHT PRODUCTION - Youtube live streaming service,Videographer and Drone Rental,Video production service,"Video production service, Event planner, Graphic designer, Internet service provider, Party equipment rental service, Photographer, Video conferencing equipment supplier, Video Conferencing Service Provider, Video editing service, Wedding photographer",629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 98986 58859,https://youtube.com/channel/UCe5iKO_x2wDsIA6CeDPaSww,4.9,,"Devraj Mall, 209, India Colony Rd, opp. Haveli temple, Thakkarbapanagar, Bapunagar, Ahmedabad, Gujarat 380024","Thakkarbapanagar, Bapunagar",23.0394197,72.6388616,ChIJrZCbgP-HXjkRpxcECeGzNvs,https://www.google.com/maps/place/?q=place_id:ChIJrZCbgP-HXjkRpxcECeGzNvs,part_267,2026-09-20 19:03:29
Social Studios,Videographer and Drone Rental,Photography studio,Photography studio,629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 98778 51923,https://socialstudios.in/,5.0,,"1st Floor, Central Plaza, SCO-34, Emaar MGF Mohali Sector 105, Sahibzada Ajit Singh Nagar, Punjab 140306",Emaar MGF Mohali Sector 105,30.657080599999997,76.6820855,ChIJTW_OXgDpDzkRQW-3XaF6U7s,https://www.google.com/maps/place/?q=place_id:ChIJTW_OXgDpDzkRQW-3XaF6U7s,part_267,2026-09-20 19:03:30
Vismaya Ventures,Videographer and Drone Rental,Photography studio,Photography studio,629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",N/A,http://www.vismayaventures.com/,5.0,,"560072, Papreddy Palya, 2nd Stage, Nagarbhavi, Bengaluru, Karnataka 560072","Papreddy Palya, 2nd Stage, Nagarbhavi",12.9702144,77.5089295,ChIJ2QHiGQA9rjsRjku7v6ZRaTY,https://www.google.com/maps/place/?q=place_id:ChIJ2QHiGQA9rjsRjku7v6ZRaTY,part_267,2026-09-20 19:03:30
Manoj Films Chandigarh,Videographer and Drone Rental,Photography studio,"Photography studio, Video editing service, Wedding photographer",629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 98885 46418,https://manojfilms.com/,4.7,,"SCO 1074-75 , LEVEL 1 , SEC, Sector 22B, Chandigarh, 160022","Sector 22B, Sector 22",30.732893699999998,76.7781838,ChIJ48WtuWrtDzkRgkaMszC_DMM,https://www.google.com/maps/place/?q=place_id:ChIJ48WtuWrtDzkRgkaMszC_DMM,part_267,2026-09-20 19:03:30
Infixpictures,Videographer and Drone Rental,Photography service,Photography service,629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 99164 42479,https://infixpictures.com/,5.0,,"61, 27th Cross, near Royal Comfort Hotel, 4th T Block East, 4th Block, Jayanagar, Bengaluru, Karnataka 560011","4th T Block East, 4th Block, Jayanagar",12.9306413,77.58469769999999,ChIJCYgiPJ8VrjsRO_HRGLA2MiQ,https://www.google.com/maps/place/?q=place_id:ChIJCYgiPJ8VrjsRO_HRGLA2MiQ,part_267,2026-09-20 19:03:30
TAMARA STUDIO (Akshayanagar) Photography & Videography,Videographer and Drone Rental,Photography studio,"Photography studio, Photography service, Portrait studio, Wedding photographer, Wedding Portrait Studio",629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 97411 23679,https://www.instagram.com/tamara_productions?igsh=eGpsN3U2aGNwODNq&igsi=eGpsN3U2aGNwODNq,4.9,,"7, 2nd Cross Rd, Vip Layout, Akshaya Nagar, Akshayanagar, Bengaluru, Karnataka 560068","Vip Layout, Akshaya Nagar, Akshayanagar",12.8685315,77.6111939,ChIJc8FJOmZrrjsR_y8tFCvDxgs,https://www.google.com/maps/place/?q=place_id:ChIJc8FJOmZrrjsR_y8tFCvDxgs,part_267,2026-09-20 19:03:30
Weddings by Film Screen,Videographer and Drone Rental,Wedding photographer,"Wedding photographer, Service establishment",629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 98990 79495,http://weddingsbyfilmscreen.com/,5.0,,"Weddings by Film Screen, 629174, India",629174,20.8581652,76.5545005,ChIJJY4RJRTiDDkRZ-oMy5dRO8c,https://www.google.com/maps/place/?q=place_id:ChIJJY4RJRTiDDkRZ-oMy5dRO8c,part_267,2026-09-20 19:03:30
Video editing,Videographer and Drone Rental,Video editing service,"Video editing service, Service establishment",629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",0320 6094609,N/A,4.0,,"Video editing, 629174, India",629174,42.275099999999995,34.1107624,ChIJU6Ojt1iEoi0RMdizgjK3BOc,https://www.google.com/maps/place/?q=place_id:ChIJU6Ojt1iEoi0RMdizgjK3BOc,part_267,2026-09-20 19:03:30
Fly High Drones,Videographer and Drone Rental,Drone shop,Drone shop,629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 95554 94096,N/A,4.8,101.0,"near mother divine public school, Vijay Vihar Phase II, Sector 4, Pocket M, Sector 4, Rohini, Delhi, 110085","Vijay Vihar Phase II, Sector 4, Pocket M, Sector 4, Rohini",28.7090991,77.1001105,ChIJJU53jEsHDTkRPF4hKCjQzpo,https://www.google.com/maps/place/?q=place_id:ChIJJU53jEsHDTkRPF4hKCjQzpo,part_267,2026-09-20 19:03:31
DJI Service Centre,Videographer and Drone Rental,Camera repair shop,Camera repair shop,629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 89044 76465,http://www.djiauthourisedservices.com/,3.2,496.0,"Sadar Patrappa Rd, close to BANGALORE ELECTRONICS, near TOWN HALL, 3rd Cross, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002","3rd Cross, Dodpete, Nagarathpete",12.9647771,77.5833742,ChIJKV2mhe4VrjsRqs5sWRlxG4o,https://www.google.com/maps/place/?q=place_id:ChIJKV2mhe4VrjsRqs5sWRlxG4o,part_267,2026-09-20 19:03:31
VIERA PRODUCTION,Videographer and Drone Rental,Event planner,"Event planner, Audiovisual equipment rental service",629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 96745 80355,http://viera.com/,,,"49, Beni Nandan St, Bhowanipore, Kolkata, West Bengal 700025",Bhowanipore,22.536627199999998,88.34552029999999,ChIJ_buCdGJ3AjoRd2YNU1FicTM,https://www.google.com/maps/place/?q=place_id:ChIJ_buCdGJ3AjoRd2YNU1FicTM,part_267,2026-09-20 19:03:31
Jyotishmati Film & Media,Videographer and Drone Rental,Film Production Company,Film Production Company,629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 93900 35578,N/A,5.0,10.0,"Ground Floor, diamond point, Vijaya Laxmi Apartments, Kiran Enclave, Old Bowenpally, Hyderabad, Secunderabad, Telangana 500009","Kiran Enclave, Old Bowenpally",17.4629001,78.4903788,ChIJbcFlzL2byzsRhbMIudliK8M,https://www.google.com/maps/place/?q=place_id:ChIJbcFlzL2byzsRhbMIudliK8M,part_267,2026-09-20 19:03:31
Camera rental,Videographer and Drone Rental,Camera store,Camera store,629174,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Keralapuram B.O, Thiruvithancode S.O",+91 77050 55139,N/A,,,"Baba Ka Purwa, badha road, Khadra, Lucknow, Uttar Pradesh 226020",Khadra,26.879596,80.9123949,ChIJ6wFmQZP9mzkRNXCx3dEsVIk,https://www.google.com/maps/place/?q=place_id:ChIJ6wFmQZP9mzkRNXCx3dEsVIk,part_267,2026-09-20 19:03:31
