business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
KARAI INFOTECH,Electrician,Electrician,Electrician,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 97902 94281,https://www.instagram.com/karai_infotech?igsh=MTZraWNmeG9wcWxrag==,5.0,1.0,"near, Aranthangi - Karaikkudi Rd, bustop, Alagapuri, Karaikudi, Tamil Nadu 630108",bustop,10.1107386,78.8113985,ChIJKfY7MdhnADsR4HZzVFmp5lI,https://www.google.com/maps/place/?q=place_id:ChIJKfY7MdhnADsR4HZzVFmp5lI,part_268,2026-09-20 19:02:03,3600
AKT Alagar Electricals,Electrician,Electrician,Electrician,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 82707 57761,N/A,5.0,1.0,"Poosaripatti S.pudur Post, Singampunari, Singampunari, Tamil Nadu 630410",630107,10.322581999999999,78.4663487,ChIJa4oWZx6dADsRuIsxgrOdU4w,https://www.google.com/maps/place/?q=place_id:ChIJa4oWZx6dADsRuIsxgrOdU4w,part_268,2026-09-20 19:02:03,3601
RAJ ELETRICALS AND SERVICES,Electrician,Electrical repair shop,Electrical repair shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 94435 75971,N/A,5.0,1.0,"Subamani complex, trichy main road, nearby SBI ATM, Sriramnagar, SRIRAMNAGAR, Kottaiyur, Tamil Nadu 630106","Sriramnagar, SRIRAMNAGAR",10.1029784,78.7948074,ChIJBwJZW45nADsRMmqVGqT1ox8,https://www.google.com/maps/place/?q=place_id:ChIJBwJZW45nADsRMmqVGqT1ox8,part_268,2026-09-20 19:02:03,3602
பகவதி ஒளி & ஒலி அமைப்பகம்,Electrician,Electrician,Electrician,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 94897 30638,N/A,,,"2-1/16, Kandanur, Main Road, Alagapuri, Karaikudi, Tamil Nadu 630106",630107,10.110815299999999,78.8156107,ChIJdV3KddVnADsRFNf3TgyG5b4,https://www.google.com/maps/place/?q=place_id:ChIJdV3KddVnADsRFNf3TgyG5b4,part_268,2026-09-20 19:02:03,3603
keziah electrical works,Electrician,Electrician,Electrician,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,4.5,2.0,"3P9G+RGC, Thalakavoor, Karaikudi, Tamil Nadu 630307",630107,10.069569399999999,78.7262564,ChIJk1im_8NhADsRKjTOM0vFrDo,https://www.google.com/maps/place/?q=place_id:ChIJk1im_8NhADsRKjTOM0vFrDo,part_268,2026-09-20 19:02:03,3604
SRISAI Electrical and plumbing work,Electrician,Electrical installation service,Electrical installation service,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,5.0,1.0,"4Q4X+J5P, Kottaiyur, Tamil Nadu 630106",630107,10.106593499999999,78.7979417,ChIJ8b1NwO9nADsRCDCIhcw-Uxo,https://www.google.com/maps/place/?q=place_id:ChIJ8b1NwO9nADsRCDCIhcw-Uxo,part_268,2026-09-20 19:02:03,3605
SRI ELECTRICAL AND PLUMBING,Electrician,Electrician,Electrician,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 88259 82112,N/A,4.9,39.0,"Subramaniapuram, Pichai Servai Coloney, Karaikudi, Kalanivasal, Tamil Nadu 630002","Subramaniapuram, Pichai Servai Coloney",10.085868399999999,78.7810454,ChIJ2e4yeBhnADsRAnAJy7snP3c,https://www.google.com/maps/place/?q=place_id:ChIJ2e4yeBhnADsRAnAJy7snP3c,part_268,2026-09-20 19:02:04,3606
Sriram Electrical works,Electrician,Electrician,Electrician,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 75697 28908,N/A,4.9,457.0,"Ganesh Nagar, Karimnagar, Telangana 505001",Ganesh Nagar,18.4270897,79.13334929999999,ChIJRZhQWoXZzDsRtGEp5clA1NU,https://www.google.com/maps/place/?q=place_id:ChIJRZhQWoXZzDsRtGEp5clA1NU,part_268,2026-09-20 19:02:04,3607
Active Associates,Electrician,Electrician,"Electrician, Civil engineering company, Computer security service, Electrical installation service, Electrical engineer, Electronics Engineer, Plumber, Solar energy system service, Water Tank Cleaners",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 96564 66600,http://www.activeassociates.in/,5.0,272.0,"Pravya Nivas, Chellath madappura, Punnol, Thalassery, Keralam 670102",Punnol,11.735079599999999,75.5156736,ChIJV9WZ1WAnpDsRD7m4cqLsBZQ,https://www.google.com/maps/place/?q=place_id:ChIJV9WZ1WAnpDsRD7m4cqLsBZQ,part_268,2026-09-20 19:02:04,3608
Lucky Electricals & Plumbing - Showroom in Thanjavur,Electrician,Electrical supply store,Electrical supply store,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 4362 273 673,http://www.luckygroups.net/,4.6,,"83/259, Pudukkottai Rd, Cauvery Nagar West, Nirmala nagar RESIDENTIAL AREA, Thanjavur, Tamil Nadu 613005","Cauvery Nagar West, Nirmala nagar RESIDENTIAL AREA",10.7556847,79.1226535,ChIJr26gVMG4qjsRVOaeN84LQMg,https://www.google.com/maps/place/?q=place_id:ChIJr26gVMG4qjsRVOaeN84LQMg,part_268,2026-09-20 19:02:05,3609
