business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jo pets and aquarium,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Aquarium shop, Pet store",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 81108 84860,N/A,4.9,23.0,"opp. SA College SAP Complex, Kothari, Tamil Nadu 630107",630107,10.147143,78.79999219999999,ChIJe99g8cpnADsR4Jshd6ZIDlA,https://www.google.com/maps/place/?q=place_id:ChIJe99g8cpnADsR4Jshd6ZIDlA,part_268,2026-09-20 19:01:45,566
Daisy Birds Farm,Pet Food and Pet Supplies,Pet store,"Pet store, Bird shop",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 77084 02001,N/A,5.0,11.0,"2/3, anna nagar 1st street, near govt.Hospital, Devakottai, Tamil Nadu 630302",630107,9.9479323,78.8130614,ChIJHz2aeEFbADsRtJY0T4XwXKQ,https://www.google.com/maps/place/?q=place_id:ChIJHz2aeEFbADsRtJY0T4XwXKQ,part_268,2026-09-20 19:01:45,567
Sathya's Petz Paradise,Pet Food and Pet Supplies,Pet store,"Pet store, Aquarium shop, Bird shop, Goldfish store, Indoor lodging",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 97912 08434,N/A,4.6,489.0,"Ramakrishna Nagar, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620020","Ramakrishna Nagar, Sangillyandapuram",10.792426899999999,78.694868,ChIJP7_MTyT1qjsRDwRoAJA_WgA,https://www.google.com/maps/place/?q=place_id:ChIJP7_MTyT1qjsRDwRoAJA_WgA,part_268,2026-09-20 19:01:45,568
Sivagangai Aquarium Fish World ( MENS TRENDS),Pet Food and Pet Supplies,Pet store,"Pet store, Aquarium shop",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 97897 11515,N/A,4.2,44.0,"Majeeth Rd, Aranmanai Vaasal, Sivaganga, Tamil Nadu 630561",Aranmanai Vaasal,9.8530558,78.4881106,ChIJz5VlGw37ADsRIOguvo1U428,https://www.google.com/maps/place/?q=place_id:ChIJz5VlGw37ADsRIOguvo1U428,part_268,2026-09-20 19:01:45,569
Maha Pet Shop,Pet Food and Pet Supplies,Pet store,Pet store,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 97902 07481,N/A,4.9,35.0,"XR3C+89F, Saraswathi Vasagasalai Rd, Kasilingapuram, Devakottai, Tamil Nadu 630302",Kasilingapuram,9.953308999999999,78.8209095,ChIJx1xoXe9bADsRPscD-kN23iY,https://www.google.com/maps/place/?q=place_id:ChIJx1xoXe9bADsRPscD-kN23iY,part_268,2026-09-20 19:01:45,570
House of paws,Pet Food and Pet Supplies,Pet store,Pet store,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 99766 42223,http://www.houseofpawsmadurai.com/,4.8,269.0,"1st floor, Kamtachi complex, Manjalmattu Colony, Nagu Nagar, Bethaniapuram, Madurai, Tamil Nadu 625016","Manjalmattu Colony, Nagu Nagar",9.9367668,78.0971746,ChIJ-050dsTPADsRyCMgC77ktrQ,https://www.google.com/maps/place/?q=place_id:ChIJ-050dsTPADsRyCMgC77ktrQ,part_268,2026-09-20 19:01:45,571
Vicky Pet Point,Pet Food and Pet Supplies,Pet store,Pet store,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,4.1,879.0,"60, Thilagarthidal Market, Tamilsangam Road, Madurai, Tamil Nadu 625001",Madurai Main,9.9264001,78.1158574,ChIJbUCD14jFADsRBwyKgexeNvM,https://www.google.com/maps/place/?q=place_id:ChIJbUCD14jFADsRBwyKgexeNvM,part_268,2026-09-20 19:01:45,572
Gopika Pet Clinic,Pet Food and Pet Supplies,Veterinary care,"Veterinary care, Farm, Pet supply store",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 96559 01777,N/A,4.7,37.0,"Gopika Pet Hospital, Weekly Market Rd, Aranmanai Vaasal, Sivaganga, Tamil Nadu 630561",Aranmanai Vaasal,9.853470999999999,78.4875686,ChIJi7YTdCn7ADsRa3kjZ79rKSQ,https://www.google.com/maps/place/?q=place_id:ChIJi7YTdCn7ADsRa3kjZ79rKSQ,part_268,2026-09-20 19:01:45,573
Chellapillai Pet Care,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Cat boarding service, Dog day care center, Dog trainer, Pet boarding service, Pet groomer, Pet store, Pet trainer",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 90438 76456,N/A,4.9,1360.0,"Montfort School, 3/1A2, SH 49, Singaram Nagar, Pappakurichi Kattur, Tiruchirappalli (Part, Tamil Nadu 620019","Singaram Nagar, Pappakurichi Kattur",10.7972141,78.7576315,ChIJOaEqiJLzqjsRoz5Y3bmlhbg,https://www.google.com/maps/place/?q=place_id:ChIJOaEqiJLzqjsRoz5Y3bmlhbg,part_268,2026-09-20 19:01:45,574
Baba's Pets & Kennel Tirunelveli,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Cat boarding service, Dog trainer, Pet adoption service, Pet boarding service, Pet groomer, Pet moving service, Pet sitter, Pet store, Pet trainer",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 85086 66686,N/A,4.9,726.0,"Main Road, Plot No 1, Sivanthipatti Rd, near Perumal Traders, Thiyagaraja Nagar, Tirunelveli, Tamil Nadu 627011",Thiyagaraja Nagar,8.697336,77.7566224,ChIJn-QN8zYNBDsRStj-hcpkvNY,https://www.google.com/maps/place/?q=place_id:ChIJn-QN8zYNBDsRStj-hcpkvNY,part_268,2026-09-20 19:01:45,575
