business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Akshaya Traders,Ice Cream Parlour,Ice cream shop,Ice cream shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 99446 61769,N/A,5.0,2.0,"5k/5, Kandanur-Puduvayal Rd, Ezhil Nagar, Alagapuri, Kallankudi, Tamil Nadu 630108",Ezhil Nagar,10.110873,78.80957819999999,ChIJgV_OMgBpADsRM0cYbre40F0,https://www.google.com/maps/place/?q=place_id:ChIJgV_OMgBpADsRM0cYbre40F0,part_268,2026-09-20 19:01:47
Karaikudi cafe,Ice Cream Parlour,Ice cream shop,Ice cream shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,,,"4Q2V+M73, Sriramnagar, Kottaiyur, Tamil Nadu 630106",Sriramnagar,10.1016116,78.7929698,ChIJOW4eYwBnADsRfdgdlDaMPaM,https://www.google.com/maps/place/?q=place_id:ChIJOW4eYwBnADsRfdgdlDaMPaM,part_268,2026-09-20 19:01:47
RAJA ICE COMPANY,Ice Cream Parlour,Ice cream shop,Ice cream shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,,,"4RW2+M6V, Unnamed Road, Pallathur, Tamil Nadu 630107",630107,10.146726,78.8005522,ChIJac8dovVnADsR8THLhvAFdOM,https://www.google.com/maps/place/?q=place_id:ChIJac8dovVnADsR8THLhvAFdOM,part_268,2026-09-20 19:01:47
Arun Ice cream shop (Muthumari amma),Ice Cream Parlour,Ice cream shop,Ice cream shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,,,"4QVX+PW7, Pallathur, Tamil Nadu 630107",630107,10.1442845,78.799809,ChIJfy0RRn1nADsRhoSh-8aLiyk,https://www.google.com/maps/place/?q=place_id:ChIJfy0RRn1nADsRhoSh-8aLiyk,part_268,2026-09-20 19:01:47
NUTRICE,Ice Cream Parlour,Ice cream shop,Ice cream shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,3.9,7.0,"Nutrice Ice Cream, Sriramnagar, Kottaiyur, Karaikudi, Tamil Nadu 630106",Sriramnagar,10.1021488,78.79361639999999,ChIJIRamhQhnADsRui7yKIkxs3I,https://www.google.com/maps/place/?q=place_id:ChIJIRamhQhnADsRui7yKIkxs3I,part_268,2026-09-20 19:01:47
Arun ice cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 99949 14815,N/A,4.5,6.0,"4FC2+96Q, Thathaiyangarpet, Tamil Nadu 621214",630107,11.120965,78.4506157,ChIJfVTf6sqyqzsRvgcFsjWfV1w,https://www.google.com/maps/place/?q=place_id:ChIJfVTf6sqyqzsRvgcFsjWfV1w,part_268,2026-09-20 19:01:47
Arun Ice Creams Company Direct Store Sivagangai,Ice Cream Parlour,Ice cream shop,Ice cream shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 97517 28497,http://www.hatsun.com/arunicecreams/,4.4,113.0,"71/35, N Raja St, Aranmanai Vaasal, Sivaganga, Tamil Nadu 630561",Aranmanai Vaasal,9.8497845,78.4861849,ChIJhaki98_6ADsR9c7DLXaiXFM,https://www.google.com/maps/place/?q=place_id:ChIJhaki98_6ADsR9c7DLXaiXFM,part_268,2026-09-20 19:01:48
Natural Best Ice Cream,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Food products supplier, Ice supplier",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 99657 18935,http://naturalbesticecream.com/,4.4,64.0,"No18, kalaingar second Street, ramaiyya, Thiyagi Sankaralingam St, Solaialagu Puram, Jaihindpuram, Tamil Nadu 625011",Solaialagu Puram,9.898347399999999,78.1083908,ChIJn387IInPADsRZcedxB00bek,https://www.google.com/maps/place/?q=place_id:ChIJn387IInPADsRZcedxB00bek,part_268,2026-09-20 19:01:49
Frozzano,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert restaurant",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 63833 97138,N/A,4.5,21.0,"Bus Stop, No. 47/3, Thangavanshi Complex, Near Jockey Showroom, Madurai Mukku, Melaratha Veethi, Sivaganga, Tamil Nadu 630561",Aranmanai Vaasal,9.848515299999999,78.48327909999999,ChIJYzJ7W0j7ADsRkHxp0QUVVUY,https://www.google.com/maps/place/?q=place_id:ChIJYzJ7W0j7ADsRkHxp0QUVVUY,part_268,2026-09-20 19:01:49
"Joy Ice Cream Distributors,SVS enterprises",Ice Cream Parlour,Ice cream shop,Ice cream shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 99015 19207,N/A,4.3,27.0,"TC Palya Main Rd, TC Palya, Anandpur, Bengaluru, Karnataka 560036","TC Palya, Anandpur",13.024551899999999,77.692347,ChIJ_yUQjVUQrjsRptcm9hKkPwQ,https://www.google.com/maps/place/?q=place_id:ChIJ_yUQjVUQrjsRptcm9hKkPwQ,part_268,2026-09-20 19:01:49
