business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
London Kids Preschool Sivaganga,Play School and Daycare,Preschool,Preschool,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,5.0,64.0,"49, Gokhale Hall Road, Street, Sivaganga, Tamil Nadu 630561",Street,9.8559126,78.4837639,ChIJLeJGHbz7ADsRrrhvLKsFEz0,https://www.google.com/maps/place/?q=place_id:ChIJLeJGHbz7ADsRrrhvLKsFEz0,part_268,2026-09-20 19:02:12
Kids Kingdom Play School,Play School and Daycare,Education center,"Education center, Kindergarten School",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 97878 32489,N/A,4.8,53.0,"police Station, 6/44, Back Side Thiruppuvanam, Tiruppuvanam, Tamil Nadu 630611",630107,9.8241426,78.26113819999999,ChIJYVLXaI7dADsRTZCVPa8NMFw,https://www.google.com/maps/place/?q=place_id:ChIJYVLXaI7dADsRTZCVPa8NMFw,part_268,2026-09-20 19:02:12
Sri Sairam kids play school,Play School and Daycare,Preschool,Preschool,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 94874 17408,https://www.srisairamkids.com/,4.9,9.0,"kambar street, Sriramnagar, Kottaiyur, Tamil Nadu 630106",Sriramnagar,10.1012372,78.79432109999999,ChIJ_d8bcqhnADsRsZn5AnakmT0,https://www.google.com/maps/place/?q=place_id:ChIJ_d8bcqhnADsRsZn5AnakmT0,part_268,2026-09-20 19:02:12
ST. JOSEPH'S ELITE PLAY SCHOOL,Play School and Daycare,Preschool,Preschool,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 93443 22287,https://stjosephseducationalinstituitions.com/,4.5,31.0,"12 A, R.C St, Manamadurai, Tamil Nadu 630606",630107,9.689734999999999,78.45280629999999,ChIJw9bUbhAdATsRFpjlIb2_v7k,https://www.google.com/maps/place/?q=place_id:ChIJw9bUbhAdATsRFpjlIb2_v7k,part_268,2026-09-20 19:02:12
Little Stars PlaySchool Salem,Play School and Daycare,Preschool,Preschool,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 99866 94720,https://littlestarsplayschoolsalem.com/,4.9,120.0,"23/2 Annamalai Garden Seelanaickenpatti bye pass service road, Nearest landmark: Aadish children's clinic, Akitha Hospital, SivaBala Apts, towards, attur chennai by-pass, Tamil Nadu 636201","Annamali Nagar, M G R Nagar, Seelanaickenpatti",11.6262446,78.1494214,ChIJO3evSc_vqzsRs_2CxQbXg44,https://www.google.com/maps/place/?q=place_id:ChIJO3evSc_vqzsRs_2CxQbXg44,part_268,2026-09-20 19:02:12
"The Child's Kingdom Preschool & Daycare, Rajarajeshwari Nagar, Bengaluru | Best Preschool In Rajarajeshwari Nagar",Play School and Daycare,Preschool,"Preschool, Kindergarten School, Plant nursery, Playgroup",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 93530 03241,http://www.thechildskingdom.com/,4.9,211.0,"315, 10th Cross Rd, Remco Bhel Layout, Ideal Homes Twp, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098","Remco Bhel Layout, Ideal Homes Township, Rajarajeshwari Nagar",12.926443899999999,77.51743909999999,ChIJ-9KzNVY-rjsRyxNbLeWJZQg,https://www.google.com/maps/place/?q=place_id:ChIJ-9KzNVY-rjsRyxNbLeWJZQg,part_268,2026-09-20 19:02:12
Jesh Kids,Play School and Daycare,Preschool,"Preschool, Playgroup",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 86672 24184,https://jeshkids.com/,4.8,58.0,"14, S Thirumalai Nagar, ICF, Villivakkam, Chennai, Tamil Nadu 600049","ICF, Villivakkam",13.102475799999999,80.2137535,ChIJexFs31xlUjoRm3ot8lSkYT0,https://www.google.com/maps/place/?q=place_id:ChIJexFs31xlUjoRm3ot8lSkYT0,part_268,2026-09-20 19:02:12
KLAY Kanakapura Road - Pre Schools and Daycare,Play School and Daycare,Day care center,"Day care center, After school program, Preschool, Kindergarten School, Montessori school, Nursery school",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 76767 08888,https://klay.co.in/foundational-development-program/bangalore/kanakpura-road/?utm_source=GMB&utm_medium=gmb_organic_bangalore&utm_campaign=bangalore-kanakapura-road,4.9,197.0,"Ground Floor, Kanakapura Main Rd, nearby Axis Bank ATM, VISL Layout, Talaghattapura, Bengaluru, Karnataka 560109","VISL Layout, Talaghattapura",12.866055999999999,77.5334938,ChIJaZOtH9pBrjsRIDq-HmPmRe8,https://www.google.com/maps/place/?q=place_id:ChIJaZOtH9pBrjsRIDq-HmPmRe8,part_268,2026-09-20 19:02:12
Ikidz Preschool Hosur,Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Playgroup",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 86676 76197,https://ikidzschools.com/ikidz-preschool-hosur/,4.7,45.0,"Dr no 8, A-8, Brindavan Nagar, Rajiv Colony, Hosur, Avalapalli Hudco, Tamil Nadu 635109","Brindavan Nagar, Rajiv Colony",12.742722899999999,77.82935049999999,ChIJFzqJRStxrjsROKP1o6i0geQ,https://www.google.com/maps/place/?q=place_id:ChIJFzqJRStxrjsROKP1o6i0geQ,part_268,2026-09-20 19:02:12
The Sparkling Learners,Play School and Daycare,Day care center,"Day care center, After school program, Calligraphy lesson, Preschool, Education center, Plant nursery, Playgroup, Tutoring service",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 75400 06518,https://thesparklinglearners.com/,4.5,30.0,"Lake View Garden, Plot 1, tally road, near VJ kalayana mandapam, Hosur, Tamil Nadu 635109",630107,12.7316579,77.8185319,ChIJAQAAAFB3rjsRPegsSt852LI,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAFB3rjsRPegsSt852LI,part_268,2026-09-20 19:02:12
