business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S.Ananthakrishnan & Co Timbers (Seeniappa Groups),Plywood and Timber Merchant,Lumber store,"Lumber store, Home goods store, Saw mill",630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",+91 98428 68256,N/A,4.7,,"172,bye pass road, Manamadurai, Tamil Nadu 630606",630108,9.6855931,78.4513482,ChIJe0_eBiMdATsRZ2Xg9SI77oA,https://www.google.com/maps/place/?q=place_id:ChIJe0_eBiMdATsRZ2Xg9SI77oA,part_268,2026-09-20 19:02:48
Modern glass & plywoods,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",N/A,N/A,4.8,,"Sekkalai Rd, Sekkalai, Karaikudi, Tamil Nadu 630001",Sekkalai,10.075216099999999,78.7746177,ChIJ5fuNykxnADsRzchzLoJtDOg,https://www.google.com/maps/place/?q=place_id:ChIJ5fuNykxnADsRzchzLoJtDOg,part_268,2026-09-20 19:02:48
Sri Vinayaga Timbers,Plywood and Timber Merchant,Lumber store,Lumber store,630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",N/A,N/A,5.0,,"3B, Thiruvannamalai - Kallakurichi Rd, Villupuram, Kallakurichi, Ka. Mamanandal, Tamil Nadu 606202",Villupuram,11.7503494,78.9605641,ChIJ8cWBAQBnqzsR8F5SWCFqJAE,https://www.google.com/maps/place/?q=place_id:ChIJ8cWBAQBnqzsR8F5SWCFqJAE,part_268,2026-09-20 19:02:48
Senthilvel Timbers,Plywood and Timber Merchant,Lumber store,Lumber store,630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",+91 99659 40042,https://senthilveltimbers.com/,4.5,105.0,"Chinnayampalayam, Kodumudi Rd, Sivagiri, Tamil Nadu 638109",630108,11.127103,77.7966852,ChIJxysZxPl4qTsRWsbVGMOwAYI,https://www.google.com/maps/place/?q=place_id:ChIJxysZxPl4qTsRWsbVGMOwAYI,part_268,2026-09-20 19:02:48
Devakirubai Timbers,Plywood and Timber Merchant,Home goods store,Home goods store,630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",N/A,N/A,5.0,6.0,"162, Mandapam Main Rd, near canara bank, Manamadurai, Tamil Nadu 630606",630108,9.6902777,78.4521172,ChIJb_B23mkdATsRyMXckIcDzeM,https://www.google.com/maps/place/?q=place_id:ChIJb_B23mkdATsRyMXckIcDzeM,part_268,2026-09-20 19:02:48
M S P Raja & Co,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",+91 96294 65446,https://msprajaandco.com/,4.4,28.0,"259, W Masi St, Madurai Main, Madurai, Tamil Nadu 625001",Madurai Main,9.9183073,78.1151161,ChIJ6e--uIbFADsR1-E9Ua4BcqI,https://www.google.com/maps/place/?q=place_id:ChIJ6e--uIbFADsR1-E9Ua4BcqI,part_268,2026-09-20 19:02:48
JOHN SAW MILL PRIVATE LIMITED,Plywood and Timber Merchant,Saw mill,Saw mill,630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",+91 462 258 5147,http://johntimbers.com/,4.3,58.0,"PPJW+55R, Sivalaperi Rd, Shakthi Nagar, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Shakthi Nagar, Palayamkottai",8.7304984,77.74539279999999,ChIJteC-C_4RBDsRKZkSBy6vCyc,https://www.google.com/maps/place/?q=place_id:ChIJteC-C_4RBDsRKZkSBy6vCyc,part_268,2026-09-20 19:02:48
Janatha Timber Depot,Plywood and Timber Merchant,Lumber store,Lumber store,630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",+91 94441 60124,N/A,4.4,42.0,"589/466, Mount Road Teynampet, Gemini Fly Over, Service Rd, Near Kamarajar Arangam, Chennai, Tamil Nadu 600006","Teynampet, Thiru Vi Ka Kudiyiruppu, Teynampet",13.050718999999999,80.2497894,ChIJ____D1JvUjoRWI1enT6ehqo,https://www.google.com/maps/place/?q=place_id:ChIJ____D1JvUjoRWI1enT6ehqo,part_268,2026-09-20 19:02:49
MRSP Bhavani & Co-KARAIKUDI,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",N/A,http://www.mrspbhavani.com/,4.8,258.0,"321-307, 321-307, Sekkalai Rd, Sekkalai, Karaikudi, Tamil Nadu 630001",Sekkalai,10.072729599999999,78.77217519999999,ChIJkzK_eVdnADsRKczoUBkpfUc,https://www.google.com/maps/place/?q=place_id:ChIJkzK_eVdnADsRKczoUBkpfUc,part_268,2026-09-20 19:02:50
Sri Sevugaperumal Timber,Plywood and Timber Merchant,Building materials store,Building materials store,630108,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Puduvayal S.O, Jayankondan B.O, Mitravayal B.O",+91 72000 29333,N/A,4.9,28.0,"Railway Feeder Rd, Periyar Nagar, Karaikudi, Tamil Nadu 630001",Periyar Nagar,10.0645644,78.7749412,ChIJcw_6zotdADsRdscNZGn_s6g,https://www.google.com/maps/place/?q=place_id:ChIJcw_6zotdADsRdscNZGn_s6g,part_268,2026-09-20 19:02:50
