business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Boxes India,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 94480 31054,https://boxesindia.com/,4.8,,"2nd Cross St, near New BBMP Office, 2nd Block, Classic Paradise Layout, Yajaman Layout, Bengaluru, Karnataka 560068","2nd Block, Classic Paradise Layout, Yajaman Layout",12.880375599999999,77.6238442,ChIJEWOBma0VrjsRaabsAHYXWV8,https://www.google.com/maps/place/?q=place_id:ChIJEWOBma0VrjsRaabsAHYXWV8,part_268,2026-09-20 19:03:52
Sahib Kripa Packers,Corrugated Box and Packaging Material Manufacturers,Packaging company,"Packaging company, Offset Printer",630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",N/A,N/A,4.7,20.0,"PLOT NO 4 SURVEY NO 1076, Indore Mega City Cir, Indore, Madhya Pradesh 453331",630201,22.6322095,75.8357463,ChIJQ-Zs-6n7YjkRGK1BWDghpzA,https://www.google.com/maps/place/?q=place_id:ChIJQ-Zs-6n7YjkRGK1BWDghpzA,part_268,2026-09-20 19:03:53
"PackSquare Private Limited (Corrugated, Packaging Box Manufacturer Pune)",Corrugated Box and Packaging Material Manufacturers,Packaging company,"Packaging company, Manufacturer, Pallet supplier",630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 84110 40619,https://packsquare.in/,5.0,26.0,"Gat no: 564/2, Radha Pack, C/O, Alandi Talkhed, next to Prateek Fruit Company, Dist:, Charholi Kurd, Pune, Charholi Kh., Maharashtra 412105","Dist:, Charholi Kurd",18.663346999999998,73.9067712,ChIJoTkic8HHwjsRhEY3CMFsuQM,https://www.google.com/maps/place/?q=place_id:ChIJoTkic8HHwjsRhEY3CMFsuQM,part_268,2026-09-20 19:03:53
Shri Ganesh Packaging,Corrugated Box and Packaging Material Manufacturers,Corporate office,Corporate office,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 78281 42749,https://www.corrugatedboxsgp.com/,4.9,302.0,"Palda, Indore, Madhya Pradesh 452001",Palda,22.6752182,75.8957351,ChIJKUeZbbT8YjkRqw1SGbdO7Go,https://www.google.com/maps/place/?q=place_id:ChIJKUeZbbT8YjkRqw1SGbdO7Go,part_268,2026-09-20 19:03:53
Surindra packaging Pvt. Ltd,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",N/A,N/A,4.0,8.0,"E-33,59&60 South Side G.T Road opp. Village dundahera, near Indian oil petrol pump, Industrial Area, Bulandshahr Road Industrial Area, Ghaziabad, Uttar Pradesh 201009","Industrial Area, Bulandshahr Road Industrial Area",28.6386577,77.442087,ChIJWShT_CPuDDkRfB3WMYHo8Mk,https://www.google.com/maps/place/?q=place_id:ChIJWShT_CPuDDkRfB3WMYHo8Mk,part_268,2026-09-20 19:03:53
Shree Balaji packaging,Corrugated Box and Packaging Material Manufacturers,Packaging supply store,Packaging supply store,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 98273 13413,N/A,4.8,234.0,"6/5, Jawahar Marg, opposite Aarti metal Company, Nihalpura, Bombay Bazar, Indore, Madhya Pradesh 452007","Nihalpura, Bombay Bazar",22.7157679,75.8547181,ChIJj6Gq5gn9YjkRZ7S0B6OS30M,https://www.google.com/maps/place/?q=place_id:ChIJj6Gq5gn9YjkRZ7S0B6OS30M,part_268,2026-09-20 19:03:53
Shree Parshwanath Packaging,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 80 4898 1862,http://www.shreeparshwanathpackaging.com/,4.8,23.0,"47/2A, Magadi Main Rd, near Vani Education Center School, Kachohalli, Karnataka 560091",Kachohalli,12.995880099999999,77.46311469999999,ChIJ4W5aCEo8rjsRagkNJN_MzvE,https://www.google.com/maps/place/?q=place_id:ChIJ4W5aCEo8rjsRagkNJN_MzvE,part_268,2026-09-20 19:03:53
Aarisha Packaging Solutions Private Limited,Corrugated Box and Packaging Material Manufacturers,Packaging company,"Packaging company, Manufacturer, Packaging supply store, Pallet supplier",630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 70040 87283,https://aarishapackaging.com/,4.9,47.0,"Phase 1, NS -66, Adityapur Industrial Area, Adityapur, Jamshedpur, Jharkhand 832109","Adityapur Industrial Area, Adityapur",22.7837462,86.13609869999999,ChIJT8V07PHl9TkRp0Tta7Ag9Dc,https://www.google.com/maps/place/?q=place_id:ChIJT8V07PHl9TkRp0Tta7Ag9Dc,part_268,2026-09-20 19:03:53
"Nagpur Packaging Pvt Ltd - Carton Box, Multi colour Box & Packaging Carton Box",Corrugated Box and Packaging Material Manufacturers,Packaging company,"Packaging company, Corporate office",630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 95616 63535,https://www.nagpurcarbon.in/,3.9,,"Plot No. N45, Road, Hingna, Nagpur, Nildoh ct, Maharashtra 440016",Hingna,21.1178855,78.9818789,ChIJAySOpzeV1DsRu0ShCufvvik,https://www.google.com/maps/place/?q=place_id:ChIJAySOpzeV1DsRu0ShCufvvik,part_268,2026-09-20 19:03:53
Jotirling Enterprises (Corrugated Box Manufacturing),Corrugated Box and Packaging Material Manufacturers,Container supplier,"Container supplier, Packaging supply store",630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 90963 88152,N/A,4.7,,"S. No 6/1 A, Plot No. C1-13, Kedareshwar Park Gujar Nimbalkarwadi, Katraj, Pune, Maharashtra 411046",Katraj,18.4305682,73.87425,ChIJzbI8IBDrwjsRqRvkQCZXV5w,https://www.google.com/maps/place/?q=place_id:ChIJzbI8IBDrwjsRqRvkQCZXV5w,part_268,2026-09-20 19:03:53
Samyak Manufacturing,Corrugated Box and Packaging Material Manufacturers,Packaging supply store,Packaging supply store,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 96651 84133,https://www.samyakmanufacturingcompany.com/,4.5,,"4, Manohar Sadan, Ganeshpeth Colony, Nagpur, Maharashtra 440018",Ganeshpeth Colony,21.1412726,79.0961117,ChIJq6qqqsfA1DsRWZ_ml_dQ9uY,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqsfA1DsRWZ_ml_dQ9uY,part_268,2026-09-20 19:03:53
UB corporation,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 97854 33401,N/A,4.4,,"46, Near Vikas Hospital, Sector 3, Udaipur, Rajasthan 313002","Near Vikas Hospital, Sector 3",24.575533099999998,73.72477359999999,ChIJa03Df83lZzkR7tJ_wM07Re4,https://www.google.com/maps/place/?q=place_id:ChIJa03Df83lZzkR7tJ_wM07Re4,part_268,2026-09-20 19:03:53
Pancham Packaging,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",N/A,https://www.panchampackaging.com/,3.0,,"No 3, Dhanori Rd, Bhairav Nagar, Dhanori, Pune, Dhanore, Maharashtra 412105","Bhairav Nagar, Dhanori",18.6634472,73.9187609,ChIJ08wagcPGwjsRGNKMl7u9m_A,https://www.google.com/maps/place/?q=place_id:ChIJ08wagcPGwjsRGNKMl7u9m_A,part_268,2026-09-20 19:03:53
Gujarat Marketing - Packaging Material Supplier & Machinery Distributor,Corrugated Box and Packaging Material Manufacturers,Packaging supply store,"Packaging supply store, Manufacturer, Packaging company",630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 88493 95088,https://www.gujaratmktg.com/,4.6,,"Near, G/87, Rudraksh Complex, opp. Annapurna Restaurant, Trikampura patiya, Phase 3, Vatva GIDC, Ahmedabad, Gujarat 382445","Trikampura patiya, Phase 3, Vatva GIDC",22.981466299999997,72.6306917,ChIJAQAAAMyIXjkRh-ZKJ3NiEG4,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAMyIXjkRh-ZKJ3NiEG4,part_268,2026-09-20 19:03:53
Nawaz Empty Carton Box Merchant,Corrugated Box and Packaging Material Manufacturers,Packaging supply store,Packaging supply store,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 81218 32678,N/A,4.2,,"20-3-1060/A/11, Doodh Bowli, Bahadurpura, Hyderabad, Telangana 500002","Doodh Bowli, Bahadurpura",17.3582008,78.4658991,ChIJ8eSGYw-XyzsRUr_RitAGnzY,https://www.google.com/maps/place/?q=place_id:ChIJ8eSGYw-XyzsRUr_RitAGnzY,part_268,2026-09-20 19:03:53
Maheshwari Overseas,Corrugated Box and Packaging Material Manufacturers,Packaging supply store,Packaging supply store,630201,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"A.Thekkur S.O, Vanjinipatti B.O",+91 97557 33826,https://www.indorepackagingmachine.com/,4.7,,"34 kapil tower, Ware House Rd, opposite power house, Indore, Madhya Pradesh 452007",Siyaganj,22.713307699999998,75.86737269999999,ChIJt1Pa9zn9YjkRFJyrG6QMq4k,https://www.google.com/maps/place/?q=place_id:ChIJt1Pa9zn9YjkRFJyrG6QMq4k,part_268,2026-09-20 19:03:53
