business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
A1 car wash,Car Wash and Auto Detailing,Car wash,Car wash,630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",+91 80567 50860,N/A,4.4,,"100 feet road, 7th st, Subramaniapuram, south Extn, Karaikudi, Tamil Nadu 630001","Subramaniapuram, south Extn, Vairavapuram",10.0735622,78.78447779999999,ChIJGy-lBYxnADsRdg8v9W5ejv0,https://www.google.com/maps/place/?q=place_id:ChIJGy-lBYxnADsRdg8v9W5ejv0,part_268,2026-09-20 19:04:12
Speed carwash,Car Wash and Auto Detailing,Car wash,Car wash,630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",+91 84895 39257,N/A,5.0,,"2Q89+PJ7 Sri sakthi bakers, backside, Amaravathi, Pudur, Tamil Nadu 630301",backside,10.0168125,78.76906249999999,ChIJVzj_ch1dADsRm2x7btu2TkY,https://www.google.com/maps/place/?q=place_id:ChIJVzj_ch1dADsRm2x7btu2TkY,part_268,2026-09-20 19:04:12
ATA Car Wash,Car Wash and Auto Detailing,Car wash,"Car wash, Auto restoration service",630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",+91 94427 67384,http://atacarwash.com/,4.3,,"Tamil Thai Kovil Rd, Sekkalai, Karaikudi, Tamil Nadu 630002",Sekkalai,10.0843179,78.774817,ChIJK7m9EG1nADsRnlWKuUZeYlM,https://www.google.com/maps/place/?q=place_id:ChIJK7m9EG1nADsRnlWKuUZeYlM,part_268,2026-09-20 19:04:12
SS car wash,Car Wash and Auto Detailing,Car wash,Car wash,630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",N/A,N/A,4.7,,"3QGH+6HQ, Sekkalai, Karaikudi, Tamil Nadu 630001",Sekkalai,10.075245299999999,78.77892589999999,ChIJm45MBGNnADsRUcjao_olhb0,https://www.google.com/maps/place/?q=place_id:ChIJm45MBGNnADsRUcjao_olhb0,part_268,2026-09-20 19:04:12
7 Star Car Care,Car Wash and Auto Detailing,Auto Accessories Store,"Auto Accessories Store, Auto painting, Car stereo store",630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",+91 72006 97177,N/A,4.6,,"No.170P, 1/4, Sekkalai 1st St, opposite to Vasanth & CO, Karaikudi, Tamil Nadu 630001","Thilagar Nagar, Sekkalai",10.0785317,78.7756595,ChIJRQSAYN9nADsRNCLWgHGNyXM,https://www.google.com/maps/place/?q=place_id:ChIJRQSAYN9nADsRNCLWgHGNyXM,part_268,2026-09-20 19:04:12
Smart Car Wash,Car Wash and Auto Detailing,Car wash,Car wash,630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",+91 93634 35927,N/A,,,"1st St, North Extension, Subramaniyapuram, Vairavapuram, Karaikudi, Tamil Nadu 630002","North Extension, Subramaniyapuram, Vairavapuram",10.081875199999999,78.7806445,ChIJwwTcrjNnADsR4SniOhg-LEY,https://www.google.com/maps/place/?q=place_id:ChIJwwTcrjNnADsR4SniOhg-LEY,part_268,2026-09-20 19:04:12
vijii auto car washing,Car Wash and Auto Detailing,Car wash,Car wash,630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",+91 89400 05225,N/A,4.7,,"VOC Rd, Aruna Nagar, Karaikudi, Tamil Nadu 630001",Aruna Nagar,10.0726616,78.76370639999999,ChIJe-veOUVnADsRSSVpyeOPiDo,https://www.google.com/maps/place/?q=place_id:ChIJe-veOUVnADsRSSVpyeOPiDo,part_268,2026-09-20 19:04:12
Decors Car Detailing Studio,Car Wash and Auto Detailing,Car wash,"Car wash, Auto Accessories Wholesaler, Auto air conditioning service, Auto body shop, Auto Dent Removal Service Station, Auto painting, Auto window tinting service, Car dealer, Auto Accessories Store",630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",+91 99409 62124,N/A,4.8,,"NH536, Tasildar Nagar, T.Soorakudi, Tamil Nadu 630002",Tasildar Nagar,10.1102305,78.7613884,ChIJZz_1yYZnADsRKle3avMY4Oo,https://www.google.com/maps/place/?q=place_id:ChIJZz_1yYZnADsRKle3avMY4Oo,part_268,2026-09-20 19:04:12
5K Car Care,Car Wash and Auto Detailing,Car wash,"Car wash, Air conditioning repair service, Auto Dent Removal Service Station, Auto repair shop, Chauffeur service, Oil change service, Tire shop, Wheel alignment service",630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",+91 70944 42622,https://www.5kcarcare.com/branch/karaikudi/,4.3,,"8/6, Arunachalam layout street, ambalpuram, 1st St, near Grand Furniture, Landmark, Karaikudi, Tamil Nadu 630001","Thilagar Nagar, Landmark, Sekkalai",10.0779224,78.7766977,ChIJryW2O4FnADsRCeWHwmby964,https://www.google.com/maps/place/?q=place_id:ChIJryW2O4FnADsRCeWHwmby964,part_268,2026-09-20 19:04:12
SR WATER WASH,Car Wash and Auto Detailing,Car wash,"Car wash, Bike wash",630202,Tamilnadu circle,"Southern Region, Madurai",Karaikudi Division,"Illuppakudi B.O, Unjanai B.O, Ariyakudi S.O",N/A,N/A,5.0,,"railway gate, Periyar Nagar, Ariyakudi, Karaikudi, Tamil Nadu 630202","railway gate, Periyar Nagar",10.0628763,78.7863574,ChIJXyYrUJldADsRVEEFRxH9iQM,https://www.google.com/maps/place/?q=place_id:ChIJXyYrUJldADsRVEEFRxH9iQM,part_268,2026-09-20 19:04:12
