business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PS CLOTHING,Uniform Manufacturer,Uniform store,Uniform store,630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",+91 90920 91973,http://psclothing.in/,4.8,,"FIRST FLOOR, 281, Rajaji St, Senthil Nagar, Thirumullaivoyal, Avadi, Tamil Nadu 600062","Senthil Nagar, Thirumullaivoyal",13.116814,80.1375691,ChIJ9VGd_1NiUjoRjF9X47qFsFE,https://www.google.com/maps/place/?q=place_id:ChIJ9VGd_1NiUjoRjF9X47qFsFE,part_268,2026-09-20 19:07:40
Ayush Uniforms,Uniform Manufacturer,Uniform store,Uniform store,630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",+91 90254 50430,http://www.ayushuniforms.com/,4.9,,"Door No 1181D, 16th St, behind DAV Senior Secondary School, West End Colony, Padi, Chennai, Tamil Nadu 600050","West End Colony, Padi",13.088832799999999,80.1804617,ChIJCQj9IZtjUjoRN-RKagAiVss,https://www.google.com/maps/place/?q=place_id:ChIJCQj9IZtjUjoRN-RKagAiVss,part_268,2026-09-20 19:07:40
Venkey dresses,Uniform Manufacturer,Clothing store,"Clothing store, Manufacturer",630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",+91 94416 68017,https://venkeydresses.in/,3.7,,"15-2-189/3, Obulachari Rd, Nesepet, Rayadurgam, Andhra Pradesh 515865",Nesepet,14.702692899999999,76.8507109,ChIJpyIGQaA1tzsR3Eeiu7k15bs,https://www.google.com/maps/place/?q=place_id:ChIJpyIGQaA1tzsR3Eeiu7k15bs,part_268,2026-09-20 19:07:40
DAFFODIL ENTERPRISES,Uniform Manufacturer,Uniform store,Uniform store,630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",+91 80 4603 0471,http://www.daffodilenterprises.in/,4.6,,"Cape Neemland, NO:3, Thaneerpandal Rd, West Peelamedu, Coimbatore, Tamil Nadu 641004",West Peelamedu,11.0352807,77.00680179999999,ChIJs0pu6Tn5qDsR-BTHNsTxrdY,https://www.google.com/maps/place/?q=place_id:ChIJs0pu6Tn5qDsR-BTHNsTxrdY,part_268,2026-09-20 19:07:40
SuperstarUniforms,Uniform Manufacturer,Uniform store,Uniform store,630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",+91 98416 25562,http://www.superstaruniforms.com/,4.1,,"147, N Usman Rd, near Sundari Silks, Postal Colony, T. Nagar, Chennai, Tamil Nadu 600017","Postal Colony, T. Nagar",13.0447337,80.2323431,ChIJvf___1ZmUjoRvLYddbQwdas,https://www.google.com/maps/place/?q=place_id:ChIJvf___1ZmUjoRvLYddbQwdas,part_268,2026-09-20 19:07:40
Uniform Express,Uniform Manufacturer,Uniform store,Uniform store,630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",N/A,N/A,3.6,,"Shop No. 7 , 1st Floor Zaverchand Meghani Tower, University Rd, near Panchayat chowk, Rajkot, Gujarat 360005",Shakti Nagar,22.2879671,70.76842599999999,ChIJk2KNgBjKWTkRklLROSK_hJw,https://www.google.com/maps/place/?q=place_id:ChIJk2KNgBjKWTkRklLROSK_hJw,part_268,2026-09-20 19:07:40
SNP UNIFORM,Uniform Manufacturer,Uniform store,Uniform store,630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",+91 72039 84674,https://www.instagram.com/snp_uniform_morbi/,4.8,,"SHOP-5,6,7, SNP UNIFORM, Umiya Circle, Sanala Rd, near Sanket India, Ramyavatika Society, Ravapar, Morbi, Gujarat 363641","Ramyavatika Society, Ravapar",22.801177499999998,70.8163778,ChIJNQVNQgWNWTkRCBZ9_rf9Bcg,https://www.google.com/maps/place/?q=place_id:ChIJNQVNQgWNWTkRCBZ9_rf9Bcg,part_268,2026-09-20 19:07:40
Metrotex,Uniform Manufacturer,Uniform store,"Uniform store, Clothing wholesaler, Clothing store",630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",+91 94470 76662,http://www.uniformsatmetrotex.com/,2.9,,"Ground Floor Kasmisons Estate Sahodaran Ayyappan Road, Jr Janatha Rd, Vyttila, Kochi, Keralam 682019","Janatha Junction, Vyttila",9.9678778,76.3134573,ChIJ0edYk9ZyCDsRZz8E_Cdz7XE,https://www.google.com/maps/place/?q=place_id:ChIJ0edYk9ZyCDsRZz8E_Cdz7XE,part_268,2026-09-20 19:07:40
Sevaram Emporium,Uniform Manufacturer,Clothing store,Clothing store,630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",+91 98248 37153,N/A,4.2,,"Ranjit Rd, opp. Khadhi Bhandar, Panchasar, Pancheshwar Tower, Jamnagar, Gujarat 361006","Panchasar, Pancheshwar Tower",22.468886299999998,70.0743686,ChIJ456marlqVzkRa2JKwN6aq-k,https://www.google.com/maps/place/?q=place_id:ChIJ456marlqVzkRa2JKwN6aq-k,part_268,2026-09-20 19:07:40
AGM SPORTSWEARS,Uniform Manufacturer,Uniform store,"Uniform store, Cricket shop, Custom t-shirt store, Plus Size Clothing Store, Sportswear store, Sportwear manufacturer",630207,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Nachiapuram S.O, Athikaram B.O, Pillayarpatti B.O",+91 98400 62032,http://www.agmsportswear.com/company-profile.html,4.1,,"20/82, 5th Main Rd, opposite to SBI Rountana Branch, Block V, Block T, Anna Nagar, Chennai, Tamil Nadu 600040","Block V, Block T, Anna Nagar",13.088678,80.2161859,ChIJkTq1fyRkUjoRqhehYmdIEO4,https://www.google.com/maps/place/?q=place_id:ChIJkTq1fyRkUjoRqhehYmdIEO4,part_268,2026-09-20 19:07:40
