business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Elita Sofas,Furniture Showroom,Furniture store,"Furniture store, Bed shop, Bedroom furniture store, Furniture maker, Furniture wholesaler, Sofa store",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 80989 40003,http://www.elitasofas.in/,4.9,348.0,"157, opposite K FOUR , apartment, Kamarajnagar, Rajamanickamnadar Nagar, Avaniyapuram, Madurai, Tamil Nadu 625012","Kamarajnagar, Rajamanickamnadar Nagar",9.8632136,78.11645949999999,ChIJffWaN6XbADsRcZm46g9bysE,https://www.google.com/maps/place/?q=place_id:ChIJffWaN6XbADsRcZm46g9bysE,part_269,2026-09-20 19:01:56,5479
JMSONS,Furniture Showroom,Furniture store,Furniture store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 98424 29888,https://thejmsons.com/,5.0,2.0,"461/3, Mandapam Main Rd, opposite Manimandhira Vinayagar kovil, Madurai, Tiruppuvanam, Tamil Nadu 630611",630612,9.8258112,78.2560544,ChIJb2S9EmbdADsRp6sqzmb5KZ0,https://www.google.com/maps/place/?q=place_id:ChIJb2S9EmbdADsRp6sqzmb5KZ0,part_269,2026-09-20 19:01:56,5480
UTHAYAM & CO,Furniture Showroom,Furniture store,Furniture store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 78717 14443,N/A,2.5,2.0,"BAKYA NAGAR HP PETROL PUMP, 64/10/1, Madurai-Mandapam Hwy, near Thiruppuvanam, Tiruppuvanam, Tamil Nadu 630611",630612,9.8316847,78.2485478,ChIJ-4UD9VTdADsRwpU0gnXXbDU,https://www.google.com/maps/place/?q=place_id:ChIJ-4UD9VTdADsRwpU0gnXXbDU,part_269,2026-09-20 19:01:56,5481
AlaguPriya Furniture,Furniture Showroom,Furniture store,Furniture store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 97514 08682,N/A,4.6,5.0,"Muthumariyamman kovil, Madurai, Perumanendal, Tamil Nadu 625012",630612,9.858922399999999,78.13123399999999,ChIJYRGyifbbADsR1MF_7_NOS9A,https://www.google.com/maps/place/?q=place_id:ChIJYRGyifbbADsR1MF_7_NOS9A,part_269,2026-09-20 19:01:56,5482
"Sriram Glass,Plywood &Furniture",Furniture Showroom,Furniture Manufacturer,"Furniture Manufacturer, Aluminum window, Hardware store, Interior designer, Woodworker",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 99424 14713,N/A,5.0,1.0,"Pakiya nagar, Tiruppuvanam, Tamil Nadu 630611",Pakiya nagar,9.8309205,78.2496304,ChIJNy6kPPjdADsR4i7qOY6jbJU,https://www.google.com/maps/place/?q=place_id:ChIJNy6kPPjdADsR4i7qOY6jbJU,part_269,2026-09-20 19:01:56,5483
Ananth furniture and home appliances,Furniture Showroom,Furniture accessories supplier,Furniture accessories supplier,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,,,"Rameshwaram, main road, opp. to panchayat union office, Tiruppuvanam, Tamil Nadu 630611",630612,9.8283345,78.2538903,ChIJ_0Fc3EXdADsRcjbK2748rmo,https://www.google.com/maps/place/?q=place_id:ChIJ_0Fc3EXdADsRcjbK2748rmo,part_269,2026-09-20 19:01:56,5484
Pooja Wood Works,Furniture Showroom,Furniture store,Furniture store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 98421 29333,N/A,4.7,6.0,"3/187N, 3/187N, 1st St, LKT Nagar, Puliyankulam, Tamil Nadu 625201",LKT Nagar,9.8906098,78.1777669,ChIJoYWAWQDFADsRpRWc0MKCBeU,https://www.google.com/maps/place/?q=place_id:ChIJoYWAWQDFADsRpRWc0MKCBeU,part_269,2026-09-20 19:01:56,5485
Royal Furn Wooden Furnitures & Interior,Furniture Showroom,Furniture store,Furniture store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,,,"Viraganur, Tamil Nadu 625009",630612,9.900894599999999,78.1635909,ChIJDSpK9eTEADsRt0YfapvjpVc,https://www.google.com/maps/place/?q=place_id:ChIJDSpK9eTEADsRt0YfapvjpVc,part_269,2026-09-20 19:01:56,5486
INFURN Furniture,Furniture Showroom,Manufacturer,Manufacturer,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,4.9,12.0,"46, Rajapriya nagar Ranimangammal salai, Amika hotel backside, Avaniyapuram, Tamil Nadu 625012",Rajamanickamnadar Nagar,9.8649206,78.1215295,ChIJkwNGnGDbADsRhRJ40IzGL4c,https://www.google.com/maps/place/?q=place_id:ChIJkwNGnGDbADsRhRJ40IzGL4c,part_269,2026-09-20 19:01:56,5487
SRI MADASMY METALS,Furniture Showroom,Furniture store,Furniture store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,5.0,4.0,"1/315, Chinthamani, Chinna Anuppanadi, Tamil Nadu 625009",630612,9.8914405,78.1385274,ChIJhUMeTwDFADsRtzUTgG6zxTg,https://www.google.com/maps/place/?q=place_id:ChIJhUMeTwDFADsRtzUTgG6zxTg,part_269,2026-09-20 19:01:56,5488
WOODEN FURNITURE SPECIALIST,Furniture Showroom,Furniture store,Furniture store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,,,"W54P+FH4, Sakkimangalam Rd, Kaliyamman Nagar, Andarkottam, Tamil Nadu 625020",Kaliyamman Nagar,9.9061381,78.1864641,ChIJl5EyQo7EADsRSHX1Q3x5cJE,https://www.google.com/maps/place/?q=place_id:ChIJl5EyQo7EADsRSHX1Q3x5cJE,part_269,2026-09-20 19:01:56,5489
Sri Devi Furniture,Furniture Showroom,Furniture store,"Furniture store, Appliance store",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 93607 38080,N/A,3.7,3.0,"Town Panchayat Complex, Main Road, Tiruppuvanam, Madurai, Tiruppuvanam, Tamil Nadu 630611",Tiruppuvanam,9.825084,78.2569402,ChIJYdZkzqjdADsRK2Nu5f8dwFY,https://www.google.com/maps/place/?q=place_id:ChIJYdZkzqjdADsRK2Nu5f8dwFY,part_269,2026-09-20 19:01:56,5490
SRI KALA PLYWOOD AND DOORS,Furniture Showroom,Furniture store,"Furniture store, Door manufacturer, Interior fitting contractor, Modular home dealer, Wholesaler",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 98945 72256,N/A,4.2,10.0,"4/1 & 4/2, Nedungulam Main Rd, Chinthamani, Madurai, Tamil Nadu 625009",630612,9.8880872,78.1434689,ChIJQTCtTQDFADsROgtAEeAkPxI,https://www.google.com/maps/place/?q=place_id:ChIJQTCtTQDFADsROgtAEeAkPxI,part_269,2026-09-20 19:01:56,5491
Rubi Furniture and Home Appliances,Furniture Showroom,Furniture store,"Furniture store, Furniture accessories, Furniture maker, Furniture Manufacturer, Furniture wholesaler, Office furniture store",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 75102 29217,N/A,4.8,382.0,"Chittur Rd, opposite IDBI Bank, Kunathurmedu, Palakkad, Keralam 678013",Kunathurmedu,10.7644261,76.6612875,ChIJQVQqWaptqDsRgzK_zTrqlRY,https://www.google.com/maps/place/?q=place_id:ChIJQVQqWaptqDsRgzK_zTrqlRY,part_269,2026-09-20 19:01:56,5492
Narayana Furniture,Furniture Showroom,Home goods store,Home goods store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 97464 41121,N/A,4.8,279.0,"Kayarampara - Meetna Rd, opp. Neelikavu, SBI Colony, Ottapalam, Palappuram, Keralam 679103",SBI Colony,10.7691117,76.4016833,ChIJd5Jwn07ZpzsRvqWBkeae02U,https://www.google.com/maps/place/?q=place_id:ChIJd5Jwn07ZpzsRvqWBkeae02U,part_269,2026-09-20 19:01:56,5493
