business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Chellammal Store,General Store,General store,"General store, Stationery store, Tobacco shop",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 94435 01791,N/A,5.0,1.0,"R7F5+JM6, Indira Nagar, Tiruppuvanam, Tamil Nadu 630611",Indira Nagar,9.8240271,78.25914329999999,ChIJk7FO-KXdADsRSVzhZz-86P8,https://www.google.com/maps/place/?q=place_id:ChIJk7FO-KXdADsRSVzhZz-86P8,part_269,2026-09-20 19:01:37,341
Kumaran oil stores,General Store,General store,General store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 98651 71095,N/A,4.7,3.0,"Bus Stop, Kela Silaiman, Kochi - Madurai - Dhanushkodi Rd, Silaiman, Tamil Nadu 625201",630612,9.8711416,78.1981986,ChIJ4XsxKmPbADsROGqeEpldegc,https://www.google.com/maps/place/?q=place_id:ChIJ4XsxKmPbADsROGqeEpldegc,part_269,2026-09-20 19:01:37,342
A K MUTHU STORE,General Store,General store,General store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 99526 02618,N/A,1.0,1.0,"Main Rd, Nedungulam, Tamil Nadu 625009",630612,9.7867037,78.1750344,ChIJ50hNdljbADsRB-te7PbRAXY,https://www.google.com/maps/place/?q=place_id:ChIJ50hNdljbADsRB-te7PbRAXY,part_269,2026-09-20 19:01:37,343
Sri alagusoundari ambal grocery shop,General Store,Grocery store,Grocery store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,5.0,1.0,"V5CX+944, Silaiman, Tamil Nadu 625201",630612,9.870965499999999,78.1978506,ChIJm6LDWQDbADsRx9lwP9y-2p8,https://www.google.com/maps/place/?q=place_id:ChIJm6LDWQDbADsRx9lwP9y-2p8,part_269,2026-09-20 19:01:37,344
UDHAYAKUMAR MUTHU,General Store,General store,General store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 91506 25935,N/A,,,"581, Pillayar Kovil Street, Keeladi, Pasiyapuram, Tamil Nadu 630612",630612,9.866253,78.193997,ChIJJTTZJ1LbADsRUrEEL3Kk2jU,https://www.google.com/maps/place/?q=place_id:ChIJJTTZJ1LbADsRUrEEL3Kk2jU,part_269,2026-09-20 19:01:37,345
ARCHANA STORE,General Store,General store,General store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 99448 82685,N/A,4.5,13.0,"3rd Main Rd, Maharajan Nagar, Viraganur, Tamil Nadu 625009",Maharajan Nagar,9.9004848,78.16091109999999,ChIJ__qSKa3FADsRCOrFg8vFhD0,https://www.google.com/maps/place/?q=place_id:ChIJ__qSKa3FADsRCOrFg8vFhD0,part_269,2026-09-20 19:01:38,346
JKP STORES,General Store,General store,General store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,5.0,1.0,"V5WX+WGV, Sakkimangalam I, Tamil Nadu 625201",630612,9.897056899999999,78.1988435,ChIJAZKOOwDFADsR2_5iauLM2ag,https://www.google.com/maps/place/?q=place_id:ChIJAZKOOwDFADsR2_5iauLM2ag,part_269,2026-09-20 19:01:38,347
INDIAN STORE,General Store,General store,General store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 95975 80741,N/A,4.3,12.0,"Annai Sathya Nagar Rd, Sakkimangalam I, Tamil Nadu 625201",630612,9.897248699999999,78.19499259999999,ChIJnTwtnPvFADsRclPd6wohQI0,https://www.google.com/maps/place/?q=place_id:ChIJnTwtnPvFADsRclPd6wohQI0,part_269,2026-09-20 19:01:38,348
NACHIYAR STORE,General Store,General store,General store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 93849 66503,N/A,4.0,1.0,"Andarakottaram, 1/386D, Ayyanar Nagar, Tamil Nadu 625020",Kaliyamman Nagar,9.9061075,78.1866345,ChIJ_do5_IbFADsR_4ue0obWqSY,https://www.google.com/maps/place/?q=place_id:ChIJ_do5_IbFADsR_4ue0obWqSY,part_269,2026-09-20 19:01:38,349
yogesh mallgai store,General Store,Grocery store,Grocery store,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 86106 46868,N/A,5.0,4.0,"Vairichettipalayam, Tamil Nadu 621012",630612,11.2849913,78.4903803,ChIJ57AQlXKvqzsRbfXf3BruPJ4,https://www.google.com/maps/place/?q=place_id:ChIJ57AQlXKvqzsRbfXf3BruPJ4,part_269,2026-09-20 19:01:38,350
