business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Retail Way,Multi-location Retail Chains,Supermarket,Supermarket,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 99101 49915,https://retailway.in/,5.0,,"Mez & 1st Floor, A83, Pocket D, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020","Pocket D, Okhla Phase II, Okhla Industrial Estate",28.5386293,77.26949259999999,ChIJg1AjEbrjDDkR646zdv-xQzU,https://www.google.com/maps/place/?q=place_id:ChIJg1AjEbrjDDkR646zdv-xQzU,part_269,2026-09-20 19:02:15,9969
Rms mini mart,Multi-location Retail Chains,Supermarket,Supermarket,630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 84899 44541,N/A,4.5,,"A.Karungulam, Tamil Nadu 630321",630702,9.896380599999999,78.7056753,ChIJ9SwPvutZADsRyRRRjdaUoGE,https://www.google.com/maps/place/?q=place_id:ChIJ9SwPvutZADsRyRRRjdaUoGE,part_269,2026-09-20 19:02:53,14875
AK Store and Mini hall,Multi-location Retail Chains,Grocery store,Grocery store,630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 91594 07463,N/A,5.0,,"RHXP+RW6, Kollangudi, Vittaneri, Tamil Nadu 630556",630702,9.850061,78.587942,ChIJJx9STAD5ADsR2tl6pIbC98M,https://www.google.com/maps/place/?q=place_id:ChIJJx9STAD5ADsR2tl6pIbC98M,part_269,2026-09-20 19:02:53,14876
Elumalayan Maligai Store,Multi-location Retail Chains,Supermarket,Supermarket,630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",N/A,N/A,5.0,1.0,"4J83+8FV, Seethali Kilkarai, Tirupattur, Tamil Nadu 630211",Seethali Kilkarai,10.1158659,78.6036681,ChIJK3QbiwqLADsRR1ATDlQuOEU,https://www.google.com/maps/place/?q=place_id:ChIJK3QbiwqLADsRR1ATDlQuOEU,part_269,2026-09-20 19:03:28,16908
Britto Super Market,Multi-location Retail Chains,Supermarket,Supermarket,630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 77080 37135,N/A,5.0,1.0,"Bus stop, SH 35, Thalakavoor, Managirisuganendal, Tamil Nadu 630307",630709,10.0671273,78.7234632,ChIJy1lJBAthADsRId4gHLrBHX0,https://www.google.com/maps/place/?q=place_id:ChIJy1lJBAthADsRId4gHLrBHX0,part_269,2026-09-20 19:03:28,16909
"Kovai Pazhamudir Nilayam - Vellore, Katpadi Road",Multi-location Retail Chains,Supermarket,"Supermarket, Convenience store, Dairy store, Dry Fruit Store, Frozen food store, Hypermarket, Indian grocery store, Organic food store, Organic shop, Produce market",631002,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Palanipet SO, Ammanur BO, Kilandurai BO",+91 92402 02911,https://stores.kpnfresh.com/kpn-fresh-supermarket-fruit-and-vegetable-shop-kangeyanallur-vellore-42954/home?utm_source=GBP,4.5,,"Plot No 62, Gandhi Nagar, Katpadi, 7th East Main Rd, near EB Bus Stop, Kangeyanallur, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Kangeyanallur",12.9561344,79.1416248,ChIJ9U3YyGtHrTsRiux09Mk6rkM,https://www.google.com/maps/place/?q=place_id:ChIJ9U3YyGtHrTsRiux09Mk6rkM,part_269,2026-09-20 19:05:59,29938
S R Sotre,Multi-location Retail Chains,Supermarket,"Supermarket, Grocery delivery service, Indian grocery store",631002,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Palanipet SO, Ammanur BO, Kilandurai BO",+91 97868 55216,N/A,4.5,13.0,"57/1, Tholkidangu St, Big Ali Puran, Kuttaimedu, Kosapet, Vellore, Tamil Nadu 632001","Big Ali Puran, Kuttaimedu, Kosapet",12.910833799999999,79.1395692,ChIJP7ojlOU4rTsRAAAAsEjHShg,https://www.google.com/maps/place/?q=place_id:ChIJP7ojlOU4rTsRAAAAsEjHShg,part_269,2026-09-20 19:05:59,29939
NRM STORES,Multi-location Retail Chains,Store,Store,631002,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Palanipet SO, Ammanur BO, Kilandurai BO",N/A,N/A,4.7,3.0,"No 19, Marakkadai Kandappan Street. Velapadi, Kosapet, Vellore, Tamil Nadu 632001",Kosapet,12.906370299999999,79.13630309999999,ChIJAborNvk5rTsR1CAJ4YGyA9w,https://www.google.com/maps/place/?q=place_id:ChIJAborNvk5rTsR1CAJ4YGyA9w,part_269,2026-09-20 19:05:59,29940
Reliance Smart point,Multi-location Retail Chains,Grocery store,Grocery store,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",N/A,N/A,3.3,,"49/1B, Vellore - Chennai Rd, Church Colony, Viruthampattu, Vellore, Tamil Nadu 632006","Church Colony, Viruthampattu",12.9424944,79.137787,ChIJTa30ALc5rTsRrElE0KMbNlg,https://www.google.com/maps/place/?q=place_id:ChIJTa30ALc5rTsRrElE0KMbNlg,part_269,2026-09-20 19:06:39,31140
Imtiyaz Ahmed,Multi-location Retail Chains,Grocery store,Grocery store,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 98943 45109,N/A,5.0,,"No.B15, Nethaji Market Clock Tower, Bazaar, Balaji Nagar, Vellore, Tamil Nadu 632004",Balaji Nagar,12.920217599999999,79.1330838,ChIJPyVR-6Q5rTsRD_cmQikcYsY,https://www.google.com/maps/place/?q=place_id:ChIJPyVR-6Q5rTsRD_cmQikcYsY,part_269,2026-09-20 19:06:39,31141
Loyal World Market,Multi-location Retail Chains,Hypermarket,"Hypermarket, Convenience store",631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 91646 11234,https://www.loyalworldmarket.com/app/w/e/STPV2%20P_ContactUs.htm,4.3,3316.0,"62, Ground Floor, XP5X+R87 Nexus Whitefield Mall, Whitefield Main Rd, Prestige Ozone, Whitefield, Bengaluru, Karnataka 560066","Prestige Ozone, Whitefield",12.9594449,77.7481528,ChIJWUPQ9vYNrjsR_Fxj4b_ZYdE,https://www.google.com/maps/place/?q=place_id:ChIJWUPQ9vYNrjsR_Fxj4b_ZYdE,part_269,2026-09-20 19:07:16,32287
More Supermarket - MALLESHPALYA,Multi-location Retail Chains,Grocery store,"Grocery store, Discount supermarket, Gourmet grocery store, Grocery delivery service",631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 81081 38000,https://more.in/,3.8,3304.0,"#51, MSR Complex, Mallesh Palya Extn, New Tippsandra, Malleshpalya Main Rd, Kaggadasapura, Bengaluru, Karnataka 560075","Malleshpalya, Kaggadasapura",12.9740001,77.6731063,ChIJATmj_F4RrjsRkDZ6lXjBTEc,https://www.google.com/maps/place/?q=place_id:ChIJATmj_F4RrjsRkDZ6lXjBTEc,part_269,2026-09-20 19:07:16,32288
Village Hyper Bazaar,Multi-location Retail Chains,Hypermarket,Hypermarket,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",N/A,N/A,4.0,5477.0,"NANDA AASHIRWAAD COMPLEX, Chandra Layout Main Rd, opp. Skyline City Apts, 2nd Block, Govindaraja Nagar Ward, Chandra Layout, Bengaluru, Karnataka 560072","2nd Block, Govindaraja Nagar Ward, Chandra Layout",12.961303599999999,77.52647739999999,ChIJAxG5M3g-rjsRt4bIyeFIoDs,https://www.google.com/maps/place/?q=place_id:ChIJAxG5M3g-rjsRt4bIyeFIoDs,part_269,2026-09-20 19:07:16,32289
Swaraj Hyper Market,Multi-location Retail Chains,Hypermarket,"Hypermarket, Grocery store",631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",N/A,N/A,4.0,6092.0,"Chocolate Factory Rd, Tavarekere, Madiwala, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029","Tavarekere, Madiwala, 1st Stage, BTM 1st Stage",12.923326,77.61228969999999,ChIJx4Hd8lUUrjsRrgbbzBC9zIg,https://www.google.com/maps/place/?q=place_id:ChIJx4Hd8lUUrjsRrgbbzBC9zIg,part_269,2026-09-20 19:07:16,32290
Aditya HyperMarket,Multi-location Retail Chains,Hypermarket,"Hypermarket, Beverage Store, Cosmetics store, Ice cream shop, Perfume store, Stationery store",631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 44 2722 2020,N/A,4.1,753.0,"SH58, 186, Gandhi Rd, Ennaikaran, Kanchipuram, Tamil Nadu 631501",Ennaikaran,12.826109599999999,79.7085987,ChIJVbCh3PDCUjoRuko3Gk3n_28,https://www.google.com/maps/place/?q=place_id:ChIJVbCh3PDCUjoRuko3Gk3n_28,part_269,2026-09-20 19:07:16,32291
Spar Hypermarket,Multi-location Retail Chains,Hypermarket,"Hypermarket, Shopping mall, Supermarket",631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",N/A,https://www.sparindia.com/,4.1,8368.0,"Malleshwaram, Bengaluru, Karnataka 560003",Malleshwaram,12.991797,77.57043689999999,ChIJ7SXvACMWrjsR26OsBQPISfg,https://www.google.com/maps/place/?q=place_id:ChIJ7SXvACMWrjsR26OsBQPISfg,part_269,2026-09-20 19:07:16,32292
More,Multi-location Retail Chains,Supermarket,Supermarket,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",N/A,https://www.moreretail.in/,5.0,1.0,"Shop No 581/56, 1B, Uttarahalli Main Rd, near Bangalore Internation Public School, Ankappa Layout, Chikkalasandra, Bengaluru, Karnataka 560061","Ankappa Layout, Chikkalasandra",12.9098426,77.55050539999999,ChIJETX-H9A_rjsRGzh_0mSIx04,https://www.google.com/maps/place/?q=place_id:ChIJETX-H9A_rjsRGzh_0mSIx04,part_269,2026-09-20 19:07:16,32293
Citi Supermarket,Multi-location Retail Chains,Supermarket,"Supermarket, Grocery store, Indian grocery store",631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",+91 95664 73307,N/A,3.7,602.0,"Plot No R-28/3, Kakkulur Byepass, TNHB Rd, near Old Collector Office, Tiruvallur, Tamil Nadu 602001",Ma. Po. Si. Nagar,13.1372314,79.9149176,ChIJD23RDReQUjoRbWby53VtlJ0,https://www.google.com/maps/place/?q=place_id:ChIJD23RDReQUjoRbWby53VtlJ0,part_269,2026-09-20 19:13:36,45980
Reliance SMART Superstore,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-superstore-hypermarket-gandhinagar-tiruppur-280142/Home,2.4,,"Shop No 4, Easwaran Complex, Avinashi - Tiruppur Rd, AB Nagar, Gandhinagar, Velampalayam, Tiruppur, Tamil Nadu 641603","AB Nagar, Gandhinagar, Velampalayam",11.1337532,77.32469789999999,ChIJCXzGomQHqTsRD9ZR4zELoCE,https://www.google.com/maps/place/?q=place_id:ChIJCXzGomQHqTsRD9ZR4zELoCE,part_269,2026-09-20 19:14:15,49820
Amuthasurabi super market,Multi-location Retail Chains,Grocery store,Grocery store,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 77086 07370,N/A,4.4,,"Mangalam road, po, Karuvampalayam, Tiruppur, Tamil Nadu 641604",Karuvampalayam,11.095696799999999,77.337426,ChIJ6eUaRdoHqTsR-rab-hUJ-Ao,https://www.google.com/maps/place/?q=place_id:ChIJ6eUaRdoHqTsR-rab-hUJ-Ao,part_269,2026-09-20 19:14:15,49821
Ambika super market,Multi-location Retail Chains,Supermarket,Supermarket,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 97874 94428,N/A,5.0,,"4988+3Q7, Nethaji Nagar, Karumarpalayam, Tiruppur, Tamil Nadu 641607","Nethaji Nagar, Karumarpalayam",11.115174099999999,77.3669309,ChIJRxmubRYHqTsRt2fj4h48_6o,https://www.google.com/maps/place/?q=place_id:ChIJRxmubRYHqTsRt2fj4h48_6o,part_269,2026-09-20 19:14:15,49822
GEM SUPER MARKET,Multi-location Retail Chains,Supermarket,"Supermarket, Store",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 97901 72972,N/A,3.9,,"188A, Dharapuram Road, Indira Nagar, Chandrapuram, Tiruppur, Tamil Nadu 641604","Indira Nagar, Chandrapuram",11.097679099999999,77.3532764,ChIJaXNOLL4HqTsRtjRb0WOIxzo,https://www.google.com/maps/place/?q=place_id:ChIJaXNOLL4HqTsRtjRb0WOIxzo,part_269,2026-09-20 19:14:15,49823
Bharani Supermart,Multi-location Retail Chains,Grocery store,Grocery store,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 95141 99199,N/A,4.1,,"8/1704, Bharani Complex, Pandian Nagar, Tiruppur, Tamil Nadu 641602","Pandian Nagar, Sathya Colony",11.1636031,77.34967759999999,ChIJZzVX6jYFqTsRS8WCwWmct34,https://www.google.com/maps/place/?q=place_id:ChIJZzVX6jYFqTsRS8WCwWmct34,part_269,2026-09-20 19:14:15,49824
Manipal Stores,Multi-location Retail Chains,Wholesaler,"Wholesaler, Manufacturer",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 94428 72590,http://www.manipalstores.com/,4.2,,"Marudhasalapuram Main Road, M G R Nagar, Weavers Colony, Chettipalayam, Tamil Nadu 641602","M G R Nagar, Weavers Colony",11.1237658,77.3347706,ChIJf-Ed0FUGqTsRiMVhIahkJP0,https://www.google.com/maps/place/?q=place_id:ChIJf-Ed0FUGqTsRiMVhIahkJP0,part_269,2026-09-20 19:14:15,49825
K.M.S Super Market,Multi-location Retail Chains,Supermarket,Supermarket,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 96777 27742,N/A,4.2,,"Kannipiran Colony, Valipalayam, Tiruppur, Tamil Nadu 641601","Kannipiran Colony, Valipalayam",11.110825499999999,77.3498066,ChIJjxN01bYHqTsRVasq7bIYIQU,https://www.google.com/maps/place/?q=place_id:ChIJjxN01bYHqTsRVasq7bIYIQU,part_269,2026-09-20 19:14:15,49826
Kovai Pazhamudir Nilayam - Tiruppur (Gandhi Nagar),Multi-location Retail Chains,Grocery store,Grocery store,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",N/A,N/A,4.0,,"Avinashi Main Rd, Gandhinagar, Velampalayam, Tiruppur, Tamil Nadu 641603","Gandhinagar, Velampalayam",11.1331122,77.325189,ChIJgYHf_c8HqTsR6O00Dv7fqm8,https://www.google.com/maps/place/?q=place_id:ChIJgYHf_c8HqTsR6O00Dv7fqm8,part_269,2026-09-20 19:14:15,49827
Shri Kalki Supermarket,Multi-location Retail Chains,Grocery store,Grocery store,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 94885 91122,https://www.kalkisupermarket.in/,4.0,,"College Rd, Thiru V K Nagar, K v, R Layout, Tiruppur, Tamil Nadu 641602","Thiru V K Nagar, K v, R Layout",11.107861999999999,77.32769259999999,ChIJyw3jpmsHqTsRsPAA5fNlP5o,https://www.google.com/maps/place/?q=place_id:ChIJyw3jpmsHqTsRsPAA5fNlP5o,part_269,2026-09-20 19:14:15,49828
Reliance Digital,Multi-location Retail Chains,Electronics store,Electronics store,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 8071 889 737,https://store.reliancedigital.in/reliance-digital-tirupur-tamilnadu-electronics-retail-and-repair-shop-kumaran-road-tiruppur-208684/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"No 346 & 347, Kumaran Rd, near Maniyam Hardware, Kannipiran Colony, Valipalayam, Tiruppur, Tamil Nadu 641601","Kannipiran Colony, Valipalayam",11.1037564,77.3457098,ChIJ9YE__wwHqTsRQuMfVfwIg4c,https://www.google.com/maps/place/?q=place_id:ChIJ9YE__wwHqTsRQuMfVfwIg4c,part_269,2026-09-20 19:14:15,49829
