business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MM oil mill,Flour and Oil Mill,Store,Store,630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 94438 61916,N/A,4.2,23.0,"Dindigul - Natham - Singampunari-Tiruppattur-Karaikudi Rd, Pandaram Colony, Singampunari, Kannamangalapatti, Tamil Nadu 625103",Pandaram Colony,10.1843367,78.4199758,ChIJ5zOSJgORADsRq8jzpdniZcY,https://www.google.com/maps/place/?q=place_id:ChIJ5zOSJgORADsRq8jzpdniZcY,part_269,2026-09-20 19:02:48
AR Oil Mill & Flour Mill,Flour and Oil Mill,Mill,"Mill, Wholesaler",630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 96008 85389,N/A,3.0,2.0,"NK Road, 2nd St, Gandhiji Nagar, Postal Colony, Vilar, Tamil Nadu 613006","Gandhiji Nagar, Postal Colony",10.7518693,79.1476114,ChIJzaPQ1pu5qjsRs9fRxMUHVbM,https://www.google.com/maps/place/?q=place_id:ChIJzaPQ1pu5qjsRs9fRxMUHVbM,part_269,2026-09-20 19:02:48
Sri vinayaga oil and flour mills,Flour and Oil Mill,Food manufacturer,"Food manufacturer, Cattle market, Flour mill, Manufacturer, Mill, Rice mill",630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 63798 09495,https://srivinayagamills.my.canva.site/,5.0,27.0,"Mela kondayampettai, 120, Vellalar St, Srirangam, Thiruvanaikoil, Srirangam, Tiruchirappalli, Tamil Nadu 620005","Srirangam, Thiruvanaikoil, Srirangam",10.849749599999999,78.7065909,ChIJhXPnFI_1qjsRWomIUs9qxGU,https://www.google.com/maps/place/?q=place_id:ChIJhXPnFI_1qjsRWomIUs9qxGU,part_269,2026-09-20 19:02:48
Thirumurugan oil mill & Flower mill,Flour and Oil Mill,Flour mill,Flour mill,630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 80985 75136,N/A,4.5,2.0,"483,North street, post, Siruvangur, Kallakurichi, Tamil Nadu 606213",630702,11.752768,78.9786496,ChIJg8ZE145nqzsRPKacis4HxSg,https://www.google.com/maps/place/?q=place_id:ChIJg8ZE145nqzsRPKacis4HxSg,part_269,2026-09-20 19:02:48
Pandi flour mill& oil mill....பாண்டி பிளவர் மில் & ஆயில் மில்,Flour and Oil Mill,Rice mill,Rice mill,630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",N/A,N/A,,,"near me arulsandru nilayam, Ulaganathapuram, Paramakudi, Vendoni, Tamil Nadu 623701",Ulaganathapuram,9.5263359,78.6078472,ChIJf35M3LsJATsRKzuDHpdAOso,https://www.google.com/maps/place/?q=place_id:ChIJf35M3LsJATsRKzuDHpdAOso,part_269,2026-09-20 19:02:48
Pappa oil mill,Flour and Oil Mill,Store,Store,630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 98424 42161,N/A,4.6,,"16, I Block, 17th Ward, Singampunari, Tamil Nadu 625103",630702,10.1849254,78.4181383,ChIJOzt5hHqRADsRAsXV5d-bt_g,https://www.google.com/maps/place/?q=place_id:ChIJOzt5hHqRADsRAsXV5d-bt_g,part_269,2026-09-20 19:02:48
Sri Vinayaga Flour & Oil Mills,Flour and Oil Mill,Home goods store,Home goods store,630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 79042 92494,N/A,5.0,,"8MJX+288, Paari Nagar, Kumalan Kuttai, Erode, Tamil Nadu 638011","Paari Nagar, Kumalan Kuttai",11.3300352,77.69831529999999,ChIJ1285SStvqTsR3D1604b-qVg,https://www.google.com/maps/place/?q=place_id:ChIJ1285SStvqTsR3D1604b-qVg,part_269,2026-09-20 19:02:48
PAL OIL AND FLOUR MILL,Flour and Oil Mill,Store,"Store, Flour mill",630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 73095 12341,N/A,4.9,,"Rahimapur, Sherdeeh, Uttar Pradesh 211019",630702,25.4480339,81.9518853,ChIJOZuCnFO1mjkRDC7Ao9zmKco,https://www.google.com/maps/place/?q=place_id:ChIJOZuCnFO1mjkRDC7Ao9zmKco,part_269,2026-09-20 19:02:48
Priya Flour And Oil Mill,Flour and Oil Mill,Organic shop,Organic shop,630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 97150 46099,N/A,5.0,,"9R7Q+QG, Thokkavadi, Tiruchengode, Tamil Nadu 637215",630702,11.3644375,77.8388125,ChIJ5-9Gh99hqTsRplwDxeFb-YM,https://www.google.com/maps/place/?q=place_id:ChIJ5-9Gh99hqTsRplwDxeFb-YM,part_269,2026-09-20 19:02:48
Karvembu Oil Mills,Flour and Oil Mill,Agricultural service,"Agricultural service, Farm equipment supplier",630702,Tamilnadu circle,"Southern Region, Madurai",Sivaganga Division,"Ariyandipuram BO, Karunchutti BO, Ilayangudi SO",+91 94422 60384,N/A,4.6,,"3RQ6+C3H, Mettukalam, V.Karukkampalayam(Po), Sivagiri, Erode, Tamil Nadu 638109",630702,11.088566799999999,77.81022399999999,ChIJ9XsId3SCqTsRt2xr4n6aD1Y,https://www.google.com/maps/place/?q=place_id:ChIJ9XsId3SCqTsRt2xr4n6aD1Y,part_269,2026-09-20 19:02:48
