business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sannidhi Modular Kitchens,Modular Kitchen Manufacturer,Kitchen remodeler,"Kitchen remodeler, Interior designer",630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 93799 45050,N/A,4.1,106.0,"1st Floor, 937, Dr.Vishnuvardhan Rd, Channasandra, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098","Channasandra, Rajarajeshwari Nagar",12.903208699999999,77.52232099999999,ChIJ4_qqoqY_rjsRR9k5a7T8Xcg,https://www.google.com/maps/place/?q=place_id:ChIJ4_qqoqY_rjsRR9k5a7T8Xcg,part_269,2026-09-20 19:03:11
Modular Kitchen Bangalore - Elements Kitchens,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Cabinet store, Interior designer, Kitchen remodeler, Modular home dealer, Office furniture store",630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 99002 69592,http://www.elements4kitchens.com/,4.7,93.0,"Old No.269, New no.35, 1st floor, 5th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011","4th Block, Jayanagar",12.9250618,77.5807943,ChIJDUbW1IIVrjsRKl0gKFEKK5A,https://www.google.com/maps/place/?q=place_id:ChIJDUbW1IIVrjsRKl0gKFEKK5A,part_269,2026-09-20 19:03:11
Elegant Modular Kitchens,Modular Kitchen Manufacturer,Furniture store,"Furniture store, Kitchen furniture store, Kitchen remodeler",630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 98863 35924,http://www.elegantmodulars.com/,4.4,18.0,"7th Cross Road, GKVK, # 1013, 7th Main Rd, opp. Indian Bank, Judicial Layout, Yelahanka, Bengaluru, Karnataka 560065","Judicial Layout, Yelahanka",13.0810427,77.5877491,ChIJcTVjVEAYrjsRFhtTp0qNhBE,https://www.google.com/maps/place/?q=place_id:ChIJcTVjVEAYrjsRFhtTp0qNhBE,part_269,2026-09-20 19:03:11
GIRISH KITCHENS & BEDROOMS,Modular Kitchen Manufacturer,Kitchen furniture store,Kitchen furniture store,630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 98800 11761,http://girishkitchens.com/,4.8,76.0,"1st Floor, 28, 100 ft Ring Road, near Ejipura, Signal, Koramangala, Bengaluru, Karnataka 560047","Signal, Koramangala",12.938658799999999,77.63167899999999,ChIJF8Q6k1cUrjsR9M1frmB9FCs,https://www.google.com/maps/place/?q=place_id:ChIJF8Q6k1cUrjsR9M1frmB9FCs,part_269,2026-09-20 19:03:11
Zee Interior - Interior Designer in Patna || Full Home Interior || Commercial Interior,Modular Kitchen Manufacturer,Interior designer,"Interior designer, Architectural designer, Bathroom remodeler, Custom home builder, Home builder, Interior architect office, Interior construction contractor, Interior Decorator, Kitchen remodeler",630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 95349 00999,https://zeeinterior.com/,4.5,784.0,"1st floor, Usha Niketan House, 122, Boring Patliputra Rd, beside Bank Of Baroda, above Havells Showroom, Patliputra Colony, Patna, Bihar 800013",Patliputra Colony,25.6258433,85.11054469999999,ChIJ1SxLHh5Z7TkRbpYmjoRjetE,https://www.google.com/maps/place/?q=place_id:ChIJ1SxLHh5Z7TkRbpYmjoRjetE,part_269,2026-09-20 19:03:11
Modular Kitchen Bangalore | Interiorize Kitchens,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Bedroom furniture store, Cabinet maker, Furniture maker, Furniture Manufacturer, Kitchen supply store",630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 98801 10247,http://www.interiorize.in/,4.9,,"Interiorize, 1st floor, UMIYA Emporium, Hosur Main Road Kaveri Layout, Koramangala, S.G. Palya, Bengaluru, Karnataka 560029","Tavarekere, Kaveri Layout, S.G. Palya",12.9330068,77.6111375,ChIJC9R5sggVrjsRViyZVnvV8ZU,https://www.google.com/maps/place/?q=place_id:ChIJC9R5sggVrjsRViyZVnvV8ZU,part_269,2026-09-20 19:03:12
Kitchen Desk- The Modular Kitchen,Modular Kitchen Manufacturer,Interior designer,"Interior designer, Architectural designer, Furniture Manufacturer, Interior architect office, Interior construction contractor, Interior Decorator, Kitchen remodeler, Modular home dealer",630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 99190 88559,N/A,4.7,,"2nd Floor, D.N. circle, Kangkar Bagh Road, RBI Flats Colony, Bankman Colony, Patna, Bihar 800020","RBI Flats Colony, Bankman Colony",25.602518999999997,85.1558687,ChIJy1svyKJZ7TkRJCzs0U_gb3k,https://www.google.com/maps/place/?q=place_id:ChIJy1svyKJZ7TkRJCzs0U_gb3k,part_269,2026-09-20 19:03:12
HOUSE OF KITCHENS,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Furniture store, Interior designer, Kitchen remodeler, Kitchen supply store, Modular home dealer",630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 97709 96691,https://www.instagram.com/house.ofkitchensmodularkitchen?utm_source=qr&igsh=cTR1Nzh2c3l3cjBj,4.9,,"148, MP Nagar Zone-I, Zone-I, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462011","MP Nagar Zone-I, Zone-I, Maharana Pratap Nagar",23.23508,77.4342186,ChIJJ-l8IkBDfDkRoyaEk7QTUbo,https://www.google.com/maps/place/?q=place_id:ChIJJ-l8IkBDfDkRoyaEk7QTUbo,part_269,2026-09-20 19:03:12
Kitchen craft Modular Kitchen & All Interior,Modular Kitchen Manufacturer,Kitchen supply store,"Kitchen supply store, Countertop store, Kitchen remodeler",630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 96992 03053,https://www.instagram.com/invites/contact/?igsh=1bb3cuyx93pvv&utm_content=t6t0uyf,4.9,,"Shop no 5, devdarshan chs, plot no 23/24, Kesar Symphony, Sector-19, Kharghar, Panvel, Maharashtra 410210","Kesar Symphony, Sector-19, Kharghar",19.0475174,73.07556269999999,ChIJLzCrnBPD5zsRRbWdRhl5eo0,https://www.google.com/maps/place/?q=place_id:ChIJLzCrnBPD5zsRRbWdRhl5eo0,part_269,2026-09-20 19:03:12
Real modular kitchan,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Interior designer, Kitchen remodeler",630709,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pudur Ilayangudi SO, Indankulam BO, Kannamangalam BO",+91 88283 52593,https://real-modular-kitchen.grexa.site/,4.5,,"Shop No. 6, sahakar avenue, Swami Vivekanand Rd, opp. sapna hotel, Malad, Daruwala Compound, Malad West, Mumbai, Maharashtra 400064","Malad, Daruwala Compound, Malad West",19.1918902,72.8471261,ChIJOS0h1py35zsRZZYl7j4Wq-k,https://www.google.com/maps/place/?q=place_id:ChIJOS0h1py35zsRZZYl7j4Wq-k,part_269,2026-09-20 19:03:12
