business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New balaji chicken centre,Meat and Poultry Shop,Chicken & Mutton Shop,"Chicken & Mutton Shop, Poultry store",631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 94425 59091,N/A,3.2,,"59/2, Gandhi Road, Stuartpet, Arakkonam, Tamil Nadu 631001","Stuartpet, Arakkonam",13.0859677,79.6628094,ChIJ1SkkBQC9UjoR86_bmB0zhUA,https://www.google.com/maps/place/?q=place_id:ChIJ1SkkBQC9UjoR86_bmB0zhUA,part_269,2026-09-20 19:04:45
ASRAF CHICKEN CENTER,Meat and Poultry Shop,Chicken & Mutton Shop,"Chicken & Mutton Shop, Chicken restaurant, Chicken shop",631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 95009 13959,N/A,4.7,,"No.1, 2nd Street, near SR Gate, Krishnampet, Arakkonam, Kanchipuram, Arakkonam, Tamil Nadu 631002","Krishnampet, Arakkonam",13.0743063,79.670306,ChIJR7PvXha8UjoRALBxgCHu16E,https://www.google.com/maps/place/?q=place_id:ChIJR7PvXha8UjoRALBxgCHu16E,part_269,2026-09-20 19:04:45
VPS POULTRY FARM,Meat and Poultry Shop,Poultry farm,Poultry farm,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 94999 61679,N/A,5.0,1.0,"Kadambanallur, Arakkonam, Tamil Nadu 631151",631001,13.0193851,79.688946,ChIJS-0OlG6_UjoRLSmToDpwdhc,https://www.google.com/maps/place/?q=place_id:ChIJS-0OlG6_UjoRLSmToDpwdhc,part_269,2026-09-20 19:04:46
Ruchii Chicken,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 99407 35926,N/A,5.0,1.0,"5/6, Thiruthani Rd, opp. Arul Kumaran Text, Jothi Nagar, Arakkonam, Tamil Nadu 631003","Jothi Nagar, Arakkonam",13.0929796,79.6595636,ChIJCXREvKu9UjoRSHSi5StDn2E,https://www.google.com/maps/place/?q=place_id:ChIJCXREvKu9UjoRSHSi5StDn2E,part_269,2026-09-20 19:04:46
HABEEB CHICKEN CENTER,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 88255 59897,N/A,4.5,4.0,"118/15, Gandhi Rd, Arakkonam, Chennai, Arakkonam, Tamil Nadu 631001",Arakkonam,13.083448599999999,79.67040279999999,ChIJZYcAn9W9UjoRw33m66o3NP4,https://www.google.com/maps/place/?q=place_id:ChIJZYcAn9W9UjoRw33m66o3NP4,part_269,2026-09-20 19:04:46
Ponnu chicken,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 94430 38230,N/A,5.0,3.0,"162, Thiruthani Rd, Arakkonam, Tamil Nadu 631001",Arakkonam,13.0890385,79.66098029999999,ChIJwaaKSAC9UjoR3I4DJObobiQ,https://www.google.com/maps/place/?q=place_id:ChIJwaaKSAC9UjoR3I4DJObobiQ,part_269,2026-09-20 19:04:46
ASHAN CHICKEN CENTER,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 90435 72399,N/A,4.9,8.0,"No 4, Tiruttani high road, near akshaya super market, Nagallamman nagar, Vadampakkam, Tamil Nadu 631003",Nagallamman nagar,13.105262699999999,79.64759149999999,ChIJyTcCgeK7UjoRPjl12MoojlU,https://www.google.com/maps/place/?q=place_id:ChIJyTcCgeK7UjoRPjl12MoojlU,part_269,2026-09-20 19:04:46
MURALI CHICKEN STALL,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 93422 25705,N/A,4.8,4.0,"Kuminipet, Arakkonam, Melpakkam, Tamil Nadu 631502",Kuminipet,13.0843393,79.6200757,ChIJPXD1-v-7UjoRucBMknvh7q8,https://www.google.com/maps/place/?q=place_id:ChIJPXD1-v-7UjoRucBMknvh7q8,part_269,2026-09-20 19:04:46
SAKTHIVEL No.1 CHICKEN CENTER,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 99949 56158,N/A,,,"7, Tiruttani Road, Arakkonam, Guruvarajapet, Tamil Nadu 631101",631001,13.118059599999999,79.5747178,ChIJ5SG8HtS7UjoRgaSKFChhUso,https://www.google.com/maps/place/?q=place_id:ChIJ5SG8HtS7UjoRgaSKFChhUso,part_269,2026-09-20 19:04:46
Thandalam poultry farm (நாட்டு கோழி பண்ணை),Meat and Poultry Shop,Poultry farm,Poultry farm,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",N/A,N/A,4.0,6.0,"Thandalam main road , Thandalam village Chitheri Karunya teacher training road ,Kumpinipet post, taluk, Arakkonam, Tamil Nadu 631003",631001,13.0968737,79.6041379,ChIJnaZp5hm7UjoRz5bP3j7ec80,https://www.google.com/maps/place/?q=place_id:ChIJnaZp5hm7UjoRz5bP3j7ec80,part_269,2026-09-20 19:04:46
