business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ALIF Tours and Travels,Tour and Travel Operator,Travel agency,Travel agency,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",N/A,N/A,5.0,,"Ganesh Nagar 9th St, Ganesh Nagar, Arakkonam, Tamil Nadu 631003","Ganesh Nagar, Arakkonam",13.094571499999999,79.6667155,ChIJeQhl1uu9UjoRF8b7dEdindw,https://www.google.com/maps/place/?q=place_id:ChIJeQhl1uu9UjoRF8b7dEdindw,part_269,2026-09-20 19:04:58
"Saibaba Travels, Arakkonam van tour agency",Tour and Travel Operator,Travel agency,"Travel agency, Bus tour agency, Car leasing service, Tour agency, Tour operator, Tourist attraction",631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 90433 53626,N/A,4.8,,"No 61, M G R NAGAR, PLOT NO 36, near V G N MATRICULATION HR SEC SCHOOL, Arakkonam, Tamil Nadu 631001",Arakkonam,13.082583999999999,79.6682659,ChIJ7znW9CC7UjoRoM6kxTelghk,https://www.google.com/maps/place/?q=place_id:ChIJ7znW9CC7UjoRoM6kxTelghk,part_269,2026-09-20 19:04:58
Smiley trips,Tour and Travel Operator,Tour operator,Tour operator,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",N/A,http://www.smileytrips.com/,4.8,,"Old no 31 new, 30, Sarojini St, Stuartpet, Arakkonam, Tamil Nadu 631001","Stuartpet, Arakkonam",13.0867124,79.66445689999999,ChIJ-dHm-M-9UjoRQoG0Ygp-lZ0,https://www.google.com/maps/place/?q=place_id:ChIJ-dHm-M-9UjoRQoG0Ygp-lZ0,part_269,2026-09-20 19:04:58
Karpagam Travels,Tour and Travel Operator,Travel agency,Travel agency,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 90803 33330,N/A,4.3,,"Opp: karpagam Theatre, 27/51, Railway Police Line St, Arakkonam, Tamil Nadu 631001",Arakkonam,13.085798899999999,79.66713469999999,ChIJQ6-z2TS9UjoRYxNPpbPNJsQ,https://www.google.com/maps/place/?q=place_id:ChIJQ6-z2TS9UjoRYxNPpbPNJsQ,part_269,2026-09-20 19:04:58
THARUN TOURS & TRAVELS,Tour and Travel Operator,Tour agency,Tour agency,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 99947 88545,N/A,5.0,,"17/2, Rajaji St, Arakkonam, Tamil Nadu 631001",Arakkonam,13.0895276,79.664211,ChIJVc48xTLpUjoRJohs7aAO4tA,https://www.google.com/maps/place/?q=place_id:ChIJVc48xTLpUjoRJohs7aAO4tA,part_269,2026-09-20 19:04:58
S square tours and travels,Tour and Travel Operator,Tour operator,Tour operator,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",N/A,N/A,,,"Cross Street, 4th, H.O, Arakkonam, Tamil Nadu 631001","H.O, Arakkonam",13.0874972,79.6659708,ChIJVcnMT529UjoRPPJwbJ15nVI,https://www.google.com/maps/place/?q=place_id:ChIJVcnMT529UjoRPPJwbJ15nVI,part_269,2026-09-20 19:04:58
DKB TOURS AND TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",N/A,N/A,,,"30, Mosque St, Arakkonam, Tamil Nadu 631001",Arakkonam,13.0861849,79.66818909999999,ChIJh1q3Hcq9UjoRhRgYngwfg_Q,https://www.google.com/maps/place/?q=place_id:ChIJh1q3Hcq9UjoRhRgYngwfg_Q,part_269,2026-09-20 19:04:58
MAHALAKSHMI TOURS & TRAVELS ARAKKONAM,Tour and Travel Operator,Travel agency,"Travel agency, Travel clinic",631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 63697 66439,N/A,,,"No.18 A.N KANDIGAI 1 ST PALANIPET ARAKKONAM RANIPETTAI, Arakkonam, Tamil Nadu 631002",631001,13.078493199999999,79.6756259,ChIJVXS5fiq9UjoRBGcMVWgus98,https://www.google.com/maps/place/?q=place_id:ChIJVXS5fiq9UjoRBGcMVWgus98,part_269,2026-09-20 19:04:58
Taj Travel's,Tour and Travel Operator,Travel agency,Travel agency,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 99522 22916,N/A,3.8,,"Railway station, Arakkonam, Tamil Nadu 631001",Arakkonam,13.0826599,79.6677924,ChIJScZ8dpq9UjoRBWTeywQEK-s,https://www.google.com/maps/place/?q=place_id:ChIJScZ8dpq9UjoRBWTeywQEK-s,part_269,2026-09-20 19:04:58
Lathatravels,Tour and Travel Operator,Travel agency,Travel agency,631001,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Arakkonam HO, Ashoknagar SO Vellore",+91 96773 39081,N/A,5.0,,"Nehruji Nagar, Arakkonam, Tamil Nadu 631003","Nehruji Nagar, Arakkonam",13.091079599999999,79.6651211,ChIJuTkIugm9UjoRkrRNxWrkPXI,https://www.google.com/maps/place/?q=place_id:ChIJuTkIugm9UjoRkrRNxWrkPXI,part_269,2026-09-20 19:04:58
