business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SPK Net Center,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 63745 48972,N/A,5.0,,"KVB Atm, 34, Bazaar St, opposite Guruvarajapet, Arakkonam, Sembedu, Tamil Nadu 631101",631003,13.113807099999999,79.5741129,ChIJNcyKao67UjoRdQoUG9HAbPI,https://www.google.com/maps/place/?q=place_id:ChIJNcyKao67UjoRdQoUG9HAbPI,part_269,2026-09-20 19:06:27
Tharika Net Center,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 91016 00400,N/A,5.0,,"39, Kandhappa Naicken St, Murugappa Nagar, Steward Pet, Thiruttani, Tamil Nadu 631209","Murugappa Nagar, Steward Pet",13.1766288,79.61166589999999,ChIJmbilOyqlUjoR_OaFftbpt9Q,https://www.google.com/maps/place/?q=place_id:ChIJmbilOyqlUjoR_OaFftbpt9Q,part_269,2026-09-20 19:06:27
Aadarsh Common service center - CSC,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 97909 98129,N/A,5.0,,"4HJP+329, B.V.N. Kandigai, Chinnakadambur, Tamil Nadu 631211",B.V.N. Kandigai,13.1296258,79.5857073,ChIJzfpWDPC7UjoR-yH3Zn4dI9A,https://www.google.com/maps/place/?q=place_id:ChIJzfpWDPC7UjoR-yH3Zn4dI9A,part_269,2026-09-20 19:06:27
SHANMUGA CYBER WORLD,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 96264 38860,N/A,,,"No 237/2B Tiruppati, to, Chennai - Anantapur Hwy, Indiranagar, Perungalathur, Arakkonam, Tamil Nadu 631209",Indiranagar,13.196433299999999,79.6486855,ChIJrwUeCdOlUjoRJ6pnbQlAgdM,https://www.google.com/maps/place/?q=place_id:ChIJrwUeCdOlUjoRJ6pnbQlAgdM,part_269,2026-09-20 19:06:27
Layasri Net Center,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",N/A,N/A,,,"3JMC+Q94, Sholingur Rd, Kumpinipet, Melpakkam, Tamil Nadu 631003",631003,13.0843139,79.62104,ChIJ4abefwC7UjoRgt3TrVW06Z0,https://www.google.com/maps/place/?q=place_id:ChIJ4abefwC7UjoRgt3TrVW06Z0,part_269,2026-09-20 19:06:27
Amma Browser Cente & Esevai Maiyam,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 63742 15571,N/A,5.0,,"No.2/290, Velanjeri, Nagalamanpuram, Maun Road, Thiruttani, Tamil Nadu 631209",631003,13.197626699999999,79.6225824,ChIJSYB_DcOlUjoR-AMxN0exhP0,https://www.google.com/maps/place/?q=place_id:ChIJSYB_DcOlUjoR-AMxN0exhP0,part_269,2026-09-20 19:06:27
MURUGAN NET CENTRE,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 63698 29770,N/A,5.0,,"Santhai Mettu St, opp. Taluk OFFICE, Thiruthani Hill, Nemili, Thiruttani, Tamil Nadu 631209",Thiruthani Hill,13.1718228,79.6038786,ChIJmRYxOSClUjoRMyEYEUiSI2k,https://www.google.com/maps/place/?q=place_id:ChIJmRYxOSClUjoRMyEYEUiSI2k,part_269,2026-09-20 19:06:27
GPS NET CAFE,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 81244 42062,N/A,4.0,,"Valapandal road, agaram, Valaiyathur, Tamil Nadu 632504",agaram,12.7528214,79.3363344,ChIJsfovjFQtrTsRpebSNRZhlK0,https://www.google.com/maps/place/?q=place_id:ChIJsfovjFQtrTsRpebSNRZhlK0,part_269,2026-09-20 19:06:27
AMMA XEROX 50 Ps,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 99942 67172,N/A,4.1,33.0,"37, Arakkonam Rd, Steward Pet, Thiruttani, Tamil Nadu 631209",Steward Pet,13.1745934,79.6140353,ChIJyUUxEMKlUjoRYacYmOCOtiE,https://www.google.com/maps/place/?q=place_id:ChIJyUUxEMKlUjoRYacYmOCOtiE,part_269,2026-09-20 19:06:28
Sri Lakshmi Internet,Internet Cafe,Internet cafe,Internet cafe,631003,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Jothinagar SO, Anaipakkam BO, Chitteri BO",+91 93446 99348,N/A,4.0,1.0,"Katpadi Road, Silk Mill, Katadi Road, Gandhi Nagar, near V.S.T. Motors, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Thiru Nagar",12.9524438,79.1367535,ChIJ_YORt2ZHrTsR9yayZOi0JB8,https://www.google.com/maps/place/?q=place_id:ChIJ_YORt2ZHrTsR9yayZOi0JB8,part_269,2026-09-20 19:06:28
