business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Infowave Technologies,POS and Billing Software Vendor,Website designer,"Website designer, Internet marketing service, Software company, Software Training Institute, Web hosting company",631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 70173 04793,https://infowaveit.com/,4.8,,"near mannat lawn, Khushboo Enclave, Bareilly, Uttar Pradesh 243005",Khushboo Enclave,28.3560689,79.4519589,ChIJC0GmXo8BoDkR-mt1ddYygOw,https://www.google.com/maps/place/?q=place_id:ChIJC0GmXo8BoDkR-mt1ddYygOw,part_269,2026-09-20 19:07:07
METABILL,POS and Billing Software Vendor,Software company,Software company,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 93760 89288,https://metabill.in/,5.0,,"Silver Chamber, 319, Rajkot, Gujarat 360002","Kalyan Society, Bhaktinagar Station Plot, Bhakti Nagar",22.2841108,70.79438189999999,ChIJVVVVVQW0WTkR_IkhrjIjruk,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVQW0WTkR_IkhrjIjruk,part_269,2026-09-20 19:07:07
Software Kadai,POS and Billing Software Vendor,Computer software store,Computer software store,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 98949 61240,https://softwarekadai.com/,4.9,65.0,"No 26 Pookara Street, near Mela Avani Moola Street, opp. Manoraj Kalyana Mahal, Madurai, Tamil Nadu 625001",Madurai Main,9.9192362,78.1169917,ChIJEwiTIzHFADsRC_wEaYmSLak,https://www.google.com/maps/place/?q=place_id:ChIJEwiTIzHFADsRC_wEaYmSLak,part_269,2026-09-20 19:07:07
VeSure Technologies Private Limited,POS and Billing Software Vendor,Software company,Software company,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 92179 95742,https://www.vesuretech.com/,4.6,22.0,"Metro Parking Gate 2, Punj Sons Premises, Pibco Complex, Gate 3, near Govind Puri, Industrial Area, Kalkaji, Delhi, 110019","Industrial Area, Kalkaji",28.5440428,77.2632177,ChIJKfasQCnjDDkRBIRCNKEwCIw,https://www.google.com/maps/place/?q=place_id:ChIJKfasQCnjDDkRBIRCNKEwCIw,part_269,2026-09-20 19:07:07
Billing software dealers,POS and Billing Software Vendor,Computer software store,Computer software store,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",N/A,N/A,5.0,,"V4VF+8H6, Kavi Vinayakar Kovil St, Meenakshi Nagar, Villapuram, Tamil Nadu 625012",631004,9.893291699999999,78.12388469999999,ChIJjeedXADFADsRHyaIXAi8gS0,https://www.google.com/maps/place/?q=place_id:ChIJjeedXADFADsRHyaIXAi8gS0,part_269,2026-09-20 19:07:08
Partum Softwares Pvt Ltd,POS and Billing Software Vendor,Software company,"Software company, Computer support and services",631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 96003 53331,https://www.partumsoftwares.com/,4.7,,"284, CMK CENTRAL,BANK OF BARODA UPSTAIRS, Sathy Rd, Erode, Tamil Nadu 638001",Erode Fort,11.345879199999999,77.7240375,ChIJwZRK2rhvqTsRWgkj0VXBpoM,https://www.google.com/maps/place/?q=place_id:ChIJwZRK2rhvqTsRWgkj0VXBpoM,part_269,2026-09-20 19:07:08
Xenia Technologies|Best Billing Software Company in Kochi,POS and Billing Software Vendor,Software company,Software company,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 97457 38888,N/A,4.7,,"ABK Rental Appartment, Ground Floor, 43/3803/door number B2 Puthiya Road, Aiswarya Nagar Road, palarivattom, Thammanam, Kochi, Keralam 682032","Pallinada, Chakkalakkal, Thammanam",9.9916669,76.3112665,ChIJabRRbHFzCDsRVv2mS6B0Hhw,https://www.google.com/maps/place/?q=place_id:ChIJabRRbHFzCDsRVv2mS6B0Hhw,part_269,2026-09-20 19:07:08
Tally Hari Chakra Computers,POS and Billing Software Vendor,Software company,Software company,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 99425 42525,http://harichakracomputers.com/,4.8,,"Next to, No 1, ponmana semmal, Manikandan Nagar 2nd St, MGR Nagar, Villapuram, Tamil Nadu 625012",MGR Nagar,9.9019824,78.1255678,ChIJsUMUY6nFADsRRr7MjuecexA,https://www.google.com/maps/place/?q=place_id:ChIJsUMUY6nFADsRRr7MjuecexA,part_269,2026-09-20 19:07:08
Fawaz infosystems,POS and Billing Software Vendor,Software company,Software company,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 91505 89414,http://www.fawazinfosystem.com/,4.9,,"1st Floor, Kannadi vappa,complex, 6, GH Rd, Chalai Bazar, Ramanathapuram, Tamil Nadu 623501",Chalai Bazar,9.364645099999999,78.8346761,ChIJ-SYZ8d69ATsRl2Jmjpt6b-c,https://www.google.com/maps/place/?q=place_id:ChIJ-SYZ8d69ATsRl2Jmjpt6b-c,part_269,2026-09-20 19:07:08
JustBill Billing Software,POS and Billing Software Vendor,Software company,Software company,631004,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Ekhunagar SO, Kavanur BO, Kilkuppam B.O",+91 82202 85653,http://justbillsoftware.com/,,,"No 44, 5th Street, Anna Nagar, Linganoor Vadavalli, Post, Coimbatore, Tamil Nadu 641041",631004,11.0220712,76.9070046,ChIJeUnSoyJfqDsRD0_0xHBiC6I,https://www.google.com/maps/place/?q=place_id:ChIJeUnSoyJfqDsRD0_0xHBiC6I,part_269,2026-09-20 19:07:08
