business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ramyam learning academy Branch 2,Tuition Center,Education center,Education center,631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",N/A,N/A,4.8,10.0,"Bus Stop, SH58, Saraswathi Nagar, Tamil Nadu 631211",631101,13.1481576,79.6300198,ChIJI1Y4_Si7UjoRK4KIRDPmebE,https://www.google.com/maps/place/?q=place_id:ChIJI1Y4_Si7UjoRK4KIRDPmebE,part_269,2026-09-20 19:10:19
KALAM ACADEMY,Tuition Center,Education center,Education center,631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",N/A,N/A,4.0,,"First Floor, No. 140, First Floor Chittoor Main Road K.G.Kandigai Swetha Apartments, Thiruttani, Tamil Nadu 631205",K.G Kandigai,13.1733639,79.5194176,ChIJnUBGunOvUjoR54HNjg58dm8,https://www.google.com/maps/place/?q=place_id:ChIJnUBGunOvUjoR54HNjg58dm8,part_269,2026-09-20 19:10:20
Modern Tuition,Tuition Center,Private Tutor,"Private Tutor, Service establishment",631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",07902 396560,https://www.moderntuition.co.uk/home,5.0,,"Modern Tuition, 631101, India",631101,47.73855,12.508827499999999,ChIJ_QCaifuX-kkREIrzYc_oMqk,https://www.google.com/maps/place/?q=place_id:ChIJ_QCaifuX-kkREIrzYc_oMqk,part_269,2026-09-20 19:10:20
Mentorclap Education,Tuition Center,Tutoring service,"Tutoring service, Educational consultant, Educational institution, Private Tutor",631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",+91 94499 38466,http://mentorclap.com/,4.9,,"5th Cross Rd, BHEL Officers Layout, Najayappa Layout, SR Krishnappa Garden, Jayanagar, Bengaluru, Karnataka 560041","BHEL Officers Layout, Najayappa Layout, SR Krishnappa Garden, Jayanagar",12.9308815,77.5972979,ChIJ7VmwIYQVrjsR-GDZr4mPS0s,https://www.google.com/maps/place/?q=place_id:ChIJ7VmwIYQVrjsR-GDZr4mPS0s,part_269,2026-09-20 19:10:20
Unique Learning Centre (U.L.C),Tuition Center,Coaching Center,"Coaching Center, Private Tutor",631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",+91 471 244 1488,https://uniquetvm.com/,4.8,,"Pranavam, Medical College Ulloor Rd, Santhosh Nagar, Kochulloor, Ulloor, Thiruvananthapuram, Keralam 695011","Santhosh Nagar, Kochulloor, Ulloor",8.5332413,76.9278089,ChIJRcd_8Vm5BTsRtOOxQRrIUsc,https://www.google.com/maps/place/?q=place_id:ChIJRcd_8Vm5BTsRtOOxQRrIUsc,part_269,2026-09-20 19:10:20
PHONETICS EDUCATION,Tuition Center,Coaching Center,Coaching Center,631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",+91 87979 26500,http://www.phoneticsedu.com/,5.0,,"PC28+H73, Sindhari Road, Digwadih, Jorapokhar, Jharkhand 828110",Digwadih,23.701437499999997,86.41568749999999,ChIJeXEPuuKZ9jkRMLMC6Ym19tE,https://www.google.com/maps/place/?q=place_id:ChIJeXEPuuKZ9jkRMLMC6Ym19tE,part_269,2026-09-20 19:10:20
Foundation Tutorials,Tuition Center,Education center,Education center,631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",+91 98726 30381,N/A,5.0,,"Sant Nagar, Patiala, Punjab 147001",Sant Nagar,30.340983599999998,76.3845419,ChIJESEkBBApEDkR5_-fyOjRzGU,https://www.google.com/maps/place/?q=place_id:ChIJESEkBBApEDkR5_-fyOjRzGU,part_269,2026-09-20 19:10:20
PrivateTuition.co.in,Tuition Center,Private Tutor,Private Tutor,631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",+91 91631 90359,https://www.privatetuition.co.in/,4.4,,"4/4, JD Band Rd, Nainan Para, Baranagar, Kolkata, Baranagar, West Bengal 700036","Nainan Para, Baranagar",22.6362362,88.37435769999999,ChIJI_vZ-r2d-DkR0vwEsFF3Ejs,https://www.google.com/maps/place/?q=place_id:ChIJI_vZ-r2d-DkR0vwEsFF3Ejs,part_269,2026-09-20 19:10:20
Perfect Tutor,Tuition Center,Private Tutor,"Private Tutor, Service establishment",631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",+91 80835 28083,https://www.perfecttutor.in/online-home-tutors-delhi-ncr-and-tuition-job,5.0,,"Perfect Tutor, 631101, India",631101,28.6437998,77.0932314,ChIJE75IcXyJ6mURY8WPehfblQU,https://www.google.com/maps/place/?q=place_id:ChIJE75IcXyJ6mURY8WPehfblQU,part_269,2026-09-20 19:10:20
Sri saraswathi typewriting institute,Tuition Center,Education center,Education center,631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",N/A,N/A,5.0,,"Salai Bus Stand, SH 61, Minnal, Tamil Nadu 632510",631101,13.0904248,79.56930679999999,ChIJDa-FrhO7UjoRavudg2WTdiE,https://www.google.com/maps/place/?q=place_id:ChIJDa-FrhO7UjoRavudg2WTdiE,part_269,2026-09-20 19:10:20
BYJU'S Tuition Centre - Kosapet,Tuition Center,Coaching Center,Coaching Center,631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",+91 90090 02000,https://byjus.com/btc/byjus-tuition-centre-kosapet-vellore/?utm_source=GMB&utm_medium=btc-link&utm_campaign=GMB-profile,4.7,,"2nd Floor, 98/3, Arni Rd, above More Supermarket, Kosapet, Vellore, Tamil Nadu 632001",Kosapet,12.9101071,79.13329999999999,ChIJQe4L6nI5rTsR6V_XXP1r-Ak,https://www.google.com/maps/place/?q=place_id:ChIJQe4L6nI5rTsR6V_XXP1r-Ak,part_269,2026-09-20 19:10:20
Knowledgekit TNPSC ACADEMY,Tuition Center,Coaching Center,Coaching Center,631101,Tamilnadu Circle,Chennai City Region,Arakkonam Division,"Guruvarajpet SO, Kizhavanam BO, Mittapettai BO",+91 88381 96421,http://knowledgekittnpsc.blogspot.com/,4.8,,"No.2A/36, 12th East Cross Rd, opp. B&B Golden gate apartment, Suthanthira Ponvizha Nagar, Gandhi Nagar, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Gandhi Nagar",12.951957199999999,79.1389525,ChIJOdhejF85rTsRZ7KEgo3FDvo,https://www.google.com/maps/place/?q=place_id:ChIJOdhejF85rTsRZ7KEgo3FDvo,part_269,2026-09-20 19:10:20
