business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr.Pradeep Dental Care,Dental Clinic,Dental clinic,"Dental clinic, Dentist, Hospital department",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 94420 70419,N/A,4.9,72.0,"No 125/54, Subbarao street, Sholinghur, Tamil Nadu 631102",631102,13.1137789,79.41898859999999,ChIJQT3_5gOzUjoRnxHaXK-48HI,https://www.google.com/maps/place/?q=place_id:ChIJQT3_5gOzUjoRnxHaXK-48HI,part_269,2026-09-20 19:10:39
Krishna Dental Care(Since 1986),Dental Clinic,Dental clinic,Dental clinic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 96774 72383,N/A,4.9,65.0,"No: 13, Sannathi St, opp. to Perumal Temple, Sholinghur, Tamil Nadu 631102",631102,13.114586899999999,79.42083559999999,ChIJy4mdgUqzUjoRdu3VDcAeUvo,https://www.google.com/maps/place/?q=place_id:ChIJy4mdgUqzUjoRdu3VDcAeUvo,part_269,2026-09-20 19:10:39
BEST DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,5.0,8.0,"Bairagi Madam St, Sholinghur, Tamil Nadu 631102",631102,13.1140034,79.4186072,ChIJn8o11VOzUjoRX_QOFCaOatQ,https://www.google.com/maps/place/?q=place_id:ChIJn8o11VOzUjoRX_QOFCaOatQ,part_269,2026-09-20 19:10:39
Best Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,5.0,1.0,"137, Post Office St, Sholinghur, Tamil Nadu 631102",631102,13.1151792,79.4218813,ChIJz2_0JwCzUjoRgWcApyJXFjw,https://www.google.com/maps/place/?q=place_id:ChIJz2_0JwCzUjoRgWcApyJXFjw,part_269,2026-09-20 19:10:39
I.R Dental clinic,Dental Clinic,Dental clinic,Dental clinic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,5.0,2.0,"4C7C+H4C, 19/1, Gandhi Nagar, Sholinghur, Tamil Nadu 631102",Gandhi Nagar,13.113943899999999,79.4202639,ChIJf32lQMSzUjoREsXP0T5dmGE,https://www.google.com/maps/place/?q=place_id:ChIJf32lQMSzUjoREsXP0T5dmGE,part_269,2026-09-20 19:10:39
DEVI DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 89436 99321,N/A,5.0,1.0,"56, Post Office St, Sholinghur, Tamil Nadu 631102",631102,13.1151679,79.41992929999999,ChIJKSp2rmuzUjoRKjuNVXcIhZE,https://www.google.com/maps/place/?q=place_id:ChIJKSp2rmuzUjoRKjuNVXcIhZE,part_269,2026-09-20 19:10:39
ARYA DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 90475 71005,N/A,,,"7/1, Boardingpet street, Sholinghur, Tamil Nadu 631102",631102,13.1174989,79.4175739,ChIJibyiKMSzUjoRVmL00F5nXHU,https://www.google.com/maps/place/?q=place_id:ChIJibyiKMSzUjoRVmL00F5nXHU,part_269,2026-09-20 19:10:39
ASWIN DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 99945 03271,N/A,4.0,1.0,"First floor, 98/51, Post Office St, Sholinghur, Tamil Nadu 631102",631102,13.1151614,79.4199057,ChIJx-X-yt2zUjoRVJ78b22PObo,https://www.google.com/maps/place/?q=place_id:ChIJx-X-yt2zUjoRVJ78b22PObo,part_269,2026-09-20 19:10:39
Dental clinic and Hospital,Dental Clinic,Hospital,Hospital,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,,,"4C89+993, Sholinghur, Tamil Nadu 631102",631102,13.1158907,79.4184145,ChIJyY2c0ZOzUjoRp8TfKjw72w4,https://www.google.com/maps/place/?q=place_id:ChIJyY2c0ZOzUjoRp8TfKjw72w4,part_269,2026-09-20 19:10:39
Dentist in Sholingur,Dental Clinic,Dental clinic,"Dental clinic, Dentist, Dental implants periodontist, Dental radiology, Emergency dental service, Endodontist, Oral and maxillofacial surgeon, Orthodontist, Pediatric dentist, Periodontist",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,https://drshibithapb.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,5.0,2.0,"No: 13, Sannathi St, opp. to Perumal Temple, Sholinghur, Tamil Nadu 631102",631102,13.1146295,79.42026419999999,ChIJZdR-NEqzUjoRk_neQC3aZAg,https://www.google.com/maps/place/?q=place_id:ChIJZdR-NEqzUjoRk_neQC3aZAg,part_269,2026-09-20 19:10:39
