business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BISMILLAH CHICKEN BIRYANI CENTER,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 99430 45337,N/A,4.5,,"No 148, West BoardingPet Street, Sholinghur, Tamil Nadu 631102",631102,13.117385599999999,79.4177615,ChIJsThoIfyzUjoRr2hTB49lzEc,https://www.google.com/maps/place/?q=place_id:ChIJsThoIfyzUjoRr2hTB49lzEc,part_269,2026-09-20 19:10:33
Muni's Biryani,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Chicken restaurant",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 90479 64917,N/A,4.4,,"bus stand, Walaja Rd, near solinghur, Shankar Nagar, Sholinghur, Tamil Nadu 631102",Shankar Nagar,13.1104934,79.4205207,ChIJP73EXG-zUjoRI8nqNHMDCaQ,https://www.google.com/maps/place/?q=place_id:ChIJP73EXG-zUjoRI8nqNHMDCaQ,part_269,2026-09-20 19:10:33
KSM CHICKEN BIRIYANI,Non-Veg Biryani Restaurant,Chicken restaurant,Chicken restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 88387 51646,N/A,5.0,,"121 Ammoor Bazar Street Ammoor Ranipet Dt, Tamil Nadu 632501",631102,12.975023,79.364018,ChIJWfQ5m0FLrTsRfNstdwc1fFc,https://www.google.com/maps/place/?q=place_id:ChIJWfQ5m0FLrTsRfNstdwc1fFc,part_269,2026-09-20 19:10:33
Jaipur non veg restaurants,Non-Veg Biryani Restaurant,Chicken restaurant,Chicken restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 73075 20961,N/A,4.4,,"14, 200 Feet Bypass Rd, Suraj Nagar, Nirmal Vihar, Jhotwara, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302012","Suraj Nagar, Nirmal Vihar, Jhotwara",26.9679359,75.7460842,ChIJlxFKz5mzbTkRnV2wcegdRkM,https://www.google.com/maps/place/?q=place_id:ChIJlxFKz5mzbTkRnV2wcegdRkM,part_269,2026-09-20 19:10:33
Zam zam biriyani,Non-Veg Biryani Restaurant,Fast food restaurant,Fast food restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 91597 09078,N/A,4.4,,"Sholinghur, Tamil Nadu 631102",631102,13.1159596,79.4179218,ChIJoXuwipezUjoRUy8MrY7yTzM,https://www.google.com/maps/place/?q=place_id:ChIJoXuwipezUjoRUy8MrY7yTzM,part_269,2026-09-20 19:10:33
Pandiyan Hotel,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,Non Vegetarian Restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,3.7,,"4C6C+462, Shankar Nagar, Sholinghur, Tamil Nadu 631102",Shankar Nagar,13.110263199999999,79.4205238,ChIJB-FhuvayUjoRfEaBlyyK5tE,https://www.google.com/maps/place/?q=place_id:ChIJB-FhuvayUjoRfEaBlyyK5tE,part_269,2026-09-20 19:10:33
NEW MASHALLAH BIRIYANI CENTER,Non-Veg Biryani Restaurant,Fast food restaurant,Fast food restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 98436 33729,N/A,4.8,,"S S Complex, Chellathur, Tamil Nadu 631303",631102,13.165360699999999,79.437185,ChIJFRjhGAutUjoRGxVB0p_kiXE,https://www.google.com/maps/place/?q=place_id:ChIJFRjhGAutUjoRGxVB0p_kiXE,part_269,2026-09-20 19:10:33
Nandhini family restaurant Sholinghur,Non-Veg Biryani Restaurant,Family restaurant,Family restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 99944 33234,N/A,4.1,,"701, Walaja Rd, Padmapuram, Tamil Nadu 631102",631102,13.1014544,79.41195309999999,ChIJzcK_-U2zUjoRPmtgSXkkDlI,https://www.google.com/maps/place/?q=place_id:ChIJzcK_-U2zUjoRPmtgSXkkDlI,part_269,2026-09-20 19:10:33
Muhammadi Palace - A Fine Dine Restaurant jaipur,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Restaurant",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 80582 53786,https://www.instagram.com/muhammadi_palace_jhotwara,4.0,,"WPWW+XQF, Plot No. 31, Boring Road, Kalwar Rd, Laxmi Nagar III, Jagannath Puri, Suraj Nagar, Jhotwara, Jaipur, Rajasthan 302012","Laxmi Nagar III, Jagannath Puri, Suraj Nagar, Jhotwara",26.9477281,75.747385,ChIJq-b8CJazbTkRbhkOX7Go0fM,https://www.google.com/maps/place/?q=place_id:ChIJq-b8CJazbTkRbhkOX7Go0fM,part_269,2026-09-20 19:10:33
Neelakandrayanpet,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,3.3,,"298W+J8C, SH 61, Venkatapuram, Neelakandarayanpet, Tamil Nadu 632501",631102,13.016551399999999,79.39575789999999,ChIJ30iQVgC1UjoRw6Ea4pfa130,https://www.google.com/maps/place/?q=place_id:ChIJ30iQVgC1UjoRw6Ea4pfa130,part_269,2026-09-20 19:10:33
charminar hotel,Non-Veg Biryani Restaurant,Indian restaurant,Indian restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 63694 84782,N/A,4.0,,"SH128, Sholinghur, Tamil Nadu 631102",631102,13.1167354,79.41734129999999,ChIJiQPR0oyyUjoRI6LkSJ_LrwM,https://www.google.com/maps/place/?q=place_id:ChIJiQPR0oyyUjoRI6LkSJ_LrwM,part_269,2026-09-20 19:10:33
Zam zam Briyani,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 91597 09078,N/A,5.0,,"West, boarding pet street, Sholinghur, Tamil Nadu 631102",631102,13.117020799999999,79.4172427,ChIJAZ5iduyzUjoRmtq4UK0vn3Q,https://www.google.com/maps/place/?q=place_id:ChIJAZ5iduyzUjoRmtq4UK0vn3Q,part_269,2026-09-20 19:10:33
A.M.Biriyani center,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,5.0,,"46, Walaja Rd, opp. Sholinghur, Shankar Nagar, Sholinghur, Tamil Nadu 631102",Shankar Nagar,13.1096545,79.4207651,ChIJlcUsXQCzUjoRtc9427A5wfQ,https://www.google.com/maps/place/?q=place_id:ChIJlcUsXQCzUjoRtc9427A5wfQ,part_269,2026-09-20 19:10:33
Top town chicken,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Chicken restaurant",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 79761 71714,N/A,4.0,,"sangha palace marriage garden, Near, Rawan Gate Rd, Gokulpura, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302012",Gokulpura,26.9473073,75.72181119999999,ChIJK8YMPQCzbTkRLftOzaEzFq4,https://www.google.com/maps/place/?q=place_id:ChIJK8YMPQCzbTkRLftOzaEzFq4,part_269,2026-09-20 19:10:34
Niyaaz Restaurant (Porvorim Branch),Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Chinese restaurant, Family restaurant, Indian restaurant, Mughlai restaurant, Non Vegetarian Restaurant, Restaurant",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 79720 52876,https://www.niyaaz.in/?utm_source=Google&utm_medium=GMB,4.4,,"Chogm Rd, near Canara Bank, Porvorim, Goa 403501",631102,15.5371899,73.8190845,ChIJh0e5wNHBvzsRl-z6r4E_U08,https://www.google.com/maps/place/?q=place_id:ChIJh0e5wNHBvzsRl-z6r4E_U08,part_269,2026-09-20 19:10:34
Nawab Biryani House,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 93738 30942,N/A,4.2,137.0,"GM7H+2P9, Ghotawade Phata, Pirangut, Maharashtra 412115",Ghotawade Phata,18.512529999999998,73.679405,ChIJpUV6Jvq9wjsRNSiENfPIroI,https://www.google.com/maps/place/?q=place_id:ChIJpUV6Jvq9wjsRNSiENfPIroI,part_269,2026-09-20 19:10:35
SURYA BIRYANI NON VEG CORNER,Non-Veg Biryani Restaurant,Restaurant,Restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,4.3,7.0,"8VRX+4RR, near Narayana Heights, United College, Prayagraj, Panwar Kalan, Uttar Pradesh 211010",631102,25.3403682,81.8995262,ChIJ7fH6GYZJhTkRaIBsJQEYivY,https://www.google.com/maps/place/?q=place_id:ChIJ7fH6GYZJhTkRaIBsJQEYivY,part_269,2026-09-20 19:10:35
Biryanis And More,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 93474 42222,http://www.biryanis.com/,3.8,6199.0,"1st Floor, Fantasy Square Building, Gachibowli Rd, near Biodiversity Junction, opposite Nissan Showroom, Jayabheri Pine Valley, Gachibowli, Hyderabad, Telangana 500032","Jayabheri Pine Valley, Gachibowli",17.4289848,78.3739715,ChIJLYzka_qTyzsR3vgPEZCJNcE,https://www.google.com/maps/place/?q=place_id:ChIJLYzka_qTyzsR3vgPEZCJNcE,part_269,2026-09-20 19:10:35
Madrasi Grill (Since 1943),Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Biryani restaurant, Family restaurant, Indian restaurant, Halal restaurant",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 93990 21002,https://madrasi-grill-since-1943.grexa.site/,3.6,5134.0,"6MV6+QCV, Bhawanipatna - Raipur Hwy, Moulipara, Telibandha, Raipur, Chhattisgarh 492001","Moulipara, Telibandha",21.2412658,81.6601831,ChIJuaqqagUjKToROHBqbvjWQCc,https://www.google.com/maps/place/?q=place_id:ChIJuaqqagUjKToROHBqbvjWQCc,part_269,2026-09-20 19:10:35
Hyderabadi Handi Biryani,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Andhra restaurant",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 80 4302 0905,N/A,3.9,901.0,"132, 1st Main Rd, Marathahalli, Bengaluru, Karnataka 560037",Marathahalli,12.950992,77.7049557,ChIJbVLoayUTrjsR7dr_-nVncKE,https://www.google.com/maps/place/?q=place_id:ChIJbVLoayUTrjsR7dr_-nVncKE,part_269,2026-09-20 19:10:35
