business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Santosh Paya Mechanic,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,5.0,10.0,"4C79+C6R, SH128, Sholinghur, Tamil Nadu 631102",631102,13.113616799999999,79.4180061,ChIJE1X7iiGzUjoR4jV6Ym-1b_4,https://www.google.com/maps/place/?q=place_id:ChIJE1X7iiGzUjoR4jV6Ym-1b_4,part_269,2026-09-20 19:10:42
MsTwo Wheeler Mechanic Work,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 80988 89581,N/A,4.5,2.0,"29FW+QJX, Jambukulam, Kattarampakkam, Tamil Nadu 632501",Jambukulam,13.0244865,79.3966246,ChIJ-a6YFwC1UjoR-t1r3ok6pOc,https://www.google.com/maps/place/?q=place_id:ChIJ-a6YFwC1UjoR-t1r3ok6pOc,part_269,2026-09-20 19:10:42
SURYA ENGINEERING WORKS,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Mechanic",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 94459 57766,N/A,4.7,11.0,"No 3, Arakkonam Road, Pandiyanellore, Tamil Nadu 631102",631102,13.1028272,79.4351069,ChIJBdf8tlGyUjoRzhsyEa643b4,https://www.google.com/maps/place/?q=place_id:ChIJBdf8tlGyUjoRzhsyEa643b4,part_269,2026-09-20 19:10:42
Sri shanmuga auto mobiles,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,3.0,1.0,"4C8C+8HF, Sholinghur, Tamil Nadu 631102",631102,13.115831199999999,79.4214322,ChIJOfr_OwCzUjoRlpF9UAm6PRE,https://www.google.com/maps/place/?q=place_id:ChIJOfr_OwCzUjoRlpF9UAm6PRE,part_269,2026-09-20 19:10:42
Naveen auto mobiles,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 91599 19300,N/A,5.0,4.0,"4C9F+RGF, SH128, Sholinghur, Tamil Nadu 631102",631102,13.119565699999999,79.4238014,ChIJkx4pVACzUjoRM8F-XZJte1A,https://www.google.com/maps/place/?q=place_id:ChIJkx4pVACzUjoRM8F-XZJte1A,part_269,2026-09-20 19:10:42
Annamalayar ato spers & sarvice centre,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,5.0,1.0,"1/547, Nochili Rd, K.G Kandigai, Beerakuppam, Tamil Nadu 631205",K.G Kandigai,13.1746278,79.51402619999999,ChIJ7burSQCvUjoRS7IhDR31Yqg,https://www.google.com/maps/place/?q=place_id:ChIJ7burSQCvUjoRS7IhDR31Yqg,part_269,2026-09-20 19:10:42
MMS two wheeler mechanic shop,Two Wheeler Repair and Mechanic,Mechanic,Mechanic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,,,"2/310 shoingur road rk pet - 631303 Sholingur, road, Ramkrishna Rajapet, Valakanampudi, Tamil Nadu 631303",631102,13.159184,79.4362385,ChIJzb6bcgCtUjoRhnKMa1IENZc,https://www.google.com/maps/place/?q=place_id:ChIJzb6bcgCtUjoRhnKMa1IENZc,part_269,2026-09-20 19:10:42
SBP Bike service centre,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,3.7,3.0,"No. 123/2 ground floor, shop- 1 from, South West facing, bus stop, Linga Reddy St, near patikulam, Sholinghur, Tamil Nadu 631102",631102,13.117485499999999,79.4231278,ChIJ4yAUHzuzUjoRaY1q-OMZkNY,https://www.google.com/maps/place/?q=place_id:ChIJ4yAUHzuzUjoRaY1q-OMZkNY,part_269,2026-09-20 19:10:42
Manoj Bike Garage,Two Wheeler Repair and Mechanic,Mechanic,Mechanic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,5.0,8.0,"Bairagi Madam St, Sholinghur, Vellore, Tamil Nadu 631102",631102,13.1142652,79.4185617,ChIJ1W8c67OzUjoRS8_dmz8K29A,https://www.google.com/maps/place/?q=place_id:ChIJ1W8c67OzUjoRS8_dmz8K29A,part_269,2026-09-20 19:10:42
Two wheeler machine Naveen,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",N/A,N/A,,,"3CQ3+2JP, Putheri, Padmapuram, Tamil Nadu 631302",631102,13.0875884,79.40406399999999,ChIJW3-bHgCzUjoRXrqYIMiq_n8,https://www.google.com/maps/place/?q=place_id:ChIJW3-bHgCzUjoRXrqYIMiq_n8,part_269,2026-09-20 19:10:42
Ramakrishnan Bike Service,Two Wheeler Repair and Mechanic,Mechanic,Mechanic,631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 89401 37784,N/A,3.8,5.0,"2834+W3J, nellikuppan, Mottur, Ranganathapuram, Tamil Nadu 632405",nellikuppan,13.004360499999999,79.3053583,ChIJg7Gp4A9LrTsRRL0sjXsWvcE,https://www.google.com/maps/place/?q=place_id:ChIJg7Gp4A9LrTsRRL0sjXsWvcE,part_269,2026-09-20 19:10:42
RK MOTORS,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Two Wheeler Dealer, Machine shop",631102,Tamilnadu circle,Chennai City Region,Arakkonam Division,"Ayipedu BO, Jambukulam BO, Karikkal BO",+91 95851 93167,N/A,,,"Walaja Rd, Sholinghur, Padmapuram, Tamil Nadu 631102",631102,13.102199899999999,79.4194438,ChIJ6yQ9oQPAC4IRHo3gPNpB-4g,https://www.google.com/maps/place/?q=place_id:ChIJ6yQ9oQPAC4IRHo3gPNpB-4g,part_269,2026-09-20 19:10:44
