business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dakshah Ayurveda Vaidyasala,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 90432 50916,N/A,5.0,,"7, North cross road, Jaya Nagar, Tiruvaloor, Tamil Nadu 602001",Jaya Nagar,13.1390575,79.9061152,ChIJtcSkXwCRUjoRbf2M0tHb-tE,https://www.google.com/maps/place/?q=place_id:ChIJtcSkXwCRUjoRbf2M0tHb-tE,part_269,2026-09-20 19:12:29
AyurDarsan Ayurvedic Hospital,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 90378 60638,http://www.ayurdarsan.com/,4.9,,"HMVG+477, Thiruvallur Rd, Thiruvallur, Keralam 673541",631201,11.5924436,75.6765527,ChIJP9RcpBmHpjsRdHUj5y1UD-4,https://www.google.com/maps/place/?q=place_id:ChIJP9RcpBmHpjsRdHUj5y1UD-4,part_269,2026-09-20 19:12:29
Sri Dhanwanthari Ayurveda Clinic,Ayurvedic Pharmacy and Clinic,Hospital,Hospital,631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 96776 42535,N/A,5.0,,"C4CG+PMG, Gummidi Poondi, near leema Bharath gas agency, Tamil Nadu 601201",631201,13.421811,80.1267032,ChIJubW-h5aBTToR-if1C56JI60,https://www.google.com/maps/place/?q=place_id:ChIJubW-h5aBTToR-if1C56JI60,part_269,2026-09-20 19:12:29
JAYAM VARMA TREATMENT CENTER,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 99763 52072,http://www.jayamvarma.com/,4.9,,"No: 26B, Dr.Mu.Varatharasanar Street, Manavalanagar, Tamil Nadu 602002",631201,13.107660099999999,79.91254049999999,ChIJN6O0_MGRUjoR4DVkBypieuk,https://www.google.com/maps/place/?q=place_id:ChIJN6O0_MGRUjoR4DVkBypieuk,part_269,2026-09-20 19:12:29
Sri Selvam Ayurveda Clinic.....,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Medical clinic",631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 98415 99166,http://sriiselvamayurveda.com/,5.0,,"1 506, South Ave, Muthamizh Nagar, Kodungaiyur, Chennai, Tamil Nadu 600118","Muthamizh Nagar, Kodungaiyur",13.131807,80.2486595,ChIJS1NOVwllUjoRP-K4JDhmSiE,https://www.google.com/maps/place/?q=place_id:ChIJS1NOVwllUjoRP-K4JDhmSiE,part_269,2026-09-20 19:12:29
RJR Herbal Hospitals - Tiruvallur,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative medicine practitioner, Holistic medicine practitioner",631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 91764 77711,https://www.rjrherbalhospitals.in/,4.7,,"No:969,TNHB Road, Kakkalur Bypass Rd, Kakkalur, Tiruvallur, Tamil Nadu 602001",Ma. Po. Si. Nagar,13.1370244,79.91925669999999,ChIJp0djyRCRUjoRF6E0QMyrGUk,https://www.google.com/maps/place/?q=place_id:ChIJp0djyRCRUjoRF6E0QMyrGUk,part_269,2026-09-20 19:12:29
Deepam Ayurveda Panchkarma Centre,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,"Alternative medicine practitioner, Ayurvedic clinic, Fertility clinic, Skin care clinic",631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 91767 65591,https://www.facebook.com/deepamayurveda/,4.8,,"Near Ponniyamman kovil, main road, Vadakpattu, Medavakkam, Tamil Nadu 600100","Vadakpattu, Medavakkam",12.9274565,80.1869579,ChIJVTHF-55eUjoRYBEEeO4yNSQ,https://www.google.com/maps/place/?q=place_id:ChIJVTHF-55eUjoRYBEEeO4yNSQ,part_269,2026-09-20 19:12:29
Ayurshi’ Ashram Ayurveda Panchakarma Centre,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative Medicine Clinic, Alternative medicine practitioner, Massage therapist",631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 99404 02410,http://www.ayurshiayurveda.com/,4.8,,"6, Sterling Ave Main Rd, Sakthi Nagar, Porur, Chennai, Tamil Nadu 600116","Sakthi Nagar, Porur",13.0281354,80.1623717,ChIJnwzRE-FgUjoRne2WwYqGxuk,https://www.google.com/maps/place/?q=place_id:ChIJnwzRE-FgUjoRne2WwYqGxuk,part_269,2026-09-20 19:12:29
MSG HEALTH CARE,Ayurvedic Pharmacy and Clinic,Medical clinic,Medical clinic,631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 44 2764 0557,https://msghealthcare.in/,4.7,,"No.28, SPH Road, Manavalanagar, Tamil Nadu 602002",631201,13.108970699999999,79.90988,ChIJ-8Ml8iGRUjoRBQJlaZNaTn0,https://www.google.com/maps/place/?q=place_id:ChIJ-8Ml8iGRUjoRBQJlaZNaTn0,part_269,2026-09-20 19:12:29
Sri Raghava pharmacy,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,631201,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Arungolam S.O, Chivada B.O, Nemili B.O",+91 98405 79876,N/A,5.0,,"No:1, 27, JN Rd, Tiruvaloor, Tamil Nadu 602001",631201,13.116835499999999,79.91056019999999,ChIJlyQvF7WRUjoRrg8kPNWcmnM,https://www.google.com/maps/place/?q=place_id:ChIJlyQvF7WRUjoRrg8kPNWcmnM,part_269,2026-09-20 19:12:30
