business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PR Furnitures,Furniture Showroom,Furniture store,"Furniture store, Furniture maker, Furniture Manufacturer, Furniture wholesaler, Mattress store",631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",+91 94450 44034,http://prfurnitures.com/,4.8,19.0,"Sriperumbudhur High Road, Venkathur, Manavalanagar, Tamil Nadu 602002",631202,13.1086709,79.9097524,ChIJm5OZDJiRUjoR425SnVauTAo,https://www.google.com/maps/place/?q=place_id:ChIJm5OZDJiRUjoR425SnVauTAo,part_269,2026-09-20 19:13:18
RAM WOOD CORNER FURNITURE,Furniture Showroom,Furniture Manufacturer,Furniture Manufacturer,631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",+91 90941 18888,N/A,4.9,78.0,"18, Poonamallee High Rd, Manavalanagar, Venkathur, Tamil Nadu 602002",631202,13.108264499999999,79.92608829999999,ChIJY0b2IwCPUjoRzovdG5A7KF0,https://www.google.com/maps/place/?q=place_id:ChIJY0b2IwCPUjoRzovdG5A7KF0,part_269,2026-09-20 19:13:18
kalaiyarasi metal store,Furniture Showroom,Furniture store,Furniture store,631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",N/A,N/A,,,"7FJM+XRM, Podaturpet, Tamil Nadu 631208",631202,13.2824645,79.4845351,ChIJ15cjb3epUjoRN3wadiGuZv0,https://www.google.com/maps/place/?q=place_id:ChIJ15cjb3epUjoRN3wadiGuZv0,part_269,2026-09-20 19:13:18
Umapathi store,Furniture Showroom,Shop supermarket furniture store,Shop supermarket furniture store,631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",N/A,N/A,,,"7FJM+X9Q, Podaturpet, Tamil Nadu 631208",631202,13.2824545,79.4834906,ChIJu5Tc862pUjoRc57T-BHFsaM,https://www.google.com/maps/place/?q=place_id:ChIJu5Tc862pUjoRc57T-BHFsaM,part_269,2026-09-20 19:13:18
makes jagan,Furniture Showroom,Furniture store,Furniture store,631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",+91 99402 82281,N/A,,,"Bazeer Street, Kodivalasa, Tamil Nadu 631202",631202,13.2539102,79.4352072,ChIJBZKQlharUjoRUlKbDzf9Mn0,https://www.google.com/maps/place/?q=place_id:ChIJBZKQlharUjoRUlKbDzf9Mn0,part_269,2026-09-20 19:13:18
T thirumala achari,Furniture Showroom,Furniture store,Furniture store,631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",N/A,N/A,,,"2/455G, Krishnamarajakuppam, Kuppam, Tamil Nadu 631202",631202,13.2128935,79.4435982,ChIJUcFsDwCtUjoR4RTlP1vWRfQ,https://www.google.com/maps/place/?q=place_id:ChIJUcFsDwCtUjoR4RTlP1vWRfQ,part_269,2026-09-20 19:13:18
Irfan bhai home,Furniture Showroom,Sofa store,Sofa store,631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",N/A,N/A,,,"1/20, 1/87, Krishnamarajakuppam, Tamil Nadu 631202",631202,13.2205503,79.48173659999999,ChIJFz1HTwCvUjoRPn6xzwp1R1E,https://www.google.com/maps/place/?q=place_id:ChIJFz1HTwCvUjoRPn6xzwp1R1E,part_269,2026-09-20 19:13:18
Kuberan Furnitures,Furniture Showroom,Furniture store,Furniture store,631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",+91 98412 25185,N/A,3.2,,"37, Kundrathur Main Rd, Madhanandapuram, Chennai, Tamil Nadu 600125",Madhanandapuram,13.0224216,80.14563749999999,ChIJSeojc1hgUjoRlr5BvViNzzQ,https://www.google.com/maps/place/?q=place_id:ChIJSeojc1hgUjoRlr5BvViNzzQ,part_269,2026-09-20 19:13:19
JFA Furniture Showroom,Furniture Showroom,Furniture store,"Furniture store, Bedroom furniture store, Furniture wholesaler, Interior designer, Kitchen furniture store, Kitchen remodeler, Office furniture store, Sofa store",631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",+91 44 2813 2403,http://www.jfa.in/,4.2,,"N0:33, Royapettah High Rd, Azad Nagar, Royapettah, Chennai, Tamil Nadu 600014","Azad Nagar, Royapettah",13.050323299999999,80.2642013,ChIJqSqK8S9mUjoRj-oR0uoCPDc,https://www.google.com/maps/place/?q=place_id:ChIJqSqK8S9mUjoRj-oR0uoCPDc,part_269,2026-09-20 19:13:19
Simhapuri Furnitures,Furniture Showroom,Store,Store,631202,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Athimanjeripeta S.O, Athimanjeri B.O, Balakrishnapuram B.O",+91 89394 69894,N/A,4.0,,"FX4J+G8C, Mulapet Rd, R L Nagar, Nellore, Andhra Pradesh 524001",R L Nagar,14.4563042,79.9807764,ChIJE9PW_8WMTDoRI5WhHL3RB9s,https://www.google.com/maps/place/?q=place_id:ChIJE9PW_8WMTDoRI5WhHL3RB9s,part_269,2026-09-20 19:13:19
