business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cctv Camera and GPS Security System,CCTV Installation and Security System,Electronics store,Electronics store,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 97915 32235,N/A,5.0,85.0,"Sriperumbudur Main Road, Papparambakkam, Tamil Nadu 602025",631203,13.053502199999999,79.95883239999999,ChIJCy2bxUqNUjoRqNQCfIpYCa0,https://www.google.com/maps/place/?q=place_id:ChIJCy2bxUqNUjoRqNQCfIpYCa0,part_269,2026-09-20 19:14:05
Aegis Solutions,CCTV Installation and Security System,Security system installation service,Security system installation service,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 88386 64688,https://www.aegissolutions.co.in/,5.0,3.0,"89, Roja St, Poonga Nagar, Tiruvallur, Kakkalur, Tamil Nadu 602001",Poonga Nagar,13.126431799999999,79.91928279999999,ChIJuZWm4zKRUjoRJ-fQblZu-ms,https://www.google.com/maps/place/?q=place_id:ChIJuZWm4zKRUjoRJ-fQblZu-ms,part_269,2026-09-20 19:14:05
3rd view tech solutions,CCTV Installation and Security System,Security system installation service,Security system installation service,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 94888 90502,N/A,4.5,31.0,"No 74 , kannarpalayam road, Karamadai, Tamil Nadu 641104",631203,11.240228799999999,76.9618316,ChIJCaUbkIXvqDsR_vKrybNhhhw,https://www.google.com/maps/place/?q=place_id:ChIJCaUbkIXvqDsR_vKrybNhhhw,part_269,2026-09-20 19:14:05
THIRD EYE'S CCTV,CCTV Installation and Security System,Security system installation service,"Security system installation service, Camera store, Security system supplier",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 97867 27007,http://thirdeyescctv.com/,4.3,18.0,"6/615-B4 - CHELLAM CENTER, near ST. John's School, Namakkal, Tamil Nadu 637001","S P Pudur, Thillaipuram",11.220678099999999,78.1593152,ChIJI7drDh7PqzsRzfQRl4yTmAA,https://www.google.com/maps/place/?q=place_id:ChIJI7drDh7PqzsRzfQRl4yTmAA,part_269,2026-09-20 19:14:05
RBS INFO NETWORK SYSTEMS,CCTV Installation and Security System,Security system installation service,Security system installation service,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 89250 79777,N/A,4.5,2.0,"46/3c, JN Rd, Periyakuppam, Tiruvaloor, Tamil Nadu 602001",631203,13.1225083,79.91203759999999,ChIJIUuyOOGRUjoRYocWLtpYPtc,https://www.google.com/maps/place/?q=place_id:ChIJIUuyOOGRUjoRYocWLtpYPtc,part_269,2026-09-20 19:14:05
Eastman Dealer - GV Enterprises,CCTV Installation and Security System,Security system installation service,"Security system installation service, Electronics Accessories Wholesaler, Electronics manufacturer, GPS supplier, Battery Store",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 80 6290 4536,https://eastman-dealers.eaplworld.com/near-me/tiruvallur/Kakkalur/eastman-dealer-gv-enterprises-in-Kakkalur-tiruvallur--2VcZtr/home,3.9,15.0,"LIC, near Oil Mill, opp. Government Hospital, Tiruvallur, Tamil Nadu 602001",631203,13.1266728,79.91053079999999,ChIJqdXZ0LaRUjoRM0MGj0xcMd8,https://www.google.com/maps/place/?q=place_id:ChIJqdXZ0LaRUjoRM0MGj0xcMd8,part_269,2026-09-20 19:14:05
Maxzen it solutions,CCTV Installation and Security System,Security system installation service,Security system installation service,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 95662 23738,N/A,5.0,,"KONGU CITY CENTER, 269, Kamaraj Nagar, Namakkal, Tamil Nadu 637001",Kamaraj Nagar,11.219643,78.1678711,ChIJw8mmZwDPqzsRb_cXvl4BZWc,https://www.google.com/maps/place/?q=place_id:ChIJw8mmZwDPqzsRb_cXvl4BZWc,part_269,2026-09-20 19:14:06
EazyByte,CCTV Installation and Security System,Security system installation service,"Security system installation service, Camera store, Computer accessories store, Computer Hardware Company, Computer repair service, Computer store, Printer repair service, Security system supplier",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 95660 00760,https://eazybyte.net/,5.0,,"ARP Complex, 600, Avinashi Main Rd, near SAP Theater, Asher Nagar, Tiruppur, Tamil Nadu 641603",Asher Nagar,11.125639999999999,77.3295232,ChIJi8SHNwAHqTsRT4m6N6RfqNA,https://www.google.com/maps/place/?q=place_id:ChIJi8SHNwAHqTsRT4m6N6RfqNA,part_269,2026-09-20 19:14:06
Vg Works,CCTV Installation and Security System,Security system supplier,Security system supplier,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 70108 40518,http://vgworkss.com/,,,"1/467, pannai thottam, chinniya goundan Palayam, panickampatti post, Palladam, Panikkampatti, Tamil Nadu 641664","pannai thottam, chinniya goundan Palayam, panickampatti post",10.9919504,77.254488,ChIJ01SURx6rqTsRoi4rIp4GAm4,https://www.google.com/maps/place/?q=place_id:ChIJ01SURx6rqTsRoi4rIp4GAm4,part_269,2026-09-20 19:14:06
Alwin security solution,CCTV Installation and Security System,Security system installation service,"Security system installation service, Camera store, Service establishment, Security system supplier",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 95000 34555,N/A,,,"Alwin security solution, 631203, India",631203,13.048261199999999,79.8152822,ChIJ1aTj7jVhUjoR2-BNhOSnOF4,https://www.google.com/maps/place/?q=place_id:ChIJ1aTj7jVhUjoR2-BNhOSnOF4,part_269,2026-09-20 19:14:06
CCTV CAMERA TECHNICIAN,CCTV Installation and Security System,Security system installation service,Security system installation service,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 79043 50926,N/A,5.0,,"31, First St, Ponmuthu Nagar, Rakkiayapalayam, Tiruppur, Tamil Nadu 641606",Ponmuthu Nagar,11.0958896,77.3868031,ChIJlXiSbM4JqTsR6VOwESZzwW8,https://www.google.com/maps/place/?q=place_id:ChIJlXiSbM4JqTsR6VOwESZzwW8,part_269,2026-09-20 19:14:06
THIRDEYE SURVEILLANCE CCTV CAMERA SALES AND SERVICE,CCTV Installation and Security System,Security system supplier,Security system supplier,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 87605 18044,N/A,4.8,,"Pushpa theatre, 34B Deepa hospital, near, Avinashi Rd, Tiruppur, Tamil Nadu 641602","KNP Puram, Odakkadu",11.1121803,77.33720749999999,ChIJq9s8YlgHqTsRD5XaTveKatY,https://www.google.com/maps/place/?q=place_id:ChIJq9s8YlgHqTsRD5XaTveKatY,part_269,2026-09-20 19:14:06
Farmfort Solutions,CCTV Installation and Security System,Security system installation service,"Security system installation service, Home automation company, Security system supplier",631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 83008 90347,https://farmfortcctv.com/,4.9,,"513, N.P COMPLEX, PUSHPA THEATRE BUS STOP, Avinashi - Tiruppur Rd, opp. MGB SUPREME, near BANK OF BARODA, Ram Nagar, Tiruppur, Tamil Nadu 641602",Ram Nagar,11.1119229,77.3380576,ChIJb2RxtY4HqTsR28-n431iuSY,https://www.google.com/maps/place/?q=place_id:ChIJb2RxtY4HqTsR28-n431iuSY,part_269,2026-09-20 19:14:06
V-Tech Cctv camera service,CCTV Installation and Security System,Security system installation service,Security system installation service,631203,Tamilnadu Circle,Chennai City Region,Kanchipuram Division,"Kadambathur S.O, Egattur B.O, Kaivandur B.O",+91 85082 43488,N/A,5.0,,"No.4A Gnanapragasam, College Rd, Masco Nagar, Thiru V K Nagar, Moscow Nagar, Chikkanna, Tiruppur, Tamil Nadu 641603","Masco Nagar, Thiru V K Nagar, Moscow Nagar",11.1151229,77.32301679999999,ChIJn3MvbwUHqTsRAAAAMA3Ao30,https://www.google.com/maps/place/?q=place_id:ChIJn3MvbwUHqTsRAAAAMA3Ao30,part_269,2026-09-20 19:14:06
